"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Burkenroad","ORL",0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0.2,1,5,0.2,1,2,0.5,0.4,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,4,0,0,0,0,1,1,1,0,4,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0.8,0,0.2,0.8,0,0.2,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,1,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dowie","BOS",0,1,80,1,1,1,0,1,0,3,0.666666666666667,2,1,0.666666666666667,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,19,28,0.678571428571429,19,28,0.678571428571429,15,19,0.789473684210526,0.655172413793103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0.142857142857143,3,4,0.75,15,17,0.882352941176471,1,7,0.142857142857143,3,4,0.75,15,17,0.882352941176471,1,4,0.25,1,1,1,13,14,0.928571428571429,0.25,0.142857142857143,0.607142857142857,0.25,0.142857142857143,0.607142857142857,0.210526315789474,0.0526315789473684,0.736842105263158,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,1,1,3,2,0,2,10,3,7,0.3,0,4,0,0,0,0,0,18,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edmonds","ORL",0,1,94,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,50,0.66,20,33,0.606060606060606,14,24,0.583333333333333,0.727272727272727,2,2,1,2,8,0.25,0,0,0,11,15,0.733333333333333,0,0,0,2,8,0.25,0,0,0,17,33,0.515151515151515,5,5,1,11,12,0.916666666666667,9,21,0.428571428571429,2,2,1,9,10,0.9,6,15,0.4,2,2,1,6,7,0.857142857142857,0.66,0.1,0.24,0.636363636363636,0.0606060606060606,0.303030303030303,0.625,0.0833333333333333,0.291666666666667,1,1,1,0,0,1,1,1,0,0,1,0,2,0,0,0,0,0,1,1,13,11,2,3,2,1,0.666666666666667,1,0,0,0,0,0,3,17,1,1,4,4,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edwards","ORL",0,1,94,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,31,0.709677419354839,22,31,0.709677419354839,16,22,0.727272727272727,0.709677419354839,0,0,0,1,5,0.2,0,0,0,0,0,0,0,0,0,1,5,0.2,0,0,0,10,18,0.555555555555556,4,5,0.8,8,8,1,10,18,0.555555555555556,4,5,0.8,8,8,1,6,11,0.545454545454545,3,4,0.75,7,7,1,0.580645161290323,0.161290322580645,0.258064516129032,0.580645161290323,0.161290322580645,0.258064516129032,0.5,0.181818181818182,0.318181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,2,15,10,5,6,5,1,0.833333333333333,2,4,0,0,0,0,1,14,9,1,7,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elby","BOS",0,1,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,33,0.575757575757576,9,18,0.5,6,11,0.545454545454545,0.611111111111111,0,1,0,0,3,0,0,0,0,10,15,0.666666666666667,0,1,0,0,3,0,0,0,0,13,26,0.5,1,2,0.5,5,5,1,4,12,0.333333333333333,0,1,0,5,5,1,2,7,0.285714285714286,0,0,0,4,4,1,0.787878787878788,0.0606060606060606,0.151515151515152,0.666666666666667,0.0555555555555556,0.277777777777778,0.636363636363636,0,0.363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,2,0,3,9,7,2,4,2,2,0.5,2,0,0,0,0,0,3,12,6,3,5,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Evans","ORL",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,40,0.75,29,39,0.743589743589744,15,20,0.75,0.512820512820513,0,1,0,0,3,0,1,1,1,1,1,1,0,1,0,0,3,0,1,1,1,18,27,0.666666666666667,7,8,0.875,5,5,1,17,26,0.653846153846154,7,8,0.875,5,5,1,10,14,0.714285714285714,3,4,0.75,2,2,1,0.675,0.2,0.125,0.666666666666667,0.205128205128205,0.128205128205128,0.7,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,6,3,8,3,5,0.375,0,1,0,0,0,0,2,24,6,5,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fields","ORL",0,1,94,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,0.727272727272727,16,22,0.727272727272727,11,14,0.785714285714286,0.608695652173913,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,6,8,0.75,10,10,1,0,4,0,6,8,0.75,10,10,1,0,2,0,5,6,0.833333333333333,6,6,1,0.181818181818182,0.363636363636364,0.454545454545455,0.181818181818182,0.363636363636364,0.454545454545455,0.142857142857143,0.428571428571429,0.428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,10,0.8,7,4,13,7,4,2,6,1,5,0.166666666666667,0,1,0,0,0,0,1,24,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kallman","BOS",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,39,0.846153846153846,30,33,0.909090909090909,20,22,0.909090909090909,0.666666666666667,0,0,0,2,6,0.333333333333333,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,20,0.7,5,5,1,14,14,1,11,14,0.785714285714286,5,5,1,14,14,1,4,6,0.666666666666667,5,5,1,11,11,1,0.512820512820513,0.128205128205128,0.358974358974359,0.424242424242424,0.151515151515152,0.424242424242424,0.272727272727273,0.227272727272727,0.5,0,0,0,0,0,3,6,0.5,0,0,0,0,6,0,0,0,0,0,0,0,9,7,1,4,3,1,0.75,0,0,0,0,0,0,2,5,0,0,7,6,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"King","BOS",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,52,0.576923076923077,26,39,0.666666666666667,18,26,0.692307692307692,0.666666666666667,0,0,0,3,9,0.333333333333333,0,0,0,3,12,0.25,0,0,0,2,8,0.25,0,0,0,19,41,0.463414634146341,2,2,1,9,9,1,15,28,0.535714285714286,2,2,1,9,9,1,12,20,0.6,1,1,1,5,5,1,0.788461538461538,0.0384615384615385,0.173076923076923,0.717948717948718,0.0512820512820513,0.230769230769231,0.769230769230769,0.0384615384615385,0.192307692307692,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,12,8,4,5,3,2,0.6,0,2,0,0,0,0,1,8,5,0,10,8,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kranich","BOS",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,40,0.475,13,28,0.464285714285714,5,9,0.555555555555556,0.321428571428571,0,0,0,5,22,0.227272727272727,0,0,0,0,0,0,0,0,0,5,18,0.277777777777778,0,0,0,19,40,0.475,0,0,0,0,0,0,13,28,0.464285714285714,0,0,0,0,0,0,5,9,0.555555555555556,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,19,40,0.475,2,2,1,1,3,0.333333333333333,3,7,0.428571428571429
