"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Barnes","SRFC",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,65,0.830769230769231,47,56,0.839285714285714,29,32,0.90625,0.571428571428571,0,0,0,2,9,0.222222222222222,0,0,0,4,4,1,0,0,0,2,9,0.222222222222222,0,0,0,30,39,0.769230769230769,5,7,0.714285714285714,19,19,1,26,35,0.742857142857143,2,2,1,19,19,1,14,17,0.823529411764706,0,0,0,15,15,1,0.6,0.107692307692308,0.292307692307692,0.625,0.0357142857142857,0.339285714285714,0.53125,0,0.46875,0,2,0,0,0,3,3,1,0,0,0,0,3,1,0,1,1,0,0,0,4,3,1,1,1,0,1,0,0,0,0,0,0,1,8,0,1,3,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.625,60.9375,44.0625,52.5,27.1875,30,0,0,1.875,8.4375,0,0,3.75,3.75,0,0,1.875,8.4375,0,0,28.125,36.5625,4.6875,6.5625,17.8125,17.8125,24.375,32.8125,1.875,1.875,17.8125,17.8125,13.125,15.9375,0,0,14.0625,14.0625,0,1.875,0,0,2.8125,2.8125,0,0,0,0,2.8125,0.9375,0,0.9375,0,0,0,3.75,2.8125,0.9375,0.9375,0.9375,0,0,0,0,0,0,0,0.9375,7.5,0,0.9375,2.8125,5.625,0,0,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corsie","SRFC",0,1,96,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,39,47,0.829787234042553,38,44,0.863636363636364,15,18,0.833333333333333,0.409090909090909,0,0,0,3,4,0.75,0,1,0,0,0,0,0,0,0,3,4,0.75,0,0,0,25,33,0.757575757575758,5,5,1,9,9,1,24,30,0.8,5,5,1,9,9,1,12,15,0.8,2,2,1,1,1,1,0.702127659574468,0.106382978723404,0.191489361702128,0.681818181818182,0.113636363636364,0.204545454545455,0.833333333333333,0.111111111111111,0.0555555555555556,0,0,0,0,0,1,3,0.333333333333333,0,0,0,0,3,0,1,1,0,0,0,1,5,0,5,4,3,1,0.75,0,2,0,0,0,0,2,10,5,2,0,8,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0,0,0,0.9375,0,0.9375,0.9375,0,0,0,0,0,0.9375,0,0,0,0,0,0,0,0,36.5625,44.0625,35.625,41.25,14.0625,16.875,0,0,2.8125,3.75,0,0.9375,0,0,0,0,2.8125,3.75,0,0,23.4375,30.9375,4.6875,4.6875,8.4375,8.4375,22.5,28.125,4.6875,4.6875,8.4375,8.4375,11.25,14.0625,1.875,1.875,0.9375,0.9375,0,0,0,0,0.9375,2.8125,0,0,0,0,2.8125,0,0.9375,0.9375,0,0,0.9375,4.6875,0,4.6875,3.75,2.8125,0.9375,0,1.875,0,0,0,0,1.875,9.375,4.6875,1.875,0,7.5,0.9375,0.9375,0,2.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dallstream","SRFC",0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0.666666666666667,4,6,0.666666666666667,4,4,1,0.666666666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,1,3,3,1,0,2,0,1,1,1,3,3,1,0,0,0,1,1,1,3,3,1,0.333333333333333,0.166666666666667,0.5,0.333333333333333,0.166666666666667,0.5,0,0.25,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,54,36,54,36,36,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,18,9,9,27,27,0,18,9,9,27,27,0,0,9,9,27,27,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elston","SRFC",0,1,23,0,0,2,0,1,0,3,0.666666666666667,2,1,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0.7,7,10,0.7,2,3,0.666666666666667,0.3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,5,0.6,2,3,0.666666666666667,2,2,1,3,5,0.6,2,3,0.666666666666667,2,2,1,2,3,0.666666666666667,0,0,0,0,0,0,0.5,0.3,0.2,0.5,0.3,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.82608695652174,0,3.91304347826087,0,11.7391304347826,7.82608695652174,3.91304347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3913043478261,39.1304347826087,27.3913043478261,39.1304347826087,7.82608695652174,11.7391304347826,0,3.91304347826087,0,3.91304347826087,0,0,0,0,0,3.91304347826087,0,3.91304347826087,0,0,11.7391304347826,19.5652173913043,7.82608695652174,11.7391304347826,7.82608695652174,7.82608695652174,11.7391304347826,19.5652173913043,7.82608695652174,11.7391304347826,7.82608695652174,7.82608695652174,7.82608695652174,11.7391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91304347826087,3.91304347826087,0,0,0,0,0,27.3913043478261,7.82608695652174,3.91304347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Engen","BOS",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,42,0.857142857142857,34,38,0.894736842105263,19,22,0.863636363636364,0.578947368421053,0,0,0,3,8,0.375,0,0,0,0,0,0,0,0,0,3,7,0.428571428571429,0,0,0,22,28,0.785714285714286,9,9,1,5,5,1,22,26,0.846153846153846,7,7,1,5,5,1,13,16,0.8125,4,4,1,2,2,1,0.666666666666667,0.214285714285714,0.119047619047619,0.684210526315789,0.184210526315789,0.131578947368421,0.727272727272727,0.181818181818182,0.0909090909090909,0,0,0,0,0,2,4,0.5,0,0,0,0,4,1,0,1,1,0,0,0,1,0,1,2,1,1,0.5,0,0,0,0,0,0,1,9,5,1,2,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.75,39.375,31.875,35.625,17.8125,20.625,0,0,2.8125,7.5,0,0,0,0,0,0,2.8125,6.5625,0,0,20.625,26.25,8.4375,8.4375,4.6875,4.6875,20.625,24.375,6.5625,6.5625,4.6875,4.6875,12.1875,15,3.75,3.75,1.875,1.875,0,0,0,0,1.875,3.75,0,0,0,0,3.75,0.9375,0,0.9375,0,0,0,0.9375,0,0.9375,1.875,0.9375,0.9375,0,0,0,0,0,0,0.9375,8.4375,4.6875,0.9375,1.875,11.25,0,0,0.9375,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fishlock","SRFC",0,1,38,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,23,0.826086956521739,18,22,0.818181818181818,14,17,0.823529411764706,0.772727272727273,1,1,1,1,3,0.333333333333333,0,0,0,0,0,0,1,1,1,1,3,0.333333333333333,0,0,0,8,11,0.727272727272727,2,2,1,9,10,0.9,8,11,0.727272727272727,2,2,1,8,9,0.888888888888889,7,10,0.7,2,2,1,5,5,1,0.478260869565217,0.0869565217391304,0.434782608695652,0.5,0.0909090909090909,0.409090909090909,0.588235294117647,0.117647058823529,0.294117647058824,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,2,5,3,2,1,0,1,0,2,0,0,0,0,0,0,11,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36842105263158,2.36842105263158,0,2.36842105263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,54.4736842105263,42.6315789473684,52.1052631578947,33.1578947368421,40.2631578947368,2.36842105263158,2.36842105263158,2.36842105263158,7.10526315789474,0,0,0,0,2.36842105263158,2.36842105263158,2.36842105263158,7.10526315789474,0,0,18.9473684210526,26.0526315789474,4.73684210526316,4.73684210526316,21.3157894736842,23.6842105263158,18.9473684210526,26.0526315789474,4.73684210526316,4.73684210526316,18.9473684210526,21.3157894736842,16.5789473684211,23.6842105263158,4.73684210526316,4.73684210526316,11.8421052631579,11.8421052631579,0,0,0,0,2.36842105263158,2.36842105263158,0,0,0,0,2.36842105263158,0,0,0,2.36842105263158,2.36842105263158,4.73684210526316,11.8421052631579,7.10526315789474,4.73684210526316,2.36842105263158,0,2.36842105263158,4.73684210526316,0,0,0,0,0,0,26.0526315789474,4.73684210526316,0,0,0,0,2.36842105263158,0,2.36842105263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fletcher","SRFC",0,1,96,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,51,0.764705882352941,24,32,0.75,15,17,0.882352941176471,0.53125,0,1,0,0,1,0,0,2,0,15,19,0.789473684210526,0,1,0,0,1,0,0,2,0,21,32,0.65625,5,6,0.833333333333333,13,13,1,9,16,0.5625,3,4,0.75,12,12,1,4,6,0.666666666666667,2,2,1,9,9,1,0.627450980392157,0.117647058823529,0.254901960784314,0.5,0.125,0.375,0.352941176470588,0.117647058823529,0.529411764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,1,0,2,5,4,1,5,2,3,0.4,0,0,0,0,0,0,0,14,0,2,3,3,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0,0,0.9375,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5625,47.8125,22.5,30,14.0625,15.9375,0,0.9375,0,0.9375,0,1.875,14.0625,17.8125,0,0.9375,0,0.9375,0,1.875,19.6875,30,4.6875,5.625,12.1875,12.1875,8.4375,15,2.8125,3.75,11.25,11.25,3.75,5.625,1.875,1.875,8.4375,8.4375,0,0,0,0,0,0,0,0,0,0,0,0.9375,0.9375,1.875,0.9375,0,1.875,4.6875,3.75,0.9375,4.6875,1.875,2.8125,0,0,0,0,0,0,0,13.125,0,1.875,2.8125,2.8125,0,0.9375,3.75,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kallman","BOS",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,51,0.862745098039216,44,50,0.88,25,29,0.862068965517241,0.58,0,0,0,1,3,0.333333333333333,1,1,1,0,1,0,0,0,0,1,3,0.333333333333333,1,1,1,22,29,0.758620689655172,11,11,1,11,11,1,22,28,0.785714285714286,11,11,1,11,11,1,10,14,0.714285714285714,6,6,1,9,9,1,0.568627450980392,0.215686274509804,0.215686274509804,0.56,0.22,0.22,0.482758620689655,0.206896551724138,0.310344827586207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,1,1,0,1,0,1,0,0,0,0,1,14,2,7,1,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.25,47.8125,41.25,46.875,23.4375,27.1875,0,0,0.9375,2.8125,0.9375,0.9375,0,0.9375,0,0,0.9375,2.8125,0.9375,0.9375,20.625,27.1875,10.3125,10.3125,10.3125,10.3125,20.625,26.25,10.3125,10.3125,10.3125,10.3125,9.375,13.125,5.625,5.625,8.4375,8.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6875,3.75,0.9375,0.9375,0.9375,0,0,0.9375,0,0,0,0,0.9375,13.125,1.875,6.5625,0.9375,4.6875,0,0.9375,0,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"King","BOS",0,1,82,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,34,0.705882352941177,14,22,0.636363636363636,11,17,0.647058823529412,0.772727272727273,0,1,0,1,1,1,0,0,0,10,12,0.833333333333333,0,1,0,1,1,1,0,0,0,12,20,0.6,1,3,0.333333333333333,11,11,1,7,13,0.538461538461538,0,2,0,7,7,1,7,11,0.636363636363636,0,2,0,4,4,1,0.588235294117647,0.0882352941176471,0.323529411764706,0.590909090909091,0.0909090909090909,0.318181818181818,0.647058823529412,0.117647058823529,0.235294117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,1,3,6,6,0,9,8,1,0.888888888888889,0,0,0,0,0,0,1,27,1,0,4,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09756097560976,0,1.09756097560976,1.09756097560976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3414634146341,37.3170731707317,15.3658536585366,24.1463414634146,12.0731707317073,18.6585365853659,0,1.09756097560976,1.09756097560976,1.09756097560976,0,0,10.9756097560976,13.1707317073171,0,1.09756097560976,1.09756097560976,1.09756097560976,0,0,13.1707317073171,21.9512195121951,1.09756097560976,3.29268292682927,12.0731707317073,12.0731707317073,7.68292682926829,14.2682926829268,0,2.19512195121951,7.68292682926829,7.68292682926829,7.68292682926829,12.0731707317073,0,2.19512195121951,4.39024390243902,4.39024390243902,0,0,0,0,0,0,0,0,0,0,0,2.19512195121951,0,2.19512195121951,2.19512195121951,1.09756097560976,3.29268292682927,6.58536585365854,6.58536585365854,0,9.87804878048781,8.78048780487805,1.09756097560976,0,0,0,0,0,0,1.09756097560976,29.6341463414634,1.09756097560976,0,4.39024390243902,7.68292682926829,0,0,1.09756097560976,1.09756097560976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Little","SRFC",0,1,96,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,58,68,0.852941176470588,55,64,0.859375,40,47,0.851063829787234,0.734375,2,2,1,3,6,0.5,2,2,1,0,0,0,1,1,1,3,6,0.5,2,2,1,18,25,0.72,12,14,0.857142857142857,28,29,0.96551724137931,16,22,0.727272727272727,12,14,0.857142857142857,27,28,0.964285714285714,11,16,0.6875,8,9,0.888888888888889,21,22,0.954545454545455,0.367647058823529,0.205882352941176,0.426470588235294,0.34375,0.21875,0.4375,0.340425531914894,0.191489361702128,0.468085106382979,1,1,1,0,1,2,3,0.666666666666667,0,0,0,0,3,10,0,10,1,0,2,2,12,10,2,2,1,1,0.5,3,0,0,0,0,0,3,32,3,0,2,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0,0,0,0.9375,0.9375,0,0.9375,0,0,0,0,0,0.9375,0,0.9375,0,0,0,0,0,0,54.375,63.75,51.5625,60,37.5,44.0625,1.875,1.875,2.8125,5.625,1.875,1.875,0,0,0.9375,0.9375,2.8125,5.625,1.875,1.875,16.875,23.4375,11.25,13.125,26.25,27.1875,15,20.625,11.25,13.125,25.3125,26.25,10.3125,15,7.5,8.4375,19.6875,20.625,0.9375,0.9375,0,0.9375,1.875,2.8125,0,0,0,0,2.8125,9.375,0,9.375,0,1.875,1.875,11.25,9.375,1.875,1.875,0.9375,0.9375,2.8125,0,0,0,0,0,2.8125,30,2.8125,0,1.875,0.9375,0,0.9375,0.9375,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
