"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Arlitt","FCKC",0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Averbuch","FCKC",0,1,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,37,0.783783783783784,29,37,0.783783783783784,14,19,0.736842105263158,0.513513513513513,0,0,0,1,5,0.2,0,0,0,0,0,0,0,0,0,1,5,0.2,0,0,0,14,21,0.666666666666667,12,12,1,3,4,0.75,14,21,0.666666666666667,12,12,1,3,4,0.75,6,10,0.6,6,6,1,2,3,0.666666666666667,0.567567567567568,0.324324324324324,0.108108108108108,0.567567567567568,0.324324324324324,0.108108108108108,0.526315789473684,0.315789473684211,0.157894736842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,2,2,0,1,0,1,0,0,0,0,1,6,3,4,5,6,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3695652173913,36.195652173913,28.3695652173913,36.195652173913,13.695652173913,18.5869565217391,0,0,0.978260869565217,4.89130434782609,0,0,0,0,0,0,0.978260869565217,4.89130434782609,0,0,13.695652173913,20.5434782608696,11.7391304347826,11.7391304347826,2.93478260869565,3.91304347826087,13.695652173913,20.5434782608696,11.7391304347826,11.7391304347826,2.93478260869565,3.91304347826087,5.8695652173913,9.78260869565217,5.8695652173913,5.8695652173913,1.95652173913043,2.93478260869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.82608695652174,4.89130434782609,2.93478260869565,1.95652173913043,1.95652173913043,0,0,0.978260869565217,0,0,0,0,0.978260869565217,5.8695652173913,2.93478260869565,3.91304347826087,4.89130434782609,5.8695652173913,0,2.93478260869565,2.93478260869565,3.91304347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnhart","FCKC",0,1,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,0.727272727272727,9,13,0.692307692307692,0,0,0,0,0,0,0,1,6,0.166666666666667,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,16,22,0.727272727272727,0,0,0,0,0,0,9,13,0.692307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3,0.666666666666667,0,1,1,1,3,0,3,1,2,0,0,2,3,0,3,1,0,1,0,0,0,1,2,0,16,22,0.727272727272727,3,3,1,0,0,0,4,6,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6521739130435,21.5217391304348,8.80434782608696,12.7173913043478,0,0,0,0,0.978260869565217,5.8695652173913,0,0,0,0,0,0,0,3.91304347826087,0,0,15.6521739130435,21.5217391304348,0,0,0,0,8.80434782608696,12.7173913043478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978260869565217,0.978260869565217,0,0,0,0,0.978260869565217,0,0,0,0,0,0,1.95652173913043,1.95652173913043,0,0,0,0,0.978260869565217,0,0,0,0,0,0,0.978260869565217,0,0,0,0,0,0,0,0,0.978260869565217,1.95652173913043,2.93478260869565,0,0.978260869565217,0.978260869565217,2.93478260869565,0,2.93478260869565,1.95652173913043,0,0,1.95652173913043,2.93478260869565,0,2.93478260869565,0.978260869565217,0,0.978260869565217,0,0,0,0.978260869565217,1.95652173913043,0,15.6521739130435,21.5217391304348,2.93478260869565,2.93478260869565,0,0,3.91304347826087,5.8695652173913
"Bowen","FCKC",0,1,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,64,0.734375,35,46,0.760869565217391,22,28,0.785714285714286,0.608695652173913,0,0,0,3,7,0.428571428571429,0,1,0,11,16,0.6875,0,0,0,2,5,0.4,0,1,0,32,47,0.680851063829787,7,9,0.777777777777778,8,8,1,24,34,0.705882352941177,5,6,0.833333333333333,6,6,1,16,22,0.727272727272727,2,2,1,4,4,1,0.734375,0.140625,0.125,0.739130434782609,0.130434782608696,0.130434782608696,0.785714285714286,0.0714285714285714,0.142857142857143,0,0,0,0,0,1,2,0.5,0,0,0,0,2,2,5,7,0.285714285714286,1,1,7,4,3,1,2,2,0,1,0,1,0,0,0,0,0,23,2,1,3,6,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.9782608695652,62.6086956521739,34.2391304347826,45,21.5217391304348,27.3913043478261,0,0,2.93478260869565,6.84782608695652,0,0.978260869565217,10.7608695652174,15.6521739130435,0,0,1.95652173913043,4.89130434782609,0,0.978260869565217,31.304347826087,45.9782608695652,6.84782608695652,8.80434782608696,7.82608695652174,7.82608695652174,23.4782608695652,33.2608695652174,4.89130434782609,5.8695652173913,5.8695652173913,5.8695652173913,15.6521739130435,21.5217391304348,1.95652173913043,1.95652173913043,3.91304347826087,3.91304347826087,0,0,0,0,0.978260869565217,1.95652173913043,0,0,0,0,1.95652173913043,1.95652173913043,4.89130434782609,6.84782608695652,0.978260869565217,0.978260869565217,6.84782608695652,3.91304347826087,2.93478260869565,0.978260869565217,1.95652173913043,1.95652173913043,0,0,0.978260869565217,0,0,0,0,0,22.5,1.95652173913043,0.978260869565217,2.93478260869565,5.8695652173913,0,3.91304347826087,1.95652173913043,3.91304347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colaprico","CRS",0,1,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,47,0.914893617021277,43,47,0.914893617021277,29,31,0.935483870967742,0.659574468085106,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,19,23,0.826086956521739,9,9,1,15,15,1,19,23,0.826086956521739,9,9,1,15,15,1,11,13,0.846153846153846,7,7,1,11,11,1,0.48936170212766,0.191489361702128,0.319148936170213,0.48936170212766,0.191489361702128,0.319148936170213,0.419354838709677,0.225806451612903,0.354838709677419,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0.666666666666667,0,0,1,8,5,3,3,1,2,0.333333333333333,1,0,0,0,0,0,1,17,3,4,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0652173913044,45.9782608695652,42.0652173913044,45.9782608695652,28.3695652173913,30.3260869565217,0,0.978260869565217,0,0.978260869565217,0,0,0,0,0,0.978260869565217,0,0.978260869565217,0,0,18.5869565217391,22.5,8.80434782608696,8.80434782608696,14.6739130434783,14.6739130434783,18.5869565217391,22.5,8.80434782608696,8.80434782608696,14.6739130434783,14.6739130434783,10.7608695652174,12.7173913043478,6.84782608695652,6.84782608695652,10.7608695652174,10.7608695652174,0,0,0,0,0,0,0,0,0,0,0,1.95652173913043,0.978260869565217,2.93478260869565,0,0,0.978260869565217,7.82608695652174,4.89130434782609,2.93478260869565,2.93478260869565,0.978260869565217,1.95652173913043,0.978260869565217,0,0,0,0,0,0.978260869565217,16.6304347826087,2.93478260869565,3.91304347826087,1.95652173913043,0,0,0.978260869565217,0,1.95652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comeau","CRS",0,1,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12,13,0.923076923076923,12,13,0.923076923076923,5,6,0.833333333333333,0.461538461538462,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4,5,0.8,2,2,1,6,6,1,4,5,0.8,2,2,1,6,6,1,2,3,0.666666666666667,1,1,1,2,2,1,0.384615384615385,0.153846153846154,0.461538461538462,0.384615384615385,0.153846153846154,0.461538461538462,0.5,0.166666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,5,2,3,3,1,2,0.333333333333333,0,0,0,0,0,0,0,13,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95652173913043,0,0,0,1.95652173913043,0,0,0,23.4782608695652,25.4347826086956,23.4782608695652,25.4347826086956,9.78260869565217,11.7391304347826,0,0,1.95652173913043,1.95652173913043,0,0,0,0,0,0,1.95652173913043,1.95652173913043,0,0,7.82608695652174,9.78260869565217,3.91304347826087,3.91304347826087,11.7391304347826,11.7391304347826,7.82608695652174,9.78260869565217,3.91304347826087,3.91304347826087,11.7391304347826,11.7391304347826,3.91304347826087,5.8695652173913,1.95652173913043,1.95652173913043,3.91304347826087,3.91304347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91304347826087,0,3.91304347826087,9.78260869565217,3.91304347826087,5.8695652173913,5.8695652173913,1.95652173913043,3.91304347826087,0,0,0,0,0,0,0,25.4347826086956,1.95652173913043,1.95652173913043,0,0,0,1.95652173913043,0,1.95652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Da Costa","CRS",0,1,47,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0.666666666666667,10,15,0.666666666666667,4,9,0.444444444444444,0.6,0,0,0,0,0,0,1,3,0.333333333333333,0,0,0,0,0,0,0,0,0,1,3,0.333333333333333,3,8,0.375,1,1,1,6,6,1,3,8,0.375,1,1,1,6,6,1,0,5,0,1,1,1,3,3,1,0.533333333333333,0.0666666666666667,0.4,0.533333333333333,0.0666666666666667,0.4,0.555555555555556,0.111111111111111,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,1,5,3,2,0.6,0,1,0,0,0,0,1,18,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91489361702128,0,1.91489361702128,0,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1489361702128,28.7234042553191,19.1489361702128,28.7234042553191,7.65957446808511,17.2340425531915,0,0,0,0,1.91489361702128,5.74468085106383,0,0,0,0,0,0,1.91489361702128,5.74468085106383,5.74468085106383,15.3191489361702,1.91489361702128,1.91489361702128,11.4893617021277,11.4893617021277,5.74468085106383,15.3191489361702,1.91489361702128,1.91489361702128,11.4893617021277,11.4893617021277,0,9.57446808510638,1.91489361702128,1.91489361702128,5.74468085106383,5.74468085106383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91489361702128,1.91489361702128,3.82978723404255,5.74468085106383,3.82978723404255,1.91489361702128,9.57446808510638,5.74468085106383,3.82978723404255,0,1.91489361702128,0,0,0,0,1.91489361702128,34.468085106383,1.91489361702128,0,0,0,0,1.91489361702128,0,3.82978723404255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DiBernardo","CRS",0,1,92,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,38,56,0.678571428571429,36,48,0.75,27,37,0.72972972972973,0.770833333333333,1,7,0.142857142857143,2,3,0.666666666666667,0,2,0,0,0,0,0,1,0,2,3,0.666666666666667,0,2,0,15,26,0.576923076923077,7,13,0.538461538461538,16,17,0.941176470588235,15,25,0.6,5,6,0.833333333333333,16,17,0.941176470588235,10,18,0.555555555555556,3,4,0.75,14,15,0.933333333333333,0.464285714285714,0.232142857142857,0.303571428571429,0.520833333333333,0.125,0.354166666666667,0.486486486486487,0.108108108108108,0.405405405405405,2,7,0.285714285714286,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,3,13,8,5,3,3,0,1,1,0,0,0,0,0,1,32,2,2,4,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978260869565217,0,0.978260869565217,0,0.978260869565217,0,0,0,0,0,0,0,0,0.978260869565217,0,0,0,0.978260869565217,0,0,37.1739130434783,54.7826086956522,35.2173913043478,46.9565217391304,26.4130434782609,36.195652173913,0.978260869565217,6.84782608695652,1.95652173913043,2.93478260869565,0,1.95652173913043,0,0,0,0.978260869565217,1.95652173913043,2.93478260869565,0,1.95652173913043,14.6739130434783,25.4347826086956,6.84782608695652,12.7173913043478,15.6521739130435,16.6304347826087,14.6739130434783,24.4565217391304,4.89130434782609,5.8695652173913,15.6521739130435,16.6304347826087,9.78260869565217,17.6086956521739,2.93478260869565,3.91304347826087,13.695652173913,14.6739130434783,1.95652173913043,6.84782608695652,0,0,0,0.978260869565217,0,0,0,0,0.978260869565217,0,0,0,1.95652173913043,0.978260869565217,2.93478260869565,12.7173913043478,7.82608695652174,4.89130434782609,2.93478260869565,2.93478260869565,0,0.978260869565217,0,0,0,0,0,0.978260869565217,31.304347826087,1.95652173913043,1.95652173913043,3.91304347826087,0,0,0.978260869565217,0.978260869565217,1.95652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gilliland","CRS",0,1,92,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,33,47,0.702127659574468,28,41,0.682926829268293,11,19,0.578947368421053,0.463414634146341,1,2,0.5,2,7,0.285714285714286,1,1,1,5,6,0.833333333333333,1,2,0.5,2,7,0.285714285714286,1,1,1,17,30,0.566666666666667,8,9,0.888888888888889,8,8,1,15,27,0.555555555555556,6,7,0.857142857142857,7,7,1,5,12,0.416666666666667,3,4,0.75,3,3,1,0.638297872340426,0.191489361702128,0.170212765957447,0.658536585365854,0.170731707317073,0.170731707317073,0.631578947368421,0.210526315789474,0.157894736842105,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,0.833333333333333,3,1,5,15,8,6,4,2,2,0.5,1,0,0,0,0,0,5,23,5,5,3,1,0,3,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978260869565217,0,0.978260869565217,0.978260869565217,0,0,0,0,0,0,0,0,0.978260869565217,0,0,0,0.978260869565217,0,0,0,32.2826086956522,45.9782608695652,27.3913043478261,40.1086956521739,10.7608695652174,18.5869565217391,0.978260869565217,1.95652173913043,1.95652173913043,6.84782608695652,0.978260869565217,0.978260869565217,4.89130434782609,5.8695652173913,0.978260869565217,1.95652173913043,1.95652173913043,6.84782608695652,0.978260869565217,0.978260869565217,16.6304347826087,29.3478260869565,7.82608695652174,8.80434782608696,7.82608695652174,7.82608695652174,14.6739130434783,26.4130434782609,5.8695652173913,6.84782608695652,6.84782608695652,6.84782608695652,4.89130434782609,11.7391304347826,2.93478260869565,3.91304347826087,2.93478260869565,2.93478260869565,0,0,0,0,0,0,0,0,0,0,0,4.89130434782609,0.978260869565217,5.8695652173913,2.93478260869565,0.978260869565217,4.89130434782609,14.6739130434783,7.82608695652174,5.8695652173913,3.91304347826087,1.95652173913043,1.95652173913043,0.978260869565217,0,0,0,0,0,4.89130434782609,22.5,4.89130434782609,4.89130434782609,2.93478260869565,0.978260869565217,0,2.93478260869565,3.91304347826087,7.82608695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gorden","CRS",0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,7,7,1,6,6,1,0.857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,3,1,2,2,1,2,2,1,3,3,1,2,2,1,1,1,1,3,3,1,2,2,1,0.285714285714286,0.428571428571429,0.285714285714286,0.285714285714286,0.428571428571429,0.285714285714286,0.166666666666667,0.5,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,38.5714285714286,38.5714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8571428571429,12.8571428571429,19.2857142857143,19.2857142857143,12.8571428571429,12.8571428571429,12.8571428571429,12.8571428571429,19.2857142857143,19.2857142857143,12.8571428571429,12.8571428571429,6.42857142857143,6.42857142857143,19.2857142857143,19.2857142857143,12.8571428571429,12.8571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42857142857143,6.42857142857143,12.8571428571429,12.8571428571429,0,0,0,0,0,0,0,0,0,0,0,6.42857142857143,6.42857142857143,0,6.42857142857143,0,0,6.42857142857143,12.8571428571429,6.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
