"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Brynjarsdottir","PTFC",0,1,60,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,13,0.461538461538462,6,13,0.461538461538462,4,5,0.8,0.357142857142857,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,7,0.285714285714286,2,4,0.5,2,2,1,2,7,0.285714285714286,2,4,0.5,2,2,1,1,1,1,1,2,0.5,2,2,1,0.538461538461538,0.307692307692308,0.153846153846154,0.538461538461538,0.307692307692308,0.153846153846154,0.2,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,2,1,1,7,5,2,0.714285714285714,0,2,0,0,0,0,2,24,6,0,2,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1.5,0,1.5,0,0,1.5,0,0,0,1.5,0,0,0,0,0,0,0,0,9,19.5,9,19.5,6,7.5,0,1.5,0,0,0,1.5,0,0,0,1.5,0,0,0,1.5,3,10.5,3,6,3,3,3,10.5,3,6,3,3,1.5,1.5,1.5,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,4.5,6,3,1.5,1.5,10.5,7.5,3,0,3,0,0,0,0,3,36,9,0,3,1.5,0,1.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colaprico","CRS",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,28,0.714285714285714,20,25,0.8,11,12,0.916666666666667,0.48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,13,0.538461538461538,7,9,0.777777777777778,6,6,1,7,12,0.583333333333333,7,7,1,6,6,1,4,5,0.8,3,3,1,4,4,1,0.464285714285714,0.321428571428571,0.214285714285714,0.48,0.28,0.24,0.416666666666667,0.25,0.333333333333333,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,3,11,8,3,6,3,3,0.5,1,2,0,0,0,0,0,14,6,6,3,1,1,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9473684210526,26.5263157894737,18.9473684210526,23.6842105263158,10.4210526315789,11.3684210526316,0,0,0,0.947368421052632,0,0,0,0,0,0,0,0.947368421052632,0,0,6.63157894736842,12.3157894736842,6.63157894736842,8.52631578947368,5.68421052631579,5.68421052631579,6.63157894736842,11.3684210526316,6.63157894736842,6.63157894736842,5.68421052631579,5.68421052631579,3.78947368421053,4.73684210526316,2.84210526315789,2.84210526315789,3.78947368421053,3.78947368421053,0,1.89473684210526,0,0,0,0.947368421052632,0,0,0,0,0.947368421052632,0,0.947368421052632,0.947368421052632,0.947368421052632,0.947368421052632,2.84210526315789,10.4210526315789,7.57894736842105,2.84210526315789,5.68421052631579,2.84210526315789,2.84210526315789,0.947368421052632,1.89473684210526,0,0,0,0,0,13.2631578947368,5.68421052631579,5.68421052631579,2.84210526315789,0.947368421052632,0.947368421052632,4.73684210526316,0.947368421052632,4.73684210526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comeau","CRS",0,1,25,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0.888888888888889,8,9,0.888888888888889,5,6,0.833333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0.8,2,2,1,2,2,1,4,5,0.8,2,2,1,2,2,1,1,2,0.5,2,2,1,2,2,1,0.555555555555556,0.222222222222222,0.222222222222222,0.555555555555556,0.222222222222222,0.222222222222222,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,1,3,1,2,0.333333333333333,0,0,0,0,0,0,0,8,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,3.6,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.8,32.4,28.8,32.4,18,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,18,7.2,7.2,7.2,7.2,14.4,18,7.2,7.2,7.2,7.2,3.6,7.2,7.2,7.2,7.2,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.6,14.4,10.8,3.6,10.8,3.6,7.2,0,0,0,0,0,0,0,28.8,7.2,0,10.8,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Da Costa","CRS",0,1,70,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,0.875,14,16,0.875,11,11,1,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0.8,4,5,0.8,6,6,1,4,5,0.8,4,5,0.8,6,6,1,3,3,1,3,3,1,5,5,1,0.3125,0.3125,0.375,0.3125,0.3125,0.375,0.272727272727273,0.272727272727273,0.454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0.333333333333333,0,0,2,5,3,2,3,2,1,0.666666666666667,0,1,0,0,0,0,1,16,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28571428571429,0,0,0,1.28571428571429,0,1.28571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20.5714285714286,18,20.5714285714286,14.1428571428571,14.1428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14285714285714,6.42857142857143,5.14285714285714,6.42857142857143,7.71428571428571,7.71428571428571,5.14285714285714,6.42857142857143,5.14285714285714,6.42857142857143,7.71428571428571,7.71428571428571,3.85714285714286,3.85714285714286,3.85714285714286,3.85714285714286,6.42857142857143,6.42857142857143,0,0,0,0,0,0,0,0,0,0,0,1.28571428571429,2.57142857142857,3.85714285714286,0,0,2.57142857142857,6.42857142857143,3.85714285714286,2.57142857142857,3.85714285714286,2.57142857142857,1.28571428571429,0,1.28571428571429,0,0,0,0,1.28571428571429,20.5714285714286,7.71428571428571,1.28571428571429,0,0,0,0,0,1.28571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DiBernardo","CRS",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,36,0.75,24,32,0.75,14,18,0.777777777777778,0.545454545454545,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,3,0,1,1,1,14,22,0.636363636363636,5,6,0.833333333333333,8,8,1,14,21,0.666666666666667,2,3,0.666666666666667,8,8,1,8,11,0.727272727272727,1,2,0.5,5,5,1,0.611111111111111,0.166666666666667,0.222222222222222,0.65625,0.09375,0.25,0.611111111111111,0.111111111111111,0.277777777777778,3,3,1,0,0,0,1,0,0,0,0,0,1,4,0,4,1,2,2,4,8,7,1,4,0,4,0,3,0,0,0,0,0,0,21,9,4,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5789473684211,34.1052631578947,22.7368421052632,30.3157894736842,13.2631578947368,17.0526315789474,0,0,0,2.84210526315789,0.947368421052632,0.947368421052632,0,0,0,0,0,2.84210526315789,0.947368421052632,0.947368421052632,13.2631578947368,20.8421052631579,4.73684210526316,5.68421052631579,7.57894736842105,7.57894736842105,13.2631578947368,19.8947368421053,1.89473684210526,2.84210526315789,7.57894736842105,7.57894736842105,7.57894736842105,10.4210526315789,0.947368421052632,1.89473684210526,4.73684210526316,4.73684210526316,2.84210526315789,2.84210526315789,0,0,0,0.947368421052632,0,0,0,0,0.947368421052632,3.78947368421053,0,3.78947368421053,1.89473684210526,1.89473684210526,3.78947368421053,7.57894736842105,6.63157894736842,0.947368421052632,3.78947368421053,0,3.78947368421053,2.84210526315789,0,0,0,0,0,0,19.8947368421053,8.52631578947368,3.78947368421053,2.84210526315789,0.947368421052632,0,0,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Franch","PTFC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,37,0.567567567567568,11,17,0.647058823529412,2,3,0.666666666666667,0.176470588235294,0,0,0,9,21,0.428571428571429,0,0,0,0,0,0,0,0,0,5,10,0.5,0,0,0,19,35,0.542857142857143,2,2,1,0,0,0,9,15,0.6,2,2,1,0,0,0,0,1,0,2,2,1,0,0,0,0.945945945945946,0.0540540540540541,0,0.882352941176471,0.117647058823529,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,2,4,0.5,0,0,0,0,4,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0.5,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,21,37,0.567567567567568,1,1,1,1,4,0.25,8,15,0.533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8947368421053,35.0526315789474,10.4210526315789,16.1052631578947,1.89473684210526,2.84210526315789,0,0,8.52631578947368,19.8947368421053,0,0,0,0,0,0,4.73684210526316,9.47368421052632,0,0,18,33.1578947368421,1.89473684210526,1.89473684210526,0,0,8.52631578947368,14.2105263157895,1.89473684210526,1.89473684210526,0,0,0,0.947368421052632,1.89473684210526,1.89473684210526,0,0,0,0,0,0,1.89473684210526,3.78947368421053,0,0,0,0,3.78947368421053,0,0,0,0,0,0,4.73684210526316,4.73684210526316,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0,0,0,0,0,0,0,0.947368421052632,0.947368421052632,1.89473684210526,0,0,0,0.947368421052632,0,0.947368421052632,0,0,0,0.947368421052632,0.947368421052632,0,0.947368421052632,0,0,0,0,0,0,0,0.947368421052632,0,19.8947368421053,35.0526315789474,0.947368421052632,0.947368421052632,0.947368421052632,3.78947368421053,7.57894736842105,14.2105263157895
"Gilliland","CRS",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,44,0.681818181818182,20,31,0.645161290322581,16,20,0.8,0.645161290322581,0,1,0,3,6,0.5,0,4,0,10,13,0.769230769230769,0,1,0,3,6,0.5,0,4,0,18,30,0.6,4,6,0.666666666666667,8,8,1,12,21,0.571428571428571,2,4,0.5,6,6,1,10,14,0.714285714285714,1,1,1,5,5,1,0.681818181818182,0.136363636363636,0.181818181818182,0.67741935483871,0.129032258064516,0.193548387096774,0.7,0.05,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0.4,4,1,8,11,9,2,6,3,3,0.5,0,2,1,0,0,0,0,14,11,2,5,3,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4210526315789,41.6842105263158,18.9473684210526,29.3684210526316,15.1578947368421,18.9473684210526,0,0.947368421052632,2.84210526315789,5.68421052631579,0,3.78947368421053,9.47368421052632,12.3157894736842,0,0.947368421052632,2.84210526315789,5.68421052631579,0,3.78947368421053,17.0526315789474,28.4210526315789,3.78947368421053,5.68421052631579,7.57894736842105,7.57894736842105,11.3684210526316,19.8947368421053,1.89473684210526,3.78947368421053,5.68421052631579,5.68421052631579,9.47368421052632,13.2631578947368,0.947368421052632,0.947368421052632,4.73684210526316,4.73684210526316,0,0,0,0,0,0,0,0,0,0,0,1.89473684210526,2.84210526315789,4.73684210526316,3.78947368421053,0.947368421052632,7.57894736842105,10.4210526315789,8.52631578947368,1.89473684210526,5.68421052631579,2.84210526315789,2.84210526315789,0,1.89473684210526,0.947368421052632,0,0,0,0,13.2631578947368,10.4210526315789,1.89473684210526,4.73684210526316,2.84210526315789,0.947368421052632,4.73684210526316,0,4.73684210526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heath","PTFC",0,1,95,1,0,0,0,2,1,3,0,1,2,0.333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,39,56,0.696428571428571,33,47,0.702127659574468,25,31,0.806451612903226,0.659574468085106,1,3,0.333333333333333,0,2,0,0,2,0,4,4,1,1,3,0.333333333333333,0,2,0,0,2,0,10,18,0.555555555555556,16,24,0.666666666666667,13,14,0.928571428571429,9,16,0.5625,12,18,0.666666666666667,12,13,0.923076923076923,6,8,0.75,10,13,0.769230769230769,9,10,0.9,0.321428571428571,0.428571428571429,0.25,0.340425531914894,0.382978723404255,0.276595744680851,0.258064516129032,0.419354838709677,0.32258064516129,1,3,0.333333333333333,0,0,1,2,0.5,0,0,1,0,3,3,5,8,0.375,6,3,14,10,5,5,3,2,1,0.666666666666667,6,0,0,0,0,0,3,22,4,2,1,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89473684210526,0.947368421052632,2.84210526315789,0.947368421052632,1.89473684210526,0,0,0,0,0,0,0,0,0.947368421052632,0,0,0,0.947368421052632,0,0,36.9473684210526,53.0526315789474,31.2631578947368,44.5263157894737,23.6842105263158,29.3684210526316,0.947368421052632,2.84210526315789,0,1.89473684210526,0,1.89473684210526,3.78947368421053,3.78947368421053,0.947368421052632,2.84210526315789,0,1.89473684210526,0,1.89473684210526,9.47368421052632,17.0526315789474,15.1578947368421,22.7368421052632,12.3157894736842,13.2631578947368,8.52631578947368,15.1578947368421,11.3684210526316,17.0526315789474,11.3684210526316,12.3157894736842,5.68421052631579,7.57894736842105,9.47368421052632,12.3157894736842,8.52631578947368,9.47368421052632,0.947368421052632,2.84210526315789,0,0,0.947368421052632,1.89473684210526,0,0,0.947368421052632,0,2.84210526315789,2.84210526315789,4.73684210526316,7.57894736842105,5.68421052631579,2.84210526315789,13.2631578947368,9.47368421052632,4.73684210526316,4.73684210526316,2.84210526315789,1.89473684210526,0.947368421052632,5.68421052631579,0,0,0,0,0,2.84210526315789,20.8421052631579,3.78947368421053,1.89473684210526,0.947368421052632,0,0,3.78947368421053,2.84210526315789,6.63157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horan","PTFC",0,1,95,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,36,0.805555555555556,29,36,0.805555555555556,21,26,0.807692307692308,0.722222222222222,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,17,0.705882352941177,9,11,0.818181818181818,8,8,1,12,17,0.705882352941177,9,11,0.818181818181818,8,8,1,9,13,0.692307692307692,4,5,0.8,8,8,1,0.472222222222222,0.305555555555556,0.222222222222222,0.472222222222222,0.305555555555556,0.222222222222222,0.5,0.192307692307692,0.307692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,1,8,13,3,8,7,3,4,0.428571428571429,0,2,0,0,0,0,0,22,6,2,6,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0.947368421052632,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.4736842105263,34.1052631578947,27.4736842105263,34.1052631578947,19.8947368421053,24.6315789473684,0,0.947368421052632,0,0.947368421052632,0,0,0,0,0,0.947368421052632,0,0.947368421052632,0,0,11.3684210526316,16.1052631578947,8.52631578947368,10.4210526315789,7.57894736842105,7.57894736842105,11.3684210526316,16.1052631578947,8.52631578947368,10.4210526315789,7.57894736842105,7.57894736842105,8.52631578947368,12.3157894736842,3.78947368421053,4.73684210526316,7.57894736842105,7.57894736842105,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0.947368421052632,5.68421052631579,0.947368421052632,7.57894736842105,12.3157894736842,2.84210526315789,7.57894736842105,6.63157894736842,2.84210526315789,3.78947368421053,0,1.89473684210526,0,0,0,0,0,20.8421052631579,5.68421052631579,1.89473684210526,5.68421052631579,2.84210526315789,0,0,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hoy","CRS",0,1,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0.416666666666667,5,12,0.416666666666667,4,10,0.4,0.833333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0.2,1,2,0.5,3,5,0.6,1,5,0.2,1,2,0.5,3,5,0.6,1,5,0.2,0,1,0,3,4,0.75,0.416666666666667,0.166666666666667,0.416666666666667,0.416666666666667,0.166666666666667,0.416666666666667,0.5,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,3,2,1,1,0,1,0,0,0,0,0,0,0,1,11,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.57446808510638,22.9787234042553,9.57446808510638,22.9787234042553,7.65957446808511,19.1489361702128,0,0,0,0,0,1.91489361702128,0,0,0,0,0,0,0,1.91489361702128,1.91489361702128,9.57446808510638,1.91489361702128,3.82978723404255,5.74468085106383,9.57446808510638,1.91489361702128,9.57446808510638,1.91489361702128,3.82978723404255,5.74468085106383,9.57446808510638,1.91489361702128,9.57446808510638,0,1.91489361702128,5.74468085106383,7.65957446808511,0,0,0,0,0,0,0,0,0,0,0,0,1.91489361702128,1.91489361702128,0,3.82978723404255,5.74468085106383,5.74468085106383,3.82978723404255,1.91489361702128,1.91489361702128,0,1.91489361702128,0,0,0,0,0,0,1.91489361702128,21.063829787234,3.82978723404255,0,1.91489361702128,0,0,0,0,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
