"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Barnes","SRFC",0,1,91,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,68,0.852941176470588,54,63,0.857142857142857,7,12,0.583333333333333,0.19047619047619,0,0,0,2,10,0.2,0,0,0,0,0,0,0,0,0,2,10,0.2,0,0,0,26,35,0.742857142857143,21,22,0.954545454545455,11,11,1,25,34,0.735294117647059,19,19,1,10,10,1,4,9,0.444444444444444,1,1,1,2,2,1,0.514705882352941,0.323529411764706,0.161764705882353,0.53968253968254,0.301587301587302,0.158730158730159,0.75,0.0833333333333333,0.166666666666667,1,2,0.5,0,0,3,3,1,0,0,1,1,4,0,0,0,0,0,0,0,3,3,0,2,1,1,0.5,0,0,0,0,0,0,0,3,4,2,4,2,0,6,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989010989010989,0,0,0,0,0.989010989010989,0,0.989010989010989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.3626373626374,67.2527472527473,53.4065934065934,62.3076923076923,6.92307692307692,11.8681318681319,0,0,1.97802197802198,9.89010989010989,0,0,0,0,0,0,1.97802197802198,9.89010989010989,0,0,25.7142857142857,34.6153846153846,20.7692307692308,21.7582417582418,10.8791208791209,10.8791208791209,24.7252747252747,33.6263736263736,18.7912087912088,18.7912087912088,9.89010989010989,9.89010989010989,3.95604395604396,8.9010989010989,0.989010989010989,0.989010989010989,1.97802197802198,1.97802197802198,0.989010989010989,1.97802197802198,0,0,2.96703296703297,2.96703296703297,0,0,0.989010989010989,0.989010989010989,3.95604395604396,0,0,0,0,0,0,2.96703296703297,2.96703296703297,0,1.97802197802198,0.989010989010989,0.989010989010989,0,0,0,0,0,0,0,2.96703296703297,3.95604395604396,1.97802197802198,3.95604395604396,1.97802197802198,0,5.93406593406593,1.97802197802198,5.93406593406593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colaprico","CRS",0,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,42,0.785714285714286,33,42,0.785714285714286,17,22,0.772727272727273,0.523809523809524,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,14,22,0.636363636363636,9,10,0.9,10,10,1,14,22,0.636363636363636,9,10,0.9,10,10,1,8,13,0.615384615384615,3,3,1,6,6,1,0.523809523809524,0.238095238095238,0.238095238095238,0.523809523809524,0.238095238095238,0.238095238095238,0.590909090909091,0.136363636363636,0.272727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12,9,3,2,2,0,1,0,0,0,0,0,0,0,20,2,5,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.6373626373626,41.5384615384615,32.6373626373626,41.5384615384615,16.8131868131868,21.7582417582418,0,0,0,0,0,0.989010989010989,0,0,0,0,0,0,0,0.989010989010989,13.8461538461538,21.7582417582418,8.9010989010989,9.89010989010989,9.89010989010989,9.89010989010989,13.8461538461538,21.7582417582418,8.9010989010989,9.89010989010989,9.89010989010989,9.89010989010989,7.91208791208791,12.8571428571429,2.96703296703297,2.96703296703297,5.93406593406593,5.93406593406593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989010989010989,0,0.989010989010989,11.8681318681319,8.9010989010989,2.96703296703297,1.97802197802198,1.97802197802198,0,0,0,0,0,0,0,0,19.7802197802198,1.97802197802198,4.94505494505495,2.96703296703297,0,0,0.989010989010989,0.989010989010989,0.989010989010989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Da Costa","CRS",0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,0.846153846153846,11,13,0.846153846153846,8,9,0.888888888888889,0.692307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0.666666666666667,4,4,1,3,3,1,4,6,0.666666666666667,4,4,1,3,3,1,3,4,0.75,2,2,1,3,3,1,0.461538461538462,0.307692307692308,0.230769230769231,0.461538461538462,0.307692307692308,0.230769230769231,0.444444444444444,0.222222222222222,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,2,4,2,2,3,0,3,0,0,0,0,0,0,0,0,12,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.9354838709677,37.741935483871,31.9354838709677,37.741935483871,23.2258064516129,26.1290322580645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6129032258065,17.4193548387097,11.6129032258065,11.6129032258065,8.70967741935484,8.70967741935484,11.6129032258065,17.4193548387097,11.6129032258065,11.6129032258065,8.70967741935484,8.70967741935484,8.70967741935484,11.6129032258065,5.80645161290323,5.80645161290323,8.70967741935484,8.70967741935484,0,0,0,0,0,0,0,0,0,0,0,2.90322580645161,0,2.90322580645161,5.80645161290323,0,5.80645161290323,11.6129032258065,5.80645161290323,5.80645161290323,8.70967741935484,0,8.70967741935484,0,0,0,0,0,0,0,34.8387096774194,2.90322580645161,0,5.80645161290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DiBernardo","CRS",0,1,91,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,34,45,0.755555555555556,31,41,0.75609756097561,25,32,0.78125,0.780487804878049,2,4,0.5,1,1,1,0,2,0,1,1,1,2,4,0.5,1,1,1,0,2,0,14,21,0.666666666666667,13,17,0.764705882352941,7,7,1,14,21,0.666666666666667,11,14,0.785714285714286,6,6,1,10,15,0.666666666666667,11,13,0.846153846153846,4,4,1,0.466666666666667,0.377777777777778,0.155555555555556,0.51219512195122,0.341463414634146,0.146341463414634,0.46875,0.40625,0.125,1,2,0.5,1,0,1,1,1,0,0,0,0,1,2,0,2,1,0,4,4,14,10,4,3,1,2,0.333333333333333,1,1,0,0,0,0,0,52,3,4,4,1,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989010989010989,0,0,0,0.989010989010989,0.989010989010989,0,0,0,0,0,0,0,0,0.989010989010989,0,0,0,0,0,0,0,33.6263736263736,44.5054945054945,30.6593406593407,40.5494505494505,24.7252747252747,31.6483516483516,1.97802197802198,3.95604395604396,0.989010989010989,0.989010989010989,0,1.97802197802198,0.989010989010989,0.989010989010989,1.97802197802198,3.95604395604396,0.989010989010989,0.989010989010989,0,1.97802197802198,13.8461538461538,20.7692307692308,12.8571428571429,16.8131868131868,6.92307692307692,6.92307692307692,13.8461538461538,20.7692307692308,10.8791208791209,13.8461538461538,5.93406593406593,5.93406593406593,9.89010989010989,14.8351648351648,10.8791208791209,12.8571428571429,3.95604395604396,3.95604395604396,0.989010989010989,1.97802197802198,0.989010989010989,0,0.989010989010989,0.989010989010989,0,0,0,0,0.989010989010989,1.97802197802198,0,1.97802197802198,0,3.95604395604396,3.95604395604396,13.8461538461538,9.89010989010989,3.95604395604396,2.96703296703297,0.989010989010989,1.97802197802198,0.989010989010989,0.989010989010989,0,0,0,0,0,51.4285714285714,2.96703296703297,3.95604395604396,3.95604395604396,0.989010989010989,0,2.96703296703297,2.96703296703297,2.96703296703297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fishlock","SRFC",0,1,91,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,60,72,0.833333333333333,59,71,0.830985915492958,30,37,0.810810810810811,0.52112676056338,0,1,0,1,7,0.142857142857143,3,6,0.5,0,0,0,0,1,0,1,7,0.142857142857143,3,6,0.5,35,46,0.760869565217391,12,13,0.923076923076923,13,13,1,34,45,0.755555555555556,12,13,0.923076923076923,13,13,1,17,24,0.708333333333333,4,4,1,9,9,1,0.638888888888889,0.180555555555556,0.180555555555556,0.633802816901408,0.183098591549296,0.183098591549296,0.648648648648649,0.108108108108108,0.243243243243243,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0.666666666666667,3,1,5,12,8,4,7,5,2,0.714285714285714,2,1,1,0,0,0,0,28,4,3,2,0,0,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989010989010989,0,0,0,0.989010989010989,0.989010989010989,0,0,0,0,0,0,0,0,0,0.989010989010989,0,0,0,0.989010989010989,0,0,59.3406593406593,71.2087912087912,58.3516483516484,70.2197802197802,29.6703296703297,36.5934065934066,0,0.989010989010989,0.989010989010989,6.92307692307692,2.96703296703297,5.93406593406593,0,0,0,0.989010989010989,0.989010989010989,6.92307692307692,2.96703296703297,5.93406593406593,34.6153846153846,45.4945054945055,11.8681318681319,12.8571428571429,12.8571428571429,12.8571428571429,33.6263736263736,44.5054945054945,11.8681318681319,12.8571428571429,12.8571428571429,12.8571428571429,16.8131868131868,23.7362637362637,3.95604395604396,3.95604395604396,8.9010989010989,8.9010989010989,0,0,0,0,0,0,0,0,0,0,0,1.97802197802198,0.989010989010989,2.96703296703297,2.96703296703297,0.989010989010989,4.94505494505495,11.8681318681319,7.91208791208791,3.95604395604396,6.92307692307692,4.94505494505495,1.97802197802198,1.97802197802198,0.989010989010989,0.989010989010989,0,0,0,0,27.6923076923077,3.95604395604396,2.96703296703297,1.97802197802198,0,0,5.93406593406593,0.989010989010989,5.93406593406593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fletcher","SRFC",0,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,59,0.966101694915254,53,55,0.963636363636364,13,14,0.928571428571429,0.254545454545455,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,29,30,0.966666666666667,21,22,0.954545454545455,7,7,1,26,27,0.962962962962963,20,21,0.952380952380952,7,7,1,8,8,1,1,2,0.5,4,4,1,0.508474576271186,0.372881355932203,0.11864406779661,0.490909090909091,0.381818181818182,0.127272727272727,0.571428571428571,0.142857142857143,0.285714285714286,0,0,0,0,0,4,4,1,0,0,0,0,4,0,0,0,0,0,1,1,4,3,1,4,3,1,0.75,0,0,0,0,0,0,1,6,1,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.3736263736264,58.3516483516484,52.4175824175824,54.3956043956044,12.8571428571429,13.8461538461538,0,0.989010989010989,0,0.989010989010989,0,0,0,0,0,0.989010989010989,0,0.989010989010989,0,0,28.6813186813187,29.6703296703297,20.7692307692308,21.7582417582418,6.92307692307692,6.92307692307692,25.7142857142857,26.7032967032967,19.7802197802198,20.7692307692308,6.92307692307692,6.92307692307692,7.91208791208791,7.91208791208791,0.989010989010989,1.97802197802198,3.95604395604396,3.95604395604396,0,0,0,0,3.95604395604396,3.95604395604396,0,0,0,0,3.95604395604396,0,0,0,0,0.989010989010989,0.989010989010989,3.95604395604396,2.96703296703297,0.989010989010989,3.95604395604396,2.96703296703297,0.989010989010989,0,0,0,0,0,0,0.989010989010989,5.93406593406593,0.989010989010989,1.97802197802198,5.93406593406593,0,0,0,0,0.989010989010989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gilliland","CRS",0,1,91,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,38,49,0.775510204081633,28,36,0.777777777777778,19,22,0.863636363636364,0.611111111111111,0,0,0,1,3,0.333333333333333,0,1,0,10,13,0.769230769230769,0,0,0,1,3,0.333333333333333,0,1,0,21,29,0.724137931034483,9,12,0.75,8,8,1,13,18,0.722222222222222,7,10,0.7,8,8,1,9,10,0.9,5,7,0.714285714285714,5,5,1,0.591836734693878,0.244897959183673,0.163265306122449,0.5,0.277777777777778,0.222222222222222,0.454545454545455,0.318181818181818,0.227272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8,0.75,2,2,6,10,7,3,7,5,2,0.714285714285714,0,0,0,0,0,0,1,21,6,3,11,4,1,8,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989010989010989,0,0.989010989010989,0.989010989010989,0,0,0,0,0,0,0,0,0,0.989010989010989,0,0,0,0.989010989010989,0,0,37.5824175824176,48.4615384615385,27.6923076923077,35.6043956043956,18.7912087912088,21.7582417582418,0,0,0.989010989010989,2.96703296703297,0,0.989010989010989,9.89010989010989,12.8571428571429,0,0,0.989010989010989,2.96703296703297,0,0.989010989010989,20.7692307692308,28.6813186813187,8.9010989010989,11.8681318681319,7.91208791208791,7.91208791208791,12.8571428571429,17.8021978021978,6.92307692307692,9.89010989010989,7.91208791208791,7.91208791208791,8.9010989010989,9.89010989010989,4.94505494505495,6.92307692307692,4.94505494505495,4.94505494505495,0,0,0,0,0,0,0,0,0,0,0,5.93406593406593,1.97802197802198,7.91208791208791,1.97802197802198,1.97802197802198,5.93406593406593,9.89010989010989,6.92307692307692,2.96703296703297,6.92307692307692,4.94505494505495,1.97802197802198,0,0,0,0,0,0,0.989010989010989,20.7692307692308,5.93406593406593,2.96703296703297,10.8791208791209,3.95604395604396,0.989010989010989,7.91208791208791,1.97802197802198,8.9010989010989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Huerta","CRS",0,1,91,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,47,0.680851063829787,26,39,0.666666666666667,24,30,0.8,0.769230769230769,0,0,0,0,0,0,0,2,0,6,8,0.75,0,0,0,0,0,0,0,2,0,8,21,0.380952380952381,8,8,1,16,18,0.888888888888889,5,16,0.3125,6,6,1,15,17,0.882352941176471,4,10,0.4,6,6,1,14,14,1,0.446808510638298,0.170212765957447,0.382978723404255,0.41025641025641,0.153846153846154,0.435897435897436,0.333333333333333,0.2,0.466666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,1,3,5,11,7,4,8,4,4,0.5,1,0,0,0,0,0,1,32,3,0,0,1,1,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989010989010989,0,0,0,0,0.989010989010989,0.989010989010989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.6483516483516,46.4835164835165,25.7142857142857,38.5714285714286,23.7362637362637,29.6703296703297,0,0,0,0,0,1.97802197802198,5.93406593406593,7.91208791208791,0,0,0,0,0,1.97802197802198,7.91208791208791,20.7692307692308,7.91208791208791,7.91208791208791,15.8241758241758,17.8021978021978,4.94505494505495,15.8241758241758,5.93406593406593,5.93406593406593,14.8351648351648,16.8131868131868,3.95604395604396,9.89010989010989,5.93406593406593,5.93406593406593,13.8461538461538,13.8461538461538,0,0,0,0,0,0,0,0,0,0,0,0.989010989010989,0.989010989010989,1.97802197802198,0.989010989010989,2.96703296703297,4.94505494505495,10.8791208791209,6.92307692307692,3.95604395604396,7.91208791208791,3.95604395604396,3.95604395604396,0.989010989010989,0,0,0,0,0,0.989010989010989,31.6483516483516,2.96703296703297,0,0,0.989010989010989,0.989010989010989,5.93406593406593,0,6.92307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johnson","CRS",0,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,36,0.805555555555556,28,34,0.823529411764706,17,21,0.80952380952381,0.617647058823529,0,0,0,4,8,0.5,0,1,0,0,0,0,0,0,0,4,7,0.571428571428571,0,1,0,21,28,0.75,4,4,1,4,4,1,21,27,0.777777777777778,4,4,1,3,3,1,14,18,0.777777777777778,2,2,1,1,1,1,0.777777777777778,0.111111111111111,0.111111111111111,0.794117647058823,0.117647058823529,0.0882352941176471,0.857142857142857,0.0952380952380952,0.0476190476190476,0,0,0,0,0,1,2,0.5,0,0,0,0,2,0,0,0,0,0,1,1,3,2,1,2,0,2,0,0,1,0,0,0,0,0,11,0,2,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6813186813187,35.6043956043956,27.6923076923077,33.6263736263736,16.8131868131868,20.7692307692308,0,0,3.95604395604396,7.91208791208791,0,0.989010989010989,0,0,0,0,3.95604395604396,6.92307692307692,0,0.989010989010989,20.7692307692308,27.6923076923077,3.95604395604396,3.95604395604396,3.95604395604396,3.95604395604396,20.7692307692308,26.7032967032967,3.95604395604396,3.95604395604396,2.96703296703297,2.96703296703297,13.8461538461538,17.8021978021978,1.97802197802198,1.97802197802198,0.989010989010989,0.989010989010989,0,0,0,0,0.989010989010989,1.97802197802198,0,0,0,0,1.97802197802198,0,0,0,0,0.989010989010989,0.989010989010989,2.96703296703297,1.97802197802198,0.989010989010989,1.97802197802198,0,1.97802197802198,0,0.989010989010989,0,0,0,0,0,10.8791208791209,0,1.97802197802198,4.94505494505495,5.93406593406593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johnston","CRS",0,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,33,0.818181818181818,26,31,0.838709677419355,14,18,0.777777777777778,0.580645161290323,0,0,0,6,9,0.666666666666667,0,0,0,0,0,0,0,0,0,5,7,0.714285714285714,0,0,0,23,29,0.793103448275862,2,2,1,2,2,1,22,27,0.814814814814815,2,2,1,2,2,1,12,16,0.75,2,2,1,0,0,0,0.878787878787879,0.0606060606060606,0.0606060606060606,0.870967741935484,0.0645161290322581,0.0645161290322581,0.888888888888889,0.111111111111111,0,0,0,0,0,0,1,2,0.5,0,0,0,0,2,0,1,1,0,0,0,1,7,7,0,1,0,1,0,0,0,0,0,0,0,0,4,0,2,8,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7032967032967,32.6373626373626,25.7142857142857,30.6593406593407,13.8461538461538,17.8021978021978,0,0,5.93406593406593,8.9010989010989,0,0,0,0,0,0,4.94505494505495,6.92307692307692,0,0,22.7472527472527,28.6813186813187,1.97802197802198,1.97802197802198,1.97802197802198,1.97802197802198,21.7582417582418,26.7032967032967,1.97802197802198,1.97802197802198,1.97802197802198,1.97802197802198,11.8681318681319,15.8241758241758,1.97802197802198,1.97802197802198,0,0,0,0,0,0,0.989010989010989,1.97802197802198,0,0,0,0,1.97802197802198,0,0.989010989010989,0.989010989010989,0,0,0.989010989010989,6.92307692307692,6.92307692307692,0,0.989010989010989,0,0.989010989010989,0,0,0,0,0,0,0,3.95604395604396,0,1.97802197802198,7.91208791208791,4.94505494505495,0,0.989010989010989,0,0.989010989010989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
