"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Arlitt","FCKC",0,1,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,43,0.604651162790698,16,29,0.551724137931034,11,16,0.6875,0.551724137931034,0,2,0,2,8,0.25,0,1,0,9,13,0.692307692307692,0,2,0,2,8,0.25,0,1,0,19,33,0.575757575757576,5,7,0.714285714285714,2,3,0.666666666666667,11,21,0.523809523809524,3,5,0.6,2,3,0.666666666666667,7,11,0.636363636363636,3,4,0.75,1,1,1,0.767441860465116,0.162790697674419,0.0697674418604651,0.724137931034483,0.172413793103448,0.103448275862069,0.6875,0.25,0.0625,0,0,0,0,0,1,1,1,0,0,0,0,1,2,1,3,0.666666666666667,2,1,4,11,8,3,2,2,0,1,1,0,0,0,0,0,0,7,2,0,4,3,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.4117647058823,56.9117647058823,21.1764705882353,38.3823529411765,14.5588235294118,21.1764705882353,0,2.64705882352941,2.64705882352941,10.5882352941176,0,1.32352941176471,11.9117647058824,17.2058823529412,0,2.64705882352941,2.64705882352941,10.5882352941176,0,1.32352941176471,25.1470588235294,43.6764705882353,6.61764705882353,9.26470588235294,2.64705882352941,3.97058823529412,14.5588235294118,27.7941176470588,3.97058823529412,6.61764705882353,2.64705882352941,3.97058823529412,9.26470588235294,14.5588235294118,3.97058823529412,5.29411764705882,1.32352941176471,1.32352941176471,0,0,0,0,1.32352941176471,1.32352941176471,0,0,0,0,1.32352941176471,2.64705882352941,1.32352941176471,3.97058823529412,2.64705882352941,1.32352941176471,5.29411764705882,14.5588235294118,10.5882352941176,3.97058823529412,2.64705882352941,2.64705882352941,0,1.32352941176471,0,0,0,0,0,0,9.26470588235294,2.64705882352941,0,5.29411764705882,3.97058823529412,0,2.64705882352941,5.29411764705882,2.64705882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Averbuch","FCKC",0,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,48,0.875,40,46,0.869565217391304,10,12,0.833333333333333,0.260869565217391,1,2,0.5,3,7,0.428571428571429,0,0,0,0,0,0,1,2,0.5,2,6,0.333333333333333,0,0,0,23,28,0.821428571428571,15,16,0.9375,4,4,1,22,27,0.814814814814815,14,15,0.933333333333333,4,4,1,8,9,0.888888888888889,1,2,0.5,1,1,1,0.583333333333333,0.333333333333333,0.0833333333333333,0.58695652173913,0.326086956521739,0.0869565217391304,0.75,0.166666666666667,0.0833333333333333,0,0,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,7,4,3,4,3,1,0.75,0,2,0,0,0,0,0,15,3,1,4,6,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.5384615384615,47.4725274725275,39.5604395604396,45.4945054945055,9.89010989010989,11.8681318681319,0.989010989010989,1.97802197802198,2.96703296703297,6.92307692307692,0,0,0,0,0.989010989010989,1.97802197802198,1.97802197802198,5.93406593406593,0,0,22.7472527472527,27.6923076923077,14.8351648351648,15.8241758241758,3.95604395604396,3.95604395604396,21.7582417582418,26.7032967032967,13.8461538461538,14.8351648351648,3.95604395604396,3.95604395604396,7.91208791208791,8.9010989010989,0.989010989010989,1.97802197802198,0.989010989010989,0.989010989010989,0,0,0,0,1.97802197802198,1.97802197802198,0,0,0,0,1.97802197802198,0,0,0,0,0,0,6.92307692307692,3.95604395604396,2.96703296703297,3.95604395604396,2.96703296703297,0.989010989010989,0,1.97802197802198,0,0,0,0,0,14.8351648351648,2.96703296703297,0.989010989010989,3.95604395604396,5.93406593406593,0,4.94505494505495,0.989010989010989,4.94505494505495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnhart","FCKC",0,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,29,0.896551724137931,13,13,1,0,0,0,0,0,0,0,2,4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,24,0.875,5,5,1,0,0,0,12,12,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.827586206896552,0.172413793103448,0,0.923076923076923,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,29,0.896551724137931,8,8,1,0,0,0,5,8,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7142857142857,28.6813186813187,12.8571428571429,12.8571428571429,0,0,0,0,1.97802197802198,3.95604395604396,0,0,0,0,0,0,0,0,0,0,20.7692307692308,23.7362637362637,4.94505494505495,4.94505494505495,0,0,11.8681318681319,11.8681318681319,0.989010989010989,0.989010989010989,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96703296703297,0,0,0,0,2.96703296703297,0,0,0,0,0,0,2.96703296703297,2.96703296703297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7142857142857,28.6813186813187,7.91208791208791,7.91208791208791,0,0,4.94505494505495,7.91208791208791
"Bowen","FCKC",0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,0.789473684210526,11,15,0.733333333333333,5,8,0.625,0.533333333333333,0,1,0,0,0,0,1,2,0.5,4,4,1,0,1,0,0,0,0,1,2,0.5,6,9,0.666666666666667,3,4,0.75,6,6,1,4,7,0.571428571428571,3,4,0.75,4,4,1,2,4,0.5,2,3,0.666666666666667,1,1,1,0.473684210526316,0.210526315789474,0.315789473684211,0.466666666666667,0.266666666666667,0.266666666666667,0.5,0.375,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,3,0,4,4,0,1,0,1,0,0,0,0,0,1,2,2,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.25,71.25,41.25,56.25,18.75,30,0,3.75,0,0,3.75,7.5,15,15,0,3.75,0,0,3.75,7.5,22.5,33.75,11.25,15,22.5,22.5,15,26.25,11.25,15,15,15,7.5,15,7.5,11.25,3.75,3.75,0,0,0,0,0,0,0,0,0,0,0,3.75,0,3.75,0,0,0,11.25,11.25,0,15,15,0,0,3.75,0,0,0,0,0,3.75,7.5,7.5,7.5,3.75,0,3.75,3.75,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colaprico","CRS",0,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,28,0.75,21,28,0.75,11,15,0.733333333333333,0.535714285714286,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,11,0.454545454545455,10,11,0.909090909090909,6,6,1,5,11,0.454545454545455,10,11,0.909090909090909,6,6,1,5,9,0.555555555555556,3,3,1,3,3,1,0.392857142857143,0.392857142857143,0.214285714285714,0.392857142857143,0.392857142857143,0.214285714285714,0.6,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,11,6,5,7,1,6,0.142857142857143,3,1,0,0,0,0,0,8,4,0,3,2,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7692307692308,27.6923076923077,20.7692307692308,27.6923076923077,10.8791208791209,14.8351648351648,0,0,0,0.989010989010989,0,0,0,0,0,0,0,0.989010989010989,0,0,4.94505494505495,10.8791208791209,9.89010989010989,10.8791208791209,5.93406593406593,5.93406593406593,4.94505494505495,10.8791208791209,9.89010989010989,10.8791208791209,5.93406593406593,5.93406593406593,4.94505494505495,8.9010989010989,2.96703296703297,2.96703296703297,2.96703296703297,2.96703296703297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989010989010989,0.989010989010989,1.97802197802198,10.8791208791209,5.93406593406593,4.94505494505495,6.92307692307692,0.989010989010989,5.93406593406593,2.96703296703297,0.989010989010989,0,0,0,0,0,7.91208791208791,3.95604395604396,0,2.96703296703297,1.97802197802198,0,3.95604395604396,2.96703296703297,3.95604395604396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comeau","CRS",0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,2,3,0.666666666666667,2,2,1,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8461538461538,20.7692307692308,13.8461538461538,20.7692307692308,13.8461538461538,13.8461538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92307692307692,6.92307692307692,6.92307692307692,6.92307692307692,6.92307692307692,0,6.92307692307692,6.92307692307692,6.92307692307692,6.92307692307692,6.92307692307692,0,0,6.92307692307692,6.92307692307692,6.92307692307692,6.92307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92307692307692,6.92307692307692,0,0,0,0,0,0,0,0,0,0,6.92307692307692,96.9230769230769,0,0,6.92307692307692,0,0,6.92307692307692,6.92307692307692,13.8461538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DiBernardo","CRS",0,1,91,1,0,0,0,0,2,2,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,45,0.733333333333333,32,37,0.864864864864865,20,24,0.833333333333333,0.648648648648649,2,6,0.333333333333333,0,0,0,3,3,1,0,0,0,1,3,0.333333333333333,0,0,0,3,3,1,19,26,0.730769230769231,6,11,0.545454545454545,8,8,1,18,22,0.818181818181818,6,7,0.857142857142857,8,8,1,12,15,0.8,3,4,0.75,5,5,1,0.577777777777778,0.244444444444444,0.177777777777778,0.594594594594595,0.189189189189189,0.216216216216216,0.625,0.166666666666667,0.208333333333333,0,4,0,0,0,1,4,0.25,0,0,0,0,4,2,0,2,1,1,0,1,8,4,4,3,0,3,0,0,2,0,0,0,0,1,40,1,5,3,1,0,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97802197802198,1.97802197802198,0.989010989010989,0.989010989010989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.6373626373626,44.5054945054945,31.6483516483516,36.5934065934066,19.7802197802198,23.7362637362637,1.97802197802198,5.93406593406593,0,0,2.96703296703297,2.96703296703297,0,0,0.989010989010989,2.96703296703297,0,0,2.96703296703297,2.96703296703297,18.7912087912088,25.7142857142857,5.93406593406593,10.8791208791209,7.91208791208791,7.91208791208791,17.8021978021978,21.7582417582418,5.93406593406593,6.92307692307692,7.91208791208791,7.91208791208791,11.8681318681319,14.8351648351648,2.96703296703297,3.95604395604396,4.94505494505495,4.94505494505495,0,3.95604395604396,0,0,0.989010989010989,3.95604395604396,0,0,0,0,3.95604395604396,1.97802197802198,0,1.97802197802198,0.989010989010989,0,0.989010989010989,7.91208791208791,3.95604395604396,3.95604395604396,2.96703296703297,0,2.96703296703297,0,1.97802197802198,0,0,0,0,0.989010989010989,39.5604395604396,0.989010989010989,4.94505494505495,2.96703296703297,0.989010989010989,0,1.97802197802198,6.92307692307692,2.96703296703297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gilliland","CRS",0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0.857142857142857,3,4,0.75,3,3,1,0.75,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,3,3,1,2,3,0.666666666666667,1,1,1,2,2,1,0,1,0,1,1,1,2,2,1,0,0,0,1,1,1,0.428571428571429,0.428571428571429,0.142857142857143,0.5,0.25,0.25,0.666666666666667,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,2,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.5,78.75,33.75,45,33.75,33.75,0,0,0,0,0,0,33.75,33.75,0,0,0,0,0,0,33.75,33.75,22.5,33.75,11.25,11.25,22.5,22.5,0,11.25,11.25,11.25,22.5,22.5,0,0,11.25,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,0,11.25,22.5,11.25,11.25,11.25,11.25,0,0,0,0,0,0,0,0,22.5,22.5,0,11.25,0,0,11.25,0,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gorden","CRS",0,1,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,41,0.536585365853659,15,29,0.517241379310345,10,19,0.526315789473684,0.655172413793103,0,5,0,1,2,0.5,0,1,0,7,12,0.583333333333333,0,5,0,1,2,0.5,0,1,0,8,23,0.347826086956522,3,7,0.428571428571429,11,11,1,5,15,0.333333333333333,1,5,0.2,9,9,1,3,9,0.333333333333333,1,4,0.25,6,6,1,0.560975609756098,0.170731707317073,0.268292682926829,0.517241379310345,0.172413793103448,0.310344827586207,0.473684210526316,0.210526315789474,0.315789473684211,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0.6,1,2,5,7,2,4,9,4,5,0.444444444444444,2,2,0,0,0,0,1,10,1,1,6,0,1,6,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.855421686747,44.4578313253012,16.2650602409639,31.4457831325301,10.8433734939759,20.6024096385542,0,5.42168674698795,1.08433734939759,2.16867469879518,0,1.08433734939759,7.59036144578313,13.0120481927711,0,5.42168674698795,1.08433734939759,2.16867469879518,0,1.08433734939759,8.67469879518072,24.9397590361446,3.25301204819277,7.59036144578313,11.9277108433735,11.9277108433735,5.42168674698795,16.2650602409639,1.08433734939759,5.42168674698795,9.75903614457831,9.75903614457831,3.25301204819277,9.75903614457831,1.08433734939759,4.33734939759036,6.50602409638554,6.50602409638554,0,0,0,0,0,0,0,0,0,0,0,3.25301204819277,2.16867469879518,5.42168674698795,1.08433734939759,2.16867469879518,5.42168674698795,7.59036144578313,2.16867469879518,4.33734939759036,9.75903614457831,4.33734939759036,5.42168674698795,2.16867469879518,2.16867469879518,0,0,0,0,1.08433734939759,10.8433734939759,1.08433734939759,1.08433734939759,6.50602409638554,0,1.08433734939759,6.50602409638554,2.16867469879518,7.59036144578313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Groom","FCKC",0,1,91,1,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,0.785714285714286,11,14,0.785714285714286,11,12,0.916666666666667,0.857142857142857,1,2,0.5,0,0,0,1,3,0.333333333333333,0,0,0,1,2,0.5,0,0,0,1,3,0.333333333333333,1,3,0.333333333333333,6,7,0.857142857142857,4,4,1,1,3,0.333333333333333,6,7,0.857142857142857,4,4,1,1,2,0.5,6,6,1,4,4,1,0.214285714285714,0.5,0.285714285714286,0.214285714285714,0.5,0.285714285714286,0.166666666666667,0.5,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0.8,3,2,6,8,2,6,8,4,4,0.5,3,1,0,0,0,0,0,18,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97802197802198,1.97802197802198,0,1.97802197802198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8791208791209,13.8461538461538,10.8791208791209,13.8461538461538,10.8791208791209,11.8681318681319,0.989010989010989,1.97802197802198,0,0,0.989010989010989,2.96703296703297,0,0,0.989010989010989,1.97802197802198,0,0,0.989010989010989,2.96703296703297,0.989010989010989,2.96703296703297,5.93406593406593,6.92307692307692,3.95604395604396,3.95604395604396,0.989010989010989,2.96703296703297,5.93406593406593,6.92307692307692,3.95604395604396,3.95604395604396,0.989010989010989,1.97802197802198,5.93406593406593,5.93406593406593,3.95604395604396,3.95604395604396,0,0,0,0,0,0,0,0,0,0,0,3.95604395604396,0.989010989010989,4.94505494505495,2.96703296703297,1.97802197802198,5.93406593406593,7.91208791208791,1.97802197802198,5.93406593406593,7.91208791208791,3.95604395604396,3.95604395604396,2.96703296703297,0.989010989010989,0,0,0,0,0,17.8021978021978,0.989010989010989,0,0.989010989010989,0,0,0.989010989010989,0.989010989010989,0.989010989010989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
