"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Andressa","HOU",0,1,94,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,49,0.755102040816326,35,46,0.760869565217391,18,22,0.818181818181818,0.478260869565217,0,1,0,0,1,0,1,4,0.25,0,0,0,0,1,0,0,1,0,1,4,0.25,19,29,0.655172413793103,12,14,0.857142857142857,6,6,1,18,28,0.642857142857143,12,13,0.923076923076923,5,5,1,11,15,0.733333333333333,5,5,1,2,2,1,0.591836734693878,0.285714285714286,0.122448979591837,0.608695652173913,0.282608695652174,0.108695652173913,0.681818181818182,0.227272727272727,0.0909090909090909,1,2,0.5,0,0,1,1,1,0,0,0,0,1,1,0,1,1,2,0,2,11,7,4,2,1,1,0.5,0,1,0,0,0,0,1,14,6,3,2,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arlitt","FCKC",0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0.5,2,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,1,4,0.25,0,0,0,0,0,0,0,0,0,1,4,0.25,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0.666666666666667,0.166666666666667,0.166666666666667,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Averbuch","FCKC",0,1,94,1,1,0,0,1,2,4,0.5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,48,0.708333333333333,34,45,0.755555555555556,13,19,0.684210526315789,0.422222222222222,1,4,0.25,0,3,0,0,0,0,0,0,0,1,2,0.5,0,2,0,0,0,0,26,40,0.65,3,3,1,5,5,1,26,37,0.702702702702703,3,3,1,5,5,1,9,15,0.6,0,0,0,4,4,1,0.833333333333333,0.0625,0.104166666666667,0.822222222222222,0.0666666666666667,0.111111111111111,0.789473684210526,0,0.210526315789474,0,0,0,0,0,0,3,0,0,0,2,0,5,0,0,0,0,0,0,0,9,5,4,5,4,1,0.8,1,1,0,0,0,0,0,11,2,6,4,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnhart","FCKC",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,29,0.655172413793103,9,13,0.692307692307692,2,4,0.5,0.307692307692308,0,0,0,5,11,0.454545454545455,0,0,0,0,0,0,0,0,0,1,4,0.25,0,0,0,16,26,0.615384615384615,3,3,1,0,0,0,7,11,0.636363636363636,2,2,1,0,0,0,2,4,0.5,0,0,0,0,0,0,0.896551724137931,0.103448275862069,0,0.846153846153846,0.153846153846154,0,1,0,0,0,0,0,0,0,3,5,0.6,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,5,2,7,0.285714285714286,1,0,1,0,1,0,1,1,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,19,29,0.655172413793103,3,3,1,1,1,1,6,12,0.5
"Beckie","HOU",0,1,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22,0.590909090909091,12,21,0.571428571428571,5,9,0.555555555555556,0.428571428571429,0,2,0,0,1,0,1,1,1,1,1,1,0,2,0,0,1,0,1,1,1,2,9,0.222222222222222,3,5,0.6,8,8,1,2,9,0.222222222222222,3,5,0.6,7,7,1,2,5,0.4,1,2,0.5,2,2,1,0.409090909090909,0.227272727272727,0.363636363636364,0.428571428571429,0.238095238095238,0.333333333333333,0.555555555555556,0.222222222222222,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,7,5,3,2,2,0,2,0,0,1,0,0,0,0,0,17,2,1,3,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian","HOU",0,1,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,37,0.864864864864865,32,37,0.864864864864865,16,17,0.941176470588235,0.459459459459459,0,0,0,1,2,0.5,1,3,0.333333333333333,0,0,0,0,0,0,1,2,0.5,1,3,0.333333333333333,8,13,0.615384615384615,15,15,1,9,9,1,8,13,0.615384615384615,15,15,1,9,9,1,2,3,0.666666666666667,8,8,1,6,6,1,0.351351351351351,0.405405405405405,0.243243243243243,0.351351351351351,0.405405405405405,0.243243243243243,0.176470588235294,0.470588235294118,0.352941176470588,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,3,4,2,2,1,1,0,1,0,0,0,0,0,0,0,16,1,1,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brooks","HOU",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,27,0.740740740740741,20,27,0.740740740740741,8,10,0.8,0.37037037037037,1,1,1,0,3,0,0,1,0,0,0,0,1,1,1,0,3,0,0,1,0,9,16,0.5625,4,4,1,7,7,1,9,16,0.5625,4,4,1,7,7,1,5,7,0.714285714285714,2,2,1,1,1,1,0.592592592592593,0.148148148148148,0.259259259259259,0.592592592592593,0.148148148148148,0.259259259259259,0.7,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,9,7,2,11,8,3,0.727272727272727,0,1,0,0,0,0,1,17,6,3,6,2,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brush","HOU",0,1,84,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,47,0.872340425531915,40,46,0.869565217391304,12,14,0.857142857142857,0.304347826086957,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,23,28,0.821428571428571,8,8,1,10,11,0.909090909090909,23,28,0.821428571428571,7,7,1,10,11,0.909090909090909,9,11,0.818181818181818,1,1,1,2,2,1,0.595744680851064,0.170212765957447,0.234042553191489,0.608695652173913,0.152173913043478,0.239130434782609,0.785714285714286,0.0714285714285714,0.142857142857143,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,1,1,0.5,0,1,0,0,0,0,0,6,6,1,2,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Buczkowski","FCKC",0,1,84,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,44,0.75,32,43,0.744186046511628,18,22,0.818181818181818,0.511627906976744,1,3,0.333333333333333,0,0,0,0,0,0,0,0,0,1,3,0.333333333333333,0,0,0,0,0,0,15,22,0.681818181818182,11,13,0.846153846153846,7,9,0.777777777777778,15,22,0.681818181818182,11,13,0.846153846153846,6,8,0.75,9,13,0.692307692307692,4,4,1,5,5,1,0.5,0.295454545454545,0.204545454545455,0.511627906976744,0.302325581395349,0.186046511627907,0.590909090909091,0.181818181818182,0.227272727272727,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,2,2,4,15,8,7,1,1,0,1,0,1,0,0,0,0,1,25,4,2,3,1,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chapman","HOU",0,1,94,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,35,49,0.714285714285714,28,40,0.7,12,17,0.705882352941177,0.425,0,2,0,0,2,0,0,0,0,6,8,0.75,0,2,0,0,2,0,0,0,0,21,33,0.636363636363636,9,11,0.818181818181818,5,5,1,19,30,0.633333333333333,4,5,0.8,5,5,1,8,13,0.615384615384615,1,1,1,3,3,1,0.673469387755102,0.224489795918367,0.102040816326531,0.75,0.125,0.125,0.764705882352941,0.0588235294117647,0.176470588235294,0,0,0,0,0,1,1,1,0,0,0,0,1,2,0,2,1,0,1,1,10,7,3,1,1,0,1,1,2,0,0,0,0,1,20,4,5,9,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
