"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Arlitt","FCKC",0,1,93,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,53,0.773584905660377,26,36,0.722222222222222,18,24,0.75,0.666666666666667,0,0,0,1,2,0.5,0,1,0,15,17,0.882352941176471,0,0,0,1,2,0.5,0,1,0,19,30,0.633333333333333,14,15,0.933333333333333,8,8,1,12,21,0.571428571428571,6,7,0.857142857142857,8,8,1,9,14,0.642857142857143,5,6,0.833333333333333,4,4,1,0.566037735849057,0.283018867924528,0.150943396226415,0.583333333333333,0.194444444444444,0.222222222222222,0.583333333333333,0.25,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0.333333333333333,1,2,5,8,7,1,5,4,1,0.8,0,0,0,0,0,0,0,21,3,2,8,3,0,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967741935483871,0,0.967741935483871,0.967741935483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6774193548387,51.2903225806452,25.1612903225806,34.8387096774194,17.4193548387097,23.2258064516129,0,0,0.967741935483871,1.93548387096774,0,0.967741935483871,14.5161290322581,16.4516129032258,0,0,0.967741935483871,1.93548387096774,0,0.967741935483871,18.3870967741935,29.0322580645161,13.5483870967742,14.5161290322581,7.74193548387097,7.74193548387097,11.6129032258065,20.3225806451613,5.80645161290323,6.7741935483871,7.74193548387097,7.74193548387097,8.70967741935484,13.5483870967742,4.83870967741935,5.80645161290323,3.87096774193548,3.87096774193548,0,0,0,0,0,0,0,0,0,0,0,0.967741935483871,1.93548387096774,2.90322580645161,0.967741935483871,1.93548387096774,4.83870967741935,7.74193548387097,6.7741935483871,0.967741935483871,4.83870967741935,3.87096774193548,0.967741935483871,0,0,0,0,0,0,0,20.3225806451613,2.90322580645161,1.93548387096774,7.74193548387097,2.90322580645161,0,4.83870967741935,1.93548387096774,4.83870967741935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Averbuch","FCKC",0,1,93,1,1,0,0,1,0,2,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,59,0.779661016949153,45,57,0.789473684210526,13,17,0.764705882352941,0.298245614035088,0,0,0,3,8,0.375,0,0,0,0,0,0,0,0,0,3,7,0.428571428571429,0,0,0,27,39,0.692307692307692,14,14,1,5,6,0.833333333333333,26,37,0.702702702702703,14,14,1,5,6,0.833333333333333,10,14,0.714285714285714,3,3,1,0,0,0,0.661016949152542,0.23728813559322,0.101694915254237,0.649122807017544,0.245614035087719,0.105263157894737,0.823529411764706,0.176470588235294,0,0,0,0,0,0,1,2,0.5,0,0,2,1,4,0,0,0,0,0,0,0,10,9,1,1,1,0,1,0,0,0,0,0,0,0,7,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967741935483871,0,0,0.967741935483871,0,1.93548387096774,0,1.93548387096774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.5161290322581,57.0967741935484,43.5483870967742,55.1612903225806,12.5806451612903,16.4516129032258,0,0,2.90322580645161,7.74193548387097,0,0,0,0,0,0,2.90322580645161,6.7741935483871,0,0,26.1290322580645,37.741935483871,13.5483870967742,13.5483870967742,4.83870967741935,5.80645161290323,25.1612903225806,35.8064516129032,13.5483870967742,13.5483870967742,4.83870967741935,5.80645161290323,9.67741935483871,13.5483870967742,2.90322580645161,2.90322580645161,0,0,0,0,0,0,0.967741935483871,1.93548387096774,0,0,1.93548387096774,0.967741935483871,3.87096774193548,0,0,0,0,0,0,9.67741935483871,8.70967741935484,0.967741935483871,0.967741935483871,0.967741935483871,0,0,0,0,0,0,0,0,6.7741935483871,0,2.90322580645161,2.90322580645161,3.87096774193548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnhart","FCKC",0,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,38,0.868421052631579,13,17,0.764705882352941,1,2,0.5,0.117647058823529,0,0,0,1,5,0.2,0,0,0,0,0,0,0,0,0,1,5,0.2,0,0,0,18,23,0.782608695652174,15,15,1,0,0,0,9,13,0.692307692307692,4,4,1,0,0,0,1,2,0.5,0,0,0,0,0,0,0.605263157894737,0.394736842105263,0,0.764705882352941,0.235294117647059,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,3,0,3,1,5,0,0,1,3,0,3,0,0,0,3,0,3,0,0,0,33,38,0.868421052631579,14,15,0.933333333333333,0,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.9354838709677,36.7741935483871,12.5806451612903,16.4516129032258,0.967741935483871,1.93548387096774,0,0,0.967741935483871,4.83870967741935,0,0,0,0,0,0,0.967741935483871,4.83870967741935,0,0,17.4193548387097,22.258064516129,14.5161290322581,14.5161290322581,0,0,8.70967741935484,12.5806451612903,3.87096774193548,3.87096774193548,0,0,0.967741935483871,1.93548387096774,0,0,0,0,0,0,0,0,1.93548387096774,1.93548387096774,0,0,0,0,1.93548387096774,0,0,0,0,0,0,2.90322580645161,2.90322580645161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87096774193548,0,3.87096774193548,0,0,0,2.90322580645161,0,2.90322580645161,4.83870967741935,0,0,0.967741935483871,2.90322580645161,0,2.90322580645161,0,0,0,2.90322580645161,0,2.90322580645161,0,0,0,31.9354838709677,36.7741935483871,13.5483870967742,14.5161290322581,0,0,5.80645161290323,5.80645161290323
"Belanger","ORL",0,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,52,0.769230769230769,34,44,0.772727272727273,20,22,0.909090909090909,0.5,0,1,0,0,4,0,0,0,0,6,8,0.75,0,1,0,0,4,0,0,0,0,21,31,0.67741935483871,11,13,0.846153846153846,8,8,1,17,25,0.68,9,11,0.818181818181818,8,8,1,10,11,0.909090909090909,4,5,0.8,6,6,1,0.596153846153846,0.25,0.153846153846154,0.568181818181818,0.25,0.181818181818182,0.5,0.227272727272727,0.272727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,0.555555555555556,2,1,7,9,6,3,0,0,0,0,0,2,1,0,0,0,1,4,1,2,3,1,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.7096774193548,50.3225806451613,32.9032258064516,42.5806451612903,19.3548387096774,21.2903225806452,0,0.967741935483871,0,3.87096774193548,0,0,5.80645161290323,7.74193548387097,0,0.967741935483871,0,3.87096774193548,0,0,20.3225806451613,30,10.6451612903226,12.5806451612903,7.74193548387097,7.74193548387097,16.4516129032258,24.1935483870968,8.70967741935484,10.6451612903226,7.74193548387097,7.74193548387097,9.67741935483871,10.6451612903226,3.87096774193548,4.83870967741935,5.80645161290323,5.80645161290323,0,0,0,0,0,0,0,0,0,0,0,4.83870967741935,3.87096774193548,8.70967741935484,1.93548387096774,0.967741935483871,6.7741935483871,8.70967741935484,5.80645161290323,2.90322580645161,0,0,0,0,1.93548387096774,0.967741935483871,0,0,0,0.967741935483871,3.87096774193548,0.967741935483871,1.93548387096774,2.90322580645161,0.967741935483871,0,2.90322580645161,2.90322580645161,3.87096774193548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bledsoe","ORL",0,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,33,0.848484848484849,10,11,0.909090909090909,3,3,1,0.272727272727273,0,0,0,8,11,0.727272727272727,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,25,30,0.833333333333333,3,3,1,0,0,0,7,8,0.875,3,3,1,0,0,0,3,3,1,0,0,0,0,0,0,0.909090909090909,0.0909090909090909,0,0.727272727272727,0.272727272727273,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,3,0.666666666666667,0,0,0,0,3,0,3,1,3,0,0,1,2,0,2,1,0,1,0,0,0,0,1,0,28,33,0.848484848484849,7,8,0.875,1,1,1,10,13,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0967741935484,31.9354838709677,9.67741935483871,10.6451612903226,2.90322580645161,2.90322580645161,0,0,7.74193548387097,10.6451612903226,0,0,0,0,0,0,0.967741935483871,0.967741935483871,0,0,24.1935483870968,29.0322580645161,2.90322580645161,2.90322580645161,0,0,6.7741935483871,7.74193548387097,2.90322580645161,2.90322580645161,0,0,2.90322580645161,2.90322580645161,0,0,0,0,0,0,0,0,0,0.967741935483871,0,0,0,0,0.967741935483871,0,0,0,0,0,0,0.967741935483871,0.967741935483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967741935483871,0,0,0,0,0.967741935483871,1.93548387096774,2.90322580645161,0,0,0,2.90322580645161,0,2.90322580645161,2.90322580645161,0,0,0.967741935483871,1.93548387096774,0,1.93548387096774,0.967741935483871,0,0.967741935483871,0,0,0,0,0.967741935483871,0,27.0967741935484,31.9354838709677,6.7741935483871,7.74193548387097,0.967741935483871,0.967741935483871,9.67741935483871,12.5806451612903
"Bowen","FCKC",0,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,48,0.770833333333333,28,37,0.756756756756757,15,20,0.75,0.540540540540541,0,0,0,0,0,0,0,1,0,7,9,0.777777777777778,0,0,0,0,0,0,0,1,0,13,21,0.619047619047619,9,12,0.75,15,15,1,7,13,0.538461538461538,8,11,0.727272727272727,13,13,1,5,7,0.714285714285714,5,8,0.625,5,5,1,0.4375,0.25,0.3125,0.351351351351351,0.297297297297297,0.351351351351351,0.35,0.4,0.25,0,0,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,1,0,1,5,5,0,1,1,0,1,0,0,0,0,0,0,1,11,1,3,4,1,1,6,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.8064516129032,46.4516129032258,27.0967741935484,35.8064516129032,14.5161290322581,19.3548387096774,0,0,0,0,0,0.967741935483871,6.7741935483871,8.70967741935484,0,0,0,0,0,0.967741935483871,12.5806451612903,20.3225806451613,8.70967741935484,11.6129032258065,14.5161290322581,14.5161290322581,6.7741935483871,12.5806451612903,7.74193548387097,10.6451612903226,12.5806451612903,12.5806451612903,4.83870967741935,6.7741935483871,4.83870967741935,7.74193548387097,4.83870967741935,4.83870967741935,0,0,0,0,1.93548387096774,1.93548387096774,0,0,0,0,1.93548387096774,0,0,0,0.967741935483871,0,0.967741935483871,4.83870967741935,4.83870967741935,0,0.967741935483871,0.967741935483871,0,0,0,0,0,0,0,0.967741935483871,10.6451612903226,0.967741935483871,2.90322580645161,3.87096774193548,0.967741935483871,0.967741935483871,5.80645161290323,3.87096774193548,6.7741935483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burkenroad","ORL",0,1,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,0.684210526315789,13,19,0.684210526315789,11,14,0.785714285714286,0.736842105263158,1,2,0.5,0,1,0,1,3,0.333333333333333,0,0,0,1,2,0.5,0,1,0,1,3,0.333333333333333,4,8,0.5,4,6,0.666666666666667,5,5,1,4,8,0.5,4,6,0.666666666666667,5,5,1,3,6,0.5,4,4,1,4,4,1,0.421052631578947,0.315789473684211,0.263157894736842,0.421052631578947,0.315789473684211,0.263157894736842,0.428571428571429,0.285714285714286,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,4,2,7,2,2,0,2,1,1,0.5,0,0,0,0,0,0,1,19,4,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.027397260274,23.4246575342466,16.027397260274,23.4246575342466,13.5616438356164,17.2602739726027,1.23287671232877,2.46575342465753,0,1.23287671232877,1.23287671232877,3.6986301369863,0,0,1.23287671232877,2.46575342465753,0,1.23287671232877,1.23287671232877,3.6986301369863,4.93150684931507,9.86301369863014,4.93150684931507,7.3972602739726,6.16438356164384,6.16438356164384,4.93150684931507,9.86301369863014,4.93150684931507,7.3972602739726,6.16438356164384,6.16438356164384,3.6986301369863,7.3972602739726,4.93150684931507,4.93150684931507,4.93150684931507,4.93150684931507,0,0,0,0,0,0,0,0,0,0,0,1.23287671232877,1.23287671232877,2.46575342465753,4.93150684931507,2.46575342465753,8.63013698630137,2.46575342465753,2.46575342465753,0,2.46575342465753,1.23287671232877,1.23287671232877,0,0,0,0,0,0,1.23287671232877,23.4246575342466,4.93150684931507,0,1.23287671232877,0,0,1.23287671232877,0,2.46575342465753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catley","ORL",0,1,93,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,73,0.698630136986301,31,45,0.688888888888889,16,23,0.695652173913043,0.511111111111111,0,6,0,0,3,0,1,2,0.5,20,25,0.8,0,4,0,0,3,0,1,2,0.5,32,49,0.653061224489796,11,16,0.6875,8,8,1,20,30,0.666666666666667,5,9,0.555555555555556,6,6,1,10,16,0.625,1,2,0.5,5,5,1,0.671232876712329,0.219178082191781,0.10958904109589,0.666666666666667,0.2,0.133333333333333,0.695652173913043,0.0869565217391304,0.217391304347826,0,1,0,0,0,0,2,0,0,0,0,0,2,2,1,3,0.666666666666667,2,1,4,11,7,4,1,0,1,0,1,0,0,0,0,0,0,16,3,3,3,2,1,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967741935483871,0,0,0,0.967741935483871,0.967741935483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.3548387096774,70.6451612903226,30,43.5483870967742,15.4838709677419,22.258064516129,0,5.80645161290323,0,2.90322580645161,0.967741935483871,1.93548387096774,19.3548387096774,24.1935483870968,0,3.87096774193548,0,2.90322580645161,0.967741935483871,1.93548387096774,30.9677419354839,47.4193548387097,10.6451612903226,15.4838709677419,7.74193548387097,7.74193548387097,19.3548387096774,29.0322580645161,4.83870967741935,8.70967741935484,5.80645161290323,5.80645161290323,9.67741935483871,15.4838709677419,0.967741935483871,1.93548387096774,4.83870967741935,4.83870967741935,0,0.967741935483871,0,0,0,1.93548387096774,0,0,0,0,1.93548387096774,1.93548387096774,0.967741935483871,2.90322580645161,1.93548387096774,0.967741935483871,3.87096774193548,10.6451612903226,6.7741935483871,3.87096774193548,0.967741935483871,0,0.967741935483871,0.967741935483871,0,0,0,0,0,0,15.4838709677419,2.90322580645161,2.90322580645161,2.90322580645161,1.93548387096774,0.967741935483871,3.87096774193548,1.93548387096774,3.87096774193548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edwards","ORL",0,1,71,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,31,0.838709677419355,26,31,0.838709677419355,15,20,0.75,0.645161290322581,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,12,16,0.75,8,8,1,6,7,0.857142857142857,12,16,0.75,8,8,1,6,7,0.857142857142857,8,12,0.666666666666667,3,3,1,4,5,0.8,0.516129032258065,0.258064516129032,0.225806451612903,0.516129032258065,0.258064516129032,0.225806451612903,0.6,0.15,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,1,10,5,5,5,2,3,0.4,0,2,0,0,0,0,0,35,6,2,3,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26760563380282,0,0,0,1.26760563380282,0,1.26760563380282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.9577464788732,39.2957746478873,32.9577464788732,39.2957746478873,19.0140845070423,25.3521126760563,0,1.26760563380282,0,0,0,1.26760563380282,0,0,0,1.26760563380282,0,0,0,1.26760563380282,15.2112676056338,20.2816901408451,10.1408450704225,10.1408450704225,7.6056338028169,8.87323943661972,15.2112676056338,20.2816901408451,10.1408450704225,10.1408450704225,7.6056338028169,8.87323943661972,10.1408450704225,15.2112676056338,3.80281690140845,3.80281690140845,5.07042253521127,6.33802816901408,0,0,0,0,0,0,0,0,0,0,0,2.53521126760563,0,2.53521126760563,1.26760563380282,0,1.26760563380282,12.6760563380282,6.33802816901408,6.33802816901408,6.33802816901408,2.53521126760563,3.80281690140845,0,2.53521126760563,0,0,0,0,0,44.3661971830986,7.6056338028169,2.53521126760563,3.80281690140845,0,0,5.07042253521127,5.07042253521127,5.07042253521127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Evans","ORL",0,1,93,1,0,0,0,1,1,2,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,38,0.763157894736842,29,38,0.763157894736842,20,25,0.8,0.657894736842105,0,1,0,1,3,0.333333333333333,0,0,0,0,0,0,0,1,0,1,3,0.333333333333333,0,0,0,6,13,0.461538461538462,9,11,0.818181818181818,14,14,1,6,13,0.461538461538462,9,11,0.818181818181818,14,14,1,4,8,0.5,5,6,0.833333333333333,11,11,1,0.342105263157895,0.289473684210526,0.368421052631579,0.342105263157895,0.289473684210526,0.368421052631579,0.32,0.24,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,5,14,9,5,2,1,1,0.5,1,2,0,0,0,0,0,32,3,1,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967741935483871,0.967741935483871,1.93548387096774,0.967741935483871,0.967741935483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0645161290323,36.7741935483871,28.0645161290323,36.7741935483871,19.3548387096774,24.1935483870968,0,0.967741935483871,0.967741935483871,2.90322580645161,0,0,0,0,0,0.967741935483871,0.967741935483871,2.90322580645161,0,0,5.80645161290323,12.5806451612903,8.70967741935484,10.6451612903226,13.5483870967742,13.5483870967742,5.80645161290323,12.5806451612903,8.70967741935484,10.6451612903226,13.5483870967742,13.5483870967742,3.87096774193548,7.74193548387097,4.83870967741935,5.80645161290323,10.6451612903226,10.6451612903226,0,0,0,0,0,0,0,0,0,0,0,0,0.967741935483871,0.967741935483871,2.90322580645161,0.967741935483871,4.83870967741935,13.5483870967742,8.70967741935484,4.83870967741935,1.93548387096774,0.967741935483871,0.967741935483871,0.967741935483871,1.93548387096774,0,0,0,0,0,30.9677419354839,2.90322580645161,0.967741935483871,0,0.967741935483871,0.967741935483871,1.93548387096774,1.93548387096774,1.93548387096774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
