"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Averbuch","FCKC",0,1,96,1,0,0,0,1,1,2,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,29,0.689655172413793,20,28,0.714285714285714,13,17,0.764705882352941,0.607142857142857,0,1,0,2,6,0.333333333333333,0,1,0,0,0,0,0,1,0,2,5,0.4,0,1,0,13,21,0.619047619047619,5,6,0.833333333333333,2,2,1,13,20,0.65,5,6,0.833333333333333,2,2,1,10,13,0.769230769230769,2,3,0.666666666666667,1,1,1,0.724137931034483,0.206896551724138,0.0689655172413793,0.714285714285714,0.214285714285714,0.0714285714285714,0.764705882352941,0.176470588235294,0.0588235294117647,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,1,1,0,1,1,10,7,2,5,5,0,1,1,1,0,0,0,0,2,9,5,2,3,3,1,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0.9375,1.875,0.9375,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,27.1875,18.75,26.25,12.1875,15.9375,0,0.9375,1.875,5.625,0,0.9375,0,0,0,0.9375,1.875,4.6875,0,0.9375,12.1875,19.6875,4.6875,5.625,1.875,1.875,12.1875,18.75,4.6875,5.625,1.875,1.875,9.375,12.1875,1.875,2.8125,0.9375,0.9375,0,0,0,0,0,0.9375,0,0,0.9375,0,1.875,0.9375,0,0.9375,0,0.9375,0.9375,9.375,6.5625,1.875,4.6875,4.6875,0,0.9375,0.9375,0,0,0,0,1.875,8.4375,4.6875,1.875,2.8125,2.8125,0.9375,2.8125,1.875,4.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnhart","FCKC",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,33,0.393939393939394,4,9,0.444444444444444,1,2,0.5,0.222222222222222,0,0,0,1,20,0.05,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,24,0.166666666666667,9,9,1,0,0,0,1,6,0.166666666666667,3,3,1,0,0,0,0,1,0,1,1,1,0,0,0,0.727272727272727,0.272727272727273,0,0.666666666666667,0.333333333333333,0,0.5,0.5,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,3,0.333333333333333,0,0,0,0,5,0,5,1,7,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,13,33,0.393939393939394,6,6,1,0,5,0,3,13,0.230769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1875,30.9375,3.75,8.4375,0.9375,1.875,0,0,0.9375,18.75,0,0,0,0,0,0,0,3.75,0,0,3.75,22.5,8.4375,8.4375,0,0,0.9375,5.625,2.8125,2.8125,0,0,0,0.9375,0.9375,0.9375,0,0,0,0,0,0,0,1.875,0,0,0,0,1.875,0,0,0,0,0,0,0.9375,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0,0,0,1.875,0.9375,2.8125,0,0,0,4.6875,0,4.6875,6.5625,0,0,0,2.8125,0,2.8125,0,0,0,0,0,0,0,0.9375,0,12.1875,30.9375,5.625,5.625,0,4.6875,2.8125,12.1875
"Betos","PTFC",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,36,0.777777777777778,17,18,0.944444444444444,4,4,1,0.222222222222222,0,0,0,4,11,0.363636363636364,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,18,26,0.692307692307692,10,10,1,0,0,0,8,9,0.888888888888889,9,9,1,0,0,0,2,2,1,2,2,1,0,0,0,0.722222222222222,0.277777777777778,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0,2,5,0.4,0,0,0,0,5,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,4,0.25,1,1,2,0.5,2,0,2,1,2,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,28,36,0.777777777777778,6,6,1,0,3,0,5,9,0.555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.25,33.75,15.9375,16.875,3.75,3.75,0,0,3.75,10.3125,0,0,0,0,0,0,0.9375,1.875,0,0,16.875,24.375,9.375,9.375,0,0,7.5,8.4375,8.4375,8.4375,0,0,1.875,1.875,1.875,1.875,0,0,0,0,0,0,1.875,4.6875,0,0,0,0,4.6875,0,0,0,0,0,0,2.8125,2.8125,0,0,0,0,0.9375,0,0,0,0,0.9375,0,0,0,0,0,0,0,0,0,0,2.8125,0.9375,3.75,0.9375,0.9375,1.875,1.875,0,1.875,1.875,0,0,0,0.9375,0,0.9375,0,0,0,0.9375,0,0.9375,0,0,0,26.25,33.75,5.625,5.625,0,2.8125,4.6875,8.4375
"Brynjarsdottir","PTFC",0,1,75,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,24,0.625,15,24,0.625,11,15,0.733333333333333,0.6,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,3,9,0.333333333333333,5,8,0.625,7,7,1,3,9,0.333333333333333,5,8,0.625,7,7,1,0,1,0,4,7,0.571428571428571,7,7,1,0.375,0.333333333333333,0.291666666666667,0.375,0.333333333333333,0.291666666666667,0.0666666666666667,0.466666666666667,0.466666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,6,7,2,5,9,4,5,0.444444444444444,0,1,0,0,0,0,3,25,7,1,5,1,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.2,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28.8,18,28.8,13.2,18,0,0,0,1.2,1.2,1.2,0,0,0,0,0,1.2,1.2,1.2,3.6,10.8,6,9.6,8.4,8.4,3.6,10.8,6,9.6,8.4,8.4,0,1.2,4.8,8.4,8.4,8.4,0,0,0,0,0,0,0,0,0,0,0,0,2.4,2.4,2.4,2.4,7.2,8.4,2.4,6,10.8,4.8,6,0,1.2,0,0,0,0,3.6,30,8.4,1.2,6,1.2,0,2.4,1.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Buczkowski","FCKC",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,35,0.857142857142857,30,35,0.857142857142857,19,23,0.826086956521739,0.657142857142857,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,13,17,0.764705882352941,11,11,1,6,7,0.857142857142857,13,17,0.764705882352941,11,11,1,6,7,0.857142857142857,8,12,0.666666666666667,6,6,1,5,5,1,0.485714285714286,0.314285714285714,0.2,0.485714285714286,0.314285714285714,0.2,0.521739130434783,0.260869565217391,0.217391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,2,14,6,8,2,2,0,1,1,1,0,0,0,0,2,37,4,1,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.125,32.8125,28.125,32.8125,17.8125,21.5625,0,0,0,0.9375,0,1.875,0,0,0,0,0,0.9375,0,1.875,12.1875,15.9375,10.3125,10.3125,5.625,6.5625,12.1875,15.9375,10.3125,10.3125,5.625,6.5625,7.5,11.25,5.625,5.625,4.6875,4.6875,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0.9375,1.875,0,1.875,13.125,5.625,7.5,1.875,1.875,0,0.9375,0.9375,0,0,0,0,1.875,34.6875,3.75,0.9375,0,0.9375,0,0,2.8125,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frisbie","FCKC",0,1,96,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,28,0.75,16,20,0.8,8,10,0.8,0.5,0,1,0,1,6,0.166666666666667,1,1,1,5,7,0.714285714285714,0,1,0,1,4,0.25,1,1,1,14,19,0.736842105263158,4,6,0.666666666666667,3,3,1,12,15,0.8,2,3,0.666666666666667,2,2,1,5,6,0.833333333333333,1,2,0.5,2,2,1,0.678571428571429,0.214285714285714,0.107142857142857,0.75,0.15,0.1,0.6,0.2,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0,1,2,4,3,1,4,1,3,0.25,0,1,0,0,0,0,1,10,4,2,5,4,0,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0.9375,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6875,26.25,15,18.75,7.5,9.375,0,0.9375,0.9375,5.625,0.9375,0.9375,4.6875,6.5625,0,0.9375,0.9375,3.75,0.9375,0.9375,13.125,17.8125,3.75,5.625,2.8125,2.8125,11.25,14.0625,1.875,2.8125,1.875,1.875,4.6875,5.625,0.9375,1.875,1.875,1.875,0,0.9375,0,0,0,0,0,0,0,0,0,0.9375,0.9375,1.875,0,0.9375,1.875,3.75,2.8125,0.9375,3.75,0.9375,2.8125,0,0.9375,0,0,0,0,0.9375,9.375,3.75,1.875,4.6875,3.75,0,4.6875,1.875,5.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Groom","FCKC",0,1,96,1,1,2,0,2,0,5,0.6,3,2,0.6,1,1,0,0,0,0,2,0.5,0,0,0,0,0,0,0,0,2,5,0.4,2,5,0.4,1,3,0.333333333333333,0.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0.5,1,1,1,0,2,0,1,2,0.5,1,1,1,0,2,0,1,1,1,0,0,0,0.4,0.4,0.2,0.4,0.4,0.2,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0.5,3,2,8,7,4,3,7,5,2,0.714285714285714,1,3,1,1,1,0,1,33,6,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,1.875,0,1.875,0,4.6875,2.8125,1.875,0.9375,0.9375,0,0,0,0,1.875,0,0,0,0,0,0,0,0,1.875,4.6875,1.875,4.6875,0.9375,2.8125,0,0,0,0,0,0.9375,0,0,0,0,0,0,0,0.9375,0,1.875,0.9375,1.875,0.9375,0.9375,0,1.875,0.9375,1.875,0.9375,0.9375,0,1.875,0.9375,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8125,2.8125,5.625,2.8125,1.875,7.5,6.5625,3.75,2.8125,6.5625,4.6875,1.875,0.9375,2.8125,0.9375,0.9375,0.9375,0,0.9375,30.9375,5.625,0,0,0,0,0,1.875,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heath","PTFC",0,1,96,1,0,0,0,2,1,3,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,42,55,0.763636363636364,37,46,0.804347826086957,26,30,0.866666666666667,0.652173913043478,2,6,0.333333333333333,0,3,0,0,2,0,1,2,0.5,1,2,0.5,0,2,0,0,1,0,13,21,0.619047619047619,16,19,0.842105263157895,13,15,0.866666666666667,13,18,0.722222222222222,12,14,0.857142857142857,12,14,0.857142857142857,5,6,0.833333333333333,11,13,0.846153846153846,10,11,0.909090909090909,0.381818181818182,0.345454545454545,0.272727272727273,0.391304347826087,0.304347826086957,0.304347826086957,0.2,0.433333333333333,0.366666666666667,2,3,0.666666666666667,1,1,2,4,0.5,0,0,2,0,6,10,5,15,0.666666666666667,3,1,9,14,10,4,1,0,1,0,4,1,0,0,0,0,1,31,3,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.875,0.9375,2.8125,0,2.8125,0,0,0,0,0,0,0,0.9375,0.9375,0.9375,0,0,0,0,0,39.375,51.5625,34.6875,43.125,24.375,28.125,1.875,5.625,0,2.8125,0,1.875,0.9375,1.875,0.9375,1.875,0,1.875,0,0.9375,12.1875,19.6875,15,17.8125,12.1875,14.0625,12.1875,16.875,11.25,13.125,11.25,13.125,4.6875,5.625,10.3125,12.1875,9.375,10.3125,1.875,2.8125,0.9375,0.9375,1.875,3.75,0,0,1.875,0,5.625,9.375,4.6875,14.0625,2.8125,0.9375,8.4375,13.125,9.375,3.75,0.9375,0,0.9375,3.75,0.9375,0,0,0,0,0.9375,29.0625,2.8125,0.9375,0.9375,0,0,0.9375,0.9375,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horan","PTFC",0,1,96,1,1,0,0,2,0,3,0.333333333333333,2,1,0.666666666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,47,62,0.758064516129032,46,61,0.754098360655738,21,28,0.75,0.459016393442623,2,3,0.666666666666667,2,4,0.5,1,2,0.5,0,0,0,2,3,0.666666666666667,2,4,0.5,1,2,0.5,21,34,0.617647058823529,12,14,0.857142857142857,14,14,1,21,34,0.617647058823529,12,14,0.857142857142857,13,13,1,5,11,0.454545454545455,6,7,0.857142857142857,10,10,1,0.548387096774194,0.225806451612903,0.225806451612903,0.557377049180328,0.229508196721311,0.213114754098361,0.392857142857143,0.25,0.357142857142857,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3,4,0.25,4,4,11,18,15,3,10,8,2,0.8,1,0,0,0,0,0,4,27,7,0,3,1,0,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0,1.875,0,2.8125,1.875,0.9375,0,0,0,0,0,0,0,0,0.9375,0,0,0,0.9375,0,0,44.0625,58.125,43.125,57.1875,19.6875,26.25,1.875,2.8125,1.875,3.75,0.9375,1.875,0,0,1.875,2.8125,1.875,3.75,0.9375,1.875,19.6875,31.875,11.25,13.125,13.125,13.125,19.6875,31.875,11.25,13.125,12.1875,12.1875,4.6875,10.3125,5.625,6.5625,9.375,9.375,0.9375,0.9375,0,0,0,0,0,0,0,0,0,0.9375,2.8125,3.75,3.75,3.75,10.3125,16.875,14.0625,2.8125,9.375,7.5,1.875,0.9375,0,0,0,0,0,3.75,25.3125,6.5625,0,2.8125,0.9375,0,2.8125,5.625,6.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kastor","FCKC",0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,11.25,11.25,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,11.25,0,0,0,0,11.25,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,0,11.25,0,11.25,0,0,0,0,0,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
