"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Averbuch","FCKC",0,1,98,1,1,1,0,1,0,3,0.666666666666667,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,47,0.74468085106383,33,44,0.75,13,19,0.684210526315789,0.431818181818182,1,3,0.333333333333333,2,6,0.333333333333333,1,1,1,1,1,1,0,1,0,2,6,0.333333333333333,1,1,1,24,34,0.705882352941177,9,11,0.818181818181818,2,2,1,24,34,0.705882352941177,7,8,0.875,2,2,1,12,17,0.705882352941177,0,1,0,1,1,1,0.723404255319149,0.234042553191489,0.0425531914893617,0.772727272727273,0.181818181818182,0.0454545454545455,0.894736842105263,0.0526315789473684,0.0526315789473684,1,2,0.5,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,2,2,5,4,1,0,0,0,0,0,0,0,0,0,0,1,2,3,2,4,6,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.918367346938775,0.918367346938775,0,0.918367346938775,0,2.75510204081633,0,2.75510204081633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.1428571428571,43.1632653061224,30.3061224489796,40.4081632653061,11.9387755102041,17.4489795918367,0.918367346938775,2.75510204081633,1.83673469387755,5.51020408163265,0.918367346938775,0.918367346938775,0.918367346938775,0.918367346938775,0,0.918367346938775,1.83673469387755,5.51020408163265,0.918367346938775,0.918367346938775,22.0408163265306,31.2244897959184,8.26530612244898,10.1020408163265,1.83673469387755,1.83673469387755,22.0408163265306,31.2244897959184,6.42857142857143,7.3469387755102,1.83673469387755,1.83673469387755,11.0204081632653,15.6122448979592,0,0.918367346938775,0.918367346938775,0.918367346938775,0.918367346938775,1.83673469387755,0,0,0,0,0,0,2.75510204081633,0.918367346938775,2.75510204081633,0,0,0,0,1.83673469387755,1.83673469387755,4.59183673469388,3.6734693877551,0.918367346938775,0,0,0,0,0,0,0,0,0,0.918367346938775,1.83673469387755,2.75510204081633,1.83673469387755,3.6734693877551,5.51020408163265,0,0.918367346938775,1.83673469387755,1.83673469387755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnhart","FCKC",0,1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,0.80952380952381,7,8,0.875,3,3,1,0.375,0,0,0,2,6,0.333333333333333,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,14,18,0.777777777777778,3,3,1,0,0,0,7,8,0.875,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0.857142857142857,0.142857142857143,0,1,0,0,1,0,0,0,0,0,0,0,3,4,0.75,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0.2,1,0,1,0,3,0,3,1,5,0,0,1,3,0,3,2,0,2,0,0,0,0,1,0,17,21,0.80952380952381,4,4,1,0,2,0,6,7,0.857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6122448979592,19.2857142857143,6.42857142857143,7.3469387755102,2.75510204081633,2.75510204081633,0,0,1.83673469387755,5.51020408163265,0,0,0,0,0,0,0.918367346938775,1.83673469387755,0,0,12.8571428571429,16.530612244898,2.75510204081633,2.75510204081633,0,0,6.42857142857143,7.3469387755102,0,0,0,0,2.75510204081633,2.75510204081633,0,0,0,0,0,0,0,0,2.75510204081633,3.6734693877551,0,0,0,0,3.6734693877551,0,0,0,0,0,0,0.918367346938775,0.918367346938775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6734693877551,0.918367346938775,4.59183673469388,0.918367346938775,0,0.918367346938775,2.75510204081633,0,2.75510204081633,4.59183673469388,0,0,0.918367346938775,2.75510204081633,0,2.75510204081633,1.83673469387755,0,1.83673469387755,0,0,0,0,0.918367346938775,0,15.6122448979592,19.2857142857143,3.6734693877551,3.6734693877551,0,1.83673469387755,5.51020408163265,6.42857142857143
"Bowen","FCKC",0,1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,35,0.714285714285714,23,30,0.766666666666667,14,16,0.875,0.533333333333333,0,0,0,0,2,0,1,2,0.5,2,5,0.4,0,0,0,0,2,0,1,2,0.5,15,25,0.6,2,2,1,8,8,1,14,21,0.666666666666667,2,2,1,7,7,1,9,11,0.818181818181818,2,2,1,3,3,1,0.714285714285714,0.0571428571428571,0.228571428571429,0.7,0.0666666666666667,0.233333333333333,0.6875,0.125,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,5,1,4,2,2,0.5,0,1,0,0,0,0,1,11,4,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9591836734694,32.1428571428571,21.1224489795918,27.5510204081633,12.8571428571429,14.6938775510204,0,0,0,1.83673469387755,0.918367346938775,1.83673469387755,1.83673469387755,4.59183673469388,0,0,0,1.83673469387755,0.918367346938775,1.83673469387755,13.7755102040816,22.9591836734694,1.83673469387755,1.83673469387755,7.3469387755102,7.3469387755102,12.8571428571429,19.2857142857143,1.83673469387755,1.83673469387755,6.42857142857143,6.42857142857143,8.26530612244898,10.1020408163265,1.83673469387755,1.83673469387755,2.75510204081633,2.75510204081633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.918367346938775,0.918367346938775,1.83673469387755,5.51020408163265,4.59183673469388,0.918367346938775,3.6734693877551,1.83673469387755,1.83673469387755,0,0.918367346938775,0,0,0,0,0.918367346938775,10.1020408163265,3.6734693877551,0.918367346938775,0.918367346938775,1.83673469387755,0.918367346938775,0,0.918367346938775,0.918367346938775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Conheeney","SBFC",0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0.857142857142857,6,6,1,2,2,1,0.333333333333333,0,0,0,1,2,0.5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,3,0.666666666666667,0,0,0,4,4,1,2,2,1,0,0,0,4,4,1,0,0,0,0,0,0,2,2,1,0.428571428571429,0,0.571428571428571,0.333333333333333,0,0.666666666666667,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,45,45,15,15,0,0,7.5,15,0,0,0,0,0,0,7.5,7.5,0,0,15,22.5,0,0,30,30,15,15,0,0,30,30,0,0,0,0,15,15,0,0,0,0,0,7.5,0,0,0,0,7.5,0,0,0,15,0,15,0,0,0,7.5,0,7.5,0,7.5,0,0,0,0,0,30,15,7.5,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galton","SBFC",0,1,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,0.611111111111111,10,16,0.625,7,11,0.636363636363636,0.6875,1,5,0.2,0,0,0,1,1,1,0,0,0,0,3,0,0,0,0,1,1,1,3,5,0.6,2,7,0.285714285714286,6,6,1,3,5,0.6,1,5,0.2,6,6,1,1,2,0.5,1,4,0.25,5,5,1,0.277777777777778,0.388888888888889,0.333333333333333,0.3125,0.3125,0.375,0.181818181818182,0.363636363636364,0.454545454545455,1,1,1,0,0,0,1,0,0,0,0,0,1,3,1,4,0.75,3,5,9,2,0,2,3,1,2,0.333333333333333,2,0,0,0,0,0,0,18,1,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5116279069767,18.8372093023256,10.4651162790698,16.7441860465116,7.32558139534884,11.5116279069767,1.04651162790698,5.23255813953488,0,0,1.04651162790698,1.04651162790698,0,0,0,3.13953488372093,0,0,1.04651162790698,1.04651162790698,3.13953488372093,5.23255813953488,2.09302325581395,7.32558139534884,6.27906976744186,6.27906976744186,3.13953488372093,5.23255813953488,1.04651162790698,5.23255813953488,6.27906976744186,6.27906976744186,1.04651162790698,2.09302325581395,1.04651162790698,4.18604651162791,5.23255813953488,5.23255813953488,1.04651162790698,1.04651162790698,0,0,0,1.04651162790698,0,0,0,0,1.04651162790698,3.13953488372093,1.04651162790698,4.18604651162791,3.13953488372093,5.23255813953488,9.41860465116279,2.09302325581395,0,2.09302325581395,3.13953488372093,1.04651162790698,2.09302325581395,2.09302325581395,0,0,0,0,0,0,18.8372093023256,1.04651162790698,3.13953488372093,2.09302325581395,1.04651162790698,0,0,1.04651162790698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Groom","FCKC",0,1,98,1,0,0,0,3,0,3,0,2,1,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,1,14,14,1,10,10,1,0.714285714285714,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,4,4,1,3,3,1,7,7,1,4,4,1,3,3,1,7,7,1,2,2,1,2,2,1,6,6,1,0.285714285714286,0.214285714285714,0.5,0.285714285714286,0.214285714285714,0.5,0.2,0.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0.25,4,1,8,4,2,2,5,3,2,0.6,0,1,0,0,0,0,2,28,3,1,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75510204081633,0,2.75510204081633,1.83673469387755,0.918367346938775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8571428571429,12.8571428571429,12.8571428571429,12.8571428571429,9.18367346938776,9.18367346938776,0,0,0,0,0.918367346938775,0.918367346938775,0,0,0,0,0,0,0.918367346938775,0.918367346938775,3.6734693877551,3.6734693877551,2.75510204081633,2.75510204081633,6.42857142857143,6.42857142857143,3.6734693877551,3.6734693877551,2.75510204081633,2.75510204081633,6.42857142857143,6.42857142857143,1.83673469387755,1.83673469387755,1.83673469387755,1.83673469387755,5.51020408163265,5.51020408163265,0,0,0,0,0,0,0,0,0,0,0,0.918367346938775,2.75510204081633,3.6734693877551,3.6734693877551,0.918367346938775,7.3469387755102,3.6734693877551,1.83673469387755,1.83673469387755,4.59183673469388,2.75510204081633,1.83673469387755,0,0.918367346938775,0,0,0,0,1.83673469387755,25.7142857142857,2.75510204081633,0.918367346938775,0.918367346938775,0,0,0.918367346938775,0.918367346938775,2.75510204081633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grubka","SBFC",0,1,98,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,41,0.804878048780488,33,40,0.825,12,18,0.666666666666667,0.45,0,0,0,2,7,0.285714285714286,0,0,0,0,1,0,0,0,0,2,7,0.285714285714286,0,0,0,22,30,0.733333333333333,6,6,1,5,5,1,22,29,0.758620689655172,6,6,1,5,5,1,10,16,0.625,1,1,1,1,1,1,0.731707317073171,0.146341463414634,0.121951219512195,0.725,0.15,0.125,0.888888888888889,0.0555555555555556,0.0555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10,10,0,2,1,1,0.5,0,1,0,0,0,0,7,6,3,2,6,5,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.918367346938775,0,0.918367346938775,0,0.918367346938775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3061224489796,37.6530612244898,30.3061224489796,36.734693877551,11.0204081632653,16.530612244898,0,0,1.83673469387755,6.42857142857143,0,0,0,0.918367346938775,0,0,1.83673469387755,6.42857142857143,0,0,20.2040816326531,27.5510204081633,5.51020408163265,5.51020408163265,4.59183673469388,4.59183673469388,20.2040816326531,26.6326530612245,5.51020408163265,5.51020408163265,4.59183673469388,4.59183673469388,9.18367346938776,14.6938775510204,0.918367346938775,0.918367346938775,0.918367346938775,0.918367346938775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.918367346938775,0,0.918367346938775,9.18367346938776,9.18367346938776,0,1.83673469387755,0.918367346938775,0.918367346938775,0,0.918367346938775,0,0,0,0,6.42857142857143,5.51020408163265,2.75510204081633,1.83673469387755,5.51020408163265,4.59183673469388,0,0.918367346938775,0.918367346938775,7.3469387755102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hayes","SBFC",0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,9,9,0,0,0,0,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,4.5,0,4.5,4.5,4.5,9,9,4.5,4.5,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kai","SBFC",0,1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0.8,8,10,0.8,4,4,1,0.363636363636364,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,4,6,0.666666666666667,1,1,1,3,3,1,4,6,0.666666666666667,1,1,1,3,3,1,2,2,1,0,0,0,2,2,1,0.6,0.1,0.3,0.6,0.1,0.3,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,4,8,5,3,2,3,1,2,0.333333333333333,0,0,1,0,0,0,3,43,4,0,1,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3469387755102,9.18367346938776,7.3469387755102,9.18367346938776,3.6734693877551,3.6734693877551,0,0,0,0,0.918367346938775,0.918367346938775,0,0,0,0,0,0,0.918367346938775,0.918367346938775,3.6734693877551,5.51020408163265,0.918367346938775,0.918367346938775,2.75510204081633,2.75510204081633,3.6734693877551,5.51020408163265,0.918367346938775,0.918367346938775,2.75510204081633,2.75510204081633,1.83673469387755,1.83673469387755,0,0,1.83673469387755,1.83673469387755,0,0,0,0,0,0,0,0,0,0,0,0,1.83673469387755,1.83673469387755,1.83673469387755,3.6734693877551,7.3469387755102,4.59183673469388,2.75510204081633,1.83673469387755,2.75510204081633,0.918367346938775,1.83673469387755,0,0,0.918367346938775,0,0,0,2.75510204081633,39.4897959183673,3.6734693877551,0,0.918367346938775,0.918367346938775,0,0.918367346938775,1.83673469387755,3.6734693877551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kastor","FCKC",0,1,60,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,0.631578947368421,12,19,0.631578947368421,7,11,0.636363636363636,0.578947368421053,1,4,0.25,1,2,0.5,1,1,1,0,0,0,1,4,0.25,1,2,0.5,1,1,1,6,9,0.666666666666667,2,5,0.4,4,5,0.8,6,9,0.666666666666667,2,5,0.4,4,5,0.8,3,3,1,0,3,0,4,5,0.8,0.473684210526316,0.263157894736842,0.263157894736842,0.473684210526316,0.263157894736842,0.263157894736842,0.272727272727273,0.272727272727273,0.454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,2,1,1,0.5,0,1,0,0,0,0,1,19,4,2,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28.5,18,28.5,10.5,16.5,1.5,6,1.5,3,1.5,1.5,0,0,1.5,6,1.5,3,1.5,1.5,9,13.5,3,7.5,6,7.5,9,13.5,3,7.5,6,7.5,4.5,4.5,0,4.5,6,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,3,3,1.5,1.5,3,1.5,1.5,0,1.5,0,0,0,0,1.5,28.5,6,3,1.5,0,0,1.5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
