"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Averbuch","FCKC",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,76,0.763157894736842,53,70,0.757142857142857,26,34,0.764705882352941,0.485714285714286,0,1,0,5,9,0.555555555555556,0,0,0,2,2,1,0,1,0,3,7,0.428571428571429,0,0,0,45,63,0.714285714285714,9,9,1,4,4,1,41,58,0.706896551724138,8,8,1,4,4,1,19,27,0.703703703703704,5,5,1,2,2,1,0.828947368421053,0.118421052631579,0.0526315789473684,0.828571428571429,0.114285714285714,0.0571428571428571,0.794117647058823,0.147058823529412,0.0588235294117647,0,0,0,0,0,3,4,0.75,0,0,0,0,4,0,0,0,0,1,0,1,10,8,2,3,3,0,1,0,0,0,0,0,0,1,15,9,4,1,1,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.531914893617,72.7659574468085,50.7446808510638,67.0212765957447,24.8936170212766,32.5531914893617,0,0.957446808510638,4.78723404255319,8.61702127659574,0,0,1.91489361702128,1.91489361702128,0,0.957446808510638,2.87234042553191,6.70212765957447,0,0,43.0851063829787,60.3191489361702,8.61702127659574,8.61702127659574,3.82978723404255,3.82978723404255,39.2553191489362,55.531914893617,7.65957446808511,7.65957446808511,3.82978723404255,3.82978723404255,18.1914893617021,25.8510638297872,4.78723404255319,4.78723404255319,1.91489361702128,1.91489361702128,0,0,0,0,2.87234042553191,3.82978723404255,0,0,0,0,3.82978723404255,0,0,0,0.957446808510638,0,0.957446808510638,9.57446808510638,7.65957446808511,1.91489361702128,2.87234042553191,2.87234042553191,0,0,0,0,0,0,0,0.957446808510638,14.3617021276596,8.61702127659574,3.82978723404255,0.957446808510638,0.957446808510638,0,1.91489361702128,1.91489361702128,2.87234042553191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnhart","FCKC",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,27,0.666666666666667,9,10,0.9,2,2,1,0.2,0,0,0,1,5,0.2,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,17,24,0.708333333333333,1,2,0.5,0,1,0,8,9,0.888888888888889,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0.888888888888889,0.0740740740740741,0.037037037037037,0.9,0.1,0,0.5,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,8,0.125,3,0,3,0,1,0,1,1,3,0,0,2,1,0,1,0,0,0,0,0,0,0,2,0,18,27,0.666666666666667,7,10,0.7,0,1,0,2,6,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2340425531915,25.8510638297872,8.61702127659574,9.57446808510638,1.91489361702128,1.91489361702128,0,0,0.957446808510638,4.78723404255319,0,0,0,0,0,0,0.957446808510638,1.91489361702128,0,0,16.2765957446809,22.9787234042553,0.957446808510638,1.91489361702128,0,0.957446808510638,7.65957446808511,8.61702127659574,0.957446808510638,0.957446808510638,0,0,0.957446808510638,0.957446808510638,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,0.957446808510638,0,0,0,0,0.957446808510638,0,0,0,0,0,0,3.82978723404255,1.91489361702128,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.70212765957447,0.957446808510638,7.65957446808511,2.87234042553191,0,2.87234042553191,0.957446808510638,0,0.957446808510638,2.87234042553191,0,0,1.91489361702128,0.957446808510638,0,0.957446808510638,0,0,0,0,0,0,0,1.91489361702128,0,17.2340425531915,25.8510638297872,6.70212765957447,9.57446808510638,0,0.957446808510638,1.91489361702128,5.74468085106383
"Buczkowski","FCKC",0,1,77,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,41,46,0.891304347826087,40,45,0.888888888888889,31,36,0.861111111111111,0.8,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,20,24,0.833333333333333,8,8,1,13,14,0.928571428571429,19,23,0.826086956521739,8,8,1,13,14,0.928571428571429,14,18,0.777777777777778,6,6,1,11,12,0.916666666666667,0.521739130434783,0.173913043478261,0.304347826086957,0.511111111111111,0.177777777777778,0.311111111111111,0.5,0.166666666666667,0.333333333333333,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,2,10,6,4,2,0,2,0,0,2,0,0,0,0,0,42,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16883116883117,0,0,0,1.16883116883117,1.16883116883117,0,0,0,0,0,0,0,0,0,1.16883116883117,0,0,0,1.16883116883117,0,0,47.9220779220779,53.7662337662338,46.7532467532467,52.5974025974026,36.2337662337662,42.0779220779221,0,0,0,2.33766233766234,0,1.16883116883117,0,0,0,0,0,2.33766233766234,0,1.16883116883117,23.3766233766234,28.0519480519481,9.35064935064935,9.35064935064935,15.1948051948052,16.3636363636364,22.2077922077922,26.8831168831169,9.35064935064935,9.35064935064935,15.1948051948052,16.3636363636364,16.3636363636364,21.038961038961,7.01298701298701,7.01298701298701,12.8571428571429,14.025974025974,0,0,0,0,1.16883116883117,1.16883116883117,0,0,0,0,1.16883116883117,0,0,0,1.16883116883117,1.16883116883117,2.33766233766234,11.6883116883117,7.01298701298701,4.67532467532468,2.33766233766234,0,2.33766233766234,0,2.33766233766234,0,0,0,0,0,49.0909090909091,1.16883116883117,2.33766233766234,0,0,0,1.16883116883117,0,1.16883116883117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D'Angelo","WNYF",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,36,0.666666666666667,15,22,0.681818181818182,5,9,0.555555555555556,0.409090909090909,0,0,0,6,16,0.375,0,0,0,0,0,0,0,0,0,4,10,0.4,0,0,0,23,35,0.657142857142857,1,1,1,0,0,0,14,21,0.666666666666667,1,1,1,0,0,0,4,8,0.5,1,1,1,0,0,0,0.972222222222222,0.0277777777777778,0,0.954545454545455,0.0454545454545455,0,0.888888888888889,0.111111111111111,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,4,0,0,0,0,0,3,0,3,1,6,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,24,36,0.666666666666667,2,2,1,0,0,0,7,12,0.583333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9787234042553,34.468085106383,14.3617021276596,21.063829787234,4.78723404255319,8.61702127659574,0,0,5.74468085106383,15.3191489361702,0,0,0,0,0,0,3.82978723404255,9.57446808510638,0,0,22.0212765957447,33.5106382978723,0.957446808510638,0.957446808510638,0,0,13.4042553191489,20.1063829787234,0.957446808510638,0.957446808510638,0,0,3.82978723404255,7.65957446808511,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,1.91489361702128,0,0,0,0,1.91489361702128,0,0,0,0,0,0,2.87234042553191,2.87234042553191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0,0,0,0,3.82978723404255,0,3.82978723404255,0,0,0,2.87234042553191,0,2.87234042553191,5.74468085106383,0,0,0,1.91489361702128,0,1.91489361702128,0,0,0,0,0,0,0,0,0,22.9787234042553,34.468085106383,1.91489361702128,1.91489361702128,0,0,6.70212765957447,11.4893617021277
"Dahlkemper","WNYF",0,1,94,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,23,26,0.884615384615385,23,26,0.884615384615385,16,17,0.941176470588235,0.653846153846154,0,0,0,2,2,1,1,2,0.5,0,0,0,0,0,0,2,2,1,1,2,0.5,13,16,0.8125,3,3,1,7,7,1,13,16,0.8125,3,3,1,7,7,1,7,8,0.875,3,3,1,6,6,1,0.615384615384615,0.115384615384615,0.269230769230769,0.615384615384615,0.115384615384615,0.269230769230769,0.470588235294118,0.176470588235294,0.352941176470588,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,7,6,1,1,0,1,0,0,0,0,0,0,0,1,11,7,3,3,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0,0,0,0.957446808510638,0,0.957446808510638,0,0.957446808510638,0,0,0,0,0.957446808510638,0,0.957446808510638,0,0,0,0.957446808510638,0,0,22.0212765957447,24.8936170212766,22.0212765957447,24.8936170212766,15.3191489361702,16.2765957446809,0,0,1.91489361702128,1.91489361702128,0.957446808510638,1.91489361702128,0,0,0,0,1.91489361702128,1.91489361702128,0.957446808510638,1.91489361702128,12.4468085106383,15.3191489361702,2.87234042553191,2.87234042553191,6.70212765957447,6.70212765957447,12.4468085106383,15.3191489361702,2.87234042553191,2.87234042553191,6.70212765957447,6.70212765957447,6.70212765957447,7.65957446808511,2.87234042553191,2.87234042553191,5.74468085106383,5.74468085106383,0,0,0,0,0,0,0,0,0.957446808510638,0,0.957446808510638,0,0,0,0.957446808510638,0,0.957446808510638,6.70212765957447,5.74468085106383,0.957446808510638,0.957446808510638,0,0.957446808510638,0,0,0,0,0,0,0.957446808510638,10.531914893617,6.70212765957447,2.87234042553191,2.87234042553191,3.82978723404255,0,0,2.87234042553191,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doniak","WNYF",0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,15,15,0,15,0,0,0,0,0,0,0,0,0,0,60,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eddy","WNYF",0,1,94,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,49,0.693877551020408,30,42,0.714285714285714,27,34,0.794117647058823,0.80952380952381,1,1,1,0,4,0,0,1,0,3,6,0.5,1,1,1,0,4,0,0,1,0,20,31,0.645161290322581,7,8,0.875,7,10,0.7,18,27,0.666666666666667,6,7,0.857142857142857,6,8,0.75,16,21,0.761904761904762,5,5,1,6,8,0.75,0.63265306122449,0.163265306122449,0.204081632653061,0.642857142857143,0.166666666666667,0.19047619047619,0.617647058823529,0.147058823529412,0.235294117647059,0,0,0,0,0,1,1,1,0,0,0,0,1,3,1,4,0.75,1,1,3,16,13,3,0,0,0,0,1,2,0,0,0,1,4,21,6,2,3,2,0,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0,0,0,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5531914893617,46.9148936170213,28.7234042553191,40.2127659574468,25.8510638297872,32.5531914893617,0.957446808510638,0.957446808510638,0,3.82978723404255,0,0.957446808510638,2.87234042553191,5.74468085106383,0.957446808510638,0.957446808510638,0,3.82978723404255,0,0.957446808510638,19.1489361702128,29.6808510638298,6.70212765957447,7.65957446808511,6.70212765957447,9.57446808510638,17.2340425531915,25.8510638297872,5.74468085106383,6.70212765957447,5.74468085106383,7.65957446808511,15.3191489361702,20.1063829787234,4.78723404255319,4.78723404255319,5.74468085106383,7.65957446808511,0,0,0,0,0.957446808510638,0.957446808510638,0,0,0,0,0.957446808510638,2.87234042553191,0.957446808510638,3.82978723404255,0.957446808510638,0.957446808510638,2.87234042553191,15.3191489361702,12.4468085106383,2.87234042553191,0,0,0,0.957446808510638,1.91489361702128,0,0,0,0.957446808510638,3.82978723404255,20.1063829787234,5.74468085106383,1.91489361702128,2.87234042553191,1.91489361702128,0,1.91489361702128,2.87234042553191,5.74468085106383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erceg","WNYF",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,33,0.818181818181818,24,29,0.827586206896552,17,21,0.80952380952381,0.724137931034483,0,0,0,1,6,0.166666666666667,0,0,0,0,0,0,0,0,0,1,5,0.2,0,0,0,14,20,0.7,4,4,1,9,9,1,13,18,0.722222222222222,3,3,1,8,8,1,9,13,0.692307692307692,2,2,1,6,6,1,0.606060606060606,0.121212121212121,0.272727272727273,0.620689655172414,0.103448275862069,0.275862068965517,0.619047619047619,0.0952380952380952,0.285714285714286,0,0,0,0,0,3,4,0.75,0,0,0,0,4,1,0,1,1,0,0,0,4,3,0,4,3,1,0.75,0,0,0,0,0,0,2,21,2,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8510638297872,31.5957446808511,22.9787234042553,27.7659574468085,16.2765957446809,20.1063829787234,0,0,0.957446808510638,5.74468085106383,0,0,0,0,0,0,0.957446808510638,4.78723404255319,0,0,13.4042553191489,19.1489361702128,3.82978723404255,3.82978723404255,8.61702127659574,8.61702127659574,12.4468085106383,17.2340425531915,2.87234042553191,2.87234042553191,7.65957446808511,7.65957446808511,8.61702127659574,12.4468085106383,1.91489361702128,1.91489361702128,5.74468085106383,5.74468085106383,0,0,0,0,2.87234042553191,3.82978723404255,0,0,0,0,3.82978723404255,0.957446808510638,0,0.957446808510638,0,0,0,3.82978723404255,2.87234042553191,0,3.82978723404255,2.87234042553191,0.957446808510638,0,0,0,0,0,0,1.91489361702128,20.1063829787234,1.91489361702128,0.957446808510638,1.91489361702128,3.82978723404255,0,0,0.957446808510638,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Groom","FCKC",0,1,94,1,0,2,0,1,0,3,0.666666666666667,1,2,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,24,0.916666666666667,22,24,0.916666666666667,19,21,0.904761904761905,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,6,7,0.857142857142857,15,15,1,1,2,0.5,6,7,0.857142857142857,15,15,1,1,2,0.5,4,5,0.8,14,14,1,0.0833333333333333,0.291666666666667,0.625,0.0833333333333333,0.291666666666667,0.625,0.0952380952380952,0.238095238095238,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,1,2,3,8,3,5,8,3,5,0.375,0,0,0,0,0,0,0,41,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91489361702128,0,0.957446808510638,0,2.87234042553191,0.957446808510638,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.063829787234,22.9787234042553,21.063829787234,22.9787234042553,18.1914893617021,20.1063829787234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,1.91489361702128,5.74468085106383,6.70212765957447,14.3617021276596,14.3617021276596,0.957446808510638,1.91489361702128,5.74468085106383,6.70212765957447,14.3617021276596,14.3617021276596,0.957446808510638,1.91489361702128,3.82978723404255,4.78723404255319,13.4042553191489,13.4042553191489,0,0,0,0,0,0,0,0,0,0,0,2.87234042553191,0,2.87234042553191,0.957446808510638,1.91489361702128,2.87234042553191,7.65957446808511,2.87234042553191,4.78723404255319,7.65957446808511,2.87234042553191,4.78723404255319,0,0,0,0,0,0,0,39.2553191489362,10.531914893617,0,0,0,0,0,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hahn","WNYF",0,1,94,1,0,0,0,2,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,27,0.888888888888889,24,27,0.888888888888889,18,18,1,0.666666666666667,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,12,14,0.857142857142857,4,5,0.8,8,8,1,12,14,0.857142857142857,4,5,0.8,8,8,1,9,9,1,2,2,1,7,7,1,0.518518518518518,0.185185185185185,0.296296296296296,0.518518518518518,0.185185185185185,0.296296296296296,0.5,0.111111111111111,0.388888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,2,0,3,7,5,2,2,1,1,0.5,0,1,0,0,0,0,0,57,4,3,3,1,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91489361702128,0,1.91489361702128,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9787234042553,25.8510638297872,22.9787234042553,25.8510638297872,17.2340425531915,17.2340425531915,0,0,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0.957446808510638,0.957446808510638,0,0,11.4893617021277,13.4042553191489,3.82978723404255,4.78723404255319,7.65957446808511,7.65957446808511,11.4893617021277,13.4042553191489,3.82978723404255,4.78723404255319,7.65957446808511,7.65957446808511,8.61702127659574,8.61702127659574,1.91489361702128,1.91489361702128,6.70212765957447,6.70212765957447,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0.957446808510638,1.91489361702128,1.91489361702128,0,2.87234042553191,6.70212765957447,4.78723404255319,1.91489361702128,1.91489361702128,0.957446808510638,0.957446808510638,0,0.957446808510638,0,0,0,0,0,54.5744680851064,3.82978723404255,2.87234042553191,2.87234042553191,0.957446808510638,0,1.91489361702128,5.74468085106383,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
