"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Beckmann","BOS",0,1,79,1,0,0,0,3,0,3,0,1,2,0.333333333333333,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,15,22,0.681818181818182,15,22,0.681818181818182,13,19,0.684210526315789,0.863636363636364,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,6,0.666666666666667,5,9,0.555555555555556,6,7,0.857142857142857,4,6,0.666666666666667,5,9,0.555555555555556,6,7,0.857142857142857,3,4,0.75,5,9,0.555555555555556,5,6,0.833333333333333,0.272727272727273,0.409090909090909,0.318181818181818,0.272727272727273,0.409090909090909,0.318181818181818,0.210526315789474,0.473684210526316,0.315789473684211,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,0.375,0,2,7,4,2,2,4,1,3,0.25,1,3,0,0,0,0,1,29,7,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41772151898734,0,3.41772151898734,1.13924050632911,2.27848101265823,0,0,1.13924050632911,0,0,0,1.13924050632911,0,1.13924050632911,0,0,0,1.13924050632911,0,0,17.0886075949367,25.0632911392405,17.0886075949367,25.0632911392405,14.8101265822785,21.6455696202532,0,2.27848101265823,0,0,0,0,0,0,0,2.27848101265823,0,0,0,0,4.55696202531646,6.83544303797468,5.69620253164557,10.253164556962,6.83544303797468,7.9746835443038,4.55696202531646,6.83544303797468,5.69620253164557,10.253164556962,6.83544303797468,7.9746835443038,3.41772151898734,4.55696202531646,5.69620253164557,10.253164556962,5.69620253164557,6.83544303797468,0,0,0,0,0,0,0,0,0,0,0,3.41772151898734,5.69620253164557,9.11392405063291,0,2.27848101265823,7.9746835443038,4.55696202531646,2.27848101265823,2.27848101265823,4.55696202531646,1.13924050632911,3.41772151898734,1.13924050632911,3.41772151898734,0,0,0,0,1.13924050632911,33.0379746835443,7.9746835443038,1.13924050632911,1.13924050632911,0,0,0,2.27848101265823,1.13924050632911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burkenroad","ORL",0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0.777777777777778,7,9,0.777777777777778,4,5,0.8,0.555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0.6,1,1,1,3,3,1,3,5,0.6,1,1,1,3,3,1,2,3,0.666666666666667,1,1,1,1,1,1,0.555555555555556,0.111111111111111,0.333333333333333,0.555555555555556,0.111111111111111,0.333333333333333,0.6,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7241379310345,27.9310344827586,21.7241379310345,27.9310344827586,12.4137931034483,15.5172413793103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.31034482758621,15.5172413793103,3.10344827586207,3.10344827586207,9.31034482758621,9.31034482758621,9.31034482758621,15.5172413793103,3.10344827586207,3.10344827586207,9.31034482758621,9.31034482758621,6.20689655172414,9.31034482758621,3.10344827586207,3.10344827586207,3.10344827586207,3.10344827586207,0,0,0,0,0,0,0,0,0,0,0,3.10344827586207,0,3.10344827586207,3.10344827586207,3.10344827586207,6.20689655172414,0,0,0,3.10344827586207,3.10344827586207,0,3.10344827586207,0,0,0,0,0,0,15.5172413793103,0,3.10344827586207,0,0,0,3.10344827586207,0,3.10344827586207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edmonds","ORL",0,1,99,1,2,0,0,1,0,3,0.666666666666667,2,1,0.666666666666667,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,43,58,0.741379310344828,38,50,0.76,29,37,0.783783783783784,0.74,2,6,0.333333333333333,0,1,0,0,3,0,1,2,0.5,0,2,0,0,1,0,0,3,0,10,20,0.5,17,21,0.80952380952381,16,17,0.941176470588235,9,18,0.5,14,16,0.875,15,16,0.9375,7,12,0.583333333333333,8,10,0.8,14,15,0.933333333333333,0.344827586206897,0.362068965517241,0.293103448275862,0.36,0.32,0.32,0.324324324324324,0.27027027027027,0.405405405405405,1,1,1,0,0,3,5,0.6,0,1,1,1,6,4,1,5,0.8,1,0,2,11,7,4,0,0,0,0,1,0,0,0,0,0,0,36,4,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81818181818182,0,0,0.909090909090909,0,2.72727272727273,1.81818181818182,0.909090909090909,0.909090909090909,0,0,0,0,0,0.909090909090909,0,0.909090909090909,0,0,0,0,0,0,39.0909090909091,52.7272727272727,34.5454545454545,45.4545454545455,26.3636363636364,33.6363636363636,1.81818181818182,5.45454545454546,0,0.909090909090909,0,2.72727272727273,0.909090909090909,1.81818181818182,0,1.81818181818182,0,0.909090909090909,0,2.72727272727273,9.09090909090909,18.1818181818182,15.4545454545455,19.0909090909091,14.5454545454545,15.4545454545455,8.18181818181818,16.3636363636364,12.7272727272727,14.5454545454545,13.6363636363636,14.5454545454545,6.36363636363636,10.9090909090909,7.27272727272727,9.09090909090909,12.7272727272727,13.6363636363636,0.909090909090909,0.909090909090909,0,0,2.72727272727273,4.54545454545454,0,0.909090909090909,0.909090909090909,0.909090909090909,5.45454545454546,3.63636363636364,0.909090909090909,4.54545454545454,0.909090909090909,0,1.81818181818182,10,6.36363636363636,3.63636363636364,0,0,0,0.909090909090909,0,0,0,0,0,0,32.7272727272727,3.63636363636364,1.81818181818182,0,0,0,0.909090909090909,0,0.909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edwards","ORL",0,1,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,40,0.9,36,40,0.9,26,29,0.896551724137931,0.725,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,16,0.8125,13,14,0.928571428571429,10,10,1,13,16,0.8125,13,14,0.928571428571429,10,10,1,9,11,0.818181818181818,8,9,0.888888888888889,9,9,1,0.4,0.35,0.25,0.4,0.35,0.25,0.379310344827586,0.310344827586207,0.310344827586207,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0,1,2,7,4,3,10,7,3,0.7,1,1,0,0,0,0,0,23,8,3,3,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.6338028169014,50.7042253521127,45.6338028169014,50.7042253521127,32.9577464788732,36.7605633802817,0,1.26760563380282,0,0,0,0,0,0,0,1.26760563380282,0,0,0,0,16.4788732394366,20.2816901408451,16.4788732394366,17.7464788732394,12.6760563380282,12.6760563380282,16.4788732394366,20.2816901408451,16.4788732394366,17.7464788732394,12.6760563380282,12.6760563380282,11.4084507042254,13.943661971831,10.1408450704225,11.4084507042254,11.4084507042254,11.4084507042254,0,0,0,0,0,0,0,0,0,0,0,1.26760563380282,1.26760563380282,2.53521126760563,0,1.26760563380282,2.53521126760563,8.87323943661972,5.07042253521127,3.80281690140845,12.6760563380282,8.87323943661972,3.80281690140845,1.26760563380282,1.26760563380282,0,0,0,0,0,29.1549295774648,10.1408450704225,3.80281690140845,3.80281690140845,2.53521126760563,0,2.53521126760563,2.53521126760563,2.53521126760563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elby","BOS",0,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,25,0.72,16,23,0.695652173913043,8,11,0.727272727272727,0.478260869565217,0,0,0,0,1,0,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,12,17,0.705882352941177,5,7,0.714285714285714,1,1,1,11,16,0.6875,4,6,0.666666666666667,1,1,1,5,6,0.833333333333333,2,4,0.5,1,1,1,0.68,0.28,0.04,0.695652173913043,0.260869565217391,0.0434782608695652,0.545454545454545,0.363636363636364,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,11,8,3,4,1,3,0.25,1,3,2,1,0,0,0,14,5,1,4,1,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3636363636364,22.7272727272727,14.5454545454545,20.9090909090909,7.27272727272727,10,0,0,0,0.909090909090909,0,0,1.81818181818182,1.81818181818182,0,0,0,0.909090909090909,0,0,10.9090909090909,15.4545454545455,4.54545454545454,6.36363636363636,0.909090909090909,0.909090909090909,10,14.5454545454545,3.63636363636364,5.45454545454546,0.909090909090909,0.909090909090909,4.54545454545454,5.45454545454546,1.81818181818182,3.63636363636364,0.909090909090909,0.909090909090909,0,0,0,0,0,0,0,0,0,0,0,1.81818181818182,0,1.81818181818182,0,0,0,10,7.27272727272727,2.72727272727273,3.63636363636364,0.909090909090909,2.72727272727273,0.909090909090909,2.72727272727273,1.81818181818182,0.909090909090909,0,0,0,12.7272727272727,4.54545454545454,0.909090909090909,3.63636363636364,0.909090909090909,0,2.72727272727273,2.72727272727273,2.72727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Evans","ORL",0,1,99,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,34,41,0.829268292682927,34,41,0.829268292682927,21,24,0.875,0.585365853658537,0,1,0,1,3,0.333333333333333,0,2,0,0,0,0,0,1,0,1,3,0.333333333333333,0,2,0,15,19,0.789473684210526,8,10,0.8,11,12,0.916666666666667,15,19,0.789473684210526,8,10,0.8,11,12,0.916666666666667,7,9,0.777777777777778,6,6,1,8,9,0.888888888888889,0.463414634146341,0.24390243902439,0.292682926829268,0.463414634146341,0.24390243902439,0.292682926829268,0.375,0.25,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,0,0,10,3,5,5,1,4,0.2,3,1,0,0,0,0,1,21,2,2,0,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.909090909090909,0.909090909090909,0,0.909090909090909,0,0,0,0,0,0,0,0,0.909090909090909,0,0,0,0.909090909090909,0,0,30.9090909090909,37.2727272727273,30.9090909090909,37.2727272727273,19.0909090909091,21.8181818181818,0,0.909090909090909,0.909090909090909,2.72727272727273,0,1.81818181818182,0,0,0,0.909090909090909,0.909090909090909,2.72727272727273,0,1.81818181818182,13.6363636363636,17.2727272727273,7.27272727272727,9.09090909090909,10,10.9090909090909,13.6363636363636,17.2727272727273,7.27272727272727,9.09090909090909,10,10.9090909090909,6.36363636363636,8.18181818181818,5.45454545454546,5.45454545454546,7.27272727272727,8.18181818181818,0,0,0,0,0,0,0,0,0,0,0,3.63636363636364,0,3.63636363636364,0,0,0,9.09090909090909,2.72727272727273,4.54545454545454,4.54545454545454,0.909090909090909,3.63636363636364,2.72727272727273,0.909090909090909,0,0,0,0,0.909090909090909,19.0909090909091,1.81818181818182,1.81818181818182,0,1.81818181818182,0,0.909090909090909,1.81818181818182,1.81818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fields","ORL",0,1,81,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,27,0.592592592592593,16,26,0.615384615384615,13,21,0.619047619047619,0.807692307692308,1,4,0.25,0,2,0,1,3,0.333333333333333,0,1,0,1,4,0.25,0,2,0,1,3,0.333333333333333,1,7,0.142857142857143,8,12,0.666666666666667,7,8,0.875,1,7,0.142857142857143,8,11,0.727272727272727,7,8,0.875,0,5,0,7,10,0.7,6,6,1,0.259259259259259,0.444444444444444,0.296296296296296,0.269230769230769,0.423076923076923,0.307692307692308,0.238095238095238,0.476190476190476,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,0.625,2,2,7,4,3,1,0,0,0,0,1,1,0,0,0,0,1,22,4,1,1,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11111111111111,0,1.11111111111111,1.11111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7777777777778,30,17.7777777777778,28.8888888888889,14.4444444444444,23.3333333333333,1.11111111111111,4.44444444444444,0,2.22222222222222,1.11111111111111,3.33333333333333,0,1.11111111111111,1.11111111111111,4.44444444444444,0,2.22222222222222,1.11111111111111,3.33333333333333,1.11111111111111,7.77777777777778,8.88888888888889,13.3333333333333,7.77777777777778,8.88888888888889,1.11111111111111,7.77777777777778,8.88888888888889,12.2222222222222,7.77777777777778,8.88888888888889,0,5.55555555555556,7.77777777777778,11.1111111111111,6.66666666666667,6.66666666666667,0,0,0,0,0,0,0,0,0,0,0,5.55555555555556,3.33333333333333,8.88888888888889,2.22222222222222,2.22222222222222,7.77777777777778,4.44444444444444,3.33333333333333,1.11111111111111,0,0,0,1.11111111111111,1.11111111111111,0,0,0,0,1.11111111111111,24.4444444444444,4.44444444444444,1.11111111111111,1.11111111111111,0,0,4.44444444444444,1.11111111111111,5.55555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fortune","ORL",0,1,19,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,5,5,1,4,4,1,3,3,1,0.75,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,4,4,1,1,1,1,0,0,0,3,3,1,1,1,1,0,0,0,2,2,1,1,1,1,0,0,0,0.8,0.2,0,0.75,0.25,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73684210526316,0,4.73684210526316,0,4.73684210526316,0,0,0,0,0,0,0,4.73684210526316,4.73684210526316,4.73684210526316,0,4.73684210526316,4.73684210526316,4.73684210526316,0,23.6842105263158,23.6842105263158,18.9473684210526,18.9473684210526,14.2105263157895,14.2105263157895,0,0,4.73684210526316,4.73684210526316,0,0,4.73684210526316,4.73684210526316,0,0,4.73684210526316,4.73684210526316,0,0,18.9473684210526,18.9473684210526,4.73684210526316,4.73684210526316,0,0,14.2105263157895,14.2105263157895,4.73684210526316,4.73684210526316,0,0,9.47368421052632,9.47368421052632,4.73684210526316,4.73684210526316,0,0,0,0,0,0,0,0,0,0,4.73684210526316,0,4.73684210526316,0,0,0,0,0,0,4.73684210526316,4.73684210526316,0,4.73684210526316,4.73684210526316,0,0,0,0,0,0,0,0,4.73684210526316,4.73684210526316,0,0,0,0,4.73684210526316,4.73684210526316,4.73684210526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hagen","ORL",0,1,71,1,0,2,0,0,0,2,1,1,1,0.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,16,0.6875,11,16,0.6875,9,12,0.75,0.75,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,5,0.4,4,4,1,5,7,0.714285714285714,2,5,0.4,4,4,1,5,7,0.714285714285714,1,2,0.5,4,4,1,4,6,0.666666666666667,0.3125,0.25,0.4375,0.3125,0.25,0.4375,0.166666666666667,0.333333333333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,3,3,1,2,8,3,5,0.375,1,1,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53521126760563,0,0,0,2.53521126760563,1.26760563380282,1.26760563380282,0,1.26760563380282,0,0,0,0,1.26760563380282,0,0,0,0,0,0,0,0,13.943661971831,20.2816901408451,13.943661971831,20.2816901408451,11.4084507042254,15.2112676056338,0,0,0,0,1.26760563380282,1.26760563380282,0,0,0,0,0,0,1.26760563380282,1.26760563380282,2.53521126760563,6.33802816901408,5.07042253521127,5.07042253521127,6.33802816901408,8.87323943661972,2.53521126760563,6.33802816901408,5.07042253521127,5.07042253521127,6.33802816901408,8.87323943661972,1.26760563380282,2.53521126760563,5.07042253521127,5.07042253521127,5.07042253521127,7.6056338028169,0,0,0,0,0,0,0,0,0,0,0,0,1.26760563380282,1.26760563380282,2.53521126760563,0,3.80281690140845,3.80281690140845,1.26760563380282,2.53521126760563,10.1408450704225,3.80281690140845,6.33802816901408,1.26760563380282,1.26760563380282,0,0,0,0,0,31.6901408450704,2.53521126760563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kallman","BOS",0,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,35,0.942857142857143,33,34,0.970588235294118,13,14,0.928571428571429,0.411764705882353,0,0,0,1,3,0.333333333333333,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,18,20,0.9,9,9,1,6,6,1,18,19,0.947368421052632,9,9,1,6,6,1,9,10,0.9,2,2,1,2,2,1,0.571428571428571,0.257142857142857,0.171428571428571,0.558823529411765,0.264705882352941,0.176470588235294,0.714285714285714,0.142857142857143,0.142857142857143,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9,8,1,6,5,1,0.833333333333333,1,1,0,0,0,0,2,10,5,2,2,2,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,31.8181818181818,30,30.9090909090909,11.8181818181818,12.7272727272727,0,0,0.909090909090909,2.72727272727273,0,0,0,0,0,0,0.909090909090909,1.81818181818182,0,0,16.3636363636364,18.1818181818182,8.18181818181818,8.18181818181818,5.45454545454546,5.45454545454546,16.3636363636364,17.2727272727273,8.18181818181818,8.18181818181818,5.45454545454546,5.45454545454546,8.18181818181818,9.09090909090909,1.81818181818182,1.81818181818182,1.81818181818182,1.81818181818182,0,0,0,0,0,0.909090909090909,0,0,0,0,0.909090909090909,0,0,0,0,0,0,8.18181818181818,7.27272727272727,0.909090909090909,5.45454545454546,4.54545454545454,0.909090909090909,0.909090909090909,0.909090909090909,0,0,0,0,1.81818181818182,9.09090909090909,4.54545454545454,1.81818181818182,1.81818181818182,1.81818181818182,1.81818181818182,0.909090909090909,0.909090909090909,2.72727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
