"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Alleway","ORL",0,1,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,64,0.828125,51,62,0.82258064516129,15,18,0.833333333333333,0.290322580645161,0,1,0,0,6,0,0,1,0,0,0,0,0,1,0,0,6,0,0,1,0,26,37,0.702702702702703,17,17,1,10,10,1,24,35,0.685714285714286,17,17,1,10,10,1,7,10,0.7,4,4,1,4,4,1,0.578125,0.265625,0.15625,0.564516129032258,0.274193548387097,0.161290322580645,0.555555555555556,0.222222222222222,0.222222222222222,0,0,0,0,0,2,2,1,0,0,0,0,2,1,0,1,1,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,5,2,1,3,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.1830985915493,81.1267605633803,64.6478873239437,78.5915492957746,19.0140845070423,22.8169014084507,0,1.26760563380282,0,7.6056338028169,0,1.26760563380282,0,0,0,1.26760563380282,0,7.6056338028169,0,1.26760563380282,32.9577464788732,46.9014084507042,21.5492957746479,21.5492957746479,12.6760563380282,12.6760563380282,30.4225352112676,44.3661971830986,21.5492957746479,21.5492957746479,12.6760563380282,12.6760563380282,8.87323943661972,12.6760563380282,5.07042253521127,5.07042253521127,5.07042253521127,5.07042253521127,0,0,0,0,2.53521126760563,2.53521126760563,0,0,0,0,2.53521126760563,1.26760563380282,0,1.26760563380282,0,0,0,3.80281690140845,1.26760563380282,2.53521126760563,0,0,0,0,0,0,0,0,0,0,6.33802816901408,2.53521126760563,1.26760563380282,3.80281690140845,3.80281690140845,1.26760563380282,0,2.53521126760563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arlitt","FCKC",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,33,0.757575757575758,21,27,0.777777777777778,8,9,0.888888888888889,0.333333333333333,1,1,1,0,0,0,1,1,1,4,6,0.666666666666667,1,1,1,0,0,0,1,1,1,13,21,0.619047619047619,4,4,1,8,8,1,9,15,0.6,4,4,1,8,8,1,3,4,0.75,1,1,1,4,4,1,0.636363636363636,0.121212121212121,0.242424242424242,0.555555555555556,0.148148148148148,0.296296296296296,0.444444444444444,0.111111111111111,0.444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,4,7,4,3,5,2,3,0.4,1,1,1,0,0,0,0,17,1,5,3,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4375,30.9375,19.6875,25.3125,7.5,8.4375,0.9375,0.9375,0,0,0.9375,0.9375,3.75,5.625,0.9375,0.9375,0,0,0.9375,0.9375,12.1875,19.6875,3.75,3.75,7.5,7.5,8.4375,14.0625,3.75,3.75,7.5,7.5,2.8125,3.75,0.9375,0.9375,3.75,3.75,0,0,0,0,0,0,0,0,0,0,0,0,2.8125,2.8125,0,0.9375,3.75,6.5625,3.75,2.8125,4.6875,1.875,2.8125,0.9375,0.9375,0.9375,0,0,0,0,15.9375,0.9375,4.6875,2.8125,1.875,0,0,4.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Averbuch","FCKC",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,39,0.897435897435897,34,38,0.894736842105263,6,6,1,0.157894736842105,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,26,30,0.866666666666667,5,5,1,4,4,1,25,29,0.862068965517241,5,5,1,4,4,1,5,5,1,0,0,0,1,1,1,0.769230769230769,0.128205128205128,0.102564102564103,0.763157894736842,0.131578947368421,0.105263157894737,0.833333333333333,0,0.166666666666667,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,4,3,1,4,2,2,0.5,0,1,0,0,0,0,2,8,5,1,5,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.8125,36.5625,31.875,35.625,5.625,5.625,0,0,0,1.875,0,0,0,0,0,0,0,1.875,0,0,24.375,28.125,4.6875,4.6875,3.75,3.75,23.4375,27.1875,4.6875,4.6875,3.75,3.75,4.6875,4.6875,0,0,0.9375,0.9375,0,0,0,0,0.9375,0.9375,0,0,0,0,0.9375,0,0,0,0,0.9375,0.9375,3.75,2.8125,0.9375,3.75,1.875,1.875,0,0.9375,0,0,0,0,1.875,7.5,4.6875,0.9375,4.6875,3.75,0.9375,0,0.9375,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnhart","FCKC",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,35,0.657142857142857,10,11,0.909090909090909,1,2,0.5,0.181818181818182,0,0,0,2,7,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,27,0.555555555555556,7,7,1,1,1,1,8,9,0.888888888888889,1,1,1,1,1,1,2,3,0.666666666666667,0,0,0,0,0,0,0.771428571428571,0.2,0.0285714285714286,0.818181818181818,0.0909090909090909,0.0909090909090909,1,0,0,0,0,0,0,0,2,3,0.666666666666667,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0,0,0,0,6,0,6,1,4,0,0,1,2,0,2,2,0,2,0,0,0,1,0,0,23,35,0.657142857142857,4,5,0.8,0,4,0,9,15,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5625,32.8125,9.375,10.3125,0.9375,1.875,0,0,1.875,6.5625,0,0,0,0,0,0,0,0,0,0,14.0625,25.3125,6.5625,6.5625,0.9375,0.9375,7.5,8.4375,0.9375,0.9375,0.9375,0.9375,1.875,2.8125,0,0,0,0,0,0,0,0,1.875,2.8125,0,0,0,0,2.8125,0,0,0,0,0,0,0.9375,0.9375,0,0,0,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0.9375,1.875,0,0,0,5.625,0,5.625,3.75,0,0,0.9375,1.875,0,1.875,1.875,0,1.875,0,0,0,0.9375,0,0,21.5625,32.8125,3.75,4.6875,0,3.75,8.4375,14.0625
"Bowen","FCKC",0,1,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,0.65,13,20,0.65,6,9,0.666666666666667,0.45,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,5,10,0.5,1,3,0.333333333333333,7,7,1,5,10,0.5,1,3,0.333333333333333,7,7,1,3,4,0.75,0,2,0,3,3,1,0.5,0.15,0.35,0.5,0.15,0.35,0.444444444444444,0.222222222222222,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,6,5,1,2,2,0,1,0,2,0,0,0,0,2,32,5,2,1,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8709677419355,29.0322580645161,18.8709677419355,29.0322580645161,8.70967741935484,13.0645161290323,0,0,1.45161290322581,1.45161290322581,0,1.45161290322581,0,0,0,0,1.45161290322581,1.45161290322581,0,1.45161290322581,7.25806451612903,14.5161290322581,1.45161290322581,4.35483870967742,10.1612903225806,10.1612903225806,7.25806451612903,14.5161290322581,1.45161290322581,4.35483870967742,10.1612903225806,10.1612903225806,4.35483870967742,5.80645161290323,0,2.90322580645161,4.35483870967742,4.35483870967742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.90322580645161,0,2.90322580645161,8.70967741935484,7.25806451612903,1.45161290322581,2.90322580645161,2.90322580645161,0,0,2.90322580645161,0,0,0,0,2.90322580645161,46.4516129032258,7.25806451612903,2.90322580645161,1.45161290322581,0,0,1.45161290322581,5.80645161290323,4.35483870967742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"De Vanna","ORL",0,1,96,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,24,39,0.615384615384615,24,39,0.615384615384615,15,18,0.833333333333333,0.461538461538462,0,3,0,1,1,1,1,5,0.2,0,0,0,0,3,0,1,1,1,1,5,0.2,10,22,0.454545454545455,5,6,0.833333333333333,9,11,0.818181818181818,10,22,0.454545454545455,5,6,0.833333333333333,9,11,0.818181818181818,5,7,0.714285714285714,4,4,1,6,7,0.857142857142857,0.564102564102564,0.153846153846154,0.282051282051282,0.564102564102564,0.153846153846154,0.282051282051282,0.388888888888889,0.222222222222222,0.388888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,1,4,6,10,3,0,3,1,0,1,0,2,0,0,0,0,0,0,18,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0.9375,0.9375,0,0,0,0,0,0,0,0,0,0.9375,0,0,0,0.9375,0,0,22.5,36.5625,22.5,36.5625,14.0625,16.875,0,2.8125,0.9375,0.9375,0.9375,4.6875,0,0,0,2.8125,0.9375,0.9375,0.9375,4.6875,9.375,20.625,4.6875,5.625,8.4375,10.3125,9.375,20.625,4.6875,5.625,8.4375,10.3125,4.6875,6.5625,3.75,3.75,5.625,6.5625,0,0,0,0,0,0,0,0,0,0,0,7.5,0,7.5,3.75,5.625,9.375,2.8125,0,2.8125,0.9375,0,0.9375,1.875,0,0,0,0,0,0,16.875,2.8125,0,0.9375,0,0,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edmonds","ORL",0,1,96,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,50,0.66,29,40,0.725,8,10,0.8,0.25,0,1,0,2,5,0.4,1,3,0.333333333333333,0,0,0,0,0,0,0,2,0,1,3,0.333333333333333,7,18,0.388888888888889,13,17,0.764705882352941,13,15,0.866666666666667,7,15,0.466666666666667,9,10,0.9,13,15,0.866666666666667,2,4,0.5,2,2,1,4,4,1,0.36,0.34,0.3,0.375,0.25,0.375,0.4,0.2,0.4,4,6,0.666666666666667,0,0,0,4,0,0,0,0,0,4,0,0,0,0,3,2,5,8,2,6,3,1,2,0.333333333333333,3,0,0,0,0,0,2,26,2,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0.9375,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.9375,46.875,27.1875,37.5,7.5,9.375,0,0.9375,1.875,4.6875,0.9375,2.8125,0,0,0,0,0,1.875,0.9375,2.8125,6.5625,16.875,12.1875,15.9375,12.1875,14.0625,6.5625,14.0625,8.4375,9.375,12.1875,14.0625,1.875,3.75,1.875,1.875,3.75,3.75,3.75,5.625,0,0,0,3.75,0,0,0,0,3.75,0,0,0,2.8125,1.875,4.6875,7.5,1.875,5.625,2.8125,0.9375,1.875,2.8125,0,0,0,0,0,1.875,24.375,1.875,0,1.875,0,0,0,0.9375,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edwards","ORL",0,1,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,41,52,0.788461538461538,41,52,0.788461538461538,19,21,0.904761904761905,0.403846153846154,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,2,0,1,1,1,20,28,0.714285714285714,6,7,0.857142857142857,15,17,0.882352941176471,20,28,0.714285714285714,6,7,0.857142857142857,15,17,0.882352941176471,10,11,0.909090909090909,3,3,1,6,7,0.857142857142857,0.538461538461538,0.134615384615385,0.326923076923077,0.538461538461538,0.134615384615385,0.326923076923077,0.523809523809524,0.142857142857143,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,8,7,1,3,2,1,0.666666666666667,0,0,0,0,0,0,2,11,2,4,6,2,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,1.2,0,0,49.2,62.4,49.2,62.4,22.8,25.2,0,0,0,2.4,1.2,1.2,0,0,0,0,0,2.4,1.2,1.2,24,33.6,7.2,8.4,18,20.4,24,33.6,7.2,8.4,18,20.4,12,13.2,3.6,3.6,7.2,8.4,0,0,0,0,0,0,0,0,0,0,0,1.2,0,1.2,0,0,0,9.6,8.4,1.2,3.6,2.4,1.2,0,0,0,0,0,0,2.4,13.2,2.4,4.8,7.2,2.4,0,2.4,2.4,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Evans","ORL",0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0.8,8,10,0.8,3,3,1,0.3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0.5,1,1,1,5,5,1,2,4,0.5,1,1,1,5,5,1,1,1,1,0,0,0,2,2,1,0.4,0.1,0.5,0.4,0.1,0.5,0.333333333333333,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,1,0,1,0,1,0,0,0,1,1,5,3,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.7272727272727,40.9090909090909,32.7272727272727,40.9090909090909,12.2727272727273,12.2727272727273,0,4.09090909090909,0,0,0,0,0,0,0,4.09090909090909,0,0,0,0,8.18181818181818,16.3636363636364,4.09090909090909,4.09090909090909,20.4545454545455,20.4545454545455,8.18181818181818,16.3636363636364,4.09090909090909,4.09090909090909,20.4545454545455,20.4545454545455,4.09090909090909,4.09090909090909,0,0,8.18181818181818,8.18181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2727272727273,8.18181818181818,0,4.09090909090909,4.09090909090909,0,0,4.09090909090909,0,0,0,4.09090909090909,4.09090909090909,20.4545454545455,12.2727272727273,0,8.18181818181818,4.09090909090909,0,0,0,4.09090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Groom","FCKC",0,1,96,1,0,1,1,0,0,2,1,0,2,0,0,2,0,0,1,0,2,0,0,1,0,0,0,1,0,0,13,19,0.684210526315789,13,19,0.684210526315789,9,11,0.818181818181818,0.578947368421053,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,4,9,0.444444444444444,3,3,1,6,7,0.857142857142857,4,9,0.444444444444444,3,3,1,6,7,0.857142857142857,2,3,0.666666666666667,1,1,1,6,7,0.857142857142857,0.473684210526316,0.157894736842105,0.368421052631579,0.473684210526316,0.157894736842105,0.368421052631579,0.272727272727273,0.0909090909090909,0.636363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0.75,3,4,8,3,2,1,8,4,4,0.5,1,0,0,0,0,0,0,23,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0.9375,0,0,1.875,0,1.875,0,1.875,0,0,0.9375,0,1.875,0,0.9375,0,0,0,0.9375,0,0,12.1875,17.8125,12.1875,17.8125,8.4375,10.3125,0,0,0,0.9375,0,0.9375,0,0,0,0,0,0.9375,0,0.9375,3.75,8.4375,2.8125,2.8125,5.625,6.5625,3.75,8.4375,2.8125,2.8125,5.625,6.5625,1.875,2.8125,0.9375,0.9375,5.625,6.5625,0,0,0,0,0,0,0,0,0,0,0,2.8125,0.9375,3.75,2.8125,3.75,7.5,2.8125,1.875,0.9375,7.5,3.75,3.75,0.9375,0,0,0,0,0,0,21.5625,2.8125,0.9375,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
