"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Alleway","ORL",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,35,0.8,26,33,0.787878787878788,9,9,1,0.272727272727273,0,0,0,2,5,0.4,0,0,0,0,0,0,0,0,0,2,5,0.4,0,0,0,19,26,0.730769230769231,4,4,1,5,5,1,17,24,0.708333333333333,4,4,1,5,5,1,7,7,1,1,1,1,1,1,1,0.742857142857143,0.114285714285714,0.142857142857143,0.727272727272727,0.121212121212121,0.151515151515152,0.777777777777778,0.111111111111111,0.111111111111111,0,0,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,1,0,1,8,6,2,4,3,1,0.75,1,0,0,0,0,0,0,2,4,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.25,32.8125,24.375,30.9375,8.4375,8.4375,0,0,1.875,4.6875,0,0,0,0,0,0,1.875,4.6875,0,0,17.8125,24.375,3.75,3.75,4.6875,4.6875,15.9375,22.5,3.75,3.75,4.6875,4.6875,6.5625,6.5625,0.9375,0.9375,0.9375,0.9375,0,0,0,0,1.875,1.875,0,0,0,0,1.875,0,0,0,0.9375,0,0.9375,7.5,5.625,1.875,3.75,2.8125,0.9375,0.9375,0,0,0,0,0,0,1.875,3.75,2.8125,4.6875,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andressa","HOU",0,1,96,1,1,1,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,46,0.673913043478261,30,43,0.697674418604651,13,17,0.764705882352941,0.395348837209302,0,2,0,0,1,0,0,3,0,0,0,0,0,1,0,0,1,0,0,3,0,7,14,0.5,10,15,0.666666666666667,14,17,0.823529411764706,6,13,0.461538461538462,10,13,0.769230769230769,14,17,0.823529411764706,3,5,0.6,3,4,0.75,7,8,0.875,0.304347826086957,0.326086956521739,0.369565217391304,0.302325581395349,0.302325581395349,0.395348837209302,0.294117647058824,0.235294117647059,0.470588235294118,0,1,0,0,0,1,2,0.5,0,0,0,0,2,2,1,3,0.666666666666667,2,3,6,12,9,3,1,0,1,0,1,1,0,0,0,0,1,7,7,1,3,1,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0.9375,0,0,0,1.875,0,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0625,43.125,28.125,40.3125,12.1875,15.9375,0,1.875,0,0.9375,0,2.8125,0,0,0,0.9375,0,0.9375,0,2.8125,6.5625,13.125,9.375,14.0625,13.125,15.9375,5.625,12.1875,9.375,12.1875,13.125,15.9375,2.8125,4.6875,2.8125,3.75,6.5625,7.5,0,0.9375,0,0,0.9375,1.875,0,0,0,0,1.875,1.875,0.9375,2.8125,1.875,2.8125,5.625,11.25,8.4375,2.8125,0.9375,0,0.9375,0.9375,0.9375,0,0,0,0,0.9375,6.5625,6.5625,0.9375,2.8125,0.9375,0.9375,2.8125,0.9375,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beckie","HOU",0,1,80,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,24,0.666666666666667,16,23,0.695652173913043,7,11,0.636363636363636,0.478260869565217,1,2,0.5,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,8,0,4,4,1,12,12,1,0,7,0,4,4,1,12,12,1,0,4,0,1,1,1,6,6,1,0.333333333333333,0.166666666666667,0.5,0.304347826086957,0.173913043478261,0.521739130434783,0.363636363636364,0.0909090909090909,0.545454545454545,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,0.5,0,2,3,4,3,1,7,1,6,0.142857142857143,1,0,1,0,0,0,3,17,3,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.125,0,0,0,1.125,0,1.125,0,1.125,0,0,0,0,1.125,0,0,0,0,0,0,0,0,18,27,18,25.875,7.875,12.375,1.125,2.25,0,1.125,0,0,0,0,1.125,1.125,0,1.125,0,0,0,9,4.5,4.5,13.5,13.5,0,7.875,4.5,4.5,13.5,13.5,0,4.5,1.125,1.125,6.75,6.75,0,0,0,0,0,1.125,0,0,0,0,1.125,1.125,1.125,2.25,0,2.25,3.375,4.5,3.375,1.125,7.875,1.125,6.75,1.125,0,1.125,0,0,0,3.375,19.125,3.375,0,0,1.125,0,0,1.125,3.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belanger","ORL",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,41,0.707317073170732,20,29,0.689655172413793,8,8,1,0.275862068965517,0,1,0,0,1,0,0,0,0,9,12,0.75,0,1,0,0,1,0,0,0,0,21,31,0.67741935483871,5,7,0.714285714285714,3,3,1,14,21,0.666666666666667,3,5,0.6,3,3,1,5,5,1,1,1,1,2,2,1,0.75609756097561,0.170731707317073,0.0731707317073171,0.724137931034483,0.172413793103448,0.103448275862069,0.625,0.125,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,4,5,11,9,2,3,1,2,0.333333333333333,0,1,0,0,0,0,1,10,2,1,8,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1875,38.4375,18.75,27.1875,7.5,7.5,0,0.9375,0,0.9375,0,0,8.4375,11.25,0,0.9375,0,0.9375,0,0,19.6875,29.0625,4.6875,6.5625,2.8125,2.8125,13.125,19.6875,2.8125,4.6875,2.8125,2.8125,4.6875,4.6875,0.9375,0.9375,1.875,1.875,0,0,0,0,0,0,0,0,0,0,0,1.875,0,1.875,0.9375,3.75,4.6875,10.3125,8.4375,1.875,2.8125,0.9375,1.875,0,0.9375,0,0,0,0,0.9375,9.375,1.875,0.9375,7.5,1.875,0,0.9375,0.9375,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian","HOU",0,1,68,1,0,0,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,34,0.676470588235294,22,32,0.6875,14,18,0.777777777777778,0.5625,0,3,0,0,1,0,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0,11,18,0.611111111111111,6,10,0.6,6,6,1,11,18,0.611111111111111,5,8,0.625,6,6,1,7,10,0.7,3,4,0.75,4,4,1,0.529411764705882,0.294117647058824,0.176470588235294,0.5625,0.25,0.1875,0.555555555555556,0.222222222222222,0.222222222222222,1,2,0.5,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,1,1,3,6,2,4,1,0,1,0,1,1,0,0,0,0,1,7,4,1,1,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32352941176471,1.32352941176471,2.64705882352941,0,2.64705882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4411764705882,45,29.1176470588235,42.3529411764706,18.5294117647059,23.8235294117647,0,3.97058823529412,0,1.32352941176471,0,1.32352941176471,0,0,0,3.97058823529412,0,1.32352941176471,0,1.32352941176471,14.5588235294118,23.8235294117647,7.94117647058824,13.2352941176471,7.94117647058824,7.94117647058824,14.5588235294118,23.8235294117647,6.61764705882353,10.5882352941176,7.94117647058824,7.94117647058824,9.26470588235294,13.2352941176471,3.97058823529412,5.29411764705882,5.29411764705882,5.29411764705882,1.32352941176471,2.64705882352941,0,0,0,0,0,0,0,0,0,1.32352941176471,1.32352941176471,2.64705882352941,1.32352941176471,1.32352941176471,3.97058823529412,7.94117647058824,2.64705882352941,5.29411764705882,1.32352941176471,0,1.32352941176471,1.32352941176471,1.32352941176471,0,0,0,0,1.32352941176471,9.26470588235294,5.29411764705882,1.32352941176471,1.32352941176471,1.32352941176471,0,2.64705882352941,0,3.97058823529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brooks","HOU",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,49,0.714285714285714,33,46,0.717391304347826,16,22,0.727272727272727,0.478260869565217,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,24,37,0.648648648648649,5,5,1,6,7,0.857142857142857,23,35,0.657142857142857,4,4,1,6,7,0.857142857142857,9,14,0.642857142857143,3,3,1,4,5,0.8,0.755102040816326,0.102040816326531,0.142857142857143,0.760869565217391,0.0869565217391304,0.152173913043478,0.636363636363636,0.136363636363636,0.227272727272727,0,0,0,0,0,2,3,0.666666666666667,0,0,0,0,3,0,0,0,0,1,2,3,16,12,3,7,5,2,0.714285714285714,0,1,0,0,0,0,2,14,5,2,3,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.8125,45.9375,30.9375,43.125,15,20.625,0,0,0,2.8125,0,0.9375,0,0,0,0,0,2.8125,0,0.9375,22.5,34.6875,4.6875,4.6875,5.625,6.5625,21.5625,32.8125,3.75,3.75,5.625,6.5625,8.4375,13.125,2.8125,2.8125,3.75,4.6875,0,0,0,0,1.875,2.8125,0,0,0,0,2.8125,0,0,0,0.9375,1.875,2.8125,15,11.25,2.8125,6.5625,4.6875,1.875,0,0.9375,0,0,0,0,1.875,13.125,4.6875,1.875,2.8125,0,0,1.875,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brush","HOU",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,27,0.888888888888889,24,27,0.888888888888889,8,9,0.888888888888889,0.333333333333333,0,0,0,1,2,0.5,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,13,16,0.8125,3,3,1,8,8,1,13,16,0.8125,3,3,1,8,8,1,5,6,0.833333333333333,1,1,1,2,2,1,0.592592592592593,0.111111111111111,0.296296296296296,0.592592592592593,0.111111111111111,0.296296296296296,0.666666666666667,0.111111111111111,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,4,0,0,0,0,0,0,3,1,0,0,0,1,3,2,0,5,4,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,25.3125,22.5,25.3125,7.5,8.4375,0,0,0.9375,1.875,0,0,0,0,0,0,0.9375,1.875,0,0,12.1875,15,2.8125,2.8125,7.5,7.5,12.1875,15,2.8125,2.8125,7.5,7.5,4.6875,5.625,0.9375,0.9375,1.875,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0.9375,0,0,0.9375,3.75,3.75,0,0,0,0,0,2.8125,0.9375,0,0,0,0.9375,2.8125,1.875,0,4.6875,3.75,0,3.75,0,4.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catley","ORL",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,43,58,0.741379310344828,20,27,0.740740740740741,13,15,0.866666666666667,0.555555555555556,4,6,0.666666666666667,0,1,0,0,0,0,20,25,0.8,3,5,0.6,0,1,0,0,0,0,17,28,0.607142857142857,9,13,0.692307692307692,17,17,1,9,14,0.642857142857143,4,6,0.666666666666667,7,7,1,5,6,0.833333333333333,3,4,0.75,5,5,1,0.482758620689655,0.224137931034483,0.293103448275862,0.518518518518518,0.222222222222222,0.259259259259259,0.4,0.266666666666667,0.333333333333333,2,5,0.4,0,0,1,1,1,0,0,0,0,1,1,0,1,1,2,2,4,3,3,0,3,2,1,0.666666666666667,0,1,0,0,0,0,1,10,2,2,4,3,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0,0,0.9375,0,0,0,40.3125,54.375,18.75,25.3125,12.1875,14.0625,3.75,5.625,0,0.9375,0,0,18.75,23.4375,2.8125,4.6875,0,0.9375,0,0,15.9375,26.25,8.4375,12.1875,15.9375,15.9375,8.4375,13.125,3.75,5.625,6.5625,6.5625,4.6875,5.625,2.8125,3.75,4.6875,4.6875,1.875,4.6875,0,0,0.9375,0.9375,0,0,0,0,0.9375,0.9375,0,0.9375,1.875,1.875,3.75,2.8125,2.8125,0,2.8125,1.875,0.9375,0,0.9375,0,0,0,0,0.9375,9.375,1.875,1.875,3.75,2.8125,0,2.8125,1.875,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chapman","HOU",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,38,0.657894736842105,10,18,0.555555555555556,1,4,0.25,0.222222222222222,0,1,0,0,0,0,0,1,0,15,20,0.75,0,1,0,0,0,0,0,1,0,16,26,0.615384615384615,6,8,0.75,3,4,0.75,6,13,0.461538461538462,3,4,0.75,1,1,1,1,4,0.25,0,0,0,0,0,0,0.684210526315789,0.210526315789474,0.105263157894737,0.722222222222222,0.222222222222222,0.0555555555555556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,3,5,10,6,4,5,2,3,0.4,0,0,0,0,0,0,0,11,5,0,5,4,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4375,35.625,9.375,16.875,0.9375,3.75,0,0.9375,0,0,0,0.9375,14.0625,18.75,0,0.9375,0,0,0,0.9375,15,24.375,5.625,7.5,2.8125,3.75,5.625,12.1875,2.8125,3.75,0.9375,0.9375,0.9375,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0.9375,1.875,2.8125,4.6875,9.375,5.625,3.75,4.6875,1.875,2.8125,0,0,0,0,0,0,0,10.3125,4.6875,0,4.6875,3.75,0.9375,3.75,0.9375,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daly","HOU",0,1,96,1,0,1,0,1,1,3,0.5,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,38,50,0.76,34,46,0.739130434782609,13,19,0.684210526315789,0.41304347826087,0,0,0,0,1,0,4,7,0.571428571428571,4,4,1,0,0,0,0,1,0,4,7,0.571428571428571,13,23,0.565217391304348,15,17,0.882352941176471,10,10,1,12,22,0.545454545454545,12,14,0.857142857142857,10,10,1,3,7,0.428571428571429,6,8,0.75,4,4,1,0.46,0.34,0.2,0.478260869565217,0.304347826086957,0.217391304347826,0.368421052631579,0.421052631578947,0.210526315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,4,9,6,3,5,0,5,0,3,3,0,0,0,0,0,24,5,0,3,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0.9375,0.9375,2.8125,0,2.8125,0,0,0,0,0,0,0,0,0.9375,0,0,0,0.9375,0,0,35.625,46.875,31.875,43.125,12.1875,17.8125,0,0,0,0.9375,3.75,6.5625,3.75,3.75,0,0,0,0.9375,3.75,6.5625,12.1875,21.5625,14.0625,15.9375,9.375,9.375,11.25,20.625,11.25,13.125,9.375,9.375,2.8125,6.5625,5.625,7.5,3.75,3.75,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0.9375,1.875,1.875,3.75,8.4375,5.625,2.8125,4.6875,0,4.6875,2.8125,2.8125,0,0,0,0,0,22.5,4.6875,0,2.8125,0,0,0.9375,1.875,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
