"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Alleway","ORL",0,1,17,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,7,1,7,7,1,3,3,1,0.428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,3,3,1,0,0,0,0,0,0,0.714285714285714,0.142857142857143,0.142857142857143,0.714285714285714,0.142857142857143,0.142857142857143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29411764705882,0,5.29411764705882,0,5.29411764705882,0,0,5.29411764705882,0,0,0,5.29411764705882,0,0,0,0,0,0,0,0,37.0588235294118,37.0588235294118,37.0588235294118,37.0588235294118,15.8823529411765,15.8823529411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4705882352941,26.4705882352941,5.29411764705882,5.29411764705882,5.29411764705882,5.29411764705882,26.4705882352941,26.4705882352941,5.29411764705882,5.29411764705882,5.29411764705882,5.29411764705882,15.8823529411765,15.8823529411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29411764705882,0,5.29411764705882,0,0,0,15.8823529411765,10.5882352941176,5.29411764705882,0,0,0,0,0,0,0,0,0,0,5.29411764705882,0,5.29411764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belanger","ORL",0,1,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,0.823529411764706,10,13,0.769230769230769,6,6,1,0.461538461538462,0,0,0,0,2,0,0,0,0,4,4,1,0,0,0,0,2,0,0,0,0,5,8,0.625,2,2,1,7,7,1,4,7,0.571428571428571,1,1,1,5,5,1,4,4,1,0,0,0,2,2,1,0.470588235294118,0.117647058823529,0.411764705882353,0.538461538461538,0.0769230769230769,0.384615384615385,0.666666666666667,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,6,5,1,1,0,1,0,1,1,0,0,0,0,3,7,2,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0540540540541,41.3513513513514,24.3243243243243,31.6216216216216,14.5945945945946,14.5945945945946,0,0,0,4.86486486486486,0,0,9.72972972972973,9.72972972972973,0,0,0,4.86486486486486,0,0,12.1621621621622,19.4594594594595,4.86486486486486,4.86486486486486,17.027027027027,17.027027027027,9.72972972972973,17.027027027027,2.43243243243243,2.43243243243243,12.1621621621622,12.1621621621622,9.72972972972973,9.72972972972973,0,0,4.86486486486486,4.86486486486486,0,0,0,0,0,0,0,0,0,0,0,0,2.43243243243243,2.43243243243243,0,4.86486486486486,7.2972972972973,14.5945945945946,12.1621621621622,2.43243243243243,2.43243243243243,0,2.43243243243243,2.43243243243243,2.43243243243243,0,0,0,0,7.2972972972973,17.027027027027,4.86486486486486,0,0,0,0,0,7.2972972972973,7.2972972972973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Casey","SBFC",0,1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,41,0.707317073170732,12,15,0.8,3,4,0.75,0.266666666666667,0,0,0,8,18,0.444444444444444,0,0,0,0,0,0,0,0,0,1,4,0.25,0,0,0,27,39,0.692307692307692,2,2,1,0,0,0,11,14,0.785714285714286,1,1,1,0,0,0,4,5,0.8,0,0,0,0,0,0,0.951219512195122,0.0487804878048781,0,0.933333333333333,0.0666666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0,0,0,0,1,0,1,1,3,0,0,1,1,0,1,0,0,0,1,0,1,0,2,0,29,41,0.707317073170732,8,8,1,1,5,0.2,8,13,0.615384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6326530612245,37.6530612244898,11.0204081632653,13.7755102040816,2.75510204081633,3.6734693877551,0,0,7.3469387755102,16.530612244898,0,0,0,0,0,0,0.918367346938775,3.6734693877551,0,0,24.7959183673469,35.8163265306122,1.83673469387755,1.83673469387755,0,0,10.1020408163265,12.8571428571429,0.918367346938775,0.918367346938775,0,0,3.6734693877551,4.59183673469388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83673469387755,0.918367346938775,0.918367346938775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.918367346938775,0.918367346938775,1.83673469387755,0,0,0,0.918367346938775,0,0.918367346938775,2.75510204081633,0,0,0.918367346938775,0.918367346938775,0,0.918367346938775,0,0,0,0.918367346938775,0,0.918367346938775,0,1.83673469387755,0,26.6326530612245,37.6530612244898,7.3469387755102,7.3469387755102,0.918367346938775,4.59183673469388,7.3469387755102,11.9387755102041
"De Vanna","ORL",0,1,64,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19,0.736842105263158,14,19,0.736842105263158,11,13,0.846153846153846,0.684210526315789,0,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,3,6,0.5,7,9,0.777777777777778,4,4,1,3,6,0.5,7,9,0.777777777777778,4,4,1,1,3,0.333333333333333,6,6,1,4,4,1,0.315789473684211,0.473684210526316,0.210526315789474,0.315789473684211,0.473684210526316,0.210526315789474,0.230769230769231,0.461538461538462,0.307692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,13,0.692307692307692,0,2,6,4,1,3,0,0,0,0,1,1,0,0,0,0,3,20,2,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40625,0,0,0,1.40625,0,1.40625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6875,26.71875,19.6875,26.71875,15.46875,18.28125,0,4.21875,0,0,0,1.40625,0,0,0,4.21875,0,0,0,1.40625,4.21875,8.4375,9.84375,12.65625,5.625,5.625,4.21875,8.4375,9.84375,12.65625,5.625,5.625,1.40625,4.21875,8.4375,8.4375,5.625,5.625,0,0,0,0,0,0,0,0,0,0,0,12.65625,5.625,18.28125,0,2.8125,8.4375,5.625,1.40625,4.21875,0,0,0,1.40625,1.40625,0,0,0,0,4.21875,28.125,2.8125,0,2.8125,0,0,0,0,4.21875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edmonds","ORL",0,1,98,1,1,0,0,1,0,2,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,45,0.822222222222222,35,40,0.875,17,18,0.944444444444444,0.45,4,7,0.571428571428571,3,4,0.75,0,0,0,0,0,0,3,3,1,2,3,0.666666666666667,0,0,0,14,20,0.7,15,17,0.882352941176471,8,8,1,13,18,0.722222222222222,14,14,1,8,8,1,5,6,0.833333333333333,6,6,1,6,6,1,0.444444444444444,0.377777777777778,0.177777777777778,0.45,0.35,0.2,0.333333333333333,0.333333333333333,0.333333333333333,1,3,0.333333333333333,0,0,1,2,0.5,0,0,1,1,3,1,0,1,1,1,0,1,9,5,4,1,0,1,0,2,0,0,0,0,0,0,26,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.918367346938775,0,0,0.918367346938775,0,1.83673469387755,0,1.83673469387755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.9795918367347,41.3265306122449,32.1428571428571,36.734693877551,15.6122448979592,16.530612244898,3.6734693877551,6.42857142857143,2.75510204081633,3.6734693877551,0,0,0,0,2.75510204081633,2.75510204081633,1.83673469387755,2.75510204081633,0,0,12.8571428571429,18.3673469387755,13.7755102040816,15.6122448979592,7.3469387755102,7.3469387755102,11.9387755102041,16.530612244898,12.8571428571429,12.8571428571429,7.3469387755102,7.3469387755102,4.59183673469388,5.51020408163265,5.51020408163265,5.51020408163265,5.51020408163265,5.51020408163265,0.918367346938775,2.75510204081633,0,0,0.918367346938775,1.83673469387755,0,0,0.918367346938775,0.918367346938775,2.75510204081633,0.918367346938775,0,0.918367346938775,0.918367346938775,0,0.918367346938775,8.26530612244898,4.59183673469388,3.6734693877551,0.918367346938775,0,0.918367346938775,1.83673469387755,0,0,0,0,0,0,23.8775510204082,2.75510204081633,0,0,2.75510204081633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fields","ORL",0,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0.875,5,6,0.833333333333333,4,5,0.8,0.833333333333333,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,2,0.5,1,1,1,5,5,1,0,1,0,1,1,1,4,4,1,0,1,0,0,0,0,4,4,1,0.25,0.125,0.625,0.166666666666667,0.166666666666667,0.666666666666667,0.2,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,1,0,1,0,0,0,0,0,0,0,2,10,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5294117647059,21.1764705882353,13.2352941176471,15.8823529411765,10.5882352941176,13.2352941176471,0,0,0,0,0,0,5.29411764705882,5.29411764705882,0,0,0,0,0,0,2.64705882352941,5.29411764705882,2.64705882352941,2.64705882352941,13.2352941176471,13.2352941176471,0,2.64705882352941,2.64705882352941,2.64705882352941,10.5882352941176,10.5882352941176,0,2.64705882352941,0,0,10.5882352941176,10.5882352941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29411764705882,5.29411764705882,10.5882352941176,0,0,0,2.64705882352941,0,2.64705882352941,0,0,0,0,0,0,5.29411764705882,26.4705882352941,10.5882352941176,0,0,0,0,0,0,5.29411764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goodson","SBFC",0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8461538461538,6.92307692307692,6.92307692307692,0,0,0,0,0,0,0,0,0,0,0,34.6153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gordon","SBFC",0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,5,5,1,4,4,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,2,2,1,3,3,1,0,0,0,2,2,1,2,2,1,0,0,0,2,2,1,0.6,0,0.4,0.6,0,0.4,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,1,1,0.5,0,1,0,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,16.3636363636364,16.3636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2727272727273,12.2727272727273,0,0,8.18181818181818,8.18181818181818,12.2727272727273,12.2727272727273,0,0,8.18181818181818,8.18181818181818,8.18181818181818,8.18181818181818,0,0,8.18181818181818,8.18181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09090909090909,0,4.09090909090909,4.09090909090909,4.09090909090909,0,8.18181818181818,4.09090909090909,4.09090909090909,0,4.09090909090909,0,0,0,0,0,28.6363636363636,4.09090909090909,0,4.09090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grubka","SBFC",0,1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,38,0.842105263157895,31,37,0.837837837837838,7,9,0.777777777777778,0.243243243243243,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,18,24,0.75,9,9,1,5,5,1,18,24,0.75,9,9,1,4,4,1,6,8,0.75,1,1,1,0,0,0,0.631578947368421,0.236842105263158,0.131578947368421,0.648648648648649,0.243243243243243,0.108108108108108,0.888888888888889,0.111111111111111,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,14,10,4,2,1,1,0.5,1,1,1,0,0,0,1,9,2,1,0,3,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.3877551020408,34.8979591836735,28.469387755102,33.9795918367347,6.42857142857143,8.26530612244898,0,0,0,3.6734693877551,0,0,0,0,0,0,0,3.6734693877551,0,0,16.530612244898,22.0408163265306,8.26530612244898,8.26530612244898,4.59183673469388,4.59183673469388,16.530612244898,22.0408163265306,8.26530612244898,8.26530612244898,3.6734693877551,3.6734693877551,5.51020408163265,7.3469387755102,0.918367346938775,0.918367346938775,0,0,0,0,0,0,0.918367346938775,0.918367346938775,0,0,0,0,0.918367346938775,0,0,0,0,0,0,12.8571428571429,9.18367346938776,3.6734693877551,1.83673469387755,0.918367346938775,0.918367346938775,0.918367346938775,0.918367346938775,0.918367346938775,0,0,0,0.918367346938775,8.26530612244898,1.83673469387755,0.918367346938775,0,2.75510204081633,0.918367346938775,0.918367346938775,2.75510204081633,1.83673469387755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hagen","ORL",0,1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,21,0.714285714285714,15,21,0.714285714285714,10,14,0.714285714285714,0.636363636363636,0,0,0,0,0,0,1,2,0.5,0,0,0,0,0,0,0,0,0,1,2,0.5,4,9,0.444444444444444,5,6,0.833333333333333,6,6,1,4,9,0.444444444444444,5,6,0.833333333333333,6,6,1,3,6,0.5,2,3,0.666666666666667,5,5,1,0.428571428571429,0.285714285714286,0.285714285714286,0.428571428571429,0.285714285714286,0.285714285714286,0.428571428571429,0.214285714285714,0.357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,3,6,2,0,2,8,3,5,0.375,1,1,0,0,0,0,1,32,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7755102040816,19.2857142857143,13.7755102040816,19.2857142857143,9.18367346938776,12.8571428571429,0,0,0,0,0.918367346938775,1.83673469387755,0,0,0,0,0,0,0.918367346938775,1.83673469387755,3.6734693877551,8.26530612244898,4.59183673469388,5.51020408163265,5.51020408163265,5.51020408163265,3.6734693877551,8.26530612244898,4.59183673469388,5.51020408163265,5.51020408163265,5.51020408163265,2.75510204081633,5.51020408163265,1.83673469387755,2.75510204081633,4.59183673469388,4.59183673469388,0,0,0,0,0,0,0,0,0,0,0,0,1.83673469387755,1.83673469387755,0.918367346938775,2.75510204081633,5.51020408163265,1.83673469387755,0,1.83673469387755,7.3469387755102,2.75510204081633,4.59183673469388,0.918367346938775,0.918367346938775,0,0,0,0,0.918367346938775,29.3877551020408,2.75510204081633,0,0.918367346938775,0,0,0,0,0.918367346938775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
