"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Alleway","ORL",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,54,68,0.794117647058823,50,58,0.862068965517241,11,15,0.733333333333333,0.258620689655172,0,0,0,9,19,0.473684210526316,3,3,1,0,0,0,0,0,0,6,11,0.545454545454545,2,2,1,34,48,0.708333333333333,8,8,1,12,12,1,31,39,0.794871794871795,8,8,1,11,11,1,6,10,0.6,0,0,0,5,5,1,0.705882352941177,0.117647058823529,0.176470588235294,0.672413793103448,0.137931034482759,0.189655172413793,0.666666666666667,0,0.333333333333333,0,0,0,0,0,4,8,0.5,0,0,0,0,8,0,0,0,0,0,0,0,7,6,1,0,0,0,0,0,0,0,0,0,0,1,11,6,7,4,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0.947368421052632,0,0.947368421052632,0,0.947368421052632,51.1578947368421,64.4210526315789,47.3684210526316,54.9473684210526,10.4210526315789,14.2105263157895,0,0,8.52631578947368,18,2.84210526315789,2.84210526315789,0,0,0,0,5.68421052631579,10.4210526315789,1.89473684210526,1.89473684210526,32.2105263157895,45.4736842105263,7.57894736842105,7.57894736842105,11.3684210526316,11.3684210526316,29.3684210526316,36.9473684210526,7.57894736842105,7.57894736842105,10.4210526315789,10.4210526315789,5.68421052631579,9.47368421052632,0,0,4.73684210526316,4.73684210526316,0,0,0,0,3.78947368421053,7.57894736842105,0,0,0,0,7.57894736842105,0,0,0,0,0,0,6.63157894736842,5.68421052631579,0.947368421052632,0,0,0,0,0,0,0,0,0,0.947368421052632,10.4210526315789,5.68421052631579,6.63157894736842,3.78947368421053,2.84210526315789,0,0,1.89473684210526,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnes","SRFC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,42,52,0.807692307692308,33,42,0.785714285714286,14,17,0.823529411764706,0.404761904761905,3,3,1,2,7,0.285714285714286,0,1,0,5,6,0.833333333333333,0,0,0,2,7,0.285714285714286,0,1,0,25,34,0.735294117647059,9,10,0.9,8,8,1,20,28,0.714285714285714,6,7,0.857142857142857,7,7,1,7,9,0.777777777777778,2,3,0.666666666666667,5,5,1,0.653846153846154,0.192307692307692,0.153846153846154,0.666666666666667,0.166666666666667,0.166666666666667,0.529411764705882,0.176470588235294,0.294117647058824,3,3,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,9,5,4,1,0,1,0,0,0,0,0,0,0,0,2,0,8,6,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0,0,0,0,0,39.7894736842105,49.2631578947368,31.2631578947368,39.7894736842105,13.2631578947368,16.1052631578947,2.84210526315789,2.84210526315789,1.89473684210526,6.63157894736842,0,0.947368421052632,4.73684210526316,5.68421052631579,0,0,1.89473684210526,6.63157894736842,0,0.947368421052632,23.6842105263158,32.2105263157895,8.52631578947368,9.47368421052632,7.57894736842105,7.57894736842105,18.9473684210526,26.5263157894737,5.68421052631579,6.63157894736842,6.63157894736842,6.63157894736842,6.63157894736842,8.52631578947368,1.89473684210526,2.84210526315789,4.73684210526316,4.73684210526316,2.84210526315789,2.84210526315789,0,0.947368421052632,0.947368421052632,0.947368421052632,0,0,0,0,0.947368421052632,0,0,0,0.947368421052632,0,0.947368421052632,8.52631578947368,4.73684210526316,3.78947368421053,0.947368421052632,0,0.947368421052632,0,0,0,0,0,0,0,1.89473684210526,0,7.57894736842105,5.68421052631579,2.84210526315789,0,0.947368421052632,0.947368421052632,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belanger","ORL",0,1,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,37,0.837837837837838,25,30,0.833333333333333,8,9,0.888888888888889,0.3,0,1,0,2,2,1,0,1,0,6,7,0.857142857142857,0,1,0,2,2,1,0,1,0,17,22,0.772727272727273,5,5,1,9,10,0.9,13,17,0.764705882352941,5,5,1,7,8,0.875,4,5,0.8,2,2,1,2,2,1,0.594594594594595,0.135135135135135,0.27027027027027,0.566666666666667,0.166666666666667,0.266666666666667,0.555555555555556,0.222222222222222,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,2,1,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,6,2,4,2,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.2727272727273,50.4545454545455,34.0909090909091,40.9090909090909,10.9090909090909,12.2727272727273,0,1.36363636363636,2.72727272727273,2.72727272727273,0,1.36363636363636,8.18181818181818,9.54545454545454,0,1.36363636363636,2.72727272727273,2.72727272727273,0,1.36363636363636,23.1818181818182,30,6.81818181818182,6.81818181818182,12.2727272727273,13.6363636363636,17.7272727272727,23.1818181818182,6.81818181818182,6.81818181818182,9.54545454545454,10.9090909090909,5.45454545454546,6.81818181818182,2.72727272727273,2.72727272727273,2.72727272727273,2.72727272727273,0,0,0,0,0,0,0,0,0,0,0,1.36363636363636,1.36363636363636,2.72727272727273,2.72727272727273,1.36363636363636,5.45454545454546,4.09090909090909,1.36363636363636,2.72727272727273,0,0,0,0,0,0,0,0,0,0,8.18181818181818,2.72727272727273,5.45454545454546,2.72727272727273,5.45454545454546,0,1.36363636363636,0,1.36363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catley","ORL",0,1,95,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,56,0.607142857142857,27,42,0.642857142857143,13,20,0.65,0.476190476190476,1,5,0.2,0,5,0,0,3,0,7,12,0.583333333333333,1,3,0.333333333333333,0,5,0,0,3,0,18,36,0.5,5,8,0.625,11,12,0.916666666666667,14,27,0.518518518518518,4,5,0.8,9,10,0.9,8,13,0.615384615384615,1,2,0.5,4,5,0.8,0.642857142857143,0.142857142857143,0.214285714285714,0.642857142857143,0.119047619047619,0.238095238095238,0.65,0.1,0.25,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,7,2,0,0,0,0,1,0,0,0,0,0,0,12,4,4,1,1,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0.947368421052632,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.2105263157895,53.0526315789474,25.5789473684211,39.7894736842105,12.3157894736842,18.9473684210526,0.947368421052632,4.73684210526316,0,4.73684210526316,0,2.84210526315789,6.63157894736842,11.3684210526316,0.947368421052632,2.84210526315789,0,4.73684210526316,0,2.84210526315789,17.0526315789474,34.1052631578947,4.73684210526316,7.57894736842105,10.4210526315789,11.3684210526316,13.2631578947368,25.5789473684211,3.78947368421053,4.73684210526316,8.52631578947368,9.47368421052632,7.57894736842105,12.3157894736842,0.947368421052632,1.89473684210526,3.78947368421053,4.73684210526316,0,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89473684210526,1.89473684210526,8.52631578947368,6.63157894736842,1.89473684210526,0,0,0,0.947368421052632,0,0,0,0,0,0,11.3684210526316,3.78947368421053,3.78947368421053,0.947368421052632,0.947368421052632,0,3.78947368421053,1.89473684210526,3.78947368421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corsie","SRFC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,53,0.811320754716981,41,51,0.803921568627451,8,11,0.727272727272727,0.215686274509804,1,1,1,6,11,0.545454545454545,0,1,0,1,1,1,1,1,1,6,11,0.545454545454545,0,1,0,29,38,0.763157894736842,2,3,0.666666666666667,12,12,1,27,36,0.75,2,3,0.666666666666667,12,12,1,3,5,0.6,1,2,0.5,4,4,1,0.716981132075472,0.0566037735849057,0.226415094339623,0.705882352941177,0.0588235294117647,0.235294117647059,0.454545454545455,0.181818181818182,0.363636363636364,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,7,7,0,6,4,2,0.666666666666667,0,2,0,0,0,0,0,13,1,2,2,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.7368421052632,50.2105263157895,38.8421052631579,48.3157894736842,7.57894736842105,10.4210526315789,0.947368421052632,0.947368421052632,5.68421052631579,10.4210526315789,0,0.947368421052632,0.947368421052632,0.947368421052632,0.947368421052632,0.947368421052632,5.68421052631579,10.4210526315789,0,0.947368421052632,27.4736842105263,36,1.89473684210526,2.84210526315789,11.3684210526316,11.3684210526316,25.5789473684211,34.1052631578947,1.89473684210526,2.84210526315789,11.3684210526316,11.3684210526316,2.84210526315789,4.73684210526316,0.947368421052632,1.89473684210526,3.78947368421053,3.78947368421053,0,0,0,0,0.947368421052632,0.947368421052632,0,0,0,0,0.947368421052632,0.947368421052632,0,0.947368421052632,0,0,0,6.63157894736842,6.63157894736842,0,5.68421052631579,3.78947368421053,1.89473684210526,0,1.89473684210526,0,0,0,0,0,12.3157894736842,0.947368421052632,1.89473684210526,1.89473684210526,4.73684210526316,0,0.947368421052632,0,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cruz","SRFC",0,1,26,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0.8,3,3,1,2,2,1,0.666666666666667,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,3,3,1,1,1,1,0,0,0,2,2,1,1,1,1,0,0,0,1,1,1,0.4,0,0.6,0.333333333333333,0,0.666666666666667,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46153846153846,0,3.46153846153846,3.46153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8461538461538,17.3076923076923,10.3846153846154,10.3846153846154,6.92307692307692,6.92307692307692,0,0,0,0,0,0,3.46153846153846,6.92307692307692,0,0,0,0,0,0,3.46153846153846,6.92307692307692,0,0,10.3846153846154,10.3846153846154,3.46153846153846,3.46153846153846,0,0,6.92307692307692,6.92307692307692,3.46153846153846,3.46153846153846,0,0,3.46153846153846,3.46153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46153846153846,3.46153846153846,0,0,0,3.46153846153846,0,3.46153846153846,0,0,0,0,0,0,0,20.7692307692308,10.3846153846154,3.46153846153846,0,0,0,3.46153846153846,3.46153846153846,3.46153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edmonds","ORL",0,1,95,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,37,0.72972972972973,24,30,0.8,17,19,0.894736842105263,0.633333333333333,2,6,0.333333333333333,0,0,0,2,3,0.666666666666667,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,11,17,0.647058823529412,7,11,0.636363636363636,9,9,1,11,17,0.647058823529412,5,5,1,8,8,1,7,9,0.777777777777778,4,4,1,6,6,1,0.459459459459459,0.297297297297297,0.243243243243243,0.566666666666667,0.166666666666667,0.266666666666667,0.473684210526316,0.210526315789474,0.315789473684211,3,6,0.5,0,0,0,1,0,0,0,0,0,1,2,1,3,0.666666666666667,0,2,3,3,3,0,0,0,0,0,1,1,0,0,0,0,0,27,2,4,2,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0.947368421052632,0,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5789473684211,35.0526315789474,22.7368421052632,28.4210526315789,16.1052631578947,18,1.89473684210526,5.68421052631579,0,0,1.89473684210526,2.84210526315789,0,0,0,0,0,0,1.89473684210526,2.84210526315789,10.4210526315789,16.1052631578947,6.63157894736842,10.4210526315789,8.52631578947368,8.52631578947368,10.4210526315789,16.1052631578947,4.73684210526316,4.73684210526316,7.57894736842105,7.57894736842105,6.63157894736842,8.52631578947368,3.78947368421053,3.78947368421053,5.68421052631579,5.68421052631579,2.84210526315789,5.68421052631579,0,0,0,0.947368421052632,0,0,0,0,0.947368421052632,1.89473684210526,0.947368421052632,2.84210526315789,0,1.89473684210526,2.84210526315789,2.84210526315789,2.84210526315789,0,0,0,0,0.947368421052632,0.947368421052632,0,0,0,0,0,25.5789473684211,1.89473684210526,3.78947368421053,1.89473684210526,1.89473684210526,0.947368421052632,1.89473684210526,0.947368421052632,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edwards","ORL",0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,22.5,22.5,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,11.25,11.25,11.25,0,0,11.25,11.25,11.25,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,11.25,22.5,22.5,0,0,0,0,11.25,0,0,0,0,0,0,67.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elston","SRFC",0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,0.5,8,17,0.470588235294118,4,8,0.5,0.470588235294118,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,3,0,3,12,0.25,4,4,1,2,2,1,3,12,0.25,4,4,1,1,1,1,2,6,0.333333333333333,2,2,1,0,0,0,0.666666666666667,0.222222222222222,0.111111111111111,0.705882352941177,0.235294117647059,0.0588235294117647,0.75,0.25,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,3,2,1,4,3,1,0.75,1,1,0,0,0,0,0,3,3,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9310344827586,55.8620689655172,24.8275862068966,52.7586206896552,12.4137931034483,24.8275862068966,0,0,0,3.10344827586207,0,9.31034482758621,0,0,0,0,0,3.10344827586207,0,9.31034482758621,9.31034482758621,37.2413793103448,12.4137931034483,12.4137931034483,6.20689655172414,6.20689655172414,9.31034482758621,37.2413793103448,12.4137931034483,12.4137931034483,3.10344827586207,3.10344827586207,6.20689655172414,18.6206896551724,6.20689655172414,6.20689655172414,0,0,0,0,0,0,3.10344827586207,3.10344827586207,0,0,0,0,3.10344827586207,3.10344827586207,0,3.10344827586207,0,0,0,9.31034482758621,6.20689655172414,3.10344827586207,12.4137931034483,9.31034482758621,3.10344827586207,3.10344827586207,3.10344827586207,0,0,0,0,0,9.31034482758621,9.31034482758621,3.10344827586207,3.10344827586207,0,0,3.10344827586207,3.10344827586207,3.10344827586207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fletcher","SRFC",0,1,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,55,0.854545454545454,43,50,0.86,24,29,0.827586206896552,0.58,0,2,0,0,2,0,0,0,0,4,5,0.8,0,2,0,0,2,0,0,0,0,26,32,0.8125,9,10,0.9,12,13,0.923076923076923,22,27,0.814814814814815,9,10,0.9,12,13,0.923076923076923,15,18,0.833333333333333,3,4,0.75,6,7,0.857142857142857,0.581818181818182,0.181818181818182,0.236363636363636,0.54,0.2,0.26,0.620689655172414,0.137931034482759,0.241379310344828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,3,0,3,0,0,0,0,0,0,0,0,8,3,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.304347826087,71.7391304347826,56.0869565217391,65.2173913043478,31.304347826087,37.8260869565217,0,2.60869565217391,0,2.60869565217391,0,0,5.21739130434783,6.52173913043478,0,2.60869565217391,0,2.60869565217391,0,0,33.9130434782609,41.7391304347826,11.7391304347826,13.0434782608696,15.6521739130435,16.9565217391304,28.695652173913,35.2173913043478,11.7391304347826,13.0434782608696,15.6521739130435,16.9565217391304,19.5652173913043,23.4782608695652,3.91304347826087,5.21739130434783,7.82608695652174,9.1304347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.82608695652174,3.91304347826087,3.91304347826087,3.91304347826087,0,3.91304347826087,0,0,0,0,0,0,0,10.4347826086957,3.91304347826087,10.4347826086957,6.52173913043478,2.60869565217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
