"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Church","WAS",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,34,0.882352941176471,30,33,0.909090909090909,12,14,0.857142857142857,0.424242424242424,0,0,0,1,4,0.25,0,1,0,0,0,0,0,0,0,1,3,0.333333333333333,0,1,0,13,17,0.764705882352941,14,14,1,3,3,1,13,16,0.8125,14,14,1,3,3,1,7,9,0.777777777777778,4,4,1,1,1,1,0.5,0.411764705882353,0.0882352941176471,0.484848484848485,0.424242424242424,0.0909090909090909,0.642857142857143,0.285714285714286,0.0714285714285714,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,12,7,5,9,5,4,0.555555555555556,0,1,0,0,0,0,0,6,0,1,2,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4210526315789,32.2105263157895,28.4210526315789,31.2631578947368,11.3684210526316,13.2631578947368,0,0,0.947368421052632,3.78947368421053,0,0.947368421052632,0,0,0,0,0.947368421052632,2.84210526315789,0,0.947368421052632,12.3157894736842,16.1052631578947,13.2631578947368,13.2631578947368,2.84210526315789,2.84210526315789,12.3157894736842,15.1578947368421,13.2631578947368,13.2631578947368,2.84210526315789,2.84210526315789,6.63157894736842,8.52631578947368,3.78947368421053,3.78947368421053,0.947368421052632,0.947368421052632,0,0,0,0,0,0.947368421052632,0,0,0,0,0.947368421052632,0,0,0,0.947368421052632,0,0.947368421052632,11.3684210526316,6.63157894736842,4.73684210526316,8.52631578947368,4.73684210526316,3.78947368421053,0,0.947368421052632,0,0,0,0,0,5.68421052631579,0,0.947368421052632,1.89473684210526,5.68421052631579,0,0,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","WAS",0,1,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,15,21,0.714285714285714,15,21,0.714285714285714,12,17,0.705882352941177,0.80952380952381,1,3,0.333333333333333,0,0,0,1,2,0.5,0,0,0,1,3,0.333333333333333,0,0,0,1,2,0.5,2,5,0.4,7,10,0.7,6,6,1,2,5,0.4,7,10,0.7,6,6,1,0,2,0,6,9,0.666666666666667,6,6,1,0.238095238095238,0.476190476190476,0.285714285714286,0.238095238095238,0.476190476190476,0.285714285714286,0.117647058823529,0.529411764705882,0.352941176470588,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,19,0.578947368421053,5,3,16,4,0,4,4,1,3,0.25,4,0,0,0,0,0,0,48,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32352941176471,0,0,0,1.32352941176471,0,0,19.8529411764706,27.7941176470588,19.8529411764706,27.7941176470588,15.8823529411765,22.5,1.32352941176471,3.97058823529412,0,0,1.32352941176471,2.64705882352941,0,0,1.32352941176471,3.97058823529412,0,0,1.32352941176471,2.64705882352941,2.64705882352941,6.61764705882353,9.26470588235294,13.2352941176471,7.94117647058824,7.94117647058824,2.64705882352941,6.61764705882353,9.26470588235294,13.2352941176471,7.94117647058824,7.94117647058824,0,2.64705882352941,7.94117647058824,11.9117647058824,7.94117647058824,7.94117647058824,0,0,0,0,0,0,0,0,0,0,0,14.5588235294118,10.5882352941176,25.1470588235294,6.61764705882353,3.97058823529412,21.1764705882353,5.29411764705882,0,5.29411764705882,5.29411764705882,1.32352941176471,3.97058823529412,5.29411764705882,0,0,0,0,0,0,63.5294117647059,5.29411764705882,2.64705882352941,1.32352941176471,0,0,0,1.32352941176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dydasco","WAS",0,1,95,1,0,1,0,1,0,2,0.5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,70,0.785714285714286,51,64,0.796875,28,38,0.736842105263158,0.59375,0,1,0,0,4,0,1,1,1,4,6,0.666666666666667,0,1,0,0,4,0,1,1,1,26,38,0.684210526315789,9,12,0.75,20,20,1,22,32,0.6875,9,12,0.75,20,20,1,12,19,0.631578947368421,3,6,0.5,13,13,1,0.542857142857143,0.171428571428571,0.285714285714286,0.5,0.1875,0.3125,0.5,0.157894736842105,0.342105263157895,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,1,16,13,3,4,3,1,0.75,0,0,0,0,0,0,2,6,5,6,5,4,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0.947368421052632,0,1.89473684210526,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.1052631578947,66.3157894736842,48.3157894736842,60.6315789473684,26.5263157894737,36,0,0.947368421052632,0,3.78947368421053,0.947368421052632,0.947368421052632,3.78947368421053,5.68421052631579,0,0.947368421052632,0,3.78947368421053,0.947368421052632,0.947368421052632,24.6315789473684,36,8.52631578947368,11.3684210526316,18.9473684210526,18.9473684210526,20.8421052631579,30.3157894736842,8.52631578947368,11.3684210526316,18.9473684210526,18.9473684210526,11.3684210526316,18,2.84210526315789,5.68421052631579,12.3157894736842,12.3157894736842,0,0,0,0,0,0,0,0,0,0,0,1.89473684210526,0,1.89473684210526,0,0.947368421052632,0.947368421052632,15.1578947368421,12.3157894736842,2.84210526315789,3.78947368421053,2.84210526315789,0.947368421052632,0,0,0,0,0,0,1.89473684210526,5.68421052631579,4.73684210526316,5.68421052631579,4.73684210526316,3.78947368421053,0,2.84210526315789,0.947368421052632,4.73684210526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edmonds","ORL",0,1,95,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,37,47,0.787234042553192,34,42,0.80952380952381,20,23,0.869565217391304,0.547619047619048,0,3,0,1,2,0.5,0,1,0,0,0,0,0,1,0,1,2,0.5,0,1,0,12,18,0.666666666666667,14,18,0.777777777777778,11,11,1,11,17,0.647058823529412,13,15,0.866666666666667,10,10,1,3,5,0.6,11,12,0.916666666666667,6,6,1,0.382978723404255,0.382978723404255,0.234042553191489,0.404761904761905,0.357142857142857,0.238095238095238,0.217391304347826,0.521739130434783,0.260869565217391,1,2,0.5,0,0,2,3,0.666666666666667,0,0,0,0,3,1,3,4,0.25,0,2,5,13,7,6,3,0,3,0,1,1,0,0,0,0,1,32,2,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0.947368421052632,0,0.947368421052632,0,0,0,0,0,0,0,0,0.947368421052632,0,0,0,0.947368421052632,0,0,35.0526315789474,44.5263157894737,32.2105263157895,39.7894736842105,18.9473684210526,21.7894736842105,0,2.84210526315789,0.947368421052632,1.89473684210526,0,0.947368421052632,0,0,0,0.947368421052632,0.947368421052632,1.89473684210526,0,0.947368421052632,11.3684210526316,17.0526315789474,13.2631578947368,17.0526315789474,10.4210526315789,10.4210526315789,10.4210526315789,16.1052631578947,12.3157894736842,14.2105263157895,9.47368421052632,9.47368421052632,2.84210526315789,4.73684210526316,10.4210526315789,11.3684210526316,5.68421052631579,5.68421052631579,0.947368421052632,1.89473684210526,0,0,1.89473684210526,2.84210526315789,0,0,0,0,2.84210526315789,0.947368421052632,2.84210526315789,3.78947368421053,0,1.89473684210526,4.73684210526316,12.3157894736842,6.63157894736842,5.68421052631579,2.84210526315789,0,2.84210526315789,0.947368421052632,0.947368421052632,0,0,0,0,0.947368421052632,30.3157894736842,1.89473684210526,0,0.947368421052632,1.89473684210526,0,0,0.947368421052632,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edwards","ORL",0,1,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,0.611111111111111,11,18,0.611111111111111,8,14,0.571428571428571,0.777777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.25,6,8,0.75,4,6,0.666666666666667,1,4,0.25,6,8,0.75,4,6,0.666666666666667,0,3,0,5,7,0.714285714285714,3,4,0.75,0.222222222222222,0.444444444444444,0.333333333333333,0.222222222222222,0.444444444444444,0.333333333333333,0.214285714285714,0.5,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,8,5,3,0.625,0,2,0,0,0,0,0,26,2,1,3,1,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2307692307692,24.9230769230769,15.2307692307692,24.9230769230769,11.0769230769231,19.3846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38461538461538,5.53846153846154,8.30769230769231,11.0769230769231,5.53846153846154,8.30769230769231,1.38461538461538,5.53846153846154,8.30769230769231,11.0769230769231,5.53846153846154,8.30769230769231,0,4.15384615384615,6.92307692307692,9.69230769230769,4.15384615384615,5.53846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53846153846154,4.15384615384615,1.38461538461538,11.0769230769231,6.92307692307692,4.15384615384615,0,2.76923076923077,0,0,0,0,0,36,2.76923076923077,1.38461538461538,4.15384615384615,1.38461538461538,0,6.92307692307692,1.38461538461538,6.92307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Evans","ORL",0,1,95,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,52,0.769230769230769,39,51,0.764705882352941,27,35,0.771428571428571,0.686274509803922,0,1,0,0,4,0,0,1,0,0,0,0,0,1,0,0,4,0,0,1,0,13,23,0.565217391304348,12,12,1,15,17,0.882352941176471,13,23,0.565217391304348,12,12,1,14,16,0.875,8,14,0.571428571428571,6,6,1,13,15,0.866666666666667,0.442307692307692,0.230769230769231,0.326923076923077,0.450980392156863,0.235294117647059,0.313725490196078,0.4,0.171428571428571,0.428571428571429,0,0,0,0,0,1,1,1,0,0,0,0,1,3,1,4,0.75,1,1,3,15,12,3,9,4,5,0.444444444444444,1,1,0,0,0,0,0,30,4,3,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0.947368421052632,0,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.8947368421053,49.2631578947368,36.9473684210526,48.3157894736842,25.5789473684211,33.1578947368421,0,0.947368421052632,0,3.78947368421053,0,0.947368421052632,0,0,0,0.947368421052632,0,3.78947368421053,0,0.947368421052632,12.3157894736842,21.7894736842105,11.3684210526316,11.3684210526316,14.2105263157895,16.1052631578947,12.3157894736842,21.7894736842105,11.3684210526316,11.3684210526316,13.2631578947368,15.1578947368421,7.57894736842105,13.2631578947368,5.68421052631579,5.68421052631579,12.3157894736842,14.2105263157895,0,0,0,0,0.947368421052632,0.947368421052632,0,0,0,0,0.947368421052632,2.84210526315789,0.947368421052632,3.78947368421053,0.947368421052632,0.947368421052632,2.84210526315789,14.2105263157895,11.3684210526316,2.84210526315789,8.52631578947368,3.78947368421053,4.73684210526316,0.947368421052632,0.947368421052632,0,0,0,0,0,28.4210526315789,3.78947368421053,2.84210526315789,0.947368421052632,0,0,0.947368421052632,2.84210526315789,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Farquharson","WAS",0,1,95,1,0,0,0,1,1,2,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,23,0.739130434782609,17,23,0.739130434782609,15,21,0.714285714285714,0.91304347826087,0,1,0,0,0,0,1,2,0.5,0,0,0,0,1,0,0,0,0,1,2,0.5,2,5,0.4,8,11,0.727272727272727,7,7,1,2,5,0.4,8,11,0.727272727272727,7,7,1,2,5,0.4,7,10,0.7,6,6,1,0.217391304347826,0.478260869565217,0.304347826086957,0.217391304347826,0.478260869565217,0.304347826086957,0.238095238095238,0.476190476190476,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,4,7,5,2,2,2,0,1,0,0,0,0,0,0,0,15,3,3,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0.947368421052632,1.89473684210526,0.947368421052632,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1052631578947,21.7894736842105,16.1052631578947,21.7894736842105,14.2105263157895,19.8947368421053,0,0.947368421052632,0,0,0.947368421052632,1.89473684210526,0,0,0,0.947368421052632,0,0,0.947368421052632,1.89473684210526,1.89473684210526,4.73684210526316,7.57894736842105,10.4210526315789,6.63157894736842,6.63157894736842,1.89473684210526,4.73684210526316,7.57894736842105,10.4210526315789,6.63157894736842,6.63157894736842,1.89473684210526,4.73684210526316,6.63157894736842,9.47368421052632,5.68421052631579,5.68421052631579,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0.947368421052632,1.89473684210526,1.89473684210526,3.78947368421053,6.63157894736842,4.73684210526316,1.89473684210526,1.89473684210526,1.89473684210526,0,0,0,0,0,0,0,0,14.2105263157895,2.84210526315789,2.84210526315789,1.89473684210526,0,0,0.947368421052632,0.947368421052632,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fields","ORL",0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.5,1,3,0.333333333333333,1,2,0.5,0.666666666666667,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,2,0.5,0,1,0,1,1,1,1,2,0.5,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0.5,0.25,0.25,0.666666666666667,0.333333333333333,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,6,18,6,12,0,6,0,0,0,0,6,6,0,6,0,0,0,0,6,12,0,6,6,6,6,12,0,6,0,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hagen","ORL",0,1,31,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,5,0.6,3,5,0.6,3,4,0.75,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,0.75,0,1,0,0,0,0,3,4,0.75,0,0,0,0,0,0,3,4,0.75,0.2,0,0.8,0.2,0,0.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,5,2,3,0.4,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.90322580645161,0,0,0,0,2.90322580645161,2.90322580645161,0,2.90322580645161,0,0,0,0,0,2.90322580645161,0,0,0,0,0,0,0,0,8.70967741935484,14.5161290322581,8.70967741935484,14.5161290322581,8.70967741935484,11.6129032258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.90322580645161,0,0,8.70967741935484,11.6129032258065,0,2.90322580645161,0,0,8.70967741935484,11.6129032258065,0,0,0,0,8.70967741935484,11.6129032258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.90322580645161,0,2.90322580645161,2.90322580645161,0,2.90322580645161,14.5161290322581,5.80645161290323,8.70967741935484,0,0,0,0,0,0,0,17.4193548387097,2.90322580645161,2.90322580645161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harris","ORL",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,27,0.592592592592593,10,14,0.714285714285714,2,2,1,0.142857142857143,0,0,0,9,20,0.45,0,0,0,0,0,0,0,0,0,4,8,0.5,0,0,0,12,23,0.521739130434783,4,4,1,0,0,0,7,11,0.636363636363636,3,3,1,0,0,0,1,1,1,1,1,1,0,0,0,0.851851851851852,0.148148148148148,0,0.785714285714286,0.214285714285714,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,0.333333333333333,1,2,3,0.666666666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,27,0.592592592592593,1,1,1,0,0,0,5,12,0.416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1578947368421,25.5789473684211,9.47368421052632,13.2631578947368,1.89473684210526,1.89473684210526,0,0,8.52631578947368,18.9473684210526,0,0,0,0,0,0,3.78947368421053,7.57894736842105,0,0,11.3684210526316,21.7894736842105,3.78947368421053,3.78947368421053,0,0,6.63157894736842,10.4210526315789,2.84210526315789,2.84210526315789,0,0,0.947368421052632,0.947368421052632,0.947368421052632,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78947368421053,1.89473684210526,5.68421052631579,0.947368421052632,1.89473684210526,2.84210526315789,0,0,0,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,15.1578947368421,25.5789473684211,0.947368421052632,0.947368421052632,0,0,4.73684210526316,11.3684210526316
