"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Beckmann","BOS",0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,7,0.714285714285714,4,6,0.666666666666667,4,5,0.8,0.714285714285714,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,3,0.333333333333333,1,1,1,2,2,1,1,3,0.333333333333333,1,1,1,2,2,1,1,2,0.5,1,1,1,0.428571428571429,0.428571428571429,0.142857142857143,0.333333333333333,0.5,0.166666666666667,0.4,0.4,0.2,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,2,1,1,3,2,1,0.666666666666667,0,2,0,0,0,0,0,8,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Betos","PTFC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,27,0.703703703703704,12,13,0.923076923076923,1,1,1,0.0769230769230769,0,0,0,8,14,0.571428571428571,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,19,27,0.703703703703704,0,0,0,0,0,0,12,13,0.923076923076923,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,1,0,1,0,3,0,3,1,3,0,0,1,3,0,3,2,0,2,0,0,0,0,1,0,19,27,0.703703703703704,2,2,1,1,6,0.166666666666667,4,6,0.666666666666667
"Boureille","PTFC",0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,1,2,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0.5,0,0,0,0,0,0,1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dowie","BOS",0,1,95,1,0,2,0,1,0,3,0.666666666666667,2,1,0.666666666666667,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,19,21,0.904761904761905,19,21,0.904761904761905,9,10,0.9,0.476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0.714285714285714,2,2,1,12,12,1,5,7,0.714285714285714,2,2,1,12,12,1,2,3,0.666666666666667,0,0,0,7,7,1,0.333333333333333,0.0952380952380952,0.571428571428571,0.333333333333333,0.0952380952380952,0.571428571428571,0.3,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,2,5,4,1,6,2,4,0.333333333333333,1,1,0,0,0,0,0,8,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Engen","BOS",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,32,0.78125,21,27,0.777777777777778,7,10,0.7,0.37037037037037,1,1,1,2,5,0.4,0,0,0,0,0,0,1,1,1,1,3,0.333333333333333,0,0,0,12,18,0.666666666666667,7,8,0.875,6,6,1,10,15,0.666666666666667,5,6,0.833333333333333,6,6,1,5,8,0.625,1,1,1,1,1,1,0.5625,0.25,0.1875,0.555555555555556,0.222222222222222,0.222222222222222,0.8,0.1,0.1,0,0,0,0,0,4,5,0.8,0,0,0,0,5,0,0,0,0,0,0,0,4,2,2,1,0,1,0,2,0,0,0,0,0,1,6,0,0,3,7,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heath","PTFC",0,1,31,0,0,1,0,2,0,3,0.333333333333333,1,2,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,0.857142857142857,10,10,1,8,8,1,0.8,1,2,0.5,0,0,0,0,0,0,2,2,1,1,1,1,0,0,0,0,0,0,2,3,0.666666666666667,7,8,0.875,3,3,1,1,1,1,6,6,1,3,3,1,0,0,0,6,6,1,2,2,1,0.214285714285714,0.571428571428571,0.214285714285714,0.1,0.6,0.3,0,0.75,0.25,0,1,0,0,0,0,1,0,0,0,0,0,1,6,1,7,0.857142857142857,0,2,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Henry","PTFC",0,1,64,1,0,1,0,1,0,2,0.5,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,0.785714285714286,21,27,0.777777777777778,8,10,0.8,0.37037037037037,0,0,0,1,2,0.5,1,2,0.5,0,0,0,0,0,0,1,2,0.5,1,2,0.5,9,15,0.6,6,6,1,7,7,1,8,14,0.571428571428571,6,6,1,7,7,1,3,5,0.6,1,1,1,4,4,1,0.535714285714286,0.214285714285714,0.25,0.518518518518518,0.222222222222222,0.259259259259259,0.5,0.1,0.4,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,3,3,0,2,1,1,0.5,0,4,0,0,0,0,2,9,3,1,1,5,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horan","PTFC",0,1,95,1,0,2,0,0,0,2,1,0,2,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,32,42,0.761904761904762,32,42,0.761904761904762,14,19,0.736842105263158,0.452380952380952,0,2,0,2,4,0.5,0,1,0,0,0,0,0,2,0,2,4,0.5,0,1,0,12,16,0.75,3,8,0.375,17,18,0.944444444444444,12,16,0.75,3,8,0.375,17,18,0.944444444444444,5,6,0.833333333333333,2,5,0.4,7,8,0.875,0.380952380952381,0.19047619047619,0.428571428571429,0.380952380952381,0.19047619047619,0.428571428571429,0.315789473684211,0.263157894736842,0.421052631578947,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,1,4,2,6,5,2,3,7,5,2,0.714285714285714,0,2,0,0,0,0,0,12,3,1,0,1,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kallman","BOS",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,37,0.918918918918919,30,33,0.909090909090909,11,11,1,0.333333333333333,1,1,1,2,3,0.666666666666667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,24,0.875,7,7,1,6,6,1,17,20,0.85,7,7,1,6,6,1,4,4,1,4,4,1,3,3,1,0.648648648648649,0.189189189189189,0.162162162162162,0.606060606060606,0.212121212121212,0.181818181818182,0.363636363636364,0.363636363636364,0.272727272727273,0,0,0,0,0,4,4,1,0,0,0,0,4,1,0,1,1,1,0,1,10,7,3,2,2,0,1,2,1,0,0,0,0,0,5,1,2,4,10,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Karchouni","BOS",0,1,20,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0.666666666666667,6,9,0.666666666666667,4,6,0.666666666666667,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0.4,2,2,1,2,2,1,2,5,0.4,2,2,1,2,2,1,2,4,0.5,1,1,1,1,1,1,0.555555555555556,0.222222222222222,0.222222222222222,0.555555555555556,0.222222222222222,0.222222222222222,0.666666666666667,0.166666666666667,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,1,0,1,2,0,0,0,0,0,0,6,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
