"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Betos","PTFC",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,39,0.564102564102564,11,13,0.846153846153846,0,1,0,0.0769230769230769,0,0,0,2,13,0.153846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,37,0.540540540540541,2,2,1,0,0,0,10,12,0.833333333333333,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0.948717948717949,0.0512820512820513,0,0.923076923076923,0.0769230769230769,0,1,0,0,0,0,0,0,0,1,2,0.5,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,1,0,6,1,7,0.857142857142857,4,0,0,0,5,1,6,1,0,1,1,1,2,0,2,0,22,39,0.564102564102564,3,3,1,0,5,0,8,18,0.444444444444444
"Brynjarsdottir","PTFC",0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0.666666666666667,6,9,0.666666666666667,3,5,0.6,0.555555555555556,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,3,5,0.6,0,1,0,3,3,1,3,5,0.6,0,1,0,3,3,1,0,2,0,0,0,0,3,3,1,0.555555555555556,0.111111111111111,0.333333333333333,0.555555555555556,0.111111111111111,0.333333333333333,0.4,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colaprico","CRS",0,1,96,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,52,0.788461538461538,41,50,0.82,20,25,0.8,0.5,0,1,0,1,3,0.333333333333333,0,1,0,0,0,0,0,0,0,1,3,0.333333333333333,0,1,0,21,31,0.67741935483871,6,7,0.857142857142857,14,14,1,21,29,0.724137931034483,6,7,0.857142857142857,14,14,1,7,11,0.636363636363636,4,5,0.8,9,9,1,0.596153846153846,0.134615384615385,0.269230769230769,0.58,0.14,0.28,0.44,0.2,0.36,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,1,1,1,0,1,16,9,7,4,1,3,0.25,4,1,0,0,0,0,0,14,3,2,3,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comeau","CRS",0,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0.857142857142857,6,7,0.857142857142857,3,4,0.75,0.571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,3,3,1,2,2,1,1,2,0.5,3,3,1,2,2,1,1,2,0.5,1,1,1,1,1,1,0.285714285714286,0.428571428571429,0.285714285714286,0.285714285714286,0.428571428571429,0.285714285714286,0.5,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Da Costa","CRS",0,1,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,0.625,20,32,0.625,15,23,0.652173913043478,0.71875,0,1,0,1,1,1,0,2,0,0,0,0,0,1,0,1,1,1,0,2,0,9,17,0.529411764705882,3,7,0.428571428571429,8,8,1,9,17,0.529411764705882,3,7,0.428571428571429,8,8,1,8,13,0.615384615384615,1,4,0.25,6,6,1,0.53125,0.21875,0.25,0.53125,0.21875,0.25,0.565217391304348,0.173913043478261,0.260869565217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,4,11,10,1,2,2,0,1,1,0,0,0,0,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DiBernardo","CRS",0,1,96,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,36,52,0.692307692307692,34,45,0.755555555555556,22,29,0.758620689655172,0.644444444444444,0,7,0,2,2,1,2,3,0.666666666666667,0,0,0,0,2,0,2,2,1,2,3,0.666666666666667,19,28,0.678571428571429,9,16,0.5625,8,8,1,19,27,0.703703703703704,9,12,0.75,6,6,1,12,16,0.75,4,7,0.571428571428571,6,6,1,0.538461538461538,0.307692307692308,0.153846153846154,0.6,0.266666666666667,0.133333333333333,0.551724137931034,0.241379310344828,0.206896551724138,1,4,0.25,0,0,1,3,0.333333333333333,0,0,0,0,3,1,0,1,1,0,2,2,14,9,5,9,0,9,0,0,0,0,0,0,0,3,27,5,1,8,1,0,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gilliland","CRS",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,44,0.681818181818182,22,36,0.611111111111111,11,21,0.523809523809524,0.583333333333333,0,5,0,0,2,0,0,0,0,8,8,1,0,5,0,0,2,0,0,0,0,19,26,0.730769230769231,5,12,0.416666666666667,6,6,1,11,18,0.611111111111111,5,12,0.416666666666667,6,6,1,4,8,0.5,3,9,0.333333333333333,4,4,1,0.590909090909091,0.272727272727273,0.136363636363636,0.5,0.333333333333333,0.166666666666667,0.380952380952381,0.428571428571429,0.19047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,1,0,6,17,9,8,0,0,0,0,0,0,0,0,0,0,2,28,4,3,8,0,1,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heath","PTFC",0,1,96,1,0,1,0,1,0,2,0.5,1,1,0.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,31,44,0.704545454545455,27,39,0.692307692307692,20,29,0.689655172413793,0.743589743589744,3,5,0.6,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,9,17,0.529411764705882,8,11,0.727272727272727,14,16,0.875,9,17,0.529411764705882,5,7,0.714285714285714,13,15,0.866666666666667,5,11,0.454545454545455,5,6,0.833333333333333,10,12,0.833333333333333,0.386363636363636,0.25,0.363636363636364,0.435897435897436,0.179487179487179,0.384615384615385,0.379310344827586,0.206896551724138,0.413793103448276,1,2,0.5,0,0,0,0,0,0,0,1,0,1,9,4,13,0.692307692307692,5,4,13,6,2,4,2,0,2,0,0,1,0,0,0,0,0,26,5,2,3,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Henry","PTFC",0,1,71,1,0,0,0,2,0,2,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,26,0.884615384615385,23,26,0.884615384615385,14,17,0.823529411764706,0.653846153846154,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,9,12,0.75,7,7,1,7,7,1,9,12,0.75,7,7,1,7,7,1,5,8,0.625,3,3,1,6,6,1,0.461538461538462,0.269230769230769,0.269230769230769,0.461538461538462,0.269230769230769,0.269230769230769,0.470588235294118,0.176470588235294,0.352941176470588,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,2,3,7,6,1,1,0,1,0,2,2,0,0,0,0,1,13,5,2,2,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horan","PTFC",0,1,96,1,0,1,0,2,0,3,0.333333333333333,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,48,0.75,36,48,0.75,20,30,0.666666666666667,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,0.4375,8,9,0.888888888888889,21,23,0.91304347826087,7,16,0.4375,8,9,0.888888888888889,21,23,0.91304347826087,4,12,0.333333333333333,5,6,0.833333333333333,11,12,0.916666666666667,0.333333333333333,0.1875,0.479166666666667,0.333333333333333,0.1875,0.479166666666667,0.4,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0.333333333333333,3,1,6,9,5,4,9,5,4,0.555555555555556,1,3,0,0,0,0,0,34,6,1,1,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
