"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Andressa","HOU",0,1,92,1,0,1,0,1,0,2,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,64,0.875,52,59,0.88135593220339,35,39,0.897435897435897,0.661016949152542,2,4,0.5,4,5,0.8,3,7,0.428571428571429,0,0,0,0,1,0,4,5,0.8,3,7,0.428571428571429,29,34,0.852941176470588,11,13,0.846153846153846,16,17,0.941176470588235,27,32,0.84375,9,10,0.9,16,17,0.941176470588235,17,20,0.85,6,7,0.857142857142857,12,12,1,0.53125,0.203125,0.265625,0.542372881355932,0.169491525423729,0.288135593220339,0.512820512820513,0.179487179487179,0.307692307692308,2,3,0.666666666666667,0,0,2,2,1,0,0,0,0,2,6,1,7,0.857142857142857,2,0,3,10,8,2,3,1,2,0.333333333333333,2,1,0,0,0,0,0,36,0,2,4,1,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978260869565217,0,0.978260869565217,0,1.95652173913043,0,1.95652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.7826086956522,62.6086956521739,50.8695652173913,57.7173913043478,34.2391304347826,38.1521739130435,1.95652173913043,3.91304347826087,3.91304347826087,4.89130434782609,2.93478260869565,6.84782608695652,0,0,0,0.978260869565217,3.91304347826087,4.89130434782609,2.93478260869565,6.84782608695652,28.3695652173913,33.2608695652174,10.7608695652174,12.7173913043478,15.6521739130435,16.6304347826087,26.4130434782609,31.304347826087,8.80434782608696,9.78260869565217,15.6521739130435,16.6304347826087,16.6304347826087,19.5652173913043,5.8695652173913,6.84782608695652,11.7391304347826,11.7391304347826,1.95652173913043,2.93478260869565,0,0,1.95652173913043,1.95652173913043,0,0,0,0,1.95652173913043,5.8695652173913,0.978260869565217,6.84782608695652,1.95652173913043,0,2.93478260869565,9.78260869565217,7.82608695652174,1.95652173913043,2.93478260869565,0.978260869565217,1.95652173913043,1.95652173913043,0.978260869565217,0,0,0,0,0,35.2173913043478,0,1.95652173913043,3.91304347826087,0.978260869565217,0,2.93478260869565,0.978260869565217,2.93478260869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beckie","HOU",0,1,82,1,0,0,0,2,0,2,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,35,0.628571428571429,21,34,0.617647058823529,16,24,0.666666666666667,0.705882352941177,1,5,0.2,0,2,0,0,2,0,0,0,0,1,5,0.2,0,2,0,0,2,0,3,9,0.333333333333333,7,12,0.583333333333333,12,14,0.857142857142857,3,9,0.333333333333333,7,12,0.583333333333333,11,13,0.846153846153846,2,5,0.4,6,10,0.6,8,9,0.888888888888889,0.257142857142857,0.342857142857143,0.4,0.264705882352941,0.352941176470588,0.382352941176471,0.208333333333333,0.416666666666667,0.375,0,0,0,0,0,1,1,1,0,0,0,0,1,2,1,3,0.666666666666667,2,0,3,3,1,2,3,3,0,1,2,0,0,0,0,0,0,45,1,1,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19512195121951,0,2.19512195121951,1.09756097560976,1.09756097560976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1463414634146,38.4146341463415,23.0487804878049,37.3170731707317,17.5609756097561,26.3414634146341,1.09756097560976,5.48780487804878,0,2.19512195121951,0,2.19512195121951,0,0,1.09756097560976,5.48780487804878,0,2.19512195121951,0,2.19512195121951,3.29268292682927,9.87804878048781,7.68292682926829,13.1707317073171,13.1707317073171,15.3658536585366,3.29268292682927,9.87804878048781,7.68292682926829,13.1707317073171,12.0731707317073,14.2682926829268,2.19512195121951,5.48780487804878,6.58536585365854,10.9756097560976,8.78048780487805,9.87804878048781,0,0,0,0,1.09756097560976,1.09756097560976,0,0,0,0,1.09756097560976,2.19512195121951,1.09756097560976,3.29268292682927,2.19512195121951,0,3.29268292682927,3.29268292682927,1.09756097560976,2.19512195121951,3.29268292682927,3.29268292682927,0,2.19512195121951,0,0,0,0,0,0,49.390243902439,1.09756097560976,1.09756097560976,3.29268292682927,0,0,1.09756097560976,1.09756097560976,1.09756097560976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Betos","PTFC",0,1,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,44,0.795454545454545,20,23,0.869565217391304,4,5,0.8,0.217391304347826,0,0,0,7,15,0.466666666666667,0,0,0,0,0,0,0,0,0,3,6,0.5,0,0,0,32,40,0.8,3,4,0.75,0,0,0,18,21,0.857142857142857,2,2,1,0,0,0,4,5,0.8,0,0,0,0,0,0,0.909090909090909,0.0909090909090909,0,0.91304347826087,0.0869565217391304,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,1,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,35,44,0.795454545454545,5,6,0.833333333333333,0,3,0,10,12,0.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2391304347826,43.0434782608696,19.5652173913043,22.5,3.91304347826087,4.89130434782609,0,0,6.84782608695652,14.6739130434783,0,0,0,0,0,0,2.93478260869565,5.8695652173913,0,0,31.304347826087,39.1304347826087,2.93478260869565,3.91304347826087,0,0,17.6086956521739,20.5434782608696,1.95652173913043,1.95652173913043,0,0,3.91304347826087,4.89130434782609,0,0,0,0,0,0,0,0,0.978260869565217,0.978260869565217,0,0,0,0,0.978260869565217,0,0,0,0,0,0,1.95652173913043,1.95652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95652173913043,0,1.95652173913043,0,0,0,1.95652173913043,0,1.95652173913043,2.93478260869565,0,0,0,1.95652173913043,0,1.95652173913043,0,0,0,0,0,0,0,0,0,34.2391304347826,43.0434782608696,4.89130434782609,5.8695652173913,0,2.93478260869565,9.78260869565217,11.7391304347826
"Brian","HOU",0,1,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,40,0.9,35,39,0.897435897435897,25,26,0.961538461538462,0.666666666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,13,15,0.866666666666667,8,10,0.8,15,15,1,12,14,0.857142857142857,8,10,0.8,15,15,1,6,7,0.857142857142857,5,5,1,14,14,1,0.375,0.25,0.375,0.358974358974359,0.256410256410256,0.384615384615385,0.269230769230769,0.192307692307692,0.538461538461538,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,2,2,4,5,3,2,4,2,2,0.5,1,0,0,0,0,0,0,31,2,3,4,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.2173913043478,39.1304347826087,34.2391304347826,38.1521739130435,24.4565217391304,25.4347826086956,0,0.978260869565217,0,0,0,0.978260869565217,0,0,0,0.978260869565217,0,0,0,0.978260869565217,12.7173913043478,14.6739130434783,7.82608695652174,9.78260869565217,14.6739130434783,14.6739130434783,11.7391304347826,13.695652173913,7.82608695652174,9.78260869565217,14.6739130434783,14.6739130434783,5.8695652173913,6.84782608695652,4.89130434782609,4.89130434782609,13.695652173913,13.695652173913,0,0,0,0,0.978260869565217,0.978260869565217,0,0,0,0,0.978260869565217,0,0,0,1.95652173913043,1.95652173913043,3.91304347826087,4.89130434782609,2.93478260869565,1.95652173913043,3.91304347826087,1.95652173913043,1.95652173913043,0.978260869565217,0,0,0,0,0,0,30.3260869565217,1.95652173913043,2.93478260869565,3.91304347826087,1.95652173913043,0,2.93478260869565,0,2.93478260869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brooks","HOU",0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0.2,1,5,0.2,1,3,0.333333333333333,0.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,1,1,0,0,0,0,4,0,1,1,1,0,0,0,0,2,0,1,1,1,0,0,0,0.8,0.2,0,0.8,0.2,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18181818181818,40.9090909090909,8.18181818181818,40.9090909090909,8.18181818181818,24.5454545454545,0,0,0,0,0,8.18181818181818,0,0,0,0,0,0,0,8.18181818181818,0,32.7272727272727,8.18181818181818,8.18181818181818,0,0,0,32.7272727272727,8.18181818181818,8.18181818181818,0,0,0,16.3636363636364,8.18181818181818,8.18181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3636363636364,8.18181818181818,8.18181818181818,16.3636363636364,16.3636363636364,0,8.18181818181818,0,0,0,0,0,0,8.18181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brynjarsdottir","PTFC",0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3,0,3,0,1,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,9,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,27,0,27,9,9,0,0,0,0,0,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daly","HOU",0,1,47,0,0,1,0,0,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0.692307692307692,8,12,0.666666666666667,3,7,0.428571428571429,0.583333333333333,1,2,0.5,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,5,6,0.833333333333333,1,3,0.333333333333333,3,4,0.75,5,6,0.833333333333333,0,2,0,3,4,0.75,2,3,0.666666666666667,0,2,0,1,2,0.5,0.461538461538462,0.230769230769231,0.307692307692308,0.5,0.166666666666667,0.333333333333333,0.428571428571429,0.285714285714286,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,6,1,1,0,2,0,2,0,1,1,0,0,0,0,0,16,2,0,2,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91489361702128,0,0,1.91489361702128,3.82978723404255,3.82978723404255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2340425531915,24.8936170212766,15.3191489361702,22.9787234042553,5.74468085106383,13.4042553191489,1.91489361702128,3.82978723404255,0,0,1.91489361702128,1.91489361702128,1.91489361702128,1.91489361702128,0,1.91489361702128,0,0,1.91489361702128,1.91489361702128,9.57446808510638,11.4893617021277,1.91489361702128,5.74468085106383,5.74468085106383,7.65957446808511,9.57446808510638,11.4893617021277,0,3.82978723404255,5.74468085106383,7.65957446808511,3.82978723404255,5.74468085106383,0,3.82978723404255,1.91489361702128,3.82978723404255,0,0,0,0,0,0,0,0,0,0,0,0,1.91489361702128,1.91489361702128,3.82978723404255,5.74468085106383,11.4893617021277,1.91489361702128,1.91489361702128,0,3.82978723404255,0,3.82978723404255,1.91489361702128,1.91489361702128,0,0,0,0,0,30.6382978723404,3.82978723404255,0,3.82978723404255,0,0,5.74468085106383,0,5.74468085106383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heath","PTFC",0,1,83,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,37,46,0.804347826086957,32,37,0.864864864864865,26,30,0.866666666666667,0.810810810810811,6,13,0.461538461538462,0,0,0,1,1,1,1,1,1,3,6,0.5,0,0,0,1,1,1,9,11,0.818181818181818,7,14,0.5,21,21,1,7,9,0.777777777777778,6,9,0.666666666666667,19,19,1,6,7,0.857142857142857,5,8,0.625,15,15,1,0.239130434782609,0.304347826086957,0.456521739130435,0.243243243243243,0.243243243243243,0.513513513513513,0.233333333333333,0.266666666666667,0.5,2,5,0.4,0,0,2,3,0.666666666666667,1,0,0,0,3,6,1,7,0.857142857142857,7,0,8,3,1,2,1,1,0,1,1,0,0,0,0,0,0,32,0,1,1,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08433734939759,0,0,0,1.08433734939759,0,1.08433734939759,0,0,0,0,0,0,0,2.16867469879518,1.08433734939759,0,0,1.08433734939759,1.08433734939759,0,0,40.1204819277108,49.8795180722892,34.6987951807229,40.1204819277108,28.1927710843374,32.5301204819277,6.50602409638554,14.0963855421687,0,0,1.08433734939759,1.08433734939759,1.08433734939759,1.08433734939759,3.25301204819277,6.50602409638554,0,0,1.08433734939759,1.08433734939759,9.75903614457831,11.9277108433735,7.59036144578313,15.1807228915663,22.7710843373494,22.7710843373494,7.59036144578313,9.75903614457831,6.50602409638554,9.75903614457831,20.6024096385542,20.6024096385542,6.50602409638554,7.59036144578313,5.42168674698795,8.67469879518072,16.2650602409639,16.2650602409639,2.16867469879518,5.42168674698795,0,0,2.16867469879518,3.25301204819277,1.08433734939759,0,0,0,3.25301204819277,6.50602409638554,1.08433734939759,7.59036144578313,7.59036144578313,0,8.67469879518072,3.25301204819277,1.08433734939759,2.16867469879518,1.08433734939759,1.08433734939759,0,1.08433734939759,0,0,0,0,0,0,34.6987951807229,0,1.08433734939759,1.08433734939759,0,0,3.25301204819277,1.08433734939759,3.25301204819277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Henry","PTFC",0,1,92,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,68,0.926470588235294,62,67,0.925373134328358,35,38,0.921052631578947,0.567164179104478,0,0,0,2,6,0.333333333333333,1,3,0.333333333333333,0,0,0,0,0,0,2,6,0.333333333333333,1,3,0.333333333333333,28,32,0.875,21,22,0.954545454545455,14,14,1,28,32,0.875,21,22,0.954545454545455,13,13,1,15,18,0.833333333333333,11,11,1,9,9,1,0.470588235294118,0.323529411764706,0.205882352941176,0.477611940298507,0.328358208955224,0.194029850746269,0.473684210526316,0.289473684210526,0.236842105263158,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,6,3,3,10,6,4,0.6,1,0,0,0,0,0,0,31,1,2,1,3,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978260869565217,0,0.978260869565217,0.978260869565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.6304347826087,66.5217391304348,60.6521739130435,65.5434782608696,34.2391304347826,37.1739130434783,0,0,1.95652173913043,5.8695652173913,0.978260869565217,2.93478260869565,0,0,0,0,1.95652173913043,5.8695652173913,0.978260869565217,2.93478260869565,27.3913043478261,31.304347826087,20.5434782608696,21.5217391304348,13.695652173913,13.695652173913,27.3913043478261,31.304347826087,20.5434782608696,21.5217391304348,12.7173913043478,12.7173913043478,14.6739130434783,17.6086956521739,10.7608695652174,10.7608695652174,8.80434782608696,8.80434782608696,0,0,0,0,0.978260869565217,0.978260869565217,0,0,0,0,0.978260869565217,0.978260869565217,0,0.978260869565217,0.978260869565217,0,0.978260869565217,5.8695652173913,2.93478260869565,2.93478260869565,9.78260869565217,5.8695652173913,3.91304347826087,0.978260869565217,0,0,0,0,0,0,30.3260869565217,0.978260869565217,1.95652173913043,0.978260869565217,2.93478260869565,0,4.89130434782609,0.978260869565217,4.89130434782609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horan","PTFC",0,1,77,1,0,1,0,1,2,4,0.5,2,2,0.5,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,41,47,0.872340425531915,41,47,0.872340425531915,28,31,0.903225806451613,0.659574468085106,0,1,0,1,1,1,2,2,1,0,0,0,0,1,0,1,1,1,2,2,1,16,21,0.761904761904762,11,12,0.916666666666667,14,14,1,16,21,0.761904761904762,11,12,0.916666666666667,14,14,1,10,13,0.769230769230769,6,6,1,12,12,1,0.446808510638298,0.25531914893617,0.297872340425532,0.446808510638298,0.25531914893617,0.297872340425532,0.419354838709677,0.193548387096774,0.387096774193548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,3,2,3,2,1,0.666666666666667,0,1,0,0,0,0,1,27,1,1,2,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16883116883117,0,1.16883116883117,2.33766233766234,4.67532467532468,2.33766233766234,2.33766233766234,0,0,0,0,0,0,0,0,1.16883116883117,0,1.16883116883117,0,1.16883116883117,0,1.16883116883117,47.9220779220779,54.9350649350649,47.9220779220779,54.9350649350649,32.7272727272727,36.2337662337662,0,1.16883116883117,1.16883116883117,1.16883116883117,2.33766233766234,2.33766233766234,0,0,0,1.16883116883117,1.16883116883117,1.16883116883117,2.33766233766234,2.33766233766234,18.7012987012987,24.5454545454545,12.8571428571429,14.025974025974,16.3636363636364,16.3636363636364,18.7012987012987,24.5454545454545,12.8571428571429,14.025974025974,16.3636363636364,16.3636363636364,11.6883116883117,15.1948051948052,7.01298701298701,7.01298701298701,14.025974025974,14.025974025974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16883116883117,1.16883116883117,2.33766233766234,5.84415584415584,3.50649350649351,2.33766233766234,3.50649350649351,2.33766233766234,1.16883116883117,0,1.16883116883117,0,0,0,0,1.16883116883117,31.5584415584416,1.16883116883117,1.16883116883117,2.33766233766234,0,0,2.33766233766234,2.33766233766234,3.50649350649351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
