"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Berryhill","PTFC",0,1,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,35,0.742857142857143,22,28,0.785714285714286,15,18,0.833333333333333,0.642857142857143,0,1,0,2,2,1,0,1,0,4,7,0.571428571428571,0,1,0,2,2,1,0,1,0,13,20,0.65,6,8,0.75,7,7,1,12,16,0.75,4,6,0.666666666666667,6,6,1,8,9,0.888888888888889,3,5,0.6,4,4,1,0.571428571428571,0.228571428571429,0.2,0.571428571428571,0.214285714285714,0.214285714285714,0.5,0.277777777777778,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,3,6,2,4,0.333333333333333,1,0,0,0,0,0,0,17,2,1,2,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1683168316832,31.1881188118812,19.6039603960396,24.950495049505,13.3663366336634,16.039603960396,0,0.891089108910891,1.78217821782178,1.78217821782178,0,0.891089108910891,3.56435643564356,6.23762376237624,0,0.891089108910891,1.78217821782178,1.78217821782178,0,0.891089108910891,11.5841584158416,17.8217821782178,5.34653465346535,7.12871287128713,6.23762376237624,6.23762376237624,10.6930693069307,14.2574257425743,3.56435643564356,5.34653465346535,5.34653465346535,5.34653465346535,7.12871287128713,8.01980198019802,2.67326732673267,4.45544554455446,3.56435643564356,3.56435643564356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6930693069307,8.01980198019802,2.67326732673267,5.34653465346535,1.78217821782178,3.56435643564356,0.891089108910891,0,0,0,0,0,0,15.1485148514851,1.78217821782178,0.891089108910891,1.78217821782178,2.67326732673267,0,2.67326732673267,2.67326732673267,2.67326732673267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Betos","PTFC",0,1,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22,0.590909090909091,7,7,1,0,0,0,0,0,0,0,5,10,0.5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,11,20,0.55,2,2,1,0,0,0,5,5,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.909090909090909,0.0909090909090909,0,0.714285714285714,0.285714285714286,0,0,0,0,0,0,0,0,0,2,4,0.5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0,0,0,0,5,0,5,1,2,0,0,1,5,0,5,2,0,2,0,0,0,0,1,0,13,22,0.590909090909091,0,0,0,0,4,0,6,11,0.545454545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5841584158416,19.6039603960396,6.23762376237624,6.23762376237624,0,0,0,0,4.45544554455446,8.91089108910891,0,0,0,0,0,0,0.891089108910891,0.891089108910891,0,0,9.8019801980198,17.8217821782178,1.78217821782178,1.78217821782178,0,0,4.45544554455446,4.45544554455446,1.78217821782178,1.78217821782178,0,0,0,0,0,0,0,0,0,0,0,0,1.78217821782178,3.56435643564356,0,0,0,0,3.56435643564356,0,0,0,0,0,0,0,0,0,0,0,0,0.891089108910891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.891089108910891,0.891089108910891,1.78217821782178,0,0,0,4.45544554455446,0,4.45544554455446,1.78217821782178,0,0,0.891089108910891,4.45544554455446,0,4.45544554455446,1.78217821782178,0,1.78217821782178,0,0,0,0,0.891089108910891,0,11.5841584158416,19.6039603960396,0,0,0,3.56435643564356,5.34653465346535,9.8019801980198
"Boureille","PTFC",0,1,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,40,0.8,32,40,0.8,26,31,0.838709677419355,0.75609756097561,0,1,0,0,1,0,2,3,0.666666666666667,0,0,0,0,1,0,0,1,0,2,3,0.666666666666667,5,11,0.454545454545455,16,18,0.888888888888889,11,11,1,5,11,0.454545454545455,16,18,0.888888888888889,11,11,1,4,8,0.5,14,15,0.933333333333333,8,8,1,0.275,0.45,0.275,0.275,0.45,0.275,0.258064516129032,0.483870967741935,0.258064516129032,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0.571428571428571,2,0,5,14,8,6,4,3,1,0.75,1,0,0,0,0,0,0,38,6,2,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5148514851485,35.6435643564356,28.5148514851485,35.6435643564356,23.1683168316832,27.6237623762376,0,0.891089108910891,0,0.891089108910891,1.78217821782178,2.67326732673267,0,0,0,0.891089108910891,0,0.891089108910891,1.78217821782178,2.67326732673267,4.45544554455446,9.8019801980198,14.2574257425743,16.039603960396,9.8019801980198,9.8019801980198,4.45544554455446,9.8019801980198,14.2574257425743,16.039603960396,9.8019801980198,9.8019801980198,3.56435643564356,7.12871287128713,12.4752475247525,13.3663366336634,7.12871287128713,7.12871287128713,0,0,0,0,0,0,0,0,0,0,0,3.56435643564356,2.67326732673267,6.23762376237624,1.78217821782178,0,4.45544554455446,12.4752475247525,7.12871287128713,5.34653465346535,3.56435643564356,2.67326732673267,0.891089108910891,0.891089108910891,0,0,0,0,0,0,33.8613861386139,5.34653465346535,1.78217821782178,4.45544554455446,0,0,0.891089108910891,0,0.891089108910891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brynjarsdottir","PTFC",0,1,101,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,29,0.689655172413793,20,29,0.689655172413793,9,13,0.692307692307692,0.419354838709677,0,0,0,0,0,0,1,2,0.5,0,0,0,0,0,0,0,0,0,1,2,0.5,10,18,0.555555555555556,4,4,1,6,7,0.857142857142857,10,18,0.555555555555556,4,4,1,6,7,0.857142857142857,4,8,0.5,2,2,1,3,3,1,0.620689655172414,0.137931034482759,0.241379310344828,0.620689655172414,0.137931034482759,0.241379310344828,0.615384615384615,0.153846153846154,0.230769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,8,1,16,9,7,0.5625,0,2,0,0,0,0,5,38,16,3,4,4,0,6,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.891089108910891,0,0,0,0,0.891089108910891,0,0.891089108910891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8217821782178,25.8415841584158,17.8217821782178,25.8415841584158,8.01980198019802,11.5841584158416,0,0,0,0,0.891089108910891,1.78217821782178,0,0,0,0,0,0,0.891089108910891,1.78217821782178,8.91089108910891,16.039603960396,3.56435643564356,3.56435643564356,5.34653465346535,6.23762376237624,8.91089108910891,16.039603960396,3.56435643564356,3.56435643564356,5.34653465346535,6.23762376237624,3.56435643564356,7.12871287128713,1.78217821782178,1.78217821782178,2.67326732673267,2.67326732673267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.891089108910891,0,0.891089108910891,8.01980198019802,7.12871287128713,0.891089108910891,14.2574257425743,8.01980198019802,6.23762376237624,0,1.78217821782178,0,0,0,0,4.45544554455446,33.8613861386139,14.2574257425743,2.67326732673267,3.56435643564356,3.56435643564356,0,5.34653465346535,3.56435643564356,9.8019801980198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Casey","SBFC",0,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0.4,3,5,0.6,0,0,0,0,0,0,0,2,7,0.285714285714286,0,0,0,0,0,0,0,0,0,1,3,0.333333333333333,0,0,0,4,10,0.4,0,0,0,0,0,0,3,5,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,4,10,0.4,0,1,0,0,0,0,1,4,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9016393442623,14.7540983606557,4.42622950819672,7.37704918032787,0,0,0,0,2.95081967213115,10.327868852459,0,0,0,0,0,0,1.47540983606557,4.42622950819672,0,0,5.9016393442623,14.7540983606557,0,0,0,0,4.42622950819672,7.37704918032787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95081967213115,2.95081967213115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47540983606557,1.47540983606557,2.95081967213115,0,0,0,0,2.95081967213115,2.95081967213115,0,0,0,0,0,1.47540983606557,1.47540983606557,0,1.47540983606557,1.47540983606557,0,0,0,0,0,0,5.9016393442623,14.7540983606557,0,1.47540983606557,0,0,1.47540983606557,5.9016393442623
"Fitzgerald","PTFC",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galton","SBFC",0,1,101,1,0,0,0,2,1,3,0,2,1,0.666666666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,23,34,0.676470588235294,23,34,0.676470588235294,17,27,0.62962962962963,0.794117647058823,2,8,0.25,0,0,0,0,2,0,0,0,0,2,8,0.25,0,0,0,0,2,0,7,11,0.636363636363636,12,19,0.631578947368421,4,4,1,7,11,0.636363636363636,12,19,0.631578947368421,4,4,1,3,6,0.5,10,17,0.588235294117647,4,4,1,0.323529411764706,0.558823529411765,0.117647058823529,0.323529411764706,0.558823529411765,0.117647058823529,0.222222222222222,0.62962962962963,0.148148148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,0.625,2,3,8,17,11,6,10,6,4,0.6,0,1,0,0,0,0,0,31,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78217821782178,0.891089108910891,2.67326732673267,1.78217821782178,0.891089108910891,0,0,0,0,0,0,0,0,0.891089108910891,0,0,0,0.891089108910891,0,0,20.4950495049505,30.2970297029703,20.4950495049505,30.2970297029703,15.1485148514851,24.0594059405941,1.78217821782178,7.12871287128713,0,0,0,1.78217821782178,0,0,1.78217821782178,7.12871287128713,0,0,0,1.78217821782178,6.23762376237624,9.8019801980198,10.6930693069307,16.9306930693069,3.56435643564356,3.56435643564356,6.23762376237624,9.8019801980198,10.6930693069307,16.9306930693069,3.56435643564356,3.56435643564356,2.67326732673267,5.34653465346535,8.91089108910891,15.1485148514851,3.56435643564356,3.56435643564356,0,0,0,0,0,0,0,0,0,0,0,4.45544554455446,2.67326732673267,7.12871287128713,1.78217821782178,2.67326732673267,7.12871287128713,15.1485148514851,9.8019801980198,5.34653465346535,8.91089108910891,5.34653465346535,3.56435643564356,0,0.891089108910891,0,0,0,0,0,27.6237623762376,5.34653465346535,0.891089108910891,0.891089108910891,0.891089108910891,0.891089108910891,0.891089108910891,0.891089108910891,0.891089108910891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grubka","SBFC",0,1,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,62,0.774193548387097,47,61,0.770491803278688,11,15,0.733333333333333,0.245901639344262,0,1,0,1,11,0.0909090909090909,2,3,0.666666666666667,0,0,0,0,1,0,1,11,0.0909090909090909,2,3,0.666666666666667,25,39,0.641025641025641,18,18,1,5,5,1,25,39,0.641025641025641,18,18,1,4,4,1,6,10,0.6,3,3,1,2,2,1,0.629032258064516,0.290322580645161,0.0806451612903226,0.639344262295082,0.295081967213115,0.0655737704918033,0.666666666666667,0.2,0.133333333333333,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,5,5,0,4,2,2,0.5,0,0,0,0,0,0,1,19,6,1,2,10,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.7722772277228,55.2475247524752,41.8811881188119,54.3564356435644,9.8019801980198,13.3663366336634,0,0.891089108910891,0.891089108910891,9.8019801980198,1.78217821782178,2.67326732673267,0,0,0,0.891089108910891,0.891089108910891,9.8019801980198,1.78217821782178,2.67326732673267,22.2772277227723,34.7524752475248,16.039603960396,16.039603960396,4.45544554455446,4.45544554455446,22.2772277227723,34.7524752475248,16.039603960396,16.039603960396,3.56435643564356,3.56435643564356,5.34653465346535,8.91089108910891,2.67326732673267,2.67326732673267,1.78217821782178,1.78217821782178,0,0,0,0,0.891089108910891,0.891089108910891,0,0,0,0,0.891089108910891,0,0,0,0,0.891089108910891,0.891089108910891,4.45544554455446,4.45544554455446,0,3.56435643564356,1.78217821782178,1.78217821782178,0,0,0,0,0,0,0.891089108910891,16.9306930693069,5.34653465346535,0.891089108910891,1.78217821782178,8.91089108910891,0,1.78217821782178,0,2.67326732673267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hayes","SBFC",0,1,25,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0.8,4,5,0.8,4,4,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,1,1,1,2,2,1,1,2,0.5,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,0.4,0.2,0.4,0.4,0.2,0.4,0.25,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,2,6,1,5,0.166666666666667,0,0,0,0,0,0,0,6,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,3.6,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,18,14.4,18,14.4,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,7.2,3.6,3.6,7.2,7.2,3.6,7.2,3.6,3.6,7.2,7.2,3.6,3.6,3.6,3.6,7.2,7.2,0,0,0,0,0,0,0,0,0,0,0,3.6,0,3.6,0,0,0,7.2,0,7.2,21.6,3.6,18,0,0,0,0,0,0,0,21.6,3.6,0,7.2,0,0,3.6,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Henry","PTFC",0,1,101,1,0,0,0,2,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,40,0.825,32,39,0.82051282051282,25,30,0.833333333333333,0.769230769230769,1,1,1,0,1,0,0,2,0,0,0,0,1,1,1,0,1,0,0,2,0,13,19,0.684210526315789,6,7,0.857142857142857,14,14,1,13,19,0.684210526315789,6,7,0.857142857142857,13,13,1,10,14,0.714285714285714,5,6,0.833333333333333,10,10,1,0.475,0.175,0.35,0.487179487179487,0.179487179487179,0.333333333333333,0.466666666666667,0.2,0.333333333333333,0,0,0,0,0,1,1,1,0,0,0,0,1,8,5,13,0.615384615384615,1,1,7,14,11,3,4,2,2,0.5,1,2,0,0,0,0,2,19,9,0,1,2,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78217821782178,0,1.78217821782178,1.78217821782178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4059405940594,35.6435643564356,28.5148514851485,34.7524752475248,22.2772277227723,26.7326732673267,0.891089108910891,0.891089108910891,0,0.891089108910891,0,1.78217821782178,0,0,0.891089108910891,0.891089108910891,0,0.891089108910891,0,1.78217821782178,11.5841584158416,16.9306930693069,5.34653465346535,6.23762376237624,12.4752475247525,12.4752475247525,11.5841584158416,16.9306930693069,5.34653465346535,6.23762376237624,11.5841584158416,11.5841584158416,8.91089108910891,12.4752475247525,4.45544554455446,5.34653465346535,8.91089108910891,8.91089108910891,0,0,0,0,0.891089108910891,0.891089108910891,0,0,0,0,0.891089108910891,7.12871287128713,4.45544554455446,11.5841584158416,0.891089108910891,0.891089108910891,6.23762376237624,12.4752475247525,9.8019801980198,2.67326732673267,3.56435643564356,1.78217821782178,1.78217821782178,0.891089108910891,1.78217821782178,0,0,0,0,1.78217821782178,16.9306930693069,8.01980198019802,0,0.891089108910891,1.78217821782178,0,2.67326732673267,0.891089108910891,4.45544554455446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
