"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Barnes","SRFC",0,1,97,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,75,0.76,47,62,0.758064516129032,18,23,0.782608695652174,0.370967741935484,1,9,0.111111111111111,0,2,0,0,2,0,6,7,0.857142857142857,0,7,0,0,2,0,0,2,0,19,30,0.633333333333333,12,18,0.666666666666667,26,27,0.962962962962963,17,28,0.607142857142857,9,12,0.75,21,22,0.954545454545455,8,11,0.727272727272727,2,3,0.666666666666667,8,9,0.888888888888889,0.4,0.24,0.36,0.451612903225806,0.193548387096774,0.354838709677419,0.478260869565217,0.130434782608696,0.391304347826087,2,3,0.666666666666667,0,0,2,2,1,0,0,0,0,2,3,1,4,0.75,4,0,5,11,7,4,2,2,0,1,2,0,0,0,0,0,0,11,2,6,4,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927835051546392,0,0,0,0.927835051546392,0.927835051546392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.8865979381443,69.5876288659794,43.6082474226804,57.5257731958763,16.7010309278351,21.340206185567,0.927835051546392,8.35051546391753,0,1.85567010309278,0,1.85567010309278,5.56701030927835,6.49484536082474,0,6.49484536082474,0,1.85567010309278,0,1.85567010309278,17.6288659793814,27.8350515463918,11.1340206185567,16.7010309278351,24.1237113402062,25.0515463917526,15.7731958762887,25.979381443299,8.35051546391753,11.1340206185567,19.4845360824742,20.4123711340206,7.42268041237113,10.2061855670103,1.85567010309278,2.78350515463918,7.42268041237113,8.35051546391753,1.85567010309278,2.78350515463918,0,0,1.85567010309278,1.85567010309278,0,0,0,0,1.85567010309278,2.78350515463918,0.927835051546392,3.71134020618557,3.71134020618557,0,4.63917525773196,10.2061855670103,6.49484536082474,3.71134020618557,1.85567010309278,1.85567010309278,0,1.85567010309278,0,0,0,0,0,0,10.2061855670103,1.85567010309278,5.56701030927835,3.71134020618557,4.63917525773196,0,1.85567010309278,0,1.85567010309278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berryhill","PTFC",0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0.416666666666667,5,12,0.416666666666667,4,9,0.444444444444444,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0.444444444444444,0,1,0,1,2,0.5,4,9,0.444444444444444,0,1,0,1,2,0.5,3,6,0.5,0,1,0,1,2,0.5,0.75,0.0833333333333333,0.166666666666667,0.75,0.0833333333333333,0.166666666666667,0.666666666666667,0.111111111111111,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5,3,2,1,1,0,1,0,1,0,0,0,0,0,8,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6666666666667,40,16.6666666666667,40,13.3333333333333,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3333333333333,30,0,3.33333333333333,3.33333333333333,6.66666666666667,13.3333333333333,30,0,3.33333333333333,3.33333333333333,6.66666666666667,10,20,0,3.33333333333333,3.33333333333333,6.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,3.33333333333333,3.33333333333333,0,0,3.33333333333333,16.6666666666667,10,6.66666666666667,3.33333333333333,3.33333333333333,0,0,3.33333333333333,0,0,0,0,0,26.6666666666667,3.33333333333333,6.66666666666667,10,0,0,0,3.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Betos","PTFC",0,1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,34,0.382352941176471,4,6,0.666666666666667,0,0,0,0,0,0,0,8,15,0.533333333333333,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,0,0,0,13,34,0.382352941176471,0,0,0,0,0,0,4,6,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,8,0.25,0,0,0,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,4,1,5,0.8,8,0,0,0,3,1,4,2,0,2,0,0,0,0,2,0,13,34,0.382352941176471,0,0,0,2,12,0.166666666666667,7,16,0.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0618556701031,31.5463917525773,3.71134020618557,5.56701030927835,0,0,0,0,7.42268041237113,13.9175257731959,0,0,0,0,0,0,1.85567010309278,2.78350515463918,0,0,12.0618556701031,31.5463917525773,0,0,0,0,3.71134020618557,5.56701030927835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85567010309278,7.42268041237113,0,0,0,0,7.42268041237113,0,0,0,0,0,0,0.927835051546392,0.927835051546392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63917525773196,0,4.63917525773196,0,0,0,3.71134020618557,0.927835051546392,4.63917525773196,7.42268041237113,0,0,0,2.78350515463918,0.927835051546392,3.71134020618557,1.85567010309278,0,1.85567010309278,0,0,0,0,1.85567010309278,0,12.0618556701031,31.5463917525773,0,0,1.85567010309278,11.1340206185567,6.49484536082474,14.8453608247423
"Boureille","PTFC",0,1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,28,0.678571428571429,19,28,0.678571428571429,12,17,0.705882352941177,0.607142857142857,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,6,14,0.428571428571429,1,2,0.5,12,12,1,6,14,0.428571428571429,1,2,0.5,12,12,1,3,7,0.428571428571429,1,2,0.5,8,8,1,0.5,0.0714285714285714,0.428571428571429,0.5,0.0714285714285714,0.428571428571429,0.411764705882353,0.117647058823529,0.470588235294118,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0,1,2,10,5,5,7,4,3,0.571428571428571,2,2,0,0,0,0,1,33,6,5,1,7,0,8,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6288659793814,25.979381443299,17.6288659793814,25.979381443299,11.1340206185567,15.7731958762887,0,0,0,0,0.927835051546392,0.927835051546392,0,0,0,0,0,0,0.927835051546392,0.927835051546392,5.56701030927835,12.9896907216495,0.927835051546392,1.85567010309278,11.1340206185567,11.1340206185567,5.56701030927835,12.9896907216495,0.927835051546392,1.85567010309278,11.1340206185567,11.1340206185567,2.78350515463918,6.49484536082474,0.927835051546392,1.85567010309278,7.42268041237113,7.42268041237113,0,0,0,0,0,0,0,0,0,0,0,0.927835051546392,0.927835051546392,1.85567010309278,0,0.927835051546392,1.85567010309278,9.27835051546392,4.63917525773196,4.63917525773196,6.49484536082474,3.71134020618557,2.78350515463918,1.85567010309278,1.85567010309278,0,0,0,0,0.927835051546392,30.6185567010309,5.56701030927835,4.63917525773196,0.927835051546392,6.49484536082474,0,7.42268041237113,0.927835051546392,8.35051546391753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brynjarsdottir","PTFC",0,1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,27,0.740740740740741,20,27,0.740740740740741,13,17,0.764705882352941,0.62962962962963,1,1,1,2,3,0.666666666666667,1,1,1,0,0,0,1,1,1,2,3,0.666666666666667,1,1,1,8,13,0.615384615384615,4,4,1,8,10,0.8,8,13,0.615384615384615,4,4,1,8,10,0.8,4,6,0.666666666666667,3,3,1,6,8,0.75,0.481481481481481,0.148148148148148,0.37037037037037,0.481481481481481,0.148148148148148,0.37037037037037,0.352941176470588,0.176470588235294,0.470588235294118,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,2,6,3,3,7,4,3,0.571428571428571,0,2,0,0,0,0,1,47,11,1,4,3,0,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5567010309278,25.0515463917526,18.5567010309278,25.0515463917526,12.0618556701031,15.7731958762887,0.927835051546392,0.927835051546392,1.85567010309278,2.78350515463918,0.927835051546392,0.927835051546392,0,0,0.927835051546392,0.927835051546392,1.85567010309278,2.78350515463918,0.927835051546392,0.927835051546392,7.42268041237113,12.0618556701031,3.71134020618557,3.71134020618557,7.42268041237113,9.27835051546392,7.42268041237113,12.0618556701031,3.71134020618557,3.71134020618557,7.42268041237113,9.27835051546392,3.71134020618557,5.56701030927835,2.78350515463918,2.78350515463918,5.56701030927835,7.42268041237113,0,0,0,0,0,0,0,0,0,0,0,0.927835051546392,0,0.927835051546392,1.85567010309278,0,1.85567010309278,5.56701030927835,2.78350515463918,2.78350515463918,6.49484536082474,3.71134020618557,2.78350515463918,0,1.85567010309278,0,0,0,0,0.927835051546392,43.6082474226804,10.2061855670103,0.927835051546392,3.71134020618557,2.78350515463918,0,4.63917525773196,3.71134020618557,5.56701030927835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corsie","SRFC",0,1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,80,0.9375,72,77,0.935064935064935,20,21,0.952380952380952,0.272727272727273,0,1,0,5,6,0.833333333333333,1,1,1,2,2,1,0,1,0,5,6,0.833333333333333,1,1,1,48,52,0.923076923076923,19,20,0.95,8,8,1,47,51,0.92156862745098,17,18,0.944444444444444,8,8,1,14,14,1,2,3,0.666666666666667,4,4,1,0.65,0.25,0.1,0.662337662337662,0.233766233766234,0.103896103896104,0.666666666666667,0.142857142857143,0.19047619047619,0,0,0,0,0,1,1,1,0,0,0,0,1,2,0,2,1,1,2,3,14,10,4,2,2,0,1,0,1,0,0,0,0,1,4,2,3,3,5,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.5876288659794,74.2268041237113,66.8041237113402,71.4432989690722,18.5567010309278,19.4845360824742,0,0.927835051546392,4.63917525773196,5.56701030927835,0.927835051546392,0.927835051546392,1.85567010309278,1.85567010309278,0,0.927835051546392,4.63917525773196,5.56701030927835,0.927835051546392,0.927835051546392,44.5360824742268,48.2474226804124,17.6288659793814,18.5567010309278,7.42268041237113,7.42268041237113,43.6082474226804,47.319587628866,15.7731958762887,16.7010309278351,7.42268041237113,7.42268041237113,12.9896907216495,12.9896907216495,1.85567010309278,2.78350515463918,3.71134020618557,3.71134020618557,0,0,0,0,0.927835051546392,0.927835051546392,0,0,0,0,0.927835051546392,1.85567010309278,0,1.85567010309278,0.927835051546392,1.85567010309278,2.78350515463918,12.9896907216495,9.27835051546392,3.71134020618557,1.85567010309278,1.85567010309278,0,0,0.927835051546392,0,0,0,0,0.927835051546392,3.71134020618557,1.85567010309278,2.78350515463918,2.78350515463918,4.63917525773196,0.927835051546392,1.85567010309278,0,2.78350515463918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elston","SRFC",0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0.8,4,5,0.8,1,2,0.5,0.4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,2,3,0.666666666666667,1,1,1,1,1,1,2,3,0.666666666666667,0,0,0,0,0,0,1,2,0.5,0.2,0.2,0.6,0.2,0.2,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,3,1,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,56.25,45,56.25,11.25,22.5,0,0,11.25,11.25,0,0,0,0,0,0,11.25,11.25,0,0,11.25,11.25,11.25,11.25,22.5,33.75,11.25,11.25,11.25,11.25,22.5,33.75,0,0,0,0,11.25,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,11.25,22.5,33.75,0,33.75,11.25,11.25,0,0,0,0,0,0,0,0,22.5,0,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fishlock","SRFC",0,1,97,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,68,0.573529411764706,39,68,0.573529411764706,18,36,0.5,0.529411764705882,0,2,0,2,11,0.181818181818182,1,4,0.25,0,0,0,0,2,0,2,11,0.181818181818182,1,4,0.25,18,43,0.418604651162791,12,16,0.75,9,9,1,18,43,0.418604651162791,12,16,0.75,9,9,1,9,24,0.375,3,6,0.5,6,6,1,0.632352941176471,0.235294117647059,0.132352941176471,0.632352941176471,0.235294117647059,0.132352941176471,0.666666666666667,0.166666666666667,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,1,3,0,3,10,5,5,7,1,6,0.142857142857143,0,1,0,0,0,0,0,22,4,2,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927835051546392,0,0.927835051546392,0.927835051546392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.1855670103093,63.0927835051546,36.1855670103093,63.0927835051546,16.7010309278351,33.4020618556701,0,1.85567010309278,1.85567010309278,10.2061855670103,0.927835051546392,3.71134020618557,0,0,0,1.85567010309278,1.85567010309278,10.2061855670103,0.927835051546392,3.71134020618557,16.7010309278351,39.8969072164948,11.1340206185567,14.8453608247423,8.35051546391753,8.35051546391753,16.7010309278351,39.8969072164948,11.1340206185567,14.8453608247423,8.35051546391753,8.35051546391753,8.35051546391753,22.2680412371134,2.78350515463918,5.56701030927835,5.56701030927835,5.56701030927835,0,0,0,0,0,0,0,0,0,0,0,4.63917525773196,0,4.63917525773196,2.78350515463918,0,2.78350515463918,9.27835051546392,4.63917525773196,4.63917525773196,6.49484536082474,0.927835051546392,5.56701030927835,0,0.927835051546392,0,0,0,0,0,20.4123711340206,3.71134020618557,1.85567010309278,1.85567010309278,0,0,0.927835051546392,1.85567010309278,0.927835051546392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fletcher","SRFC",0,1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,83,0.91566265060241,74,81,0.91358024691358,17,20,0.85,0.246913580246914,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,47,54,0.87037037037037,20,20,1,9,9,1,46,53,0.867924528301887,19,19,1,9,9,1,11,14,0.785714285714286,4,4,1,2,2,1,0.650602409638554,0.240963855421687,0.108433734939759,0.654320987654321,0.234567901234568,0.111111111111111,0.7,0.2,0.1,0,0,0,0,0,2,2,1,0,0,0,0,2,1,0,1,1,0,0,0,12,8,4,4,4,0,1,0,0,0,0,0,0,0,3,1,3,3,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.5154639175258,77.0103092783505,68.659793814433,75.1546391752577,15.7731958762887,18.5567010309278,0,0,0,3.71134020618557,0,0,0,0,0,0,0,3.71134020618557,0,0,43.6082474226804,50.1030927835052,18.5567010309278,18.5567010309278,8.35051546391753,8.35051546391753,42.680412371134,49.1752577319588,17.6288659793814,17.6288659793814,8.35051546391753,8.35051546391753,10.2061855670103,12.9896907216495,3.71134020618557,3.71134020618557,1.85567010309278,1.85567010309278,0,0,0,0,1.85567010309278,1.85567010309278,0,0,0,0,1.85567010309278,0.927835051546392,0,0.927835051546392,0,0,0,11.1340206185567,7.42268041237113,3.71134020618557,3.71134020618557,3.71134020618557,0,0,0,0,0,0,0,0,2.78350515463918,0.927835051546392,2.78350515463918,2.78350515463918,6.49484536082474,0,0,1.85567010309278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kopmeyer","SRFC",0,1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,29,0.896551724137931,22,24,0.916666666666667,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,23,26,0.884615384615385,3,3,1,0,0,0,20,22,0.909090909090909,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0.896551724137931,0.103448275862069,0,0.916666666666667,0.0833333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,26,29,0.896551724137931,3,3,1,1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1237113402062,26.9072164948454,20.4123711340206,22.2680412371134,0,0,0,0,0,2.78350515463918,0,0,0,0,0,0,0,1.85567010309278,0,0,21.340206185567,24.1237113402062,2.78350515463918,2.78350515463918,0,0,18.5567010309278,20.4123711340206,1.85567010309278,1.85567010309278,0,0,0,0.927835051546392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56701030927835,5.56701030927835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927835051546392,0,0.927835051546392,0,0,0,0.927835051546392,0,0.927835051546392,0.927835051546392,0,0,0.927835051546392,0.927835051546392,0,0.927835051546392,0,0,0,0,0,0,0,0,0,24.1237113402062,26.9072164948454,2.78350515463918,2.78350515463918,0.927835051546392,1.85567010309278,0,0
