"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Banini","WAS",0,1,51,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,23,0.826086956521739,17,21,0.80952380952381,13,16,0.8125,0.761904761904762,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,8,10,0.8,5,7,0.714285714285714,6,6,1,7,9,0.777777777777778,4,6,0.666666666666667,6,6,1,4,5,0.8,3,5,0.6,6,6,1,0.434782608695652,0.304347826086957,0.260869565217391,0.428571428571429,0.285714285714286,0.285714285714286,0.3125,0.3125,0.375,0,0,0,0,0,1,1,1,0,0,0,0,1,3,0,3,1,3,0,3,3,2,1,2,0,2,0,0,0,0,0,0,0,0,14,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76470588235294,0,1.76470588235294,0,1.76470588235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.5294117647059,40.5882352941176,30,37.0588235294118,22.9411764705882,28.2352941176471,0,0,0,0,0,0,1.76470588235294,1.76470588235294,0,0,0,0,0,0,14.1176470588235,17.6470588235294,8.82352941176471,12.3529411764706,10.5882352941176,10.5882352941176,12.3529411764706,15.8823529411765,7.05882352941176,10.5882352941176,10.5882352941176,10.5882352941176,7.05882352941176,8.82352941176471,5.29411764705882,8.82352941176471,10.5882352941176,10.5882352941176,0,0,0,0,1.76470588235294,1.76470588235294,0,0,0,0,1.76470588235294,5.29411764705882,0,5.29411764705882,5.29411764705882,0,5.29411764705882,5.29411764705882,3.52941176470588,1.76470588235294,3.52941176470588,0,3.52941176470588,0,0,0,0,0,0,0,24.7058823529412,10.5882352941176,1.76470588235294,1.76470588235294,0,0,0,1.76470588235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brynjarsdottir","PTFC",0,1,98,1,0,2,0,0,0,2,1,1,1,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,15,29,0.517241379310345,15,29,0.517241379310345,7,9,0.777777777777778,0.310344827586207,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,9,19,0.473684210526316,6,8,0.75,0,2,0,9,19,0.473684210526316,6,8,0.75,0,2,0,5,5,1,2,4,0.5,0,0,0,0.655172413793103,0.275862068965517,0.0689655172413793,0.655172413793103,0.275862068965517,0.0689655172413793,0.555555555555556,0.444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,6,4,2,1,17,13,4,0.764705882352941,1,4,0,0,0,0,2,38,8,1,4,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83673469387755,0,0,0,1.83673469387755,0.918367346938775,0.918367346938775,0,0,0,0,0,0,0,0,0.918367346938775,0,0,0,0.918367346938775,0,0,13.7755102040816,26.6326530612245,13.7755102040816,26.6326530612245,6.42857142857143,8.26530612244898,0,0,0.918367346938775,0.918367346938775,0.918367346938775,0.918367346938775,0,0,0,0,0.918367346938775,0.918367346938775,0.918367346938775,0.918367346938775,8.26530612244898,17.4489795918367,5.51020408163265,7.3469387755102,0,1.83673469387755,8.26530612244898,17.4489795918367,5.51020408163265,7.3469387755102,0,1.83673469387755,4.59183673469388,4.59183673469388,1.83673469387755,3.6734693877551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.918367346938775,0.918367346938775,1.83673469387755,2.75510204081633,5.51020408163265,3.6734693877551,1.83673469387755,0.918367346938775,15.6122448979592,11.9387755102041,3.6734693877551,0.918367346938775,3.6734693877551,0,0,0,0,1.83673469387755,34.8979591836735,7.3469387755102,0.918367346938775,3.6734693877551,1.83673469387755,0,0.918367346938775,0.918367346938775,2.75510204081633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","WAS",0,1,98,1,0,0,0,1,1,2,0,1,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,23,35,0.657142857142857,20,32,0.625,16,18,0.888888888888889,0.5625,2,4,0.5,0,0,0,0,2,0,2,2,1,2,4,0.5,0,0,0,0,2,0,2,10,0.2,8,12,0.666666666666667,13,13,1,2,10,0.2,7,11,0.636363636363636,11,11,1,1,3,0.333333333333333,6,6,1,9,9,1,0.285714285714286,0.342857142857143,0.371428571428571,0.3125,0.34375,0.34375,0.166666666666667,0.333333333333333,0.5,0,0,0,0,0,1,1,1,0,0,0,0,1,8,5,13,0.615384615384615,5,7,17,12,4,8,4,0,4,0,7,0,0,0,0,0,0,29,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.918367346938775,0.918367346938775,1.83673469387755,0.918367346938775,0.918367346938775,0,0,0,0,0,0,0,0.918367346938775,0,0,0,0.918367346938775,0,0,0,21.1224489795918,32.1428571428571,18.3673469387755,29.3877551020408,14.6938775510204,16.530612244898,1.83673469387755,3.6734693877551,0,0,0,1.83673469387755,1.83673469387755,1.83673469387755,1.83673469387755,3.6734693877551,0,0,0,1.83673469387755,1.83673469387755,9.18367346938776,7.3469387755102,11.0204081632653,11.9387755102041,11.9387755102041,1.83673469387755,9.18367346938776,6.42857142857143,10.1020408163265,10.1020408163265,10.1020408163265,0.918367346938775,2.75510204081633,5.51020408163265,5.51020408163265,8.26530612244898,8.26530612244898,0,0,0,0,0.918367346938775,0.918367346938775,0,0,0,0,0.918367346938775,7.3469387755102,4.59183673469388,11.9387755102041,4.59183673469388,6.42857142857143,15.6122448979592,11.0204081632653,3.6734693877551,7.3469387755102,3.6734693877551,0,3.6734693877551,6.42857142857143,0,0,0,0,0,0,26.6326530612245,3.6734693877551,3.6734693877551,2.75510204081633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Farquharson","WAS",0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0.4,2,5,0.4,1,2,0.5,0.4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0.5,0,2,0,1,1,1,1,2,0.5,0,2,0,1,1,1,1,1,1,0,1,0,0,0,0,0.4,0.4,0.2,0.4,0.4,0.2,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,3,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,28.125,11.25,28.125,5.625,11.25,0,5.625,0,0,0,0,0,0,0,5.625,0,0,0,0,5.625,11.25,0,11.25,5.625,5.625,5.625,11.25,0,11.25,5.625,5.625,5.625,5.625,0,5.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.625,5.625,0,16.875,0,16.875,5.625,0,0,0,0,0,0,11.25,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Franch","PTFC",0,1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,34,0.617647058823529,9,11,0.818181818181818,7,9,0.777777777777778,0.818181818181818,0,0,0,11,21,0.523809523809524,0,0,0,0,0,0,0,0,0,3,5,0.6,0,0,0,21,34,0.617647058823529,0,0,0,0,0,0,9,11,0.818181818181818,0,0,0,0,0,0,8,10,0.8,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,0,3,1,2,0,0,0,2,0,2,1,0,1,1,0,1,0,1,0,21,34,0.617647058823529,1,2,0.5,5,7,0.714285714285714,6,14,0.428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2857142857143,31.2244897959184,8.26530612244898,10.1020408163265,6.42857142857143,8.26530612244898,0,0,10.1020408163265,19.2857142857143,0,0,0,0,0,0,2.75510204081633,4.59183673469388,0,0,19.2857142857143,31.2244897959184,0,0,0,0,8.26530612244898,10.1020408163265,0,0,0,0,7.3469387755102,9.18367346938776,0,0,0,0,0,0,0,0,0,1.83673469387755,0,0,0,0,1.83673469387755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.918367346938775,0.918367346938775,0,0,0,2.75510204081633,0,2.75510204081633,1.83673469387755,0,0,0,1.83673469387755,0,1.83673469387755,0.918367346938775,0,0.918367346938775,0.918367346938775,0,0.918367346938775,0,0.918367346938775,0,19.2857142857143,31.2244897959184,0.918367346938775,1.83673469387755,4.59183673469388,6.42857142857143,5.51020408163265,12.8571428571429
"Heath","PTFC",0,1,98,1,1,1,0,2,0,4,0.5,1,3,0.25,1,1,0,0,0,0,2,0.5,1,2,1,0,0,1,0,0,26,44,0.590909090909091,23,37,0.621621621621622,16,23,0.695652173913043,0.621621621621622,3,7,0.428571428571429,1,3,0.333333333333333,1,2,0.5,1,1,1,1,2,0.5,1,3,0.333333333333333,1,2,0.5,9,18,0.5,7,14,0.5,10,12,0.833333333333333,8,16,0.5,5,9,0.555555555555556,10,12,0.833333333333333,4,9,0.444444444444444,4,6,0.666666666666667,8,8,1,0.409090909090909,0.318181818181818,0.272727272727273,0.432432432432432,0.243243243243243,0.324324324324324,0.391304347826087,0.260869565217391,0.347826086956522,2,5,0.4,1,1,0,1,0,0,0,1,0,2,3,2,5,0.6,1,0,3,10,9,1,0,0,0,0,1,3,0,0,0,0,2,35,7,2,2,2,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.918367346938775,0.918367346938775,0,1.83673469387755,0,3.6734693877551,0.918367346938775,2.75510204081633,0.918367346938775,0.918367346938775,0,0,0,0,1.83673469387755,0.918367346938775,1.83673469387755,0.918367346938775,0,0,0.918367346938775,0,0,23.8775510204082,40.4081632653061,21.1224489795918,33.9795918367347,14.6938775510204,21.1224489795918,2.75510204081633,6.42857142857143,0.918367346938775,2.75510204081633,0.918367346938775,1.83673469387755,0.918367346938775,0.918367346938775,0.918367346938775,1.83673469387755,0.918367346938775,2.75510204081633,0.918367346938775,1.83673469387755,8.26530612244898,16.530612244898,6.42857142857143,12.8571428571429,9.18367346938776,11.0204081632653,7.3469387755102,14.6938775510204,4.59183673469388,8.26530612244898,9.18367346938776,11.0204081632653,3.6734693877551,8.26530612244898,3.6734693877551,5.51020408163265,7.3469387755102,7.3469387755102,1.83673469387755,4.59183673469388,0.918367346938775,0.918367346938775,0,0.918367346938775,0,0,0.918367346938775,0,1.83673469387755,2.75510204081633,1.83673469387755,4.59183673469388,0.918367346938775,0,2.75510204081633,9.18367346938776,8.26530612244898,0.918367346938775,0,0,0,0.918367346938775,2.75510204081633,0,0,0,0,1.83673469387755,32.1428571428571,6.42857142857143,1.83673469387755,1.83673469387755,1.83673469387755,0,1.83673469387755,0.918367346938775,3.6734693877551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horan","PTFC",0,1,82,1,1,0,0,1,0,2,0.5,1,1,0.5,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,27,38,0.710526315789474,26,37,0.702702702702703,18,25,0.72,0.675675675675676,0,3,0,0,2,0,0,2,0,0,0,0,0,3,0,0,2,0,0,2,0,9,17,0.529411764705882,5,8,0.625,13,13,1,8,16,0.5,5,8,0.625,13,13,1,4,8,0.5,3,6,0.5,11,11,1,0.447368421052632,0.210526315789474,0.342105263157895,0.432432432432432,0.216216216216216,0.351351351351351,0.32,0.24,0.44,0,0,0,0,0,1,1,1,0,0,0,0,1,1,2,3,0.333333333333333,1,2,5,11,7,4,13,8,5,0.615384615384615,1,0,1,0,0,0,5,29,12,3,3,4,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09756097560976,0,0,1.09756097560976,0,2.19512195121951,1.09756097560976,1.09756097560976,1.09756097560976,0,0,0,0,0,1.09756097560976,0,0,0,0,0,0,0,0,29.6341463414634,41.7073170731707,28.5365853658537,40.609756097561,19.7560975609756,27.4390243902439,0,3.29268292682927,0,2.19512195121951,0,2.19512195121951,0,0,0,3.29268292682927,0,2.19512195121951,0,2.19512195121951,9.87804878048781,18.6585365853659,5.48780487804878,8.78048780487805,14.2682926829268,14.2682926829268,8.78048780487805,17.5609756097561,5.48780487804878,8.78048780487805,14.2682926829268,14.2682926829268,4.39024390243902,8.78048780487805,3.29268292682927,6.58536585365854,12.0731707317073,12.0731707317073,0,0,0,0,1.09756097560976,1.09756097560976,0,0,0,0,1.09756097560976,1.09756097560976,2.19512195121951,3.29268292682927,1.09756097560976,2.19512195121951,5.48780487804878,12.0731707317073,7.68292682926829,4.39024390243902,14.2682926829268,8.78048780487805,5.48780487804878,1.09756097560976,0,1.09756097560976,0,0,0,5.48780487804878,31.8292682926829,13.1707317073171,3.29268292682927,3.29268292682927,4.39024390243902,0,3.29268292682927,0,8.78048780487805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Huster","WAS",0,1,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,0.615384615384615,7,12,0.583333333333333,7,8,0.875,0.666666666666667,0,1,0,0,2,0,0,2,0,1,1,1,0,1,0,0,2,0,0,2,0,4,9,0.444444444444444,0,0,0,4,4,1,3,8,0.375,0,0,0,4,4,1,3,4,0.75,0,0,0,4,4,1,0.692307692307692,0,0.307692307692308,0.666666666666667,0,0.333333333333333,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,4,1,3,1,2,0.333333333333333,0,0,0,0,0,0,0,15,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,24.375,13.125,22.5,13.125,15,0,1.875,0,3.75,0,3.75,1.875,1.875,0,1.875,0,3.75,0,3.75,7.5,16.875,0,0,7.5,7.5,5.625,15,0,0,7.5,7.5,5.625,7.5,0,0,7.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.875,1.875,3.75,9.375,7.5,1.875,5.625,1.875,3.75,0,0,0,0,0,0,0,28.125,7.5,1.875,3.75,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kleiner","WAS",0,1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,27,0.62962962962963,15,24,0.625,8,14,0.571428571428571,0.583333333333333,1,3,0.333333333333333,0,1,0,0,0,0,2,3,0.666666666666667,1,3,0.333333333333333,0,1,0,0,0,0,10,17,0.588235294117647,5,8,0.625,2,2,1,9,16,0.5625,4,6,0.666666666666667,2,2,1,4,9,0.444444444444444,3,4,0.75,1,1,1,0.62962962962963,0.296296296296296,0.0740740740740741,0.666666666666667,0.25,0.0833333333333333,0.642857142857143,0.285714285714286,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,5,7,4,3,4,1,3,0.25,0,2,0,0,0,0,1,10,7,3,4,4,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6122448979592,24.7959183673469,13.7755102040816,22.0408163265306,7.3469387755102,12.8571428571429,0.918367346938775,2.75510204081633,0,0.918367346938775,0,0,1.83673469387755,2.75510204081633,0.918367346938775,2.75510204081633,0,0.918367346938775,0,0,9.18367346938776,15.6122448979592,4.59183673469388,7.3469387755102,1.83673469387755,1.83673469387755,8.26530612244898,14.6938775510204,3.6734693877551,5.51020408163265,1.83673469387755,1.83673469387755,3.6734693877551,8.26530612244898,2.75510204081633,3.6734693877551,0.918367346938775,0.918367346938775,0,0,0,0,0,0,0,0,0,0,0,0,1.83673469387755,1.83673469387755,0,2.75510204081633,4.59183673469388,6.42857142857143,3.6734693877551,2.75510204081633,3.6734693877551,0.918367346938775,2.75510204081633,0,1.83673469387755,0,0,0,0,0.918367346938775,9.18367346938776,6.42857142857143,2.75510204081633,3.6734693877551,3.6734693877551,0,2.75510204081633,0,3.6734693877551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klingenberg","PTFC",0,1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,33,0.727272727272727,18,22,0.818181818181818,11,13,0.846153846153846,0.565217391304348,1,2,0.5,1,2,0.5,0,1,0,6,11,0.545454545454545,1,2,0.5,1,2,0.5,0,1,0,13,22,0.590909090909091,3,3,1,8,8,1,9,13,0.692307692307692,2,2,1,7,7,1,5,7,0.714285714285714,0,0,0,6,6,1,0.666666666666667,0.0909090909090909,0.242424242424242,0.590909090909091,0.0909090909090909,0.318181818181818,0.538461538461538,0,0.461538461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,1,1,0,1,0,0,0,0,0,0,2,13,8,4,2,5,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0408163265306,30.3061224489796,16.530612244898,20.2040816326531,10.1020408163265,11.9387755102041,0.918367346938775,1.83673469387755,0.918367346938775,1.83673469387755,0,0.918367346938775,5.51020408163265,10.1020408163265,0.918367346938775,1.83673469387755,0.918367346938775,1.83673469387755,0,0.918367346938775,11.9387755102041,20.2040816326531,2.75510204081633,2.75510204081633,7.3469387755102,7.3469387755102,8.26530612244898,11.9387755102041,1.83673469387755,1.83673469387755,6.42857142857143,6.42857142857143,4.59183673469388,6.42857142857143,0,0,5.51020408163265,5.51020408163265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42857142857143,5.51020408163265,0.918367346938775,0.918367346938775,0.918367346938775,0,0,0,0,0,0,0,1.83673469387755,11.9387755102041,7.3469387755102,3.6734693877551,1.83673469387755,4.59183673469388,2.75510204081633,0,1.83673469387755,1.83673469387755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
