"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Barnes","SRFC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,57,0.859649122807018,32,37,0.864864864864865,27,32,0.84375,0.864864864864865,1,4,0.25,2,3,0.666666666666667,3,4,0.75,15,15,1,0,0,0,1,2,0.5,3,4,0.75,21,23,0.91304347826087,16,22,0.727272727272727,12,12,1,13,15,0.866666666666667,8,11,0.727272727272727,11,11,1,10,12,0.833333333333333,6,9,0.666666666666667,11,11,1,0.403508771929825,0.385964912280702,0.210526315789474,0.405405405405405,0.297297297297297,0.297297297297297,0.375,0.28125,0.34375,1,4,0.25,0,0,1,1,1,0,0,0,0,1,1,1,2,0.5,0,0,1,5,4,1,3,1,2,0.333333333333333,0,0,0,0,0,0,0,17,1,1,2,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.421052631579,54,30.3157894736842,35.0526315789474,25.5789473684211,30.3157894736842,0.947368421052632,3.78947368421053,1.89473684210526,2.84210526315789,2.84210526315789,3.78947368421053,14.2105263157895,14.2105263157895,0,0,0.947368421052632,1.89473684210526,2.84210526315789,3.78947368421053,19.8947368421053,21.7894736842105,15.1578947368421,20.8421052631579,11.3684210526316,11.3684210526316,12.3157894736842,14.2105263157895,7.57894736842105,10.4210526315789,10.4210526315789,10.4210526315789,9.47368421052632,11.3684210526316,5.68421052631579,8.52631578947368,10.4210526315789,10.4210526315789,0.947368421052632,3.78947368421053,0,0,0.947368421052632,0.947368421052632,0,0,0,0,0.947368421052632,0.947368421052632,0.947368421052632,1.89473684210526,0,0,0.947368421052632,4.73684210526316,3.78947368421053,0.947368421052632,2.84210526315789,0.947368421052632,1.89473684210526,0,0,0,0,0,0,0,16.1052631578947,0.947368421052632,0.947368421052632,1.89473684210526,0,0.947368421052632,2.84210526315789,0,2.84210526315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Conheeney","SBFC",0,1,65,1,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11,19,0.578947368421053,11,19,0.578947368421053,9,15,0.6,0.789473684210526,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,4,0,2,9,0.222222222222222,3,3,1,6,7,0.857142857142857,2,9,0.222222222222222,3,3,1,6,7,0.857142857142857,2,7,0.285714285714286,3,3,1,4,5,0.8,0.473684210526316,0.157894736842105,0.368421052631579,0.473684210526316,0.157894736842105,0.368421052631579,0.466666666666667,0.2,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,2,6,4,4,0,2,2,0,1,2,1,0,0,0,0,0,47,9,1,1,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76923076923077,0,2.76923076923077,0,2.76923076923077,0,0,0,0,0,1.38461538461538,1.38461538461538,0,0,0,0,0,0,0,0,15.2307692307692,26.3076923076923,15.2307692307692,26.3076923076923,12.4615384615385,20.7692307692308,0,0,0,1.38461538461538,0,5.53846153846154,0,0,0,0,0,1.38461538461538,0,5.53846153846154,2.76923076923077,12.4615384615385,4.15384615384615,4.15384615384615,8.30769230769231,9.69230769230769,2.76923076923077,12.4615384615385,4.15384615384615,4.15384615384615,8.30769230769231,9.69230769230769,2.76923076923077,9.69230769230769,4.15384615384615,4.15384615384615,5.53846153846154,6.92307692307692,0,0,0,0,0,0,0,0,0,0,0,1.38461538461538,0,1.38461538461538,5.53846153846154,2.76923076923077,8.30769230769231,5.53846153846154,5.53846153846154,0,2.76923076923077,2.76923076923077,0,2.76923076923077,1.38461538461538,0,0,0,0,0,65.0769230769231,12.4615384615385,1.38461538461538,1.38461538461538,0,0,4.15384615384615,4.15384615384615,4.15384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corsie","SRFC",0,1,95,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,62,0.741935483870968,42,58,0.724137931034483,22,32,0.6875,0.551724137931034,0,0,0,10,22,0.454545454545455,3,4,0.75,0,0,0,0,0,0,8,20,0.4,3,4,0.75,19,35,0.542857142857143,17,17,1,10,10,1,15,31,0.483870967741935,17,17,1,10,10,1,9,19,0.473684210526316,9,9,1,4,4,1,0.564516129032258,0.274193548387097,0.161290322580645,0.53448275862069,0.293103448275862,0.172413793103448,0.59375,0.28125,0.125,0,0,0,0,0,4,4,1,0,0,0,0,4,4,0,4,1,0,0,0,13,11,2,6,3,3,0.5,0,0,0,0,0,0,1,9,7,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0.947368421052632,0,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5789473684211,58.7368421052632,39.7894736842105,54.9473684210526,20.8421052631579,30.3157894736842,0,0,9.47368421052632,20.8421052631579,2.84210526315789,3.78947368421053,0,0,0,0,7.57894736842105,18.9473684210526,2.84210526315789,3.78947368421053,18,33.1578947368421,16.1052631578947,16.1052631578947,9.47368421052632,9.47368421052632,14.2105263157895,29.3684210526316,16.1052631578947,16.1052631578947,9.47368421052632,9.47368421052632,8.52631578947368,18,8.52631578947368,8.52631578947368,3.78947368421053,3.78947368421053,0,0,0,0,3.78947368421053,3.78947368421053,0,0,0,0,3.78947368421053,3.78947368421053,0,3.78947368421053,0,0,0,12.3157894736842,10.4210526315789,1.89473684210526,5.68421052631579,2.84210526315789,2.84210526315789,0,0,0,0,0,0,0.947368421052632,8.52631578947368,6.63157894736842,1.89473684210526,0.947368421052632,2.84210526315789,0,0,0,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dallstream","SRFC",0,1,25,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0.5,4,8,0.5,4,8,0.5,1,0,1,0,0,1,0,1,2,0.5,0,0,0,0,1,0,0,1,0,1,2,0.5,2,3,0.666666666666667,1,4,0.25,1,1,1,2,3,0.666666666666667,1,4,0.25,1,1,1,2,3,0.666666666666667,1,4,0.25,1,1,1,0.375,0.5,0.125,0.375,0.5,0.125,0.375,0.5,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,2,2,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,8,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,3.6,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,28.8,14.4,28.8,14.4,28.8,0,3.6,0,3.6,3.6,7.2,0,0,0,3.6,0,3.6,3.6,7.2,7.2,10.8,3.6,14.4,3.6,3.6,7.2,10.8,3.6,14.4,3.6,3.6,7.2,10.8,3.6,14.4,3.6,3.6,0,0,0,0,0,0,0,0,0,0,0,3.6,3.6,7.2,7.2,7.2,18,7.2,3.6,3.6,0,0,0,0,0,0,0,0,0,0,28.8,7.2,0,3.6,0,0,3.6,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DeCesare","SBFC",0,1,52,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,21,0.761904761904762,16,21,0.761904761904762,15,19,0.789473684210526,0.904761904761905,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,0.4,7,8,0.875,7,8,0.875,2,5,0.4,7,8,0.875,7,8,0.875,1,3,0.333333333333333,7,8,0.875,7,8,0.875,0.238095238095238,0.380952380952381,0.380952380952381,0.238095238095238,0.380952380952381,0.380952380952381,0.157894736842105,0.421052631578947,0.421052631578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,5,7,2,5,0.285714285714286,0,0,0,0,0,0,0,41,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73076923076923,1.73076923076923,1.73076923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6923076923077,36.3461538461538,27.6923076923077,36.3461538461538,25.9615384615385,32.8846153846154,0,1.73076923076923,0,0,0,0,0,0,0,1.73076923076923,0,0,0,0,3.46153846153846,8.65384615384616,12.1153846153846,13.8461538461538,12.1153846153846,13.8461538461538,3.46153846153846,8.65384615384616,12.1153846153846,13.8461538461538,12.1153846153846,13.8461538461538,1.73076923076923,5.19230769230769,12.1153846153846,13.8461538461538,12.1153846153846,13.8461538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5769230769231,6.92307692307692,8.65384615384616,12.1153846153846,3.46153846153846,8.65384615384616,0,0,0,0,0,0,0,70.9615384615385,3.46153846153846,0,0,0,0,0,6.92307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elston","SRFC",0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0.5,3,6,0.5,3,5,0.6,0.833333333333333,0,0,0,0,2,0,1,2,0.5,0,0,0,0,0,0,0,2,0,1,2,0.5,1,4,0.25,2,2,1,0,0,0,1,4,0.25,2,2,1,0,0,0,1,3,0.333333333333333,2,2,1,0,0,0,0.666666666666667,0.333333333333333,0,0.666666666666667,0.333333333333333,0,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,45,22.5,45,22.5,37.5,0,0,0,15,7.5,15,0,0,0,0,0,15,7.5,15,7.5,30,15,15,0,0,7.5,30,15,15,0,0,7.5,22.5,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,7.5,7.5,7.5,0,7.5,0,7.5,0,0,0,0,0,0,0,30,7.5,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fishlock","SRFC",0,1,95,1,0,1,0,2,0,3,0.333333333333333,2,1,0.666666666666667,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,42,59,0.711864406779661,41,58,0.706896551724138,34,48,0.708333333333333,0.827586206896552,0,1,0,3,6,0.5,3,12,0.25,1,1,1,0,1,0,3,6,0.5,3,12,0.25,13,25,0.52,17,21,0.80952380952381,12,13,0.923076923076923,13,25,0.52,17,21,0.80952380952381,11,12,0.916666666666667,10,19,0.526315789473684,13,17,0.764705882352941,11,12,0.916666666666667,0.423728813559322,0.355932203389831,0.220338983050847,0.431034482758621,0.362068965517241,0.206896551724138,0.395833333333333,0.354166666666667,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,3,5,15,12,3,1,0,1,0,1,1,0,0,0,0,0,34,8,0,2,1,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,1.89473684210526,0,2.84210526315789,1.89473684210526,0.947368421052632,0,0,0.947368421052632,0,0,0,0.947368421052632,0,0,0,0,0,0,0,0,39.7894736842105,55.8947368421053,38.8421052631579,54.9473684210526,32.2105263157895,45.4736842105263,0,0.947368421052632,2.84210526315789,5.68421052631579,2.84210526315789,11.3684210526316,0.947368421052632,0.947368421052632,0,0.947368421052632,2.84210526315789,5.68421052631579,2.84210526315789,11.3684210526316,12.3157894736842,23.6842105263158,16.1052631578947,19.8947368421053,11.3684210526316,12.3157894736842,12.3157894736842,23.6842105263158,16.1052631578947,19.8947368421053,10.4210526315789,11.3684210526316,9.47368421052632,18,12.3157894736842,16.1052631578947,10.4210526315789,11.3684210526316,0,0,0,0,0,0,0,0,0,0,0,1.89473684210526,0,1.89473684210526,1.89473684210526,2.84210526315789,4.73684210526316,14.2105263157895,11.3684210526316,2.84210526315789,0.947368421052632,0,0.947368421052632,0.947368421052632,0.947368421052632,0,0,0,0,0,32.2105263157895,7.57894736842105,0,1.89473684210526,0.947368421052632,0,3.78947368421053,1.89473684210526,3.78947368421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fletcher","SRFC",0,1,95,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,76,0.736842105263158,55,74,0.743243243243243,26,38,0.684210526315789,0.513513513513513,0,0,0,4,18,0.222222222222222,0,7,0,0,0,0,0,0,0,4,17,0.235294117647059,0,7,0,24,42,0.571428571428571,24,26,0.923076923076923,8,8,1,24,41,0.585365853658537,24,26,0.923076923076923,7,7,1,9,19,0.473684210526316,10,12,0.833333333333333,7,7,1,0.552631578947368,0.342105263157895,0.105263157894737,0.554054054054054,0.351351351351351,0.0945945945945946,0.5,0.315789473684211,0.184210526315789,0,0,0,0,0,1,2,0.5,0,0,0,0,2,2,0,2,1,0,0,0,12,12,0,7,2,5,0.285714285714286,0,1,0,0,0,0,0,21,3,3,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0.947368421052632,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0526315789474,72,52.1052631578947,70.1052631578947,24.6315789473684,36,0,0,3.78947368421053,17.0526315789474,0,6.63157894736842,0,0,0,0,3.78947368421053,16.1052631578947,0,6.63157894736842,22.7368421052632,39.7894736842105,22.7368421052632,24.6315789473684,7.57894736842105,7.57894736842105,22.7368421052632,38.8421052631579,22.7368421052632,24.6315789473684,6.63157894736842,6.63157894736842,8.52631578947368,18,9.47368421052632,11.3684210526316,6.63157894736842,6.63157894736842,0,0,0,0,0.947368421052632,1.89473684210526,0,0,0,0,1.89473684210526,1.89473684210526,0,1.89473684210526,0,0,0,11.3684210526316,11.3684210526316,0,6.63157894736842,1.89473684210526,4.73684210526316,0,0.947368421052632,0,0,0,0,0,19.8947368421053,2.84210526315789,2.84210526315789,1.89473684210526,2.84210526315789,0,0.947368421052632,0,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galton","SBFC",0,1,88,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,18,34,0.529411764705882,18,34,0.529411764705882,16,30,0.533333333333333,0.882352941176471,1,4,0.25,0,0,0,2,4,0.5,0,0,0,1,4,0.25,0,0,0,2,4,0.5,5,12,0.416666666666667,9,18,0.5,4,4,1,5,12,0.416666666666667,9,18,0.5,4,4,1,5,10,0.5,7,16,0.4375,4,4,1,0.352941176470588,0.529411764705882,0.117647058823529,0.352941176470588,0.529411764705882,0.117647058823529,0.333333333333333,0.533333333333333,0.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,10,0.9,1,0,2,5,3,2,2,1,1,0.5,0,1,0,0,0,0,0,36,3,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02272727272727,0,0,0,1.02272727272727,1.02272727272727,0,0,0,0,0,0,0,0,0,1.02272727272727,0,0,0,1.02272727272727,0,0,18.4090909090909,34.7727272727273,18.4090909090909,34.7727272727273,16.3636363636364,30.6818181818182,1.02272727272727,4.09090909090909,0,0,2.04545454545455,4.09090909090909,0,0,1.02272727272727,4.09090909090909,0,0,2.04545454545455,4.09090909090909,5.11363636363636,12.2727272727273,9.20454545454546,18.4090909090909,4.09090909090909,4.09090909090909,5.11363636363636,12.2727272727273,9.20454545454546,18.4090909090909,4.09090909090909,4.09090909090909,5.11363636363636,10.2272727272727,7.15909090909091,16.3636363636364,4.09090909090909,4.09090909090909,0,0,0,0,0,0,0,0,0,0,0,9.20454545454546,1.02272727272727,10.2272727272727,1.02272727272727,0,2.04545454545455,5.11363636363636,3.06818181818182,2.04545454545455,2.04545454545455,1.02272727272727,1.02272727272727,0,1.02272727272727,0,0,0,0,0,36.8181818181818,3.06818181818182,0,0,0,0,2.04545454545455,1.02272727272727,2.04545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gordon","SBFC",0,1,8,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0.5,3,6,0.5,2,4,0.5,0.666666666666667,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,2,2,1,1,1,1,0,3,0,2,2,1,1,1,1,0,2,0,1,1,1,1,1,1,0.5,0.333333333333333,0.166666666666667,0.5,0.333333333333333,0.166666666666667,0.5,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,11.25,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.75,67.5,33.75,67.5,22.5,45,0,0,0,11.25,0,33.75,0,0,0,0,0,11.25,0,33.75,0,33.75,22.5,22.5,11.25,11.25,0,33.75,22.5,22.5,11.25,11.25,0,22.5,11.25,11.25,11.25,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,22.5,0,0,0,0,0,0,0,0,0,0,0,33.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
