"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Casey","SBFC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,36,0.583333333333333,10,16,0.625,4,4,1,0.25,0,0,0,13,27,0.481481481481481,0,0,0,0,0,0,0,0,0,5,10,0.5,0,0,0,19,34,0.558823529411765,2,2,1,0,0,0,8,14,0.571428571428571,2,2,1,0,0,0,4,4,1,0,0,0,0,0,0,0.944444444444444,0.0555555555555556,0,0.875,0.125,0,1,0,0,0,0,0,0,0,1,4,0.25,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0.666666666666667,0,1,1,1,3,0,3,1,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,21,36,0.583333333333333,1,1,1,1,1,1,9,18,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8947368421053,34.1052631578947,9.47368421052632,15.1578947368421,3.78947368421053,3.78947368421053,0,0,12.3157894736842,25.5789473684211,0,0,0,0,0,0,4.73684210526316,9.47368421052632,0,0,18,32.2105263157895,1.89473684210526,1.89473684210526,0,0,7.57894736842105,13.2631578947368,1.89473684210526,1.89473684210526,0,0,3.78947368421053,3.78947368421053,0,0,0,0,0,0,0,0,0.947368421052632,3.78947368421053,0,0,0,0,3.78947368421053,0,0,0,0,0,0,0.947368421052632,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,1.89473684210526,2.84210526315789,0,0.947368421052632,0.947368421052632,2.84210526315789,0,2.84210526315789,1.89473684210526,0,0,0,0.947368421052632,0,0.947368421052632,0.947368421052632,0,0.947368421052632,0,0,0,0,0,0,19.8947368421053,34.1052631578947,0.947368421052632,0.947368421052632,0.947368421052632,0.947368421052632,8.52631578947368,17.0526315789474
"DeCesare","SBFC",0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","WAS",0,1,95,1,0,0,0,3,2,5,0,2,3,0.4,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,19,30,0.633333333333333,19,30,0.633333333333333,11,16,0.6875,0.533333333333333,0,3,0,0,0,0,2,5,0.4,0,0,0,0,3,0,0,0,0,2,5,0.4,6,12,0.5,6,11,0.545454545454545,7,7,1,6,12,0.5,6,11,0.545454545454545,7,7,1,3,6,0.5,2,4,0.5,6,6,1,0.4,0.366666666666667,0.233333333333333,0.4,0.366666666666667,0.233333333333333,0.375,0.25,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0.5,1,1,5,10,5,5,8,1,7,0.125,3,1,0,0,0,0,2,33,7,1,3,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84210526315789,1.89473684210526,4.73684210526316,1.89473684210526,2.84210526315789,0,0,0,0,0,0,0,0.947368421052632,0.947368421052632,0.947368421052632,0,0.947368421052632,0.947368421052632,0.947368421052632,0,18,28.4210526315789,18,28.4210526315789,10.4210526315789,15.1578947368421,0,2.84210526315789,0,0,1.89473684210526,4.73684210526316,0,0,0,2.84210526315789,0,0,1.89473684210526,4.73684210526316,5.68421052631579,11.3684210526316,5.68421052631579,10.4210526315789,6.63157894736842,6.63157894736842,5.68421052631579,11.3684210526316,5.68421052631579,10.4210526315789,6.63157894736842,6.63157894736842,2.84210526315789,5.68421052631579,1.89473684210526,3.78947368421053,5.68421052631579,5.68421052631579,0,0,0,0,0,0,0,0,0,0,0,2.84210526315789,2.84210526315789,5.68421052631579,0.947368421052632,0.947368421052632,4.73684210526316,9.47368421052632,4.73684210526316,4.73684210526316,7.57894736842105,0.947368421052632,6.63157894736842,2.84210526315789,0.947368421052632,0,0,0,0,1.89473684210526,31.2631578947368,6.63157894736842,0.947368421052632,2.84210526315789,0,0,0.947368421052632,0.947368421052632,2.84210526315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Farquharson","WAS",0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0.6,3,5,0.6,1,1,1,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,2,0,2,2,1,1,1,1,0,2,0,2,2,1,0,0,0,0,0,0,1,1,1,0.2,0.4,0.4,0.2,0.4,0.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,50,30,50,10,10,0,10,0,0,0,0,0,0,0,10,0,0,0,0,10,10,0,20,20,20,10,10,0,20,20,20,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,10,20,10,0,10,0,0,0,0,10,0,0,0,0,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gordon","SBFC",0,1,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,21,0.761904761904762,16,21,0.761904761904762,13,15,0.866666666666667,0.714285714285714,0,0,0,1,1,1,1,2,0.5,0,0,0,0,0,0,1,1,1,1,2,0.5,3,7,0.428571428571429,8,9,0.888888888888889,5,5,1,3,7,0.428571428571429,8,9,0.888888888888889,5,5,1,2,4,0.5,6,6,1,5,5,1,0.333333333333333,0.428571428571429,0.238095238095238,0.333333333333333,0.428571428571429,0.238095238095238,0.266666666666667,0.4,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,4,10,5,5,0,0,0,0,1,0,0,0,0,0,0,26,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.8571428571429,30,22.8571428571429,30,18.5714285714286,21.4285714285714,0,0,1.42857142857143,1.42857142857143,1.42857142857143,2.85714285714286,0,0,0,0,1.42857142857143,1.42857142857143,1.42857142857143,2.85714285714286,4.28571428571429,10,11.4285714285714,12.8571428571429,7.14285714285714,7.14285714285714,4.28571428571429,10,11.4285714285714,12.8571428571429,7.14285714285714,7.14285714285714,2.85714285714286,5.71428571428571,8.57142857142857,8.57142857142857,7.14285714285714,7.14285714285714,0,0,0,0,0,0,0,0,0,0,0,0,2.85714285714286,2.85714285714286,1.42857142857143,1.42857142857143,5.71428571428571,14.2857142857143,7.14285714285714,7.14285714285714,0,0,0,1.42857142857143,0,0,0,0,0,0,37.1428571428571,0,2.85714285714286,1.42857142857143,1.42857142857143,0,1.42857142857143,0,1.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hayes","SBFC",0,1,95,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,13,20,0.65,12,19,0.631578947368421,8,14,0.571428571428571,0.736842105263158,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4,7,0.571428571428571,2,5,0.4,7,8,0.875,4,7,0.571428571428571,2,5,0.4,6,7,0.857142857142857,2,5,0.4,1,3,0.333333333333333,5,6,0.833333333333333,0.35,0.25,0.4,0.368421052631579,0.263157894736842,0.368421052631579,0.357142857142857,0.214285714285714,0.428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,4,1,6,6,3,3,2,1,1,0.5,1,1,0,0,0,0,1,41,4,1,2,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0,0,0,0.947368421052632,0,0.947368421052632,0.947368421052632,0,0,0,0,0,0.947368421052632,0,0,0,0,0,0,0,0,12.3157894736842,18.9473684210526,11.3684210526316,18,7.57894736842105,13.2631578947368,0,0,0,0,0,0,0.947368421052632,0.947368421052632,0,0,0,0,0,0,3.78947368421053,6.63157894736842,1.89473684210526,4.73684210526316,6.63157894736842,7.57894736842105,3.78947368421053,6.63157894736842,1.89473684210526,4.73684210526316,5.68421052631579,6.63157894736842,1.89473684210526,4.73684210526316,0.947368421052632,2.84210526315789,4.73684210526316,5.68421052631579,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0.947368421052632,1.89473684210526,3.78947368421053,0.947368421052632,5.68421052631579,5.68421052631579,2.84210526315789,2.84210526315789,1.89473684210526,0.947368421052632,0.947368421052632,0.947368421052632,0.947368421052632,0,0,0,0,0.947368421052632,38.8421052631579,3.78947368421053,0.947368421052632,1.89473684210526,0,0,4.73684210526316,0,5.68421052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Huster","WAS",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,24,28,0.857142857142857,24,28,0.857142857142857,14,15,0.933333333333333,0.535714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,0.8125,6,7,0.857142857142857,5,5,1,13,16,0.8125,6,7,0.857142857142857,5,5,1,8,9,0.888888888888889,3,3,1,3,3,1,0.571428571428571,0.25,0.178571428571429,0.571428571428571,0.25,0.178571428571429,0.6,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,9,7,2,5,1,4,0.2,0,0,0,0,0,0,0,26,4,1,3,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0,0,0.947368421052632,0,0,0,22.7368421052632,26.5263157894737,22.7368421052632,26.5263157894737,13.2631578947368,14.2105263157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3157894736842,15.1578947368421,5.68421052631579,6.63157894736842,4.73684210526316,4.73684210526316,12.3157894736842,15.1578947368421,5.68421052631579,6.63157894736842,4.73684210526316,4.73684210526316,7.57894736842105,8.52631578947368,2.84210526315789,2.84210526315789,2.84210526315789,2.84210526315789,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0.947368421052632,0,0,0.947368421052632,8.52631578947368,6.63157894736842,1.89473684210526,4.73684210526316,0.947368421052632,3.78947368421053,0,0,0,0,0,0,0,24.6315789473684,3.78947368421053,0.947368421052632,2.84210526315789,6.63157894736842,0,0,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kai","SBFC",0,1,95,1,0,2,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0.666666666666667,8,12,0.666666666666667,7,8,0.875,0.666666666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,7,0.428571428571429,3,3,1,2,2,1,3,7,0.428571428571429,3,3,1,2,2,1,3,4,0.75,2,2,1,2,2,1,0.583333333333333,0.25,0.166666666666667,0.583333333333333,0.25,0.166666666666667,0.5,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,1,2,2,1,1,22,12,10,0.545454545454545,1,1,0,0,0,0,0,30,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89473684210526,0,0,0,1.89473684210526,0,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.57894736842105,11.3684210526316,7.57894736842105,11.3684210526316,6.63157894736842,7.57894736842105,0,0,0,0,0,0.947368421052632,0,0,0,0,0,0,0,0.947368421052632,2.84210526315789,6.63157894736842,2.84210526315789,2.84210526315789,1.89473684210526,1.89473684210526,2.84210526315789,6.63157894736842,2.84210526315789,2.84210526315789,1.89473684210526,1.89473684210526,2.84210526315789,3.78947368421053,1.89473684210526,1.89473684210526,1.89473684210526,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,1.89473684210526,0,1.89473684210526,0.947368421052632,0.947368421052632,1.89473684210526,1.89473684210526,0.947368421052632,0.947368421052632,20.8421052631579,11.3684210526316,9.47368421052632,0.947368421052632,0.947368421052632,0,0,0,0,0,28.4210526315789,1.89473684210526,0,3.78947368421053,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Killion","SBFC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,57,0.807017543859649,43,53,0.811320754716981,25,28,0.892857142857143,0.528301886792453,0,0,0,3,5,0.6,2,4,0.5,1,1,1,0,0,0,1,2,0.5,2,4,0.5,15,24,0.625,13,15,0.866666666666667,18,18,1,12,20,0.6,13,15,0.866666666666667,18,18,1,4,6,0.666666666666667,8,9,0.888888888888889,13,13,1,0.421052631578947,0.263157894736842,0.315789473684211,0.377358490566038,0.283018867924528,0.339622641509434,0.214285714285714,0.321428571428571,0.464285714285714,0,0,0,0,0,2,3,0.666666666666667,0,0,0,0,3,1,0,1,1,2,1,3,11,7,4,1,0,1,0,0,0,0,0,0,0,0,34,3,6,6,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5789473684211,54,40.7368421052632,50.2105263157895,23.6842105263158,26.5263157894737,0,0,2.84210526315789,4.73684210526316,1.89473684210526,3.78947368421053,0.947368421052632,0.947368421052632,0,0,0.947368421052632,1.89473684210526,1.89473684210526,3.78947368421053,14.2105263157895,22.7368421052632,12.3157894736842,14.2105263157895,17.0526315789474,17.0526315789474,11.3684210526316,18.9473684210526,12.3157894736842,14.2105263157895,17.0526315789474,17.0526315789474,3.78947368421053,5.68421052631579,7.57894736842105,8.52631578947368,12.3157894736842,12.3157894736842,0,0,0,0,1.89473684210526,2.84210526315789,0,0,0,0,2.84210526315789,0.947368421052632,0,0.947368421052632,1.89473684210526,0.947368421052632,2.84210526315789,10.4210526315789,6.63157894736842,3.78947368421053,0.947368421052632,0,0.947368421052632,0,0,0,0,0,0,0,32.2105263157895,2.84210526315789,5.68421052631579,5.68421052631579,2.84210526315789,0,0.947368421052632,0,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kleiner","WAS",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,67,0.791044776119403,39,47,0.829787234042553,26,30,0.866666666666667,0.638297872340426,2,6,0.333333333333333,0,2,0,1,1,1,14,19,0.736842105263158,2,6,0.333333333333333,0,1,0,1,1,1,30,37,0.810810810810811,9,16,0.5625,14,14,1,22,24,0.916666666666667,7,13,0.538461538461538,10,10,1,15,15,1,5,9,0.555555555555556,6,6,1,0.552238805970149,0.238805970149254,0.208955223880597,0.51063829787234,0.276595744680851,0.212765957446809,0.5,0.3,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,3,0.333333333333333,1,1,4,7,4,3,2,1,1,0.5,1,0,0,0,0,0,0,10,3,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.2105263157895,63.4736842105263,36.9473684210526,44.5263157894737,24.6315789473684,28.4210526315789,1.89473684210526,5.68421052631579,0,1.89473684210526,0.947368421052632,0.947368421052632,13.2631578947368,18,1.89473684210526,5.68421052631579,0,0.947368421052632,0.947368421052632,0.947368421052632,28.4210526315789,35.0526315789474,8.52631578947368,15.1578947368421,13.2631578947368,13.2631578947368,20.8421052631579,22.7368421052632,6.63157894736842,12.3157894736842,9.47368421052632,9.47368421052632,14.2105263157895,14.2105263157895,4.73684210526316,8.52631578947368,5.68421052631579,5.68421052631579,0,0,0,0,0,0.947368421052632,0,0,0,0,0.947368421052632,0.947368421052632,1.89473684210526,2.84210526315789,0.947368421052632,0.947368421052632,3.78947368421053,6.63157894736842,3.78947368421053,2.84210526315789,1.89473684210526,0.947368421052632,0.947368421052632,0.947368421052632,0,0,0,0,0,0,9.47368421052632,2.84210526315789,0.947368421052632,1.89473684210526,0.947368421052632,0,0.947368421052632,0,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
