"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Barnes","SRFC",0,1,94,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,49,61,0.80327868852459,40,46,0.869565217391304,15,20,0.75,0.434782608695652,1,7,0.142857142857143,3,8,0.375,0,0,0,8,8,1,0,1,0,3,7,0.428571428571429,0,0,0,31,36,0.861111111111111,11,18,0.611111111111111,7,7,1,27,31,0.870967741935484,7,9,0.777777777777778,6,6,1,9,12,0.75,4,6,0.666666666666667,2,2,1,0.590163934426229,0.295081967213115,0.114754098360656,0.673913043478261,0.195652173913043,0.130434782608696,0.6,0.3,0.1,1,6,0.166666666666667,1,0,0,1,0,0,0,1,0,2,1,0,1,1,0,1,1,10,10,0,0,0,0,0,2,1,0,0,0,0,1,4,3,0,1,5,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0,0,0,0.957446808510638,0,0.957446808510638,0,0,0,0,0,0,0,0.957446808510638,0,0,0,0,0,0,0,46.9148936170213,58.4042553191489,38.2978723404255,44.0425531914894,14.3617021276596,19.1489361702128,0.957446808510638,6.70212765957447,2.87234042553191,7.65957446808511,0,0,7.65957446808511,7.65957446808511,0,0.957446808510638,2.87234042553191,6.70212765957447,0,0,29.6808510638298,34.468085106383,10.531914893617,17.2340425531915,6.70212765957447,6.70212765957447,25.8510638297872,29.6808510638298,6.70212765957447,8.61702127659574,5.74468085106383,5.74468085106383,8.61702127659574,11.4893617021277,3.82978723404255,5.74468085106383,1.91489361702128,1.91489361702128,0.957446808510638,5.74468085106383,0.957446808510638,0,0,0.957446808510638,0,0,0.957446808510638,0,1.91489361702128,0.957446808510638,0,0.957446808510638,0,0.957446808510638,0.957446808510638,9.57446808510638,9.57446808510638,0,0,0,0,1.91489361702128,0.957446808510638,0,0,0,0,0.957446808510638,3.82978723404255,2.87234042553191,0,0.957446808510638,4.78723404255319,0,1.91489361702128,0,2.87234042553191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burkenroad","ORL",0,1,66,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,15,23,0.652173913043478,13,21,0.619047619047619,11,16,0.6875,0.761904761904762,0,1,0,0,0,0,1,2,0.5,2,2,1,0,1,0,0,0,0,1,2,0.5,2,8,0.25,5,7,0.714285714285714,8,8,1,2,8,0.25,4,6,0.666666666666667,7,7,1,1,4,0.25,3,5,0.6,7,7,1,0.347826086956522,0.304347826086957,0.347826086956522,0.380952380952381,0.285714285714286,0.333333333333333,0.25,0.3125,0.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,4,1,6,10,7,3,2,1,1,0.5,0,2,0,0,0,0,2,35,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36363636363636,0,0,1.36363636363636,0,1.36363636363636,0,1.36363636363636,0,0,1.36363636363636,0,1.36363636363636,0,1.36363636363636,0,0,0,1.36363636363636,0,0,20.4545454545455,31.3636363636364,17.7272727272727,28.6363636363636,15,21.8181818181818,0,1.36363636363636,0,0,1.36363636363636,2.72727272727273,2.72727272727273,2.72727272727273,0,1.36363636363636,0,0,1.36363636363636,2.72727272727273,2.72727272727273,10.9090909090909,6.81818181818182,9.54545454545454,10.9090909090909,10.9090909090909,2.72727272727273,10.9090909090909,5.45454545454546,8.18181818181818,9.54545454545454,9.54545454545454,1.36363636363636,5.45454545454546,4.09090909090909,6.81818181818182,9.54545454545454,9.54545454545454,0,0,0,0,0,0,0,0,0,0,0,1.36363636363636,1.36363636363636,2.72727272727273,5.45454545454546,1.36363636363636,8.18181818181818,13.6363636363636,9.54545454545454,4.09090909090909,2.72727272727273,1.36363636363636,1.36363636363636,0,2.72727272727273,0,0,0,0,2.72727272727273,47.7272727272727,0,0,0,1.36363636363636,0,0,0,2.72727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dallstream","SRFC",0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,1,9,9,1,4,4,1,0.444444444444444,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,3,3,1,4,4,1,2,2,1,3,3,1,4,4,1,1,1,1,0,0,0,3,3,1,0.222222222222222,0.333333333333333,0.444444444444444,0.222222222222222,0.333333333333333,0.444444444444444,0.25,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,2,1,1,0.5,0,0,1,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.3076923076923,62.3076923076923,62.3076923076923,62.3076923076923,27.6923076923077,27.6923076923077,0,0,0,0,6.92307692307692,6.92307692307692,0,0,0,0,0,0,6.92307692307692,6.92307692307692,13.8461538461538,13.8461538461538,20.7692307692308,20.7692307692308,27.6923076923077,27.6923076923077,13.8461538461538,13.8461538461538,20.7692307692308,20.7692307692308,27.6923076923077,27.6923076923077,6.92307692307692,6.92307692307692,0,0,20.7692307692308,20.7692307692308,0,0,0,0,0,0,0,0,0,0,0,13.8461538461538,0,13.8461538461538,0,0,0,0,0,0,13.8461538461538,6.92307692307692,6.92307692307692,0,0,6.92307692307692,0,0,0,0,41.5384615384615,13.8461538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edmonds","ORL",0,1,94,1,1,0,0,0,1,2,1,0,2,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,32,47,0.680851063829787,28,40,0.7,23,32,0.71875,0.8,2,9,0.222222222222222,0,0,0,0,1,0,1,1,1,0,4,0,0,0,0,0,1,0,7,13,0.538461538461538,10,17,0.588235294117647,15,17,0.882352941176471,6,12,0.5,8,12,0.666666666666667,14,16,0.875,4,9,0.444444444444444,6,8,0.75,13,15,0.866666666666667,0.276595744680851,0.361702127659574,0.361702127659574,0.3,0.3,0.4,0.28125,0.25,0.46875,3,6,0.5,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,2,2,10,7,3,2,0,2,0,0,0,0,0,0,0,2,44,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0,0,0,0.957446808510638,1.91489361702128,0,1.91489361702128,0.957446808510638,0,0,0,0,0,0.957446808510638,0,0.957446808510638,0,0,0,0.957446808510638,0,0,30.6382978723404,45,26.8085106382979,38.2978723404255,22.0212765957447,30.6382978723404,1.91489361702128,8.61702127659574,0,0,0,0.957446808510638,0.957446808510638,0.957446808510638,0,3.82978723404255,0,0,0,0.957446808510638,6.70212765957447,12.4468085106383,9.57446808510638,16.2765957446809,14.3617021276596,16.2765957446809,5.74468085106383,11.4893617021277,7.65957446808511,11.4893617021277,13.4042553191489,15.3191489361702,3.82978723404255,8.61702127659574,5.74468085106383,7.65957446808511,12.4468085106383,14.3617021276596,2.87234042553191,5.74468085106383,0,0,0,0,0,0,0.957446808510638,0,0.957446808510638,0.957446808510638,0,0.957446808510638,0,1.91489361702128,1.91489361702128,9.57446808510638,6.70212765957447,2.87234042553191,1.91489361702128,0,1.91489361702128,0,0,0,0,0,0,1.91489361702128,42.1276595744681,0,0,1.91489361702128,0,0,0,0,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edwards","ORL",0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,0.823529411764706,13,16,0.8125,8,8,1,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,7,0.714285714285714,6,7,0.857142857142857,3,3,1,5,7,0.714285714285714,6,7,0.857142857142857,2,2,1,1,1,1,5,5,1,2,2,1,0.411764705882353,0.411764705882353,0.176470588235294,0.4375,0.4375,0.125,0.125,0.625,0.25,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,5,1,4,1,1,0,1,0,0,0,0,0,0,0,9,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.448275862069,52.7586206896552,40.3448275862069,49.6551724137931,24.8275862068966,24.8275862068966,0,0,0,3.10344827586207,0,0,0,0,0,0,0,3.10344827586207,0,0,15.5172413793103,21.7241379310345,18.6206896551724,21.7241379310345,9.31034482758621,9.31034482758621,15.5172413793103,21.7241379310345,18.6206896551724,21.7241379310345,6.20689655172414,6.20689655172414,3.10344827586207,3.10344827586207,15.5172413793103,15.5172413793103,6.20689655172414,6.20689655172414,0,0,0,0,3.10344827586207,3.10344827586207,0,0,0,0,3.10344827586207,0,0,0,3.10344827586207,0,3.10344827586207,15.5172413793103,3.10344827586207,12.4137931034483,3.10344827586207,3.10344827586207,0,0,0,0,0,0,0,0,27.9310344827586,3.10344827586207,6.20689655172414,0,3.10344827586207,0,3.10344827586207,0,3.10344827586207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elston","SRFC",0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0.714285714285714,5,7,0.714285714285714,3,3,1,0.428571428571429,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,1,1,3,0.333333333333333,2,2,1,2,2,1,1,3,0.333333333333333,2,2,1,1,1,1,1,1,1,1,1,1,0.285714285714286,0.428571428571429,0.285714285714286,0.285714285714286,0.428571428571429,0.285714285714286,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.25,78.75,56.25,78.75,33.75,33.75,0,22.5,0,0,0,0,0,0,0,22.5,0,0,0,0,22.5,22.5,11.25,33.75,22.5,22.5,22.5,22.5,11.25,33.75,22.5,22.5,11.25,11.25,11.25,11.25,11.25,11.25,0,0,0,0,0,0,0,0,0,0,0,0,11.25,11.25,0,0,11.25,22.5,11.25,11.25,11.25,11.25,0,11.25,0,0,0,0,0,0,0,0,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Evans","ORL",0,1,94,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,39,0.743589743589744,28,37,0.756756756756757,19,25,0.76,0.675675675675676,0,1,0,3,6,0.5,1,1,1,0,0,0,0,1,0,3,5,0.6,1,1,1,13,23,0.565217391304348,5,5,1,11,11,1,12,21,0.571428571428571,5,5,1,11,11,1,9,15,0.6,2,2,1,8,8,1,0.58974358974359,0.128205128205128,0.282051282051282,0.567567567567568,0.135135135135135,0.297297297297297,0.6,0.08,0.32,0,0,0,0,0,1,2,0.5,0,0,0,0,2,1,0,1,1,3,0,3,8,6,2,2,1,1,0.5,1,2,0,0,0,0,0,39,7,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0,0,0,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7659574468085,37.3404255319149,26.8085106382979,35.4255319148936,18.1914893617021,23.936170212766,0,0.957446808510638,2.87234042553191,5.74468085106383,0.957446808510638,0.957446808510638,0,0,0,0.957446808510638,2.87234042553191,4.78723404255319,0.957446808510638,0.957446808510638,12.4468085106383,22.0212765957447,4.78723404255319,4.78723404255319,10.531914893617,10.531914893617,11.4893617021277,20.1063829787234,4.78723404255319,4.78723404255319,10.531914893617,10.531914893617,8.61702127659574,14.3617021276596,1.91489361702128,1.91489361702128,7.65957446808511,7.65957446808511,0,0,0,0,0.957446808510638,1.91489361702128,0,0,0,0,1.91489361702128,0.957446808510638,0,0.957446808510638,2.87234042553191,0,2.87234042553191,7.65957446808511,5.74468085106383,1.91489361702128,1.91489361702128,0.957446808510638,0.957446808510638,0.957446808510638,1.91489361702128,0,0,0,0,0,37.3404255319149,6.70212765957447,0.957446808510638,0.957446808510638,1.91489361702128,0,0.957446808510638,0,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fields","ORL",0,1,94,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,23,28,0.821428571428571,22,27,0.814814814814815,17,21,0.80952380952381,0.777777777777778,1,2,0.5,0,1,0,0,0,0,1,1,1,1,2,0.5,0,1,0,0,0,0,2,5,0.4,4,6,0.666666666666667,17,17,1,2,5,0.4,4,6,0.666666666666667,16,16,1,0,2,0,4,6,0.666666666666667,13,13,1,0.178571428571429,0.214285714285714,0.607142857142857,0.185185185185185,0.222222222222222,0.592592592592593,0.0952380952380952,0.285714285714286,0.619047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,4,5,10,13,8,5,1,1,0,1,1,1,0,0,0,0,1,26,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0.957446808510638,0,0.957446808510638,0,0,0,0,0,0,0,0.957446808510638,0.957446808510638,0.957446808510638,0,0.957446808510638,0.957446808510638,0.957446808510638,0,22.0212765957447,26.8085106382979,21.063829787234,25.8510638297872,16.2765957446809,20.1063829787234,0.957446808510638,1.91489361702128,0,0.957446808510638,0,0,0.957446808510638,0.957446808510638,0.957446808510638,1.91489361702128,0,0.957446808510638,0,0,1.91489361702128,4.78723404255319,3.82978723404255,5.74468085106383,16.2765957446809,16.2765957446809,1.91489361702128,4.78723404255319,3.82978723404255,5.74468085106383,15.3191489361702,15.3191489361702,0,1.91489361702128,3.82978723404255,5.74468085106383,12.4468085106383,12.4468085106383,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0.957446808510638,1.91489361702128,3.82978723404255,4.78723404255319,9.57446808510638,12.4468085106383,7.65957446808511,4.78723404255319,0.957446808510638,0.957446808510638,0,0.957446808510638,0.957446808510638,0,0,0,0,0.957446808510638,24.8936170212766,3.82978723404255,0.957446808510638,0.957446808510638,0,0,0,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fishlock","SRFC",0,1,94,1,1,0,0,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,64,76,0.842105263157895,61,73,0.835616438356164,43,47,0.914893617021277,0.643835616438356,0,0,0,1,8,0.125,0,0,0,1,1,1,0,0,0,1,8,0.125,0,0,0,21,33,0.636363636363636,17,17,1,26,26,1,21,33,0.636363636363636,16,16,1,24,24,1,11,15,0.733333333333333,13,13,1,19,19,1,0.434210526315789,0.223684210526316,0.342105263157895,0.452054794520548,0.219178082191781,0.328767123287671,0.319148936170213,0.276595744680851,0.404255319148936,0,0,0,0,0,2,2,1,0,0,0,0,2,0,2,2,0,0,0,2,14,11,3,3,1,2,0.333333333333333,0,0,0,0,0,0,2,19,8,5,3,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0,0,0,0.957446808510638,1.91489361702128,0,1.91489361702128,0,0,0,0,0,0,0,0,0.957446808510638,0,0,0,0.957446808510638,0,0,61.2765957446808,72.7659574468085,58.4042553191489,69.8936170212766,41.1702127659574,45,0,0,0.957446808510638,7.65957446808511,0,0,0.957446808510638,0.957446808510638,0,0,0.957446808510638,7.65957446808511,0,0,20.1063829787234,31.5957446808511,16.2765957446809,16.2765957446809,24.8936170212766,24.8936170212766,20.1063829787234,31.5957446808511,15.3191489361702,15.3191489361702,22.9787234042553,22.9787234042553,10.531914893617,14.3617021276596,12.4468085106383,12.4468085106383,18.1914893617021,18.1914893617021,0,0,0,0,1.91489361702128,1.91489361702128,0,0,0,0,1.91489361702128,0,1.91489361702128,1.91489361702128,0,0,1.91489361702128,13.4042553191489,10.531914893617,2.87234042553191,2.87234042553191,0.957446808510638,1.91489361702128,0,0,0,0,0,0,1.91489361702128,18.1914893617021,7.65957446808511,4.78723404255319,2.87234042553191,2.87234042553191,0,0.957446808510638,0,2.87234042553191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fletcher","SRFC",0,1,94,1,1,0,0,0,1,2,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,59,0.830508474576271,49,58,0.844827586206897,14,18,0.777777777777778,0.310344827586207,0,0,0,3,8,0.375,0,0,0,0,1,0,0,0,0,3,8,0.375,0,0,0,32,42,0.761904761904762,14,14,1,3,3,1,32,41,0.780487804878049,14,14,1,3,3,1,10,14,0.714285714285714,3,3,1,1,1,1,0.711864406779661,0.23728813559322,0.0508474576271186,0.706896551724138,0.241379310344828,0.0517241379310345,0.777777777777778,0.166666666666667,0.0555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,2,3,2,1,0.666666666666667,0,0,0,0,1,0,0,4,4,0,3,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0,0,0,0.957446808510638,1.91489361702128,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.9148936170213,56.4893617021277,46.9148936170213,55.531914893617,13.4042553191489,17.2340425531915,0,0,2.87234042553191,7.65957446808511,0,0,0,0.957446808510638,0,0,2.87234042553191,7.65957446808511,0,0,30.6382978723404,40.2127659574468,13.4042553191489,13.4042553191489,2.87234042553191,2.87234042553191,30.6382978723404,39.2553191489362,13.4042553191489,13.4042553191489,2.87234042553191,2.87234042553191,9.57446808510638,13.4042553191489,2.87234042553191,2.87234042553191,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.70212765957447,3.82978723404255,1.91489361702128,2.87234042553191,1.91489361702128,0.957446808510638,0,0,0,0,0.957446808510638,0,0,3.82978723404255,3.82978723404255,0,2.87234042553191,6.70212765957447,0,0,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
