"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Banini","WAS",0,1,96,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,2,0.5,0,0,0,0,0,0,0,0,34,46,0.739130434782609,31,43,0.720930232558139,26,30,0.866666666666667,0.697674418604651,0,2,0,0,0,0,2,3,0.666666666666667,3,3,1,0,2,0,0,0,0,2,3,0.666666666666667,10,17,0.588235294117647,11,13,0.846153846153846,13,16,0.8125,9,16,0.5625,9,11,0.818181818181818,13,16,0.8125,7,9,0.777777777777778,7,8,0.875,12,13,0.923076923076923,0.369565217391304,0.282608695652174,0.347826086956522,0.372093023255814,0.255813953488372,0.372093023255814,0.3,0.266666666666667,0.433333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0.25,4,1,8,9,4,5,1,0,1,0,3,0,0,0,0,0,1,21,0,2,4,1,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0,0,0,0.9375,0.9375,0,0.9375,0,0,0,0,0.9375,1.875,0,0,0,0,0,0,0,0,31.875,43.125,29.0625,40.3125,24.375,28.125,0,1.875,0,0,1.875,2.8125,2.8125,2.8125,0,1.875,0,0,1.875,2.8125,9.375,15.9375,10.3125,12.1875,12.1875,15,8.4375,15,8.4375,10.3125,12.1875,15,6.5625,8.4375,6.5625,7.5,11.25,12.1875,0,0,0,0,0,0,0,0,0,0,0,0.9375,2.8125,3.75,3.75,0.9375,7.5,8.4375,3.75,4.6875,0.9375,0,0.9375,2.8125,0,0,0,0,0,0.9375,19.6875,0,1.875,3.75,0.9375,0,2.8125,0.9375,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Church","WAS",0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7142857142857,0,6.42857142857143,6.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colaprico","CRS",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,51,0.843137254901961,42,50,0.84,22,23,0.956521739130435,0.46,0,0,0,0,2,0,0,1,0,1,1,1,0,0,0,0,2,0,0,1,0,24,31,0.774193548387097,7,7,1,12,13,0.923076923076923,24,31,0.774193548387097,7,7,1,11,12,0.916666666666667,14,15,0.933333333333333,2,2,1,6,6,1,0.607843137254902,0.137254901960784,0.254901960784314,0.62,0.14,0.24,0.652173913043478,0.0869565217391304,0.260869565217391,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,8,7,1,2,1,1,0.5,0,0,0,0,0,0,2,10,3,7,6,2,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.3125,47.8125,39.375,46.875,20.625,21.5625,0,0,0,1.875,0,0.9375,0.9375,0.9375,0,0,0,1.875,0,0.9375,22.5,29.0625,6.5625,6.5625,11.25,12.1875,22.5,29.0625,6.5625,6.5625,10.3125,11.25,13.125,14.0625,1.875,1.875,5.625,5.625,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0.9375,0.9375,0,0.9375,7.5,6.5625,0.9375,1.875,0.9375,0.9375,0,0,0,0,0,0,1.875,9.375,2.8125,6.5625,5.625,1.875,0,2.8125,0,4.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comeau","CRS",0,1,96,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,26,0.846153846153846,22,26,0.846153846153846,14,15,0.933333333333333,0.576923076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,0.75,4,5,0.8,9,9,1,9,12,0.75,4,5,0.8,9,9,1,4,5,0.8,3,3,1,7,7,1,0.461538461538462,0.192307692307692,0.346153846153846,0.461538461538462,0.192307692307692,0.346153846153846,0.333333333333333,0.2,0.466666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,6,6,0,8,4,4,0.5,0,1,0,0,0,0,2,31,5,0,4,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0.9375,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.625,24.375,20.625,24.375,13.125,14.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4375,11.25,3.75,4.6875,8.4375,8.4375,8.4375,11.25,3.75,4.6875,8.4375,8.4375,3.75,4.6875,2.8125,2.8125,6.5625,6.5625,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0.9375,0,0.9375,0.9375,5.625,5.625,0,7.5,3.75,3.75,0,0.9375,0,0,0,0,1.875,29.0625,4.6875,0,3.75,0,0,1.875,0.9375,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Da Costa","CRS",0,1,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,0.75,15,20,0.75,9,12,0.75,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0.6,4,6,0.666666666666667,8,9,0.888888888888889,3,5,0.6,4,6,0.666666666666667,8,9,0.888888888888889,3,5,0.6,3,3,1,3,4,0.75,0.25,0.3,0.45,0.25,0.3,0.45,0.416666666666667,0.25,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,3,4,4,0,2,1,1,0.5,1,0,0,0,0,0,0,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.7234042553191,38.2978723404255,28.7234042553191,38.2978723404255,17.2340425531915,22.9787234042553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.74468085106383,9.57446808510638,7.65957446808511,11.4893617021277,15.3191489361702,17.2340425531915,5.74468085106383,9.57446808510638,7.65957446808511,11.4893617021277,15.3191489361702,17.2340425531915,5.74468085106383,9.57446808510638,5.74468085106383,5.74468085106383,5.74468085106383,7.65957446808511,0,0,0,0,0,0,0,0,0,0,0,0,3.82978723404255,3.82978723404255,1.91489361702128,0,5.74468085106383,7.65957446808511,7.65957446808511,0,3.82978723404255,1.91489361702128,1.91489361702128,1.91489361702128,0,0,0,0,0,0,36.3829787234042,0,1.91489361702128,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dalton","CRS",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,29,0.689655172413793,11,16,0.6875,1,1,1,0.0625,0,0,0,6,14,0.428571428571429,0,0,0,0,0,0,0,0,0,2,7,0.285714285714286,0,0,0,17,26,0.653846153846154,3,3,1,0,0,0,8,13,0.615384615384615,3,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0.896551724137931,0.103448275862069,0,0.8125,0.1875,0,1,0,0,0,0,0,0,0,1,2,0.5,0,0,0,0,2,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0.5,0,2,2,1,3,0,3,1,0,0,0,3,2,0,2,1,0,1,0,0,0,0,0,0,20,29,0.689655172413793,4,5,0.8,0,0,0,5,8,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,27.1875,10.3125,15,0.9375,0.9375,0,0,5.625,13.125,0,0,0,0,0,0,1.875,6.5625,0,0,15.9375,24.375,2.8125,2.8125,0,0,7.5,12.1875,2.8125,2.8125,0,0,0.9375,0.9375,0,0,0,0,0,0,0,0,0.9375,1.875,0,0,0,0,1.875,0,0,0,0,0,0,1.875,0.9375,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.875,1.875,3.75,0,1.875,1.875,2.8125,0,2.8125,0,0,0,2.8125,1.875,0,1.875,0.9375,0,0.9375,0,0,0,0,0,0,18.75,27.1875,3.75,4.6875,0,0,4.6875,7.5
"DiBernardo","CRS",0,1,96,1,0,0,0,2,0,2,0,1,1,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,28,44,0.636363636363636,23,36,0.638888888888889,15,22,0.681818181818182,0.611111111111111,0,2,0,1,4,0.25,2,2,1,0,0,0,0,1,0,1,4,0.25,2,2,1,13,23,0.565217391304348,9,14,0.642857142857143,6,7,0.857142857142857,13,23,0.565217391304348,5,7,0.714285714285714,5,6,0.833333333333333,8,14,0.571428571428571,3,4,0.75,4,4,1,0.522727272727273,0.318181818181818,0.159090909090909,0.638888888888889,0.194444444444444,0.166666666666667,0.636363636363636,0.181818181818182,0.181818181818182,3,5,0.6,0,0,2,3,0.666666666666667,0,0,0,0,3,3,3,6,0.5,1,2,6,8,4,4,6,0,6,0,1,1,0,0,0,0,1,29,2,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.875,0,1.875,0.9375,0.9375,0,0,0.9375,0,0,0,0.9375,0,0,0,0,0,0,0,0,26.25,41.25,21.5625,33.75,14.0625,20.625,0,1.875,0.9375,3.75,1.875,1.875,0,0,0,0.9375,0.9375,3.75,1.875,1.875,12.1875,21.5625,8.4375,13.125,5.625,6.5625,12.1875,21.5625,4.6875,6.5625,4.6875,5.625,7.5,13.125,2.8125,3.75,3.75,3.75,2.8125,4.6875,0,0,1.875,2.8125,0,0,0,0,2.8125,2.8125,2.8125,5.625,0.9375,1.875,5.625,7.5,3.75,3.75,5.625,0,5.625,0.9375,0.9375,0,0,0,0,0.9375,27.1875,1.875,0,0,3.75,0,0,0.9375,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dydasco","WAS",0,1,96,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,52,0.788461538461538,35,45,0.777777777777778,24,29,0.827586206896552,0.644444444444444,0,0,0,0,2,0,2,2,1,6,7,0.857142857142857,0,0,0,0,2,0,2,2,1,28,38,0.736842105263158,6,7,0.857142857142857,7,7,1,22,31,0.709677419354839,6,7,0.857142857142857,7,7,1,13,18,0.722222222222222,6,6,1,5,5,1,0.730769230769231,0.134615384615385,0.134615384615385,0.688888888888889,0.155555555555556,0.155555555555556,0.620689655172414,0.206896551724138,0.172413793103448,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,6,1,5,1,0,1,0,0,1,0,0,0,0,0,5,4,3,4,2,2,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0,0,0.9375,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.4375,48.75,32.8125,42.1875,22.5,27.1875,0,0,0,1.875,1.875,1.875,5.625,6.5625,0,0,0,1.875,1.875,1.875,26.25,35.625,5.625,6.5625,6.5625,6.5625,20.625,29.0625,5.625,6.5625,6.5625,6.5625,12.1875,16.875,5.625,5.625,4.6875,4.6875,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0.9375,0,0,0,5.625,0.9375,4.6875,0.9375,0,0.9375,0,0.9375,0,0,0,0,0,4.6875,3.75,2.8125,3.75,1.875,1.875,3.75,2.8125,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Farquharson","WAS",0,1,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,0.8,19,24,0.791666666666667,16,19,0.842105263157895,0.791666666666667,0,2,0,0,1,0,1,1,1,1,1,1,0,2,0,0,1,0,1,1,1,3,5,0.6,8,11,0.727272727272727,9,9,1,3,5,0.6,7,10,0.7,9,9,1,2,4,0.5,6,7,0.857142857142857,8,8,1,0.2,0.44,0.36,0.208333333333333,0.416666666666667,0.375,0.210526315789474,0.368421052631579,0.421052631578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,4,5,3,2,3,2,1,0.666666666666667,0,0,0,0,0,0,1,9,3,2,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,37.5,28.5,36,24,28.5,0,3,0,1.5,1.5,1.5,1.5,1.5,0,3,0,1.5,1.5,1.5,4.5,7.5,12,16.5,13.5,13.5,4.5,7.5,10.5,15,13.5,13.5,3,6,9,10.5,12,12,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1.5,1.5,6,7.5,4.5,3,4.5,3,1.5,0,0,0,0,0,0,1.5,13.5,4.5,3,1.5,0,0,3,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flaws","CRS",0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8,9,0.888888888888889,7,8,0.875,7,8,0.875,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,2,3,0.666666666666667,3,3,1,3,3,1,2,3,0.666666666666667,2,2,1,3,3,1,2,3,0.666666666666667,2,2,1,3,3,1,0.333333333333333,0.333333333333333,0.333333333333333,0.375,0.25,0.375,0.375,0.25,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,1,1,0,2,1,1,0.5,0,0,0,0,0,0,0,5,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83673469387755,0,0,0,1.83673469387755,0,0,14.6938775510204,16.530612244898,12.8571428571429,14.6938775510204,12.8571428571429,14.6938775510204,1.83673469387755,1.83673469387755,0,0,0,0,1.83673469387755,1.83673469387755,1.83673469387755,1.83673469387755,0,0,0,0,3.6734693877551,5.51020408163265,5.51020408163265,5.51020408163265,5.51020408163265,5.51020408163265,3.6734693877551,5.51020408163265,3.6734693877551,3.6734693877551,5.51020408163265,5.51020408163265,3.6734693877551,5.51020408163265,3.6734693877551,3.6734693877551,5.51020408163265,5.51020408163265,0,0,0,0,0,0,0,0,0,0,0,0,1.83673469387755,1.83673469387755,1.83673469387755,1.83673469387755,5.51020408163265,1.83673469387755,1.83673469387755,0,3.6734693877551,1.83673469387755,1.83673469387755,0,0,0,0,0,0,0,9.18367346938776,0,0,5.51020408163265,0,0,1.83673469387755,0,1.83673469387755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
