"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Alleway","ORL",0,1,41,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8,11,0.727272727272727,7,10,0.7,0,1,0,0.1,0,0,0,1,2,0.5,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,4,6,0.666666666666667,3,3,1,1,2,0.5,4,6,0.666666666666667,3,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0.545454545454545,0.272727272727273,0.181818181818182,0.6,0.3,0.1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Banini","WAS",0,1,88,1,1,0,0,1,0,2,0.5,1,1,0.5,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,42,47,0.893617021276596,41,46,0.891304347826087,23,26,0.884615384615385,0.565217391304348,0,2,0,0,0,0,1,3,0.333333333333333,1,1,1,0,2,0,0,0,0,1,3,0.333333333333333,19,22,0.863636363636364,6,8,0.75,17,17,1,19,22,0.863636363636364,5,7,0.714285714285714,17,17,1,7,9,0.777777777777778,4,5,0.8,12,12,1,0.468085106382979,0.170212765957447,0.361702127659574,0.478260869565217,0.152173913043478,0.369565217391304,0.346153846153846,0.192307692307692,0.461538461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0.666666666666667,1,3,5,9,8,1,1,0,1,0,0,0,0,0,0,0,1,20,4,1,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belanger","ORL",0,1,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,28,0.821428571428571,17,20,0.85,8,9,0.888888888888889,0.45,0,1,0,0,0,0,0,1,0,6,8,0.75,0,1,0,0,0,0,0,1,0,7,11,0.636363636363636,7,8,0.875,9,9,1,6,8,0.75,4,5,0.8,7,7,1,1,2,0.5,3,3,1,4,4,1,0.392857142857143,0.285714285714286,0.321428571428571,0.4,0.25,0.35,0.222222222222222,0.333333333333333,0.444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,1,1,1,0,1,0,1,0,0,0,0,0,9,1,0,1,1,0,3,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catley","ORL",0,1,96,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,39,0.794871794871795,22,28,0.785714285714286,11,13,0.846153846153846,0.464285714285714,0,4,0,0,2,0,0,1,0,7,7,1,0,2,0,0,2,0,0,1,0,14,19,0.736842105263158,5,8,0.625,12,12,1,12,16,0.75,2,4,0.5,8,8,1,4,6,0.666666666666667,2,2,1,5,5,1,0.487179487179487,0.205128205128205,0.307692307692308,0.571428571428571,0.142857142857143,0.285714285714286,0.461538461538462,0.153846153846154,0.384615384615385,1,1,1,0,0,1,2,0.5,0,0,1,0,3,3,1,4,0.75,0,1,2,5,4,1,2,2,0,1,1,2,0,0,0,0,0,21,5,3,0,6,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","WAS",0,1,96,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,2,0,0,27,42,0.642857142857143,25,40,0.625,18,29,0.620689655172414,0.725,1,3,0.333333333333333,0,1,0,1,2,0.5,1,1,1,1,3,0.333333333333333,0,1,0,1,2,0.5,6,16,0.375,9,14,0.642857142857143,12,12,1,6,16,0.375,8,13,0.615384615384615,11,11,1,6,14,0.428571428571429,5,8,0.625,7,7,1,0.380952380952381,0.333333333333333,0.285714285714286,0.4,0.325,0.275,0.482758620689655,0.275862068965517,0.241379310344828,0,0,0,0,0,1,1,1,0,0,0,0,1,3,4,7,0.428571428571429,5,3,12,11,7,4,3,0,3,0,3,2,0,0,0,0,0,28,4,1,1,1,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edmonds","ORL",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,53,0.867924528301887,37,43,0.86046511627907,17,18,0.944444444444444,0.418604651162791,0,5,0,0,0,0,0,1,0,7,7,1,0,4,0,0,0,0,0,1,0,15,19,0.789473684210526,10,13,0.769230769230769,21,21,1,13,17,0.764705882352941,10,12,0.833333333333333,14,14,1,4,4,1,5,6,0.833333333333333,8,8,1,0.358490566037736,0.245283018867925,0.39622641509434,0.395348837209302,0.27906976744186,0.325581395348837,0.222222222222222,0.333333333333333,0.444444444444444,0,0,0,0,0,2,2,1,0,0,0,0,2,2,1,3,0.666666666666667,2,2,5,8,6,2,3,2,1,0.666666666666667,1,0,0,0,0,0,1,18,1,2,3,1,1,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Evans","ORL",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,37,0.72972972972973,27,37,0.72972972972973,17,22,0.772727272727273,0.594594594594595,0,2,0,0,1,0,1,3,0.333333333333333,0,0,0,0,2,0,0,1,0,1,3,0.333333333333333,9,18,0.5,9,10,0.9,9,9,1,9,18,0.5,9,10,0.9,9,9,1,4,8,0.5,8,9,0.888888888888889,5,5,1,0.486486486486487,0.27027027027027,0.243243243243243,0.486486486486487,0.27027027027027,0.243243243243243,0.363636363636364,0.409090909090909,0.227272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,1,9,4,5,5,3,2,0.6,0,0,0,0,0,0,0,19,0,0,2,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fields","ORL",0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0.875,7,8,0.875,5,6,0.833333333333333,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0.8,1,1,1,2,2,1,4,5,0.8,1,1,1,2,2,1,3,4,0.75,1,1,1,1,1,1,0.625,0.125,0.25,0.625,0.125,0.25,0.666666666666667,0.166666666666667,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,2,0,0,0,0,0,1,0,0,0,0,1,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hagen","ORL",0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0.571428571428571,4,7,0.571428571428571,4,5,0.8,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0.5,3,3,1,0,2,0,1,2,0.5,3,3,1,0,1,0,1,1,1,3,3,1,0.285714285714286,0.285714285714286,0.428571428571429,0.285714285714286,0.285714285714286,0.428571428571429,0.2,0.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,2,1,0.666666666666667,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harris","ORL",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,45,0.822222222222222,17,20,0.85,1,3,0.333333333333333,0.15,0,0,0,4,11,0.363636363636364,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,32,40,0.8,5,5,1,0,0,0,15,18,0.833333333333333,2,2,1,0,0,0,0,2,0,1,1,1,0,0,0,0.888888888888889,0.111111111111111,0,0.9,0.1,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,2,4,0.5,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,4,2,6,0.333333333333333,0,2,2,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,37,45,0.822222222222222,3,3,1,3,4,0.75,14,18,0.777777777777778
