"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Barnes","SRFC",0,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,51,0.862745098039216,41,46,0.891304347826087,15,18,0.833333333333333,0.391304347826087,0,2,0,0,2,0,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,34,39,0.871794871794872,7,9,0.777777777777778,3,3,1,33,38,0.868421052631579,7,7,1,1,1,1,12,15,0.8,3,3,1,0,0,0,0.764705882352941,0.176470588235294,0.0588235294117647,0.826086956521739,0.152173913043478,0.0217391304347826,0.833333333333333,0.166666666666667,0,0,2,0,0,0,1,1,1,0,0,0,0,1,3,1,4,0.75,1,0,2,9,7,2,6,4,2,0.666666666666667,0,0,0,0,0,0,0,3,2,0,5,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dallstream","SRFC",0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,2,3,0.666666666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,0,0,0,0,0,0,2,3,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","WAS",0,1,94,0,1,2,0,0,3,6,1,4,2,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,24,0.625,14,23,0.608695652173913,12,18,0.666666666666667,0.782608695652174,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,5,12,0.416666666666667,2,3,0.666666666666667,8,9,0.888888888888889,5,12,0.416666666666667,2,3,0.666666666666667,7,8,0.875,4,8,0.5,1,2,0.5,7,8,0.875,0.5,0.125,0.375,0.521739130434783,0.130434782608696,0.347826086956522,0.444444444444444,0.111111111111111,0.444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,9,0.222222222222222,3,4,14,9,6,3,2,2,0,1,0,1,0,0,0,0,1,24,8,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dydasco","WAS",0,1,99,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,34,0.764705882352941,22,29,0.758620689655172,13,15,0.866666666666667,0.517241379310345,0,1,0,0,1,0,0,0,0,4,4,1,0,1,0,0,0,0,0,0,0,9,16,0.5625,11,12,0.916666666666667,6,6,1,8,14,0.571428571428571,8,9,0.888888888888889,6,6,1,4,5,0.8,4,5,0.8,5,5,1,0.470588235294118,0.352941176470588,0.176470588235294,0.482758620689655,0.310344827586207,0.206896551724138,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,11,8,3,1,0,1,0,0,0,0,0,0,0,3,10,1,4,4,8,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Farquharson","WAS",0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fishlock","SRFC",0,1,99,1,0,1,0,2,1,4,0.333333333333333,2,2,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,39,53,0.735849056603774,39,53,0.735849056603774,18,27,0.666666666666667,0.509433962264151,0,1,0,3,5,0.6,0,2,0,0,0,0,0,1,0,3,5,0.6,0,2,0,23,35,0.657142857142857,9,10,0.9,7,8,0.875,23,35,0.657142857142857,9,10,0.9,7,8,0.875,9,16,0.5625,5,6,0.833333333333333,4,5,0.8,0.660377358490566,0.188679245283019,0.150943396226415,0.660377358490566,0.188679245283019,0.150943396226415,0.592592592592593,0.222222222222222,0.185185185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,0,4,16,13,3,6,5,1,0.833333333333333,0,0,0,0,0,0,1,26,7,2,3,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fletcher","SRFC",0,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,29,0.827586206896552,21,26,0.807692307692308,8,10,0.8,0.384615384615385,0,0,0,1,2,0.5,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,12,17,0.705882352941177,8,8,1,4,4,1,11,16,0.6875,6,6,1,4,4,1,5,7,0.714285714285714,0,0,0,3,3,1,0.586206896551724,0.275862068965517,0.137931034482759,0.615384615384615,0.230769230769231,0.153846153846154,0.7,0,0.3,0,0,0,0,0,3,3,1,0,0,0,0,3,0,0,0,0,1,0,1,7,4,3,7,6,1,0.857142857142857,0,0,1,0,0,0,2,1,4,2,3,9,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jensen","WAS",0,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,33,0.848484848484849,28,33,0.848484848484849,16,18,0.888888888888889,0.545454545454545,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,11,0.636363636363636,11,12,0.916666666666667,10,10,1,7,11,0.636363636363636,11,12,0.916666666666667,10,10,1,5,6,0.833333333333333,5,6,0.833333333333333,6,6,1,0.333333333333333,0.363636363636364,0.303030303030303,0.333333333333333,0.363636363636364,0.303030303030303,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,11,9,2,3,2,1,0.666666666666667,0,0,0,0,0,0,5,14,2,4,0,2,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johnson","WAS",0,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,23,0.869565217391304,20,23,0.869565217391304,14,15,0.933333333333333,0.652173913043478,0,0,0,2,3,0.666666666666667,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,0,0,0,11,14,0.785714285714286,5,5,1,4,4,1,11,14,0.785714285714286,5,5,1,4,4,1,6,7,0.857142857142857,4,4,1,4,4,1,0.608695652173913,0.217391304347826,0.173913043478261,0.608695652173913,0.217391304347826,0.173913043478261,0.466666666666667,0.266666666666667,0.266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,2,5,2,3,0.4,0,0,0,0,0,0,3,3,1,1,3,7,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kawasumi","SRFC",0,1,88,1,0,1,0,0,1,2,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,32,0.65625,17,27,0.62962962962963,9,16,0.5625,0.592592592592593,0,4,0,0,1,0,2,2,1,3,3,1,0,4,0,0,1,0,2,2,1,4,10,0.4,9,14,0.642857142857143,8,8,1,4,9,0.444444444444444,6,11,0.545454545454545,7,7,1,3,6,0.5,2,6,0.333333333333333,4,4,1,0.3125,0.4375,0.25,0.333333333333333,0.407407407407407,0.259259259259259,0.375,0.375,0.25,1,1,1,0,0,0,1,0,0,0,0,0,1,1,2,3,0.333333333333333,5,0,7,10,5,5,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
