"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"D'Angelo","WNYF",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21,0.619047619047619,7,11,0.636363636363636,3,7,0.428571428571429,0.636363636363636,0,0,0,5,13,0.384615384615385,0,0,0,0,0,0,0,0,0,3,7,0.428571428571429,0,0,0,10,18,0.555555555555556,3,3,1,0,0,0,6,10,0.6,1,1,1,0,0,0,3,7,0.428571428571429,0,0,0,0,0,0,0.857142857142857,0.142857142857143,0,0.909090909090909,0.0909090909090909,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0.25,0,1,1,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,13,21,0.619047619047619,4,4,1,0,0,0,2,6,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3157894736842,19.8947368421053,6.63157894736842,10.4210526315789,2.84210526315789,6.63157894736842,0,0,4.73684210526316,12.3157894736842,0,0,0,0,0,0,2.84210526315789,6.63157894736842,0,0,9.47368421052632,17.0526315789474,2.84210526315789,2.84210526315789,0,0,5.68421052631579,9.47368421052632,0.947368421052632,0.947368421052632,0,0,2.84210526315789,6.63157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84210526315789,2.84210526315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84210526315789,0.947368421052632,3.78947368421053,0,0.947368421052632,0.947368421052632,0.947368421052632,0,0.947368421052632,1.89473684210526,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0.947368421052632,0,0,1.89473684210526,12.3157894736842,19.8947368421053,3.78947368421053,3.78947368421053,0,0,1.89473684210526,5.68421052631579
"Dahlkemper","WNYF",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47,61,0.770491803278688,41,50,0.82,24,30,0.8,0.6,4,7,0.571428571428571,2,8,0.25,1,3,0.333333333333333,0,0,0,0,0,0,2,6,0.333333333333333,1,3,0.333333333333333,17,27,0.62962962962963,24,28,0.857142857142857,6,6,1,17,25,0.68,18,19,0.947368421052632,6,6,1,11,17,0.647058823529412,7,7,1,6,6,1,0.442622950819672,0.459016393442623,0.0983606557377049,0.5,0.38,0.12,0.566666666666667,0.233333333333333,0.2,4,7,0.571428571428571,0,1,2,4,0.5,0,0,0,0,4,0,0,0,0,1,0,1,17,14,3,4,4,0,1,0,0,0,0,0,0,0,5,1,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0,0,0,0,0,44.5263157894737,57.7894736842105,38.8421052631579,47.3684210526316,22.7368421052632,28.4210526315789,3.78947368421053,6.63157894736842,1.89473684210526,7.57894736842105,0.947368421052632,2.84210526315789,0,0,0,0,1.89473684210526,5.68421052631579,0.947368421052632,2.84210526315789,16.1052631578947,25.5789473684211,22.7368421052632,26.5263157894737,5.68421052631579,5.68421052631579,16.1052631578947,23.6842105263158,17.0526315789474,18,5.68421052631579,5.68421052631579,10.4210526315789,16.1052631578947,6.63157894736842,6.63157894736842,5.68421052631579,5.68421052631579,3.78947368421053,6.63157894736842,0,0.947368421052632,1.89473684210526,3.78947368421053,0,0,0,0,3.78947368421053,0,0,0,0.947368421052632,0,0.947368421052632,16.1052631578947,13.2631578947368,2.84210526315789,3.78947368421053,3.78947368421053,0,0,0,0,0,0,0,0,4.73684210526316,0.947368421052632,0,0,4.73684210526316,0,0.947368421052632,0,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doniak","WNYF",0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,1,2,0.5,1,2,0.5,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0.5,1,1,1,0,0,0,1,2,0.5,0,0,0,0,0,0,1,2,0.5,0,0,0,0,0.666666666666667,0.333333333333333,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,16.875,5.625,11.25,5.625,11.25,0,5.625,0,0,0,0,5.625,5.625,0,5.625,0,0,0,0,0,0,5.625,11.25,5.625,5.625,0,0,5.625,11.25,0,0,0,0,5.625,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,0,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,33.75,0,5.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","WAS",0,1,95,1,0,2,0,1,0,3,0.666666666666667,2,1,0.666666666666667,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,13,23,0.565217391304348,13,23,0.565217391304348,13,19,0.684210526315789,0.826086956521739,0,3,0,0,3,0,2,4,0.5,0,0,0,0,3,0,0,3,0,2,4,0.5,4,10,0.4,4,8,0.5,5,5,1,4,10,0.4,4,8,0.5,5,5,1,4,9,0.444444444444444,4,5,0.8,5,5,1,0.434782608695652,0.347826086956522,0.217391304347826,0.434782608695652,0.347826086956522,0.217391304347826,0.473684210526316,0.263157894736842,0.263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12,0.416666666666667,4,3,14,9,6,3,2,2,0,1,0,1,0,0,0,0,1,65,2,0,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89473684210526,0,0.947368421052632,0,2.84210526315789,1.89473684210526,0.947368421052632,0,0,0.947368421052632,0,0,0,0.947368421052632,0.947368421052632,0,0,0,0.947368421052632,0,0,0,12.3157894736842,21.7894736842105,12.3157894736842,21.7894736842105,12.3157894736842,18,0,2.84210526315789,0,2.84210526315789,1.89473684210526,3.78947368421053,0,0,0,2.84210526315789,0,2.84210526315789,1.89473684210526,3.78947368421053,3.78947368421053,9.47368421052632,3.78947368421053,7.57894736842105,4.73684210526316,4.73684210526316,3.78947368421053,9.47368421052632,3.78947368421053,7.57894736842105,4.73684210526316,4.73684210526316,3.78947368421053,8.52631578947368,3.78947368421053,4.73684210526316,4.73684210526316,4.73684210526316,0,0,0,0,0,0,0,0,0,0,0,4.73684210526316,6.63157894736842,11.3684210526316,3.78947368421053,2.84210526315789,13.2631578947368,8.52631578947368,5.68421052631579,2.84210526315789,1.89473684210526,1.89473684210526,0,0,0.947368421052632,0,0,0,0,0.947368421052632,61.5789473684211,1.89473684210526,0,3.78947368421053,0,0,0,1.89473684210526,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dydasco","WAS",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,71,0.76056338028169,44,58,0.758620689655172,29,38,0.763157894736842,0.655172413793103,0,0,0,2,7,0.285714285714286,0,1,0,10,12,0.833333333333333,0,0,0,2,6,0.333333333333333,0,1,0,27,43,0.627906976744186,15,16,0.9375,12,12,1,20,33,0.606060606060606,12,13,0.923076923076923,12,12,1,12,20,0.6,10,11,0.909090909090909,7,7,1,0.605633802816901,0.225352112676056,0.169014084507042,0.568965517241379,0.224137931034483,0.206896551724138,0.526315789473684,0.289473684210526,0.184210526315789,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,2,11,9,2,0,0,0,0,0,0,0,0,0,0,5,22,3,3,6,5,0,4,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.1578947368421,67.2631578947368,41.6842105263158,54.9473684210526,27.4736842105263,36,0,0,1.89473684210526,6.63157894736842,0,0.947368421052632,9.47368421052632,11.3684210526316,0,0,1.89473684210526,5.68421052631579,0,0.947368421052632,25.5789473684211,40.7368421052632,14.2105263157895,15.1578947368421,11.3684210526316,11.3684210526316,18.9473684210526,31.2631578947368,11.3684210526316,12.3157894736842,11.3684210526316,11.3684210526316,11.3684210526316,18.9473684210526,9.47368421052632,10.4210526315789,6.63157894736842,6.63157894736842,0,0,0,0,0,0.947368421052632,0,0,0,0,0.947368421052632,0,0.947368421052632,0.947368421052632,0,0.947368421052632,1.89473684210526,10.4210526315789,8.52631578947368,1.89473684210526,0,0,0,0,0,0,0,0,0,4.73684210526316,20.8421052631579,2.84210526315789,2.84210526315789,5.68421052631579,4.73684210526316,0,3.78947368421053,1.89473684210526,8.52631578947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eddy","WNYF",0,1,79,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,35,0.628571428571429,12,24,0.5,8,18,0.444444444444444,0.75,2,8,0.25,0,1,0,0,0,0,10,11,0.909090909090909,2,8,0.25,0,1,0,0,0,0,13,18,0.722222222222222,3,11,0.272727272727273,6,6,1,5,9,0.555555555555556,3,11,0.272727272727273,4,4,1,4,8,0.5,1,7,0.142857142857143,3,3,1,0.514285714285714,0.314285714285714,0.171428571428571,0.375,0.458333333333333,0.166666666666667,0.444444444444444,0.388888888888889,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0.75,2,4,7,7,3,4,1,0,1,0,0,0,1,0,0,0,2,24,4,1,1,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13924050632911,0,1.13924050632911,1.13924050632911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0632911392405,39.873417721519,13.6708860759494,27.3417721518987,9.11392405063291,20.506329113924,2.27848101265823,9.11392405063291,0,1.13924050632911,0,0,11.3924050632911,12.5316455696203,2.27848101265823,9.11392405063291,0,1.13924050632911,0,0,14.8101265822785,20.506329113924,3.41772151898734,12.5316455696203,6.83544303797468,6.83544303797468,5.69620253164557,10.253164556962,3.41772151898734,12.5316455696203,4.55696202531646,4.55696202531646,4.55696202531646,9.11392405063291,1.13924050632911,7.9746835443038,3.41772151898734,3.41772151898734,0,0,0,0,0,0,0,0,0,0,0,3.41772151898734,1.13924050632911,4.55696202531646,2.27848101265823,4.55696202531646,7.9746835443038,7.9746835443038,3.41772151898734,4.55696202531646,1.13924050632911,0,1.13924050632911,0,0,1.13924050632911,0,0,0,2.27848101265823,27.3417721518987,4.55696202531646,1.13924050632911,1.13924050632911,1.13924050632911,0,2.27848101265823,0,4.55696202531646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erceg","WNYF",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,40,0.8,32,40,0.8,16,20,0.8,0.5,0,0,0,2,2,1,1,2,0.5,0,0,0,0,0,0,2,2,1,1,2,0.5,9,17,0.529411764705882,11,11,1,12,12,1,9,17,0.529411764705882,11,11,1,12,12,1,7,11,0.636363636363636,5,5,1,4,4,1,0.425,0.275,0.3,0.425,0.275,0.3,0.55,0.25,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,1,0,2,12,8,4,14,8,6,0.571428571428571,0,1,0,0,0,0,0,42,5,3,4,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3157894736842,37.8947368421053,30.3157894736842,37.8947368421053,15.1578947368421,18.9473684210526,0,0,1.89473684210526,1.89473684210526,0.947368421052632,1.89473684210526,0,0,0,0,1.89473684210526,1.89473684210526,0.947368421052632,1.89473684210526,8.52631578947368,16.1052631578947,10.4210526315789,10.4210526315789,11.3684210526316,11.3684210526316,8.52631578947368,16.1052631578947,10.4210526315789,10.4210526315789,11.3684210526316,11.3684210526316,6.63157894736842,10.4210526315789,4.73684210526316,4.73684210526316,3.78947368421053,3.78947368421053,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0.947368421052632,1.89473684210526,0.947368421052632,0,1.89473684210526,11.3684210526316,7.57894736842105,3.78947368421053,13.2631578947368,7.57894736842105,5.68421052631579,0,0.947368421052632,0,0,0,0,0,39.7894736842105,4.73684210526316,2.84210526315789,3.78947368421053,3.78947368421053,0,0,2.84210526315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hinkle","WNYF",0,1,95,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,52,0.576923076923077,24,44,0.545454545454545,18,31,0.580645161290323,0.704545454545455,1,9,0.111111111111111,1,5,0.2,1,3,0.333333333333333,5,7,0.714285714285714,0,8,0,1,5,0.2,1,3,0.333333333333333,10,26,0.384615384615385,9,15,0.6,11,11,1,8,22,0.363636363636364,7,13,0.538461538461538,9,9,1,4,13,0.307692307692308,5,9,0.555555555555556,9,9,1,0.5,0.288461538461538,0.211538461538462,0.5,0.295454545454545,0.204545454545455,0.419354838709677,0.290322580645161,0.290322580645161,0,0,0,0,0,1,1,1,0,0,0,0,1,3,3,6,0.5,1,1,5,12,12,0,1,0,1,0,0,0,0,0,0,0,1,21,4,3,0,0,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0,0,0.947368421052632,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4210526315789,49.2631578947368,22.7368421052632,41.6842105263158,17.0526315789474,29.3684210526316,0.947368421052632,8.52631578947368,0.947368421052632,4.73684210526316,0.947368421052632,2.84210526315789,4.73684210526316,6.63157894736842,0,7.57894736842105,0.947368421052632,4.73684210526316,0.947368421052632,2.84210526315789,9.47368421052632,24.6315789473684,8.52631578947368,14.2105263157895,10.4210526315789,10.4210526315789,7.57894736842105,20.8421052631579,6.63157894736842,12.3157894736842,8.52631578947368,8.52631578947368,3.78947368421053,12.3157894736842,4.73684210526316,8.52631578947368,8.52631578947368,8.52631578947368,0,0,0,0,0.947368421052632,0.947368421052632,0,0,0,0,0.947368421052632,2.84210526315789,2.84210526315789,5.68421052631579,0.947368421052632,0.947368421052632,4.73684210526316,11.3684210526316,11.3684210526316,0,0.947368421052632,0,0.947368421052632,0,0,0,0,0,0,0.947368421052632,19.8947368421053,3.78947368421053,2.84210526315789,0,0,0,2.84210526315789,1.89473684210526,3.78947368421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Huster","WAS",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,26,0.730769230769231,19,26,0.730769230769231,11,14,0.785714285714286,0.518518518518518,0,0,0,1,2,0.5,0,2,0,0,0,0,0,0,0,1,2,0.5,0,2,0,9,14,0.642857142857143,4,6,0.666666666666667,6,6,1,9,14,0.642857142857143,4,6,0.666666666666667,6,6,1,5,6,0.833333333333333,1,3,0.333333333333333,5,5,1,0.538461538461538,0.230769230769231,0.230769230769231,0.538461538461538,0.230769230769231,0.230769230769231,0.428571428571429,0.214285714285714,0.357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,11,7,4,0.636363636363636,1,0,0,0,0,0,0,44,6,2,7,6,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,24.6315789473684,18,24.6315789473684,10.4210526315789,13.2631578947368,0,0,0.947368421052632,1.89473684210526,0,1.89473684210526,0,0,0,0,0.947368421052632,1.89473684210526,0,1.89473684210526,8.52631578947368,13.2631578947368,3.78947368421053,5.68421052631579,5.68421052631579,5.68421052631579,8.52631578947368,13.2631578947368,3.78947368421053,5.68421052631579,5.68421052631579,5.68421052631579,4.73684210526316,5.68421052631579,0.947368421052632,2.84210526315789,4.73684210526316,4.73684210526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68421052631579,3.78947368421053,1.89473684210526,10.4210526315789,6.63157894736842,3.78947368421053,0.947368421052632,0,0,0,0,0,0,41.6842105263158,5.68421052631579,1.89473684210526,6.63157894736842,5.68421052631579,0,2.84210526315789,1.89473684210526,2.84210526315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johnson","WAS",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,33,0.848484848484849,27,32,0.84375,19,23,0.826086956521739,0.71875,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,18,0.722222222222222,10,10,1,5,5,1,12,17,0.705882352941177,10,10,1,5,5,1,7,11,0.636363636363636,7,7,1,5,5,1,0.545454545454545,0.303030303030303,0.151515151515152,0.53125,0.3125,0.15625,0.478260869565217,0.304347826086957,0.217391304347826,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,8,7,1,2,0,2,0,0,2,0,0,0,0,0,19,1,1,3,11,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5263157894737,31.2631578947368,25.5789473684211,30.3157894736842,18,21.7894736842105,0,0,0,0.947368421052632,0,0,0,0,0,0,0,0.947368421052632,0,0,12.3157894736842,17.0526315789474,9.47368421052632,9.47368421052632,4.73684210526316,4.73684210526316,11.3684210526316,16.1052631578947,9.47368421052632,9.47368421052632,4.73684210526316,4.73684210526316,6.63157894736842,10.4210526315789,6.63157894736842,6.63157894736842,4.73684210526316,4.73684210526316,0,0,0,0,0.947368421052632,0.947368421052632,0,0,0,0,0.947368421052632,0.947368421052632,0,0.947368421052632,0.947368421052632,0,0.947368421052632,7.57894736842105,6.63157894736842,0.947368421052632,1.89473684210526,0,1.89473684210526,0,1.89473684210526,0,0,0,0,0,18,0.947368421052632,0.947368421052632,2.84210526315789,10.4210526315789,0,1.89473684210526,1.89473684210526,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
