"Player","Team","Number","GP","MP","GS","Goals","Shots Stopped by GK","Shots Stopped by Def","Shots Missed","Shots Blocked","All Shots","Shot Accuracy","Shots Pressed","Shots Not Pressed","Pct Shots Pressed","BC Scored","BC SOG","BC Shot Miss","BC Dispossess","BC Created","BC Lost","Big Chances","BC Conversion Pct","Assists","Key Passes","Key Assists","Second Assists","Open Play Assists","Open Play Key Passes","Open Play Key Assists","Open Play Second Assists","Pass Comp","Pass Att","Pass Comp Pct","opPass Comp","opPass Att","opPass Comp Pct","PPass Comp","PPass Att","PPass Comp Pct","Pct opPass Pressed","Cross Comp","Cross Att","Cross Comp Pct","Launch Comp","Launch Att","Launch Comp Pct","Through Comp","Through Att","Through Comp Pct","Throw In Comp","Throw In Att","Throw In Comp Pct","opCross Comp","opCross Att","opCross Comp Pct","opLaunch Comp","opLaunch Att","opLaunch Comp Pct","opThrough Comp","opThrough Att","opThrough Comp Pct","fwPass Comp","fwPass Att","fwPass Comp Pct","sPass Comp","sPass Att","sPass Comp Pct","bPass Comp","bPass Att","bPass Comp Pct","fwopPass Comp","fwopPass Att","fwopPass Comp Pct","sopPass Comp","sopPass Att","sopPass Comp Pct","bopPass Comp","bopPass Att","bopPass Comp Pct","fwPPass Comp","fwPPass Att","fwPPass Comp Pct","sPPass Comp","sPPass Att","sPPass Comp Pct","bPPass Comp","bPPass Att","bPPass Comp Pct","rFreq Pass Fwd","rFreq Pass Side","rFreq Pass Back","rFreq opPass Fwd","rFreq opPass Side","rFreq opPass Back","rFreq PPass Fwd","rFreq PPass Side","rFreq PPass Back","Corner Kicks Completed","Corner Kicks Taken","CK Comp Pct","CK Assist","CK Key Pass","FK Pass Comp","FK Pass Att","FK Pass Comp Pct","FK Assist","FK Key Pass","FK Shot","FK Scored","Free Kicks Taken","TO Won","TO Lost","Take Ons","TO Win Pct","Dispossessed by Opp","Lost Touches","All Possessions Disrupted","Recoveries","Def Recoveries","Poss Recoveries","Aerial Duels","AD Won","AD Lost","AD Win Pct","Fouls Won","Fouls Conceded","Yellow Cards","Red Cards","Penalties Won","Penalties Conceded","Dispossessed Opp","Pressured Opp","Challenged Opp","Interceptions","Blocks","Clearances","Ball Shields","Tackles","Dribbled","All Opp Poss Disrupted","Saves","Goals Allowed","GK SOG Faced","GperSOG","BC Saves","BC Goals Allowed","BC SOG Faced","GperBCSOG","HB Won","HB Lost","High Balls Faced","HB Win Pct","HB Caught","HB Punched","HB Parried","HB Collected","Crosses GK Won","Crosses GK Lost","Crosses GK Faced","CKs GK Won","CKs GK Lost","CKs GK Faced","FKs GK Won","FKs GK Lost","FKs GK Faced","HB Fouls Won","Smothers Won","Smothers Lost","GK Overall Pass Comp","GK Overall Pass Att","GK Overall Pass Comp Pct","GK Throw Comp","GK Throw Att","GK Throw Comp Pct","GK Drop Kick Comp","GK Drop Kick Att","GK Drop Kick Comp Pct","GKFK Comp","GKFK Att","GKFK Comp Pct","Goals per 90","Shots Stopped by GK per 90","Shots Stopped by Def per 90","Shots Missed per 90","Shots Blocked per 90","All Shots per 90","Shots Pressed per 90","Shots Not Pressed per 90","BC Scored per 90","BC SOG per 90","BC Shot Miss per 90","BC Dispossess per 90","BC Created per 90","BC Lost per 90","Big Chances per 90","Assists per 90","Key Passes per 90","Key Assists per 90","Second Assists per 90","Open Play Assists per 90","Open Play Key Passes per 90","Open Play Key Assists per 90","Open Play Second Assists per 90","Pass Comp per 90","Pass Att per 90","opPass Comp per 90","opPass Att per 90","PPass Comp per 90","PPass Att per 90","Cross Comp per 90","Cross Att per 90","Launch Comp per 90","Launch Att per 90","Through Comp per 90","Through Att per 90","Throw In Comp per 90","Throw In Att per 90","opCross Comp per 90","opCross Att per 90","opLaunch Comp per 90","opLaunch Att per 90","opThrough Comp per 90","opThrough Att per 90","fwPass Comp per 90","fwPass Att per 90","sPass Comp per 90","sPass Att per 90","bPass Comp per 90","bPass Att per 90","fwopPass Comp per 90","fwopPass Att per 90","sopPass Comp per 90","sopPass Att per 90","bopPass Comp per 90","bopPass Att per 90","fwPPass Comp per 90","fwPPass Att per 90","sPPass Comp per 90","sPPass Att per 90","bPPass Comp per 90","bPPass Att per 90","Corner Kicks Completed per 90","Corner Kicks Taken per 90","CK Assist per 90","CK Key Pass per 90","FK Pass Comp per 90","FK Pass Att per 90","FK Assist per 90","FK Key Pass per 90","FK Shot per 90","FK Scored per 90","Free Kicks Taken per 90","TO Won per 90","TO Lost per 90","Take Ons per 90","Dispossessed by Opp per 90","Lost Touches per 90","All Possessions Disrupted per 90","Recoveries per 90","Def Recoveries per 90","Poss Recoveries per 90","Aerial Duels per 90","AD Won per 90","AD Lost per 90","Fouls Won per 90","Fouls Conceded per 90","Yellow Cards per 90","Red Cards per 90","Penalties Won per 90","Penalties Conceded per 90","Dispossessed Opp per 90","Pressured Opp per 90","Challenged Opp per 90","Interceptions per 90","Blocks per 90","Clearances per 90","Ball Shields per 90","Tackles per 90","Dribbled per 90","All Opp Poss Disrupted per 90","Saves per 90","Goals Allowed per 90","GK SOG Faced per 90","BC Saves per 90","BC Goals Allowed per 90","BC SOG Faced per 90","HB Won per 90","HB Lost per 90","High Balls Faced per 90","HB Caught per 90","HB Punched per 90","HB Parried per 90","HB Collected per 90","Crosses GK Won per 90","Crosses GK Lost per 90","Crosses GK Faced per 90","CKs GK Won per 90","CKs GK Lost per 90","CKs GK Faced per 90","FKs GK Won per 90","FKs GK Lost per 90","FKs GK Faced per 90","HB Fouls Won per 90","Smothers Won per 90","Smothers Lost per 90","GK Overall Pass Comp per 90","GK Overall Pass Att per 90","GK Throw Comp per 90","GK Throw Att per 90","GK Drop Kick Comp per 90","GK Drop Kick Att per 90","GKFK Comp per 90","GKFK Att per 90"
"Averbuch","FCKC",0,1,92,1,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,51,63,0.80952380952381,50,62,0.806451612903226,18,26,0.692307692307692,0.419354838709677,0,0,NA,5,14,0.357142857142857,0,0,NA,1,1,1,0,0,NA,5,14,0.357142857142857,0,0,NA,46,57,0.807017543859649,3,4,0.75,2,2,1,45,56,0.803571428571429,3,4,0.75,2,2,1,17,25,0.68,1,1,1,0,0,NA,0.904761904761905,0.0634920634920635,0.0317460317460317,0.903225806451613,0.0645161290322581,0.032258064516129,0.961538461538462,0.0384615384615385,0,0,0,NA,0,0,0,0,NA,0,0,2,0,2,1,1,2,0.5,0,0,1,6,6,0,5,4,1,0.8,0,2,0,0,0,0,0,7,3,2,2,4,0,4,2,4,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,1.95652173913043,0,1.95652173913043,0,1.95652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.8913043478261,61.6304347826087,48.9130434782609,60.6521739130435,17.6086956521739,25.4347826086956,0,0,4.89130434782609,13.695652173913,0,0,0.978260869565217,0.978260869565217,0,0,4.89130434782609,13.695652173913,0,0,45,55.7608695652174,2.93478260869565,3.91304347826087,1.95652173913043,1.95652173913043,44.0217391304348,54.7826086956522,2.93478260869565,3.91304347826087,1.95652173913043,1.95652173913043,16.6304347826087,24.4565217391304,0.978260869565217,0.978260869565217,0,0,0,0,0,0,0,0,0,0,1.95652173913043,0,1.95652173913043,0.978260869565217,0.978260869565217,1.95652173913043,0,0,0.978260869565217,5.8695652173913,5.8695652173913,0,4.89130434782609,3.91304347826087,0.978260869565217,0,1.95652173913043,0,0,0,0,0,6.84782608695652,2.93478260869565,1.95652173913043,1.95652173913043,3.91304347826087,0,3.91304347826087,1.95652173913043,3.91304347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnes","SRFC",0,1,94,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,95,105,0.904761904761905,86,94,0.914893617021277,26,28,0.928571428571429,0.297872340425532,1,3,0.333333333333333,6,8,0.75,0,0,NA,4,4,1,0,1,0,6,7,0.857142857142857,0,0,NA,59,68,0.867647058823529,23,24,0.958333333333333,13,13,1,52,60,0.866666666666667,21,21,1,13,13,1,13,15,0.866666666666667,6,6,1,7,7,1,0.647619047619048,0.228571428571429,0.123809523809524,0.638297872340426,0.223404255319149,0.138297872340426,0.535714285714286,0.214285714285714,0.25,1,2,0.5,0,0,4,5,0.8,0,0,0,0,5,1,0,1,1,0,2,2,11,9,2,2,0,2,0,1,0,0,0,0,0,1,8,0,2,1,3,0,1,1,2,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.9574468085106,100.531914893617,82.3404255319149,90,24.8936170212766,26.8085106382979,0.957446808510638,2.87234042553191,5.74468085106383,7.65957446808511,0,0,3.82978723404255,3.82978723404255,0,0.957446808510638,5.74468085106383,6.70212765957447,0,0,56.4893617021277,65.1063829787234,22.0212765957447,22.9787234042553,12.4468085106383,12.4468085106383,49.7872340425532,57.4468085106383,20.1063829787234,20.1063829787234,12.4468085106383,12.4468085106383,12.4468085106383,14.3617021276596,5.74468085106383,5.74468085106383,6.70212765957447,6.70212765957447,0.957446808510638,1.91489361702128,0,0,3.82978723404255,4.78723404255319,0,0,0,0,4.78723404255319,0.957446808510638,0,0.957446808510638,0,1.91489361702128,1.91489361702128,10.531914893617,8.61702127659574,1.91489361702128,1.91489361702128,0,1.91489361702128,0.957446808510638,0,0,0,0,0,0.957446808510638,7.65957446808511,0,1.91489361702128,0.957446808510638,2.87234042553191,0,0.957446808510638,0.957446808510638,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnhart","FCKC",0,1,92,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,41,47,0.872340425531915,17,19,0.894736842105263,0,0,NA,0,0,0,NA,0,1,0,0,0,NA,0,0,NA,0,0,NA,0,1,0,0,0,NA,23,26,0.884615384615385,18,21,0.857142857142857,0,0,NA,13,15,0.866666666666667,4,4,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0.553191489361702,0.446808510638298,0,0.789473684210526,0.210526315789474,0,NA,NA,NA,1,1,1,0,0,2,2,1,0,0,0,0,2,0,0,0,NA,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,8,0.125,1,0,1,0,4,0,4,1,1,0,0,7,2,0,2,2,0,2,0,0,0,0,0,0,41,47,0.872340425531915,11,12,0.916666666666667,0,1,0,12,14,0.857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.1086956521739,45.9782608695652,16.6304347826087,18.5869565217391,0,0,0,0,0,0.978260869565217,0,0,0,0,0,0,0,0.978260869565217,0,0,22.5,25.4347826086956,17.6086956521739,20.5434782608696,0,0,12.7173913043478,14.6739130434783,3.91304347826087,3.91304347826087,0,0,0,0,0,0,0,0,0.978260869565217,0.978260869565217,0,0,1.95652173913043,1.95652173913043,0,0,0,0,1.95652173913043,0,0,0,0,0,0,0.978260869565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.84782608695652,0.978260869565217,7.82608695652174,0.978260869565217,0,0.978260869565217,3.91304347826087,0,3.91304347826087,0.978260869565217,0,0,6.84782608695652,1.95652173913043,0,1.95652173913043,1.95652173913043,0,1.95652173913043,0,0,0,0,0,0,40.1086956521739,45.9782608695652,10.7608695652174,11.7391304347826,0,0.978260869565217,11.7391304347826,13.695652173913
"Berryhill","PTFC",0,1,1,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Betos","PTFC",0,1,94,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,21,33,0.636363636363636,5,6,0.833333333333333,1,1,1,0.166666666666667,0,0,NA,10,22,0.454545454545455,0,0,NA,0,0,NA,0,0,NA,4,5,0.8,0,0,NA,20,32,0.625,1,1,1,0,0,NA,4,5,0.8,1,1,1,0,0,NA,0,0,NA,1,1,1,0,0,NA,0.96969696969697,0.0303030303030303,0,0.833333333333333,0.166666666666667,0,0,1,0,0,0,NA,0,0,3,4,0.75,0,0,0,0,4,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,4,0,0,0,0,NA,4,0,4,1,3,0,0,1,4,0,4,2,0,2,0,0,0,0,3,0,21,33,0.636363636363636,0,0,NA,3,9,0.333333333333333,13,18,0.722222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1063829787234,31.5957446808511,4.78723404255319,5.74468085106383,0.957446808510638,0.957446808510638,0,0,9.57446808510638,21.063829787234,0,0,0,0,0,0,3.82978723404255,4.78723404255319,0,0,19.1489361702128,30.6382978723404,0.957446808510638,0.957446808510638,0,0,3.82978723404255,4.78723404255319,0.957446808510638,0.957446808510638,0,0,0,0,0.957446808510638,0.957446808510638,0,0,0,0,0,0,2.87234042553191,3.82978723404255,0,0,0,0,3.82978723404255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0,0,0,0,3.82978723404255,0,3.82978723404255,0,0,0,3.82978723404255,0,3.82978723404255,2.87234042553191,0,0,0.957446808510638,3.82978723404255,0,3.82978723404255,1.91489361702128,0,1.91489361702128,0,0,0,0,2.87234042553191,0,20.1063829787234,31.5957446808511,0,0,2.87234042553191,8.61702127659574,12.4468085106383,17.2340425531915
"Boureille","PTFC",0,1,94,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,5,7,0.714285714285714,5,7,0.714285714285714,2,3,0.666666666666667,0.428571428571429,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,5,6,0.833333333333333,0,1,0,0,0,NA,5,6,0.833333333333333,0,1,0,0,0,NA,2,3,0.666666666666667,0,0,NA,0,0,NA,0.857142857142857,0.142857142857143,0,0.857142857142857,0.142857142857143,0,1,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,1,0,1,2,2,0,2,1,1,0.5,0,0,0,0,0,0,2,5,3,3,1,11,0,1,2,3,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78723404255319,6.70212765957447,4.78723404255319,6.70212765957447,1.91489361702128,2.87234042553191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78723404255319,5.74468085106383,0,0.957446808510638,0,0,4.78723404255319,5.74468085106383,0,0.957446808510638,0,0,1.91489361702128,2.87234042553191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0,0.957446808510638,1.91489361702128,1.91489361702128,0,1.91489361702128,0.957446808510638,0.957446808510638,0,0,0,0,0,0,1.91489361702128,4.78723404255319,2.87234042553191,2.87234042553191,0.957446808510638,10.531914893617,0,0.957446808510638,1.91489361702128,2.87234042553191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brooks","HOU",0,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,18,26,0.692307692307692,18,24,0.75,13,17,0.764705882352941,0.708333333333333,0,0,NA,0,4,0,0,1,0,0,0,NA,0,0,NA,0,2,0,0,1,0,10,17,0.588235294117647,7,7,1,1,2,0.5,10,15,0.666666666666667,7,7,1,1,2,0.5,7,10,0.7,5,5,1,1,2,0.5,0.653846153846154,0.269230769230769,0.0769230769230769,0.625,0.291666666666667,0.0833333333333333,0.588235294117647,0.294117647058824,0.117647058823529,0,0,NA,0,0,0,2,0,0,0,0,0,2,0,0,0,NA,1,1,2,4,3,1,5,4,1,0.8,0,1,0,0,0,0,3,23,1,4,3,6,0,3,1,6,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0.9,0,0.9,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2,23.4,16.2,21.6,11.7,15.3,0,0,0,3.6,0,0.9,0,0,0,0,0,1.8,0,0.9,9,15.3,6.3,6.3,0.9,1.8,9,13.5,6.3,6.3,0.9,1.8,6.3,9,4.5,4.5,0.9,1.8,0,0,0,0,0,1.8,0,0,0,0,1.8,0,0,0,0.9,0.9,1.8,3.6,2.7,0.9,4.5,3.6,0.9,0,0.9,0,0,0,0,2.7,20.7,0.9,3.6,2.7,5.4,0,2.7,0.9,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brush","HOU",0,1,100,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,20,27,0.740740740740741,18,24,0.75,10,13,0.769230769230769,0.541666666666667,0,0,NA,2,4,0.5,0,0,NA,0,0,NA,0,0,NA,1,2,0.5,0,0,NA,11,16,0.6875,5,7,0.714285714285714,4,4,1,9,13,0.692307692307692,5,7,0.714285714285714,4,4,1,5,7,0.714285714285714,2,3,0.666666666666667,3,3,1,0.592592592592593,0.259259259259259,0.148148148148148,0.541666666666667,0.291666666666667,0.166666666666667,0.538461538461538,0.230769230769231,0.230769230769231,0,0,NA,0,0,2,3,0.666666666666667,0,0,0,0,3,1,0,1,1,0,0,0,7,5,2,2,1,1,0.5,1,0,0,0,0,0,0,11,0,2,5,6,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,24.3,16.2,21.6,9,11.7,0,0,1.8,3.6,0,0,0,0,0,0,0.9,1.8,0,0,9.9,14.4,4.5,6.3,3.6,3.6,8.1,11.7,4.5,6.3,3.6,3.6,4.5,6.3,1.8,2.7,2.7,2.7,0,0,0,0,1.8,2.7,0,0,0,0,2.7,0.9,0,0.9,0,0,0,6.3,4.5,1.8,1.8,0.9,0.9,0.9,0,0,0,0,0,0,9.9,0,1.8,4.5,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brynjarsdottir","PTFC",0,1,94,1,0,0,0,0,1,1,NA,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,15,30,0.5,15,30,0.5,6,15,0.4,0.5,0,0,NA,0,3,0,2,3,0.666666666666667,0,0,NA,0,0,NA,0,3,0,2,3,0.666666666666667,11,25,0.44,2,2,1,2,3,0.666666666666667,11,25,0.44,2,2,1,2,3,0.666666666666667,5,13,0.384615384615385,1,1,1,0,1,0,0.833333333333333,0.0666666666666667,0.1,0.833333333333333,0.0666666666666667,0.1,0.866666666666667,0.0666666666666667,0.0666666666666667,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,1,1,2,8,3,5,25,9,16,0.36,1,2,0,0,0,0,3,50,17,4,3,2,0,1,4,4,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0.957446808510638,0.957446808510638,0,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3617021276596,28.7234042553191,14.3617021276596,28.7234042553191,5.74468085106383,14.3617021276596,0,0,0,2.87234042553191,1.91489361702128,2.87234042553191,0,0,0,0,0,2.87234042553191,1.91489361702128,2.87234042553191,10.531914893617,23.936170212766,1.91489361702128,1.91489361702128,1.91489361702128,2.87234042553191,10.531914893617,23.936170212766,1.91489361702128,1.91489361702128,1.91489361702128,2.87234042553191,4.78723404255319,12.4468085106383,0.957446808510638,0.957446808510638,0,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0.957446808510638,1.91489361702128,7.65957446808511,2.87234042553191,4.78723404255319,23.936170212766,8.61702127659574,15.3191489361702,0.957446808510638,1.91489361702128,0,0,0,0,2.87234042553191,47.8723404255319,16.2765957446809,3.82978723404255,2.87234042553191,1.91489361702128,0,0.957446808510638,3.82978723404255,3.82978723404255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cayman","WNYF",0,1,26,0,0,0,0,0,1,1,NA,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,3,7,0.428571428571429,3,7,0.428571428571429,1,5,0.2,0.714285714285714,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,2,4,0.5,1,3,0.333333333333333,0,0,NA,2,4,0.5,1,3,0.333333333333333,0,0,NA,1,3,0.333333333333333,0,2,0,0,0,NA,0.571428571428571,0.428571428571429,0,0.571428571428571,0.428571428571429,0,0.6,0.4,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,1,1,5,3,2,2,0,2,0,1,0,0,0,0,0,1,5,1,0,1,2,0,0,0,1,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,3.46153846153846,3.46153846153846,0,3.46153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3846153846154,24.2307692307692,10.3846153846154,24.2307692307692,3.46153846153846,17.3076923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92307692307692,13.8461538461538,3.46153846153846,10.3846153846154,0,0,6.92307692307692,13.8461538461538,3.46153846153846,10.3846153846154,0,0,3.46153846153846,10.3846153846154,0,6.92307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46153846153846,3.46153846153846,17.3076923076923,10.3846153846154,6.92307692307692,6.92307692307692,0,6.92307692307692,3.46153846153846,0,0,0,0,0,3.46153846153846,17.3076923076923,3.46153846153846,0,3.46153846153846,6.92307692307692,0,0,0,3.46153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
