"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Beckmann","BOS",0,1,60,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,23,0.782608695652174,18,23,0.782608695652174,15,17,0.882352941176471,0.739130434782609,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3,5,0.6,6,9,0.666666666666667,9,9,1,3,5,0.6,6,9,0.666666666666667,9,9,1,2,3,0.666666666666667,6,7,0.857142857142857,7,7,1,0.217391304347826,0.391304347826087,0.391304347826087,0.217391304347826,0.391304347826087,0.391304347826087,0.176470588235294,0.411764705882353,0.411764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,0.333333333333333,2,1,7,5,2,3,7,2,5,0.285714285714286,1,0,0,0,0,0,0,13,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,34.5,27,34.5,22.5,25.5,0,1.5,0,0,0,1.5,0,0,0,1.5,0,0,0,1.5,4.5,7.5,9,13.5,13.5,13.5,4.5,7.5,9,13.5,13.5,13.5,3,4.5,9,10.5,10.5,10.5,0,0,0,0,0,0,0,0,0,0,0,3,6,9,3,1.5,10.5,7.5,3,4.5,10.5,3,7.5,1.5,0,0,0,0,0,0,19.5,4.5,1.5,1.5,0,0,1.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dahlkemper","WNYF",0,1,90,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,43,0.930232558139535,34,36,0.944444444444444,10,10,1,0.277777777777778,0,0,0,2,4,0.5,0,0,0,1,1,1,0,0,0,2,4,0.5,0,0,0,21,23,0.91304347826087,14,15,0.933333333333333,5,5,1,21,23,0.91304347826087,8,8,1,5,5,1,7,7,1,1,1,1,2,2,1,0.534883720930233,0.348837209302326,0.116279069767442,0.638888888888889,0.222222222222222,0.138888888888889,0.7,0.1,0.2,2,3,0.666666666666667,0,0,3,3,1,0,0,1,0,4,0,0,0,0,0,0,0,4,4,0,4,4,0,1,0,0,0,0,0,0,0,7,0,2,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,43,34,36,10,10,0,0,2,4,0,0,1,1,0,0,2,4,0,0,21,23,14,15,5,5,21,23,8,8,5,5,7,7,1,1,2,2,2,3,0,0,3,3,0,0,1,0,4,0,0,0,0,0,0,4,4,0,4,4,0,0,0,0,0,0,0,0,7,0,2,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doniak","WNYF",0,1,46,1,1,0,0,1,0,2,0.5,0,2,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,13,18,0.722222222222222,13,18,0.722222222222222,8,12,0.666666666666667,0.666666666666667,2,4,0.5,0,0,0,2,2,1,0,0,0,2,4,0.5,0,0,0,2,2,1,6,9,0.666666666666667,6,8,0.75,1,1,1,6,9,0.666666666666667,6,8,0.75,1,1,1,6,9,0.666666666666667,2,3,0.666666666666667,0,0,0,0.5,0.444444444444444,0.0555555555555556,0.5,0.444444444444444,0.0555555555555556,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95652173913043,0,0,1.95652173913043,0,3.91304347826087,0,3.91304347826087,1.95652173913043,0,0,0,1.95652173913043,0,1.95652173913043,1.95652173913043,0,0,0,1.95652173913043,0,0,0,25.4347826086956,35.2173913043478,25.4347826086956,35.2173913043478,15.6521739130435,23.4782608695652,3.91304347826087,7.82608695652174,0,0,3.91304347826087,3.91304347826087,0,0,3.91304347826087,7.82608695652174,0,0,3.91304347826087,3.91304347826087,11.7391304347826,17.6086956521739,11.7391304347826,15.6521739130435,1.95652173913043,1.95652173913043,11.7391304347826,17.6086956521739,11.7391304347826,15.6521739130435,1.95652173913043,1.95652173913043,11.7391304347826,17.6086956521739,3.91304347826087,5.8695652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.78260869565217,3.91304347826087,5.8695652173913,0,0,0,0,0,0,0,0,0,0,11.7391304347826,0,1.95652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eddy","WNYF",0,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,30,41,0.731707317073171,24,35,0.685714285714286,4,8,0.5,0.228571428571429,2,5,0.4,3,5,0.6,3,5,0.6,6,6,1,2,5,0.4,3,5,0.6,3,5,0.6,18,24,0.75,7,11,0.636363636363636,5,6,0.833333333333333,13,19,0.684210526315789,7,11,0.636363636363636,4,5,0.8,2,5,0.4,0,0,0,2,3,0.666666666666667,0.585365853658537,0.268292682926829,0.146341463414634,0.542857142857143,0.314285714285714,0.142857142857143,0.625,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,5,9,7,2,0,0,0,0,0,0,0,0,0,0,1,11,0,2,2,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,30,41,24,35,4,8,2,5,3,5,3,5,6,6,2,5,3,5,3,5,18,24,7,11,5,6,13,19,7,11,4,5,2,5,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,5,9,7,2,0,0,0,0,0,0,0,0,0,1,11,0,2,2,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Engen","BOS",0,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,30,0.766666666666667,18,22,0.818181818181818,11,13,0.846153846153846,0.590909090909091,0,0,0,2,6,0.333333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,21,0.761904761904762,2,4,0.5,5,5,1,11,13,0.846153846153846,2,4,0.5,5,5,1,6,7,0.857142857142857,1,2,0.5,4,4,1,0.7,0.133333333333333,0.166666666666667,0.590909090909091,0.181818181818182,0.227272727272727,0.538461538461538,0.153846153846154,0.307692307692308,0,0,0,0,0,5,8,0.625,0,0,0,0,8,2,0,2,1,0,0,0,6,5,1,3,2,1,0.666666666666667,0,0,0,0,0,0,1,11,0,4,5,8,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,30,18,22,11,13,0,0,2,6,0,0,0,0,0,0,0,1,0,0,16,21,2,4,5,5,11,13,2,4,5,5,6,7,1,2,4,4,0,0,0,0,5,8,0,0,0,0,8,2,0,2,0,0,0,6,5,1,3,2,1,0,0,0,0,0,0,1,11,0,4,5,8,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erceg","WNYF",0,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,31,0.838709677419355,26,31,0.838709677419355,11,15,0.733333333333333,0.483870967741935,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,7,11,0.636363636363636,11,11,1,8,9,0.888888888888889,7,11,0.636363636363636,11,11,1,8,9,0.888888888888889,5,8,0.625,3,3,1,3,4,0.75,0.354838709677419,0.354838709677419,0.290322580645161,0.354838709677419,0.354838709677419,0.290322580645161,0.533333333333333,0.2,0.266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,4,3,1,11,9,2,0.818181818181818,1,1,0,0,0,0,5,24,7,3,4,1,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,31,26,31,11,15,0,0,0,2,0,1,0,0,0,0,0,2,0,1,7,11,11,11,8,9,7,11,11,11,8,9,5,8,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,4,3,1,11,9,2,1,1,0,0,0,0,5,24,7,3,4,1,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hamilton","WNYF",0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.5,2,4,0.5,2,3,0.666666666666667,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0.5,1,1,1,0,1,0,1,2,0.5,1,1,1,0,0,0,1,2,0.5,1,1,1,0.25,0.5,0.25,0.25,0.5,0.25,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0.5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5882352941176,21.1764705882353,10.5882352941176,21.1764705882353,10.5882352941176,15.8823529411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29411764705882,5.29411764705882,10.5882352941176,5.29411764705882,5.29411764705882,0,5.29411764705882,5.29411764705882,10.5882352941176,5.29411764705882,5.29411764705882,0,0,5.29411764705882,10.5882352941176,5.29411764705882,5.29411764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5882352941176,5.29411764705882,5.29411764705882,0,0,0,0,0,0,0,26.4705882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hinkle","WNYF",0,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,38,57,0.666666666666667,32,44,0.727272727272727,12,16,0.75,0.363636363636364,1,6,0.166666666666667,2,4,0.5,1,1,1,6,9,0.666666666666667,1,6,0.166666666666667,2,4,0.5,1,1,1,17,30,0.566666666666667,12,18,0.666666666666667,9,9,1,11,21,0.523809523809524,12,14,0.857142857142857,9,9,1,3,6,0.5,5,6,0.833333333333333,4,4,1,0.526315789473684,0.315789473684211,0.157894736842105,0.477272727272727,0.318181818181818,0.204545454545455,0.375,0.375,0.25,0,4,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0.5,2,0,5,10,5,5,2,0,2,0,4,1,0,0,0,0,2,10,3,4,2,1,1,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,38,57,32,44,12,16,1,6,2,4,1,1,6,9,1,6,2,4,1,1,17,30,12,18,9,9,11,21,12,14,9,9,3,6,5,6,4,4,0,4,0,0,0,0,0,0,0,0,0,3,3,6,2,0,5,10,5,5,2,0,2,4,1,0,0,0,0,2,10,3,4,2,1,1,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kallman","BOS",0,1,90,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,0.652173913043478,9,15,0.6,5,9,0.555555555555556,0.6,0,0,0,0,0,0,0,0,0,6,8,0.75,0,0,0,0,0,0,0,0,0,8,16,0.5,6,6,1,1,1,1,3,9,0.333333333333333,5,5,1,1,1,1,0,4,0,5,5,1,0,0,0,0.695652173913043,0.260869565217391,0.0434782608695652,0.6,0.333333333333333,0.0666666666666667,0.444444444444444,0.555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,1,0,1,0,1,0,0,0,0,0,1,8,1,2,5,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,9,15,5,9,0,0,0,0,0,0,6,8,0,0,0,0,0,0,8,16,6,6,1,1,3,9,5,5,1,1,0,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,1,0,1,1,0,0,0,0,0,1,8,1,2,5,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kennedy","WNYF",0,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,40,0.8,32,38,0.842105263157895,11,15,0.733333333333333,0.394736842105263,0,0,0,1,6,0.166666666666667,0,1,0,0,0,0,0,0,0,1,4,0.25,0,1,0,14,22,0.636363636363636,12,12,1,6,6,1,14,20,0.7,12,12,1,6,6,1,4,8,0.5,3,3,1,4,4,1,0.55,0.3,0.15,0.526315789473684,0.315789473684211,0.157894736842105,0.533333333333333,0.2,0.266666666666667,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,1,10,8,2,6,4,2,0.666666666666667,0,1,1,0,0,0,1,5,4,4,6,1,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,40,32,38,11,15,0,0,1,6,0,1,0,0,0,0,1,4,0,1,14,22,12,12,6,6,14,20,12,12,6,6,4,8,3,3,4,4,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,1,10,8,2,6,4,2,0,1,1,0,0,0,1,5,4,4,6,1,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
