"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Brynjarsdottir","PTFC",0,1,54,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0.777777777777778,7,9,0.777777777777778,6,6,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,1,2,0.5,5,5,1,1,2,0.5,1,2,0.5,5,5,1,1,1,1,1,1,1,4,4,1,0.222222222222222,0.222222222222222,0.555555555555556,0.222222222222222,0.222222222222222,0.555555555555556,0.166666666666667,0.166666666666667,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0,0,1,1,1,0,10,6,4,0.6,0,2,0,0,0,0,1,17,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66666666666667,0,1.66666666666667,1.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6666666666667,15,11.6666666666667,15,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66666666666667,3.33333333333333,1.66666666666667,3.33333333333333,8.33333333333333,8.33333333333333,1.66666666666667,3.33333333333333,1.66666666666667,3.33333333333333,8.33333333333333,8.33333333333333,1.66666666666667,1.66666666666667,1.66666666666667,1.66666666666667,6.66666666666667,6.66666666666667,0,0,0,0,0,0,0,0,0,0,0,1.66666666666667,1.66666666666667,3.33333333333333,0,0,1.66666666666667,1.66666666666667,1.66666666666667,0,16.6666666666667,10,6.66666666666667,0,3.33333333333333,0,0,0,0,1.66666666666667,28.3333333333333,3.33333333333333,0,0,0,0,0,0,1.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dahlkemper","WNYF",0,1,96,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,44,0.704545454545455,29,38,0.763157894736842,15,22,0.681818181818182,0.578947368421053,0,3,0,3,8,0.375,1,4,0.25,1,1,1,0,0,0,3,7,0.428571428571429,1,4,0.25,12,22,0.545454545454545,14,17,0.823529411764706,5,5,1,10,19,0.526315789473684,14,14,1,5,5,1,5,12,0.416666666666667,6,6,1,4,4,1,0.5,0.386363636363636,0.113636363636364,0.5,0.368421052631579,0.131578947368421,0.545454545454545,0.272727272727273,0.181818181818182,0,3,0,0,0,1,2,0.5,0,0,0,0,2,0,0,0,0,0,1,1,16,13,3,6,3,3,0.5,1,1,0,0,0,0,2,4,4,4,1,6,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0.9375,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0625,41.25,27.1875,35.625,14.0625,20.625,0,2.8125,2.8125,7.5,0.9375,3.75,0.9375,0.9375,0,0,2.8125,6.5625,0.9375,3.75,11.25,20.625,13.125,15.9375,4.6875,4.6875,9.375,17.8125,13.125,13.125,4.6875,4.6875,4.6875,11.25,5.625,5.625,3.75,3.75,0,2.8125,0,0,0.9375,1.875,0,0,0,0,1.875,0,0,0,0,0.9375,0.9375,15,12.1875,2.8125,5.625,2.8125,2.8125,0.9375,0.9375,0,0,0,0,1.875,3.75,3.75,3.75,0.9375,5.625,0.9375,1.875,0.9375,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doniak","WNYF",0,1,96,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,28,0.535714285714286,14,27,0.518518518518518,13,25,0.52,0.925925925925926,1,5,0.2,0,0,0,1,1,1,1,1,1,1,5,0.2,0,0,0,1,1,1,5,9,0.555555555555556,7,16,0.4375,3,3,1,5,9,0.555555555555556,6,15,0.4,3,3,1,5,8,0.625,6,15,0.4,2,2,1,0.321428571428571,0.571428571428571,0.107142857142857,0.333333333333333,0.555555555555556,0.111111111111111,0.32,0.6,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0.666666666666667,1,2,4,6,1,5,2,0,2,0,1,2,1,0,0,0,0,32,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0,0,0.9375,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0625,26.25,13.125,25.3125,12.1875,23.4375,0.9375,4.6875,0,0,0.9375,0.9375,0.9375,0.9375,0.9375,4.6875,0,0,0.9375,0.9375,4.6875,8.4375,6.5625,15,2.8125,2.8125,4.6875,8.4375,5.625,14.0625,2.8125,2.8125,4.6875,7.5,5.625,14.0625,1.875,1.875,0,0,0,0,0,0,0,0,0,0,0,1.875,0.9375,2.8125,0.9375,1.875,3.75,5.625,0.9375,4.6875,1.875,0,1.875,0.9375,1.875,0.9375,0,0,0,0,30,6.5625,0,0,0,0,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eckerstrom","WNYF",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,0.625,2,5,0.4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,14,0.571428571428571,2,2,1,0,0,0,1,4,0.25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0.125,0,0.8,0.2,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,0.285714285714286,0,1,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,10,16,0.625,4,4,1,2,3,0.666666666666667,2,4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.375,15,1.875,4.6875,0,0,0,0,0,1.875,0,0,0,0,0,0,0,1.875,0,0,7.5,13.125,1.875,1.875,0,0,0.9375,3.75,0.9375,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,1.875,2.8125,0,0,0,0,2.8125,0,0,0,0,0,0,0.9375,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6875,1.875,6.5625,0,0.9375,0.9375,0,0,0,1.875,0,0,1.875,0,0,0,0,0,0,0,0,0,0,0.9375,0,9.375,15,3.75,3.75,1.875,2.8125,1.875,3.75
"Eddy","WNYF",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,40,0.575,13,24,0.541666666666667,10,14,0.714285714285714,0.583333333333333,0,4,0,2,6,0.333333333333333,1,2,0.5,10,16,0.625,0,4,0,2,6,0.333333333333333,1,2,0.5,16,27,0.592592592592593,2,8,0.25,5,5,1,8,15,0.533333333333333,1,5,0.2,4,4,1,5,8,0.625,1,2,0.5,4,4,1,0.675,0.2,0.125,0.625,0.208333333333333,0.166666666666667,0.571428571428571,0.142857142857143,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0.5,1,0,4,15,10,5,2,0,2,0,1,1,0,0,0,1,0,16,6,1,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5625,37.5,12.1875,22.5,9.375,13.125,0,3.75,1.875,5.625,0.9375,1.875,9.375,15,0,3.75,1.875,5.625,0.9375,1.875,15,25.3125,1.875,7.5,4.6875,4.6875,7.5,14.0625,0.9375,4.6875,3.75,3.75,4.6875,7.5,0.9375,1.875,3.75,3.75,0,0,0,0,0,0,0,0,0,0,0,2.8125,2.8125,5.625,0.9375,0,3.75,14.0625,9.375,4.6875,1.875,0,1.875,0.9375,0.9375,0,0,0,0.9375,0,15,5.625,0.9375,1.875,0.9375,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erceg","WNYF",0,1,82,1,0,0,0,2,0,2,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22,0.590909090909091,12,21,0.571428571428571,9,12,0.75,0.571428571428571,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,4,0,0,3,0,4,12,0.333333333333333,5,6,0.833333333333333,4,4,1,4,12,0.333333333333333,4,5,0.8,4,4,1,2,5,0.4,3,3,1,4,4,1,0.545454545454545,0.272727272727273,0.181818181818182,0.571428571428571,0.238095238095238,0.19047619047619,0.416666666666667,0.25,0.333333333333333,0,0,0,0,0,1,1,1,0,0,0,0,1,3,2,5,0.6,2,0,4,11,6,5,6,4,2,0.666666666666667,1,0,0,0,0,0,1,20,8,2,1,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19512195121951,0,2.19512195121951,1.09756097560976,1.09756097560976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2682926829268,24.1463414634146,13.1707317073171,23.0487804878049,9.87804878048781,13.1707317073171,0,0,0,4.39024390243902,0,3.29268292682927,0,0,0,0,0,4.39024390243902,0,3.29268292682927,4.39024390243902,13.1707317073171,5.48780487804878,6.58536585365854,4.39024390243902,4.39024390243902,4.39024390243902,13.1707317073171,4.39024390243902,5.48780487804878,4.39024390243902,4.39024390243902,2.19512195121951,5.48780487804878,3.29268292682927,3.29268292682927,4.39024390243902,4.39024390243902,0,0,0,0,1.09756097560976,1.09756097560976,0,0,0,0,1.09756097560976,3.29268292682927,2.19512195121951,5.48780487804878,2.19512195121951,0,4.39024390243902,12.0731707317073,6.58536585365854,5.48780487804878,6.58536585365854,4.39024390243902,2.19512195121951,1.09756097560976,0,0,0,0,0,1.09756097560976,21.9512195121951,8.78048780487805,2.19512195121951,1.09756097560976,2.19512195121951,0,1.09756097560976,1.09756097560976,2.19512195121951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Franch","PTFC",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,27,0.555555555555556,8,11,0.727272727272727,4,6,0.666666666666667,0.545454545454545,0,0,0,4,8,0.5,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,0,0,0,12,24,0.5,3,3,1,0,0,0,5,8,0.625,3,3,1,0,0,0,3,5,0.6,2,2,1,0,0,0,0.888888888888889,0.111111111111111,0,0.727272727272727,0.272727272727273,0,0.714285714285714,0.285714285714286,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,1,0,3,0,3,1,3,0,0,1,2,0,2,0,0,0,1,0,1,0,1,1,15,27,0.555555555555556,3,3,1,1,5,0.2,3,8,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0625,25.3125,7.5,10.3125,3.75,5.625,0,0,3.75,7.5,0,0,0,0,0,0,1.875,2.8125,0,0,11.25,22.5,2.8125,2.8125,0,0,4.6875,7.5,2.8125,2.8125,0,0,2.8125,4.6875,1.875,1.875,0,0,0,0,0,0,0,1.875,0,0,0,0,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8125,0,2.8125,0.9375,0,0.9375,2.8125,0,2.8125,2.8125,0,0,0.9375,1.875,0,1.875,0,0,0,0.9375,0,0.9375,0,0.9375,0.9375,14.0625,25.3125,2.8125,2.8125,0.9375,4.6875,2.8125,7.5
"Hahn","WNYF",0,1,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0.555555555555556,5,9,0.555555555555556,3,3,1,0.333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,0.5,1,1,1,0,0,0,4,8,0.5,1,1,1,0,0,0,2,2,1,1,1,1,0,0,0,0.888888888888889,0.111111111111111,0,0.888888888888889,0.111111111111111,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,2,2,0,2,0,0,0,0,0,0,0,1,17,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.57446808510638,17.2340425531915,9.57446808510638,17.2340425531915,5.74468085106383,5.74468085106383,0,0,0,0,0,1.91489361702128,0,0,0,0,0,0,0,1.91489361702128,7.65957446808511,15.3191489361702,1.91489361702128,1.91489361702128,0,0,7.65957446808511,15.3191489361702,1.91489361702128,1.91489361702128,0,0,3.82978723404255,3.82978723404255,1.91489361702128,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91489361702128,1.91489361702128,7.65957446808511,3.82978723404255,3.82978723404255,3.82978723404255,0,3.82978723404255,0,0,0,0,0,0,1.91489361702128,32.5531914893617,1.91489361702128,1.91489361702128,1.91489361702128,1.91489361702128,0,0,1.91489361702128,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hamilton","WNYF",0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.75,2,3,0.666666666666667,2,2,1,0.666666666666667,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,2,3,0.666666666666667,0,0,0,1,1,1,1,2,0.5,0,0,0,1,1,1,1,1,1,0,0,0,0.25,0.75,0,0.333333333333333,0.666666666666667,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,0,2,0,2,0,0,0,0,0,0,0,0,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,24,12,18,12,12,0,0,0,0,6,6,6,6,0,0,0,0,6,6,6,6,12,18,0,0,6,6,6,12,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,18,6,6,0,12,0,12,0,0,0,0,0,0,0,36,24,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heath","PTFC",0,1,96,1,0,3,0,0,0,3,1,1,2,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,36,0.583333333333333,18,32,0.5625,14,23,0.608695652173913,0.71875,0,0,0,1,6,0.166666666666667,0,3,0,1,1,1,0,0,0,1,5,0.2,0,3,0,4,17,0.235294117647059,8,10,0.8,9,9,1,4,16,0.25,7,9,0.777777777777778,7,7,1,3,11,0.272727272727273,6,7,0.857142857142857,5,5,1,0.472222222222222,0.277777777777778,0.25,0.5,0.28125,0.21875,0.478260869565217,0.304347826086957,0.217391304347826,2,2,1,0,0,0,1,0,0,0,1,0,2,7,1,8,0.875,2,3,6,9,7,2,3,2,1,0.666666666666667,2,2,0,0,1,0,0,17,5,2,5,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8125,0,0,0,2.8125,0.9375,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6875,33.75,16.875,30,13.125,21.5625,0,0,0.9375,5.625,0,2.8125,0.9375,0.9375,0,0,0.9375,4.6875,0,2.8125,3.75,15.9375,7.5,9.375,8.4375,8.4375,3.75,15,6.5625,8.4375,6.5625,6.5625,2.8125,10.3125,5.625,6.5625,4.6875,4.6875,1.875,1.875,0,0,0,0.9375,0,0,0.9375,0,1.875,6.5625,0.9375,7.5,1.875,2.8125,5.625,8.4375,6.5625,1.875,2.8125,1.875,0.9375,1.875,1.875,0,0,0.9375,0,0,15.9375,4.6875,1.875,4.6875,0.9375,0.9375,1.875,1.875,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
