"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Conheeney","SBFC",0,1,95,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,39,44,0.886363636363636,39,44,0.886363636363636,25,30,0.833333333333333,0.681818181818182,0,0,0,2,3,0.666666666666667,4,6,0.666666666666667,0,0,0,0,0,0,2,3,0.666666666666667,4,6,0.666666666666667,10,14,0.714285714285714,15,15,1,14,15,0.933333333333333,10,14,0.714285714285714,15,15,1,14,15,0.933333333333333,6,10,0.6,12,12,1,7,8,0.875,0.318181818181818,0.340909090909091,0.340909090909091,0.318181818181818,0.340909090909091,0.340909090909091,0.333333333333333,0.4,0.266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,8,5,3,5,0,5,0,1,1,1,0,0,0,1,44,7,1,1,1,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0.947368421052632,0,0.947368421052632,0,0,0,0,0,0,0,0,0.947368421052632,0,0,0,0.947368421052632,0,0,36.9473684210526,41.6842105263158,36.9473684210526,41.6842105263158,23.6842105263158,28.4210526315789,0,0,1.89473684210526,2.84210526315789,3.78947368421053,5.68421052631579,0,0,0,0,1.89473684210526,2.84210526315789,3.78947368421053,5.68421052631579,9.47368421052632,13.2631578947368,14.2105263157895,14.2105263157895,13.2631578947368,14.2105263157895,9.47368421052632,13.2631578947368,14.2105263157895,14.2105263157895,13.2631578947368,14.2105263157895,5.68421052631579,9.47368421052632,11.3684210526316,11.3684210526316,6.63157894736842,7.57894736842105,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0.947368421052632,0.947368421052632,0.947368421052632,1.89473684210526,7.57894736842105,4.73684210526316,2.84210526315789,4.73684210526316,0,4.73684210526316,0.947368421052632,0.947368421052632,0.947368421052632,0,0,0,0.947368421052632,41.6842105263158,6.63157894736842,0.947368421052632,0.947368421052632,0.947368421052632,0,2.84210526315789,1.89473684210526,3.78947368421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D'Angelo","WNYF",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,45,0.688888888888889,20,28,0.714285714285714,0,3,0,0.107142857142857,0,0,0,7,19,0.368421052631579,0,0,0,0,0,0,0,0,0,3,10,0.3,0,0,0,27,41,0.658536585365854,4,4,1,0,0,0,18,26,0.692307692307692,2,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0.911111111111111,0.0888888888888889,0,0.928571428571429,0.0714285714285714,0,1,0,0,0,0,0,0,0,3,4,0.75,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,5,0.4,1,0,1,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,31,45,0.688888888888889,2,3,0.666666666666667,0,0,0,9,14,0.642857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.3684210526316,42.6315789473684,18.9473684210526,26.5263157894737,0,2.84210526315789,0,0,6.63157894736842,18,0,0,0,0,0,0,2.84210526315789,9.47368421052632,0,0,25.5789473684211,38.8421052631579,3.78947368421053,3.78947368421053,0,0,17.0526315789474,24.6315789473684,1.89473684210526,1.89473684210526,0,0,0,2.84210526315789,0,0,0,0,0,0,0,0,2.84210526315789,3.78947368421053,0,0,0,0,3.78947368421053,0,0,0,0,0,0,3.78947368421053,3.78947368421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0,0,0,2.84210526315789,1.89473684210526,4.73684210526316,0.947368421052632,0,0.947368421052632,0.947368421052632,0,0.947368421052632,2.84210526315789,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0.947368421052632,0,0,0,29.3684210526316,42.6315789473684,1.89473684210526,2.84210526315789,0,0,8.52631578947368,13.2631578947368
"Dahlkemper","WNYF",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,59,0.88135593220339,50,57,0.87719298245614,17,20,0.85,0.350877192982456,2,3,0.666666666666667,8,10,0.8,3,4,0.75,0,0,0,0,1,0,8,10,0.8,3,4,0.75,30,36,0.833333333333333,12,13,0.923076923076923,10,10,1,30,36,0.833333333333333,10,11,0.909090909090909,10,10,1,11,13,0.846153846153846,2,3,0.666666666666667,4,4,1,0.610169491525424,0.220338983050847,0.169491525423729,0.631578947368421,0.192982456140351,0.175438596491228,0.65,0.15,0.2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,10,1,6,1,5,0.166666666666667,0,0,0,0,0,0,0,7,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.2631578947368,55.8947368421053,47.3684210526316,54,16.1052631578947,18.9473684210526,1.89473684210526,2.84210526315789,7.57894736842105,9.47368421052632,2.84210526315789,3.78947368421053,0,0,0,0.947368421052632,7.57894736842105,9.47368421052632,2.84210526315789,3.78947368421053,28.4210526315789,34.1052631578947,11.3684210526316,12.3157894736842,9.47368421052632,9.47368421052632,28.4210526315789,34.1052631578947,9.47368421052632,10.4210526315789,9.47368421052632,9.47368421052632,10.4210526315789,12.3157894736842,1.89473684210526,2.84210526315789,3.78947368421053,3.78947368421053,1.89473684210526,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0.947368421052632,10.4210526315789,9.47368421052632,0.947368421052632,5.68421052631579,0.947368421052632,4.73684210526316,0,0,0,0,0,0,0,6.63157894736842,0.947368421052632,0,0.947368421052632,0,0,0,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DeCesare","SBFC",0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0.857142857142857,6,7,0.857142857142857,6,6,1,0.857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,5,5,1,1,2,0.5,0,0,0,5,5,1,1,1,1,0,0,0,5,5,1,0.285714285714286,0,0.714285714285714,0.285714285714286,0,0.714285714285714,0.166666666666667,0,0.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0.5,2,0,0,0,0,0,0,11,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3636363636364,19.0909090909091,16.3636363636364,19.0909090909091,16.3636363636364,16.3636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72727272727273,5.45454545454546,0,0,13.6363636363636,13.6363636363636,2.72727272727273,5.45454545454546,0,0,13.6363636363636,13.6363636363636,2.72727272727273,2.72727272727273,0,0,13.6363636363636,13.6363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72727272727273,0,2.72727272727273,5.45454545454546,2.72727272727273,2.72727272727273,5.45454545454546,0,0,0,0,0,0,30,5.45454545454546,0,0,0,0,2.72727272727273,0,2.72727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doniak","WNYF",0,1,75,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,14,24,0.583333333333333,14,24,0.583333333333333,13,19,0.684210526315789,0.791666666666667,4,7,0.571428571428571,0,1,0,1,3,0.333333333333333,0,0,0,4,7,0.571428571428571,0,1,0,1,3,0.333333333333333,3,8,0.375,4,9,0.444444444444444,7,7,1,3,8,0.375,4,9,0.444444444444444,7,7,1,3,5,0.6,3,7,0.428571428571429,7,7,1,0.333333333333333,0.375,0.291666666666667,0.333333333333333,0.375,0.291666666666667,0.263157894736842,0.368421052631579,0.368421052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0.5,2,0,4,11,7,4,2,0,2,0,1,0,0,0,0,0,0,23,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,1.2,1.2,0,0,0,0,0,0,0,0,1.2,0,0,0,1.2,0,0,0,16.8,28.8,16.8,28.8,15.6,22.8,4.8,8.4,0,1.2,1.2,3.6,0,0,4.8,8.4,0,1.2,1.2,3.6,3.6,9.6,4.8,10.8,8.4,8.4,3.6,9.6,4.8,10.8,8.4,8.4,3.6,6,3.6,8.4,8.4,8.4,0,0,0,0,0,0,0,0,0,0,0,2.4,2.4,4.8,2.4,0,4.8,13.2,8.4,4.8,2.4,0,2.4,1.2,0,0,0,0,0,0,27.6,4.8,1.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eddy","WNYF",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,38,0.736842105263158,24,34,0.705882352941177,9,15,0.6,0.441176470588235,0,1,0,2,7,0.285714285714286,1,2,0.5,3,3,1,0,1,0,2,7,0.285714285714286,1,2,0.5,15,21,0.714285714285714,4,7,0.571428571428571,9,10,0.9,13,19,0.684210526315789,4,7,0.571428571428571,7,8,0.875,5,8,0.625,1,4,0.25,3,3,1,0.552631578947368,0.184210526315789,0.263157894736842,0.558823529411765,0.205882352941176,0.235294117647059,0.533333333333333,0.266666666666667,0.2,0,0,0,0,0,1,1,1,0,0,0,0,1,3,5,8,0.375,3,1,9,7,5,2,0,0,0,0,0,2,1,0,0,0,0,16,2,1,2,6,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5263157894737,36,22.7368421052632,32.2105263157895,8.52631578947368,14.2105263157895,0,0.947368421052632,1.89473684210526,6.63157894736842,0.947368421052632,1.89473684210526,2.84210526315789,2.84210526315789,0,0.947368421052632,1.89473684210526,6.63157894736842,0.947368421052632,1.89473684210526,14.2105263157895,19.8947368421053,3.78947368421053,6.63157894736842,8.52631578947368,9.47368421052632,12.3157894736842,18,3.78947368421053,6.63157894736842,6.63157894736842,7.57894736842105,4.73684210526316,7.57894736842105,0.947368421052632,3.78947368421053,2.84210526315789,2.84210526315789,0,0,0,0,0.947368421052632,0.947368421052632,0,0,0,0,0.947368421052632,2.84210526315789,4.73684210526316,7.57894736842105,2.84210526315789,0.947368421052632,8.52631578947368,6.63157894736842,4.73684210526316,1.89473684210526,0,0,0,0,1.89473684210526,0.947368421052632,0,0,0,0,15.1578947368421,1.89473684210526,0.947368421052632,1.89473684210526,5.68421052631579,0,2.84210526315789,0.947368421052632,2.84210526315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galton","SBFC",0,1,48,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,9,17,0.529411764705882,9,17,0.529411764705882,8,16,0.5,0.941176470588235,0,2,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,1,1,1,4,5,0.8,5,12,0.416666666666667,0,0,0,4,5,0.8,5,12,0.416666666666667,0,0,0,3,4,0.75,5,12,0.416666666666667,0,0,0,0.294117647058824,0.705882352941177,0,0.294117647058824,0.705882352941177,0,0.25,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0.8,3,0,4,2,1,1,4,2,2,0.5,2,0,0,0,0,0,0,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.875,0,0,0,1.875,0,1.875,0,1.875,0,0,0,0,1.875,1.875,0,0,0,1.875,0,0,0,16.875,31.875,16.875,31.875,15,30,0,3.75,0,0,1.875,1.875,0,0,0,3.75,0,0,1.875,1.875,7.5,9.375,9.375,22.5,0,0,7.5,9.375,9.375,22.5,0,0,5.625,7.5,9.375,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,1.875,9.375,5.625,0,7.5,3.75,1.875,1.875,7.5,3.75,3.75,3.75,0,0,0,0,0,0,37.5,1.875,0,0,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gordon","SBFC",0,1,73,0,0,1,0,1,0,2,0.5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,49,0.73469387755102,35,48,0.729166666666667,23,28,0.821428571428571,0.583333333333333,0,0,0,1,2,0.5,1,7,0.142857142857143,1,1,1,0,0,0,1,2,0.5,1,7,0.142857142857143,14,23,0.608695652173913,13,15,0.866666666666667,9,11,0.818181818181818,14,23,0.608695652173913,13,15,0.866666666666667,8,10,0.8,7,11,0.636363636363636,9,9,1,7,8,0.875,0.469387755102041,0.306122448979592,0.224489795918367,0.479166666666667,0.3125,0.208333333333333,0.392857142857143,0.321428571428571,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,4,11,9,2,3,1,2,0.333333333333333,1,0,0,0,0,0,0,20,1,6,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23287671232877,0,1.23287671232877,0,2.46575342465753,2.46575342465753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.3835616438356,60.4109589041096,43.1506849315068,59.1780821917808,28.3561643835616,34.5205479452055,0,0,1.23287671232877,2.46575342465753,1.23287671232877,8.63013698630137,1.23287671232877,1.23287671232877,0,0,1.23287671232877,2.46575342465753,1.23287671232877,8.63013698630137,17.2602739726027,28.3561643835616,16.027397260274,18.4931506849315,11.0958904109589,13.5616438356164,17.2602739726027,28.3561643835616,16.027397260274,18.4931506849315,9.86301369863014,12.3287671232877,8.63013698630137,13.5616438356164,11.0958904109589,11.0958904109589,8.63013698630137,9.86301369863014,0,0,0,0,0,0,0,0,0,0,0,1.23287671232877,0,1.23287671232877,2.46575342465753,2.46575342465753,4.93150684931507,13.5616438356164,11.0958904109589,2.46575342465753,3.6986301369863,1.23287671232877,2.46575342465753,1.23287671232877,0,0,0,0,0,0,24.6575342465753,1.23287671232877,7.3972602739726,1.23287671232877,1.23287671232877,0,1.23287671232877,2.46575342465753,1.23287671232877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hahn","WNYF",0,1,95,1,1,0,0,0,1,2,1,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,26,31,0.838709677419355,26,31,0.838709677419355,19,22,0.863636363636364,0.709677419354839,0,0,0,1,5,0.2,1,1,1,0,0,0,0,0,0,1,5,0.2,1,1,1,10,15,0.666666666666667,9,9,1,7,7,1,10,15,0.666666666666667,9,9,1,7,7,1,5,8,0.625,8,8,1,6,6,1,0.483870967741935,0.290322580645161,0.225806451612903,0.483870967741935,0.290322580645161,0.225806451612903,0.363636363636364,0.363636363636364,0.272727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,10,7,3,2,1,1,0.5,0,1,0,0,0,0,1,35,4,5,1,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0,0,0.947368421052632,1.89473684210526,0,1.89473684210526,0.947368421052632,0,0,0,0,0,0.947368421052632,0,0,0,0,0,0,0,0,24.6315789473684,29.3684210526316,24.6315789473684,29.3684210526316,18,20.8421052631579,0,0,0.947368421052632,4.73684210526316,0.947368421052632,0.947368421052632,0,0,0,0,0.947368421052632,4.73684210526316,0.947368421052632,0.947368421052632,9.47368421052632,14.2105263157895,8.52631578947368,8.52631578947368,6.63157894736842,6.63157894736842,9.47368421052632,14.2105263157895,8.52631578947368,8.52631578947368,6.63157894736842,6.63157894736842,4.73684210526316,7.57894736842105,7.57894736842105,7.57894736842105,5.68421052631579,5.68421052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89473684210526,0.947368421052632,2.84210526315789,9.47368421052632,6.63157894736842,2.84210526315789,1.89473684210526,0.947368421052632,0.947368421052632,0,0.947368421052632,0,0,0,0,0.947368421052632,33.1578947368421,3.78947368421053,4.73684210526316,0.947368421052632,2.84210526315789,0,0.947368421052632,0.947368421052632,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hamilton","WNYF",0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42857142857143,6.42857142857143,6.42857142857143,6.42857142857143,6.42857142857143,6.42857142857143,0,0,0,0,6.42857142857143,6.42857142857143,0,0,0,0,0,0,6.42857142857143,6.42857142857143,6.42857142857143,6.42857142857143,0,0,0,0,6.42857142857143,6.42857142857143,0,0,0,0,6.42857142857143,6.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42857142857143,6.42857142857143,0,0,6.42857142857143,6.42857142857143,0,6.42857142857143,0,0,0,0,0,0,0,0,0,0,83.5714285714286,0,0,6.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
