"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Barnes","SRFC",0,1,105,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,44,0.772727272727273,26,36,0.722222222222222,7,9,0.777777777777778,0.25,0,3,0,1,3,0.333333333333333,1,2,0.5,8,8,1,0,3,0,1,3,0.333333333333333,1,2,0.5,19,29,0.655172413793103,8,8,1,7,7,1,14,24,0.583333333333333,5,5,1,7,7,1,2,4,0.5,2,2,1,3,3,1,0.659090909090909,0.181818181818182,0.159090909090909,0.666666666666667,0.138888888888889,0.194444444444444,0.444444444444444,0.222222222222222,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,1,3,1,2,2,1,1,0.5,1,2,0,0,0,0,0,14,2,7,2,7,0,6,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857142857,0,0,0,0.857142857142857,0.857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.1428571428571,37.7142857142857,22.2857142857143,30.8571428571429,6,7.71428571428571,0,2.57142857142857,0.857142857142857,2.57142857142857,0.857142857142857,1.71428571428571,6.85714285714286,6.85714285714286,0,2.57142857142857,0.857142857142857,2.57142857142857,0.857142857142857,1.71428571428571,16.2857142857143,24.8571428571429,6.85714285714286,6.85714285714286,6,6,12,20.5714285714286,4.28571428571429,4.28571428571429,6,6,1.71428571428571,3.42857142857143,1.71428571428571,1.71428571428571,2.57142857142857,2.57142857142857,0,0,0,0,0,0,0,0,0,0,0,1.71428571428571,0,1.71428571428571,0.857142857142857,0,0.857142857142857,2.57142857142857,0.857142857142857,1.71428571428571,1.71428571428571,0.857142857142857,0.857142857142857,0.857142857142857,1.71428571428571,0,0,0,0,0,12,1.71428571428571,6,1.71428571428571,6,0,5.14285714285714,1.71428571428571,5.14285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corsie","SRFC",0,1,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,35,0.8,24,30,0.8,7,9,0.777777777777778,0.3,0,1,0,4,8,0.5,0,0,0,3,4,0.75,0,1,0,4,8,0.5,0,0,0,19,25,0.76,5,6,0.833333333333333,4,4,1,16,21,0.761904761904762,4,5,0.8,4,4,1,5,6,0.833333333333333,1,2,0.5,1,1,1,0.714285714285714,0.171428571428571,0.114285714285714,0.7,0.166666666666667,0.133333333333333,0.666666666666667,0.222222222222222,0.111111111111111,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,12,7,5,0,0,0,0,0,0,0,0,0,0,0,7,2,1,2,13,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,30,20.5714285714286,25.7142857142857,6,7.71428571428571,0,0.857142857142857,3.42857142857143,6.85714285714286,0,0,2.57142857142857,3.42857142857143,0,0.857142857142857,3.42857142857143,6.85714285714286,0,0,16.2857142857143,21.4285714285714,4.28571428571429,5.14285714285714,3.42857142857143,3.42857142857143,13.7142857142857,18,3.42857142857143,4.28571428571429,3.42857142857143,3.42857142857143,4.28571428571429,5.14285714285714,0.857142857142857,1.71428571428571,0.857142857142857,0.857142857142857,0,0,0,0,0.857142857142857,0.857142857142857,0,0,0,0,0.857142857142857,0,0,0,0,0,0,10.2857142857143,6,4.28571428571429,0,0,0,0,0,0,0,0,0,0,6,1.71428571428571,0.857142857142857,1.71428571428571,11.1428571428571,0,1.71428571428571,2.57142857142857,1.71428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dahlkemper","WNYF",0,1,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,22,0.454545454545455,7,17,0.411764705882353,3,5,0.6,0.294117647058824,0,0,0,2,12,0.166666666666667,1,1,1,0,0,0,0,0,0,1,9,0.111111111111111,1,1,1,4,16,0.25,2,2,1,4,4,1,3,13,0.230769230769231,2,2,1,2,2,1,1,3,0.333333333333333,2,2,1,0,0,0,0.727272727272727,0.0909090909090909,0.181818181818182,0.764705882352941,0.117647058823529,0.117647058823529,0.6,0.4,0,2,2,1,0,0,1,3,0.333333333333333,0,0,0,0,3,0,0,0,0,0,0,0,7,3,4,2,2,0,1,0,0,0,0,0,0,0,7,0,1,3,22,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857142857,0,0,0,0.857142857142857,0,0,8.57142857142857,18.8571428571429,6,14.5714285714286,2.57142857142857,4.28571428571429,0,0,1.71428571428571,10.2857142857143,0.857142857142857,0.857142857142857,0,0,0,0,0.857142857142857,7.71428571428571,0.857142857142857,0.857142857142857,3.42857142857143,13.7142857142857,1.71428571428571,1.71428571428571,3.42857142857143,3.42857142857143,2.57142857142857,11.1428571428571,1.71428571428571,1.71428571428571,1.71428571428571,1.71428571428571,0.857142857142857,2.57142857142857,1.71428571428571,1.71428571428571,0,0,1.71428571428571,1.71428571428571,0,0,0.857142857142857,2.57142857142857,0,0,0,0,2.57142857142857,0,0,0,0,0,0,6,2.57142857142857,3.42857142857143,1.71428571428571,1.71428571428571,0,0,0,0,0,0,0,0,6,0,0.857142857142857,2.57142857142857,18.8571428571429,0,0,1.71428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doniak","WNYF",0,1,85,1,0,1,0,3,1,5,0.25,4,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21,0.666666666666667,14,21,0.666666666666667,6,12,0.5,0.571428571428571,2,7,0.285714285714286,0,0,0,0,0,0,0,0,0,2,7,0.285714285714286,0,0,0,0,0,0,3,4,0.75,4,9,0.444444444444444,7,8,0.875,3,4,0.75,4,9,0.444444444444444,7,8,0.875,1,1,1,2,7,0.285714285714286,3,4,0.75,0.19047619047619,0.428571428571429,0.380952380952381,0.19047619047619,0.428571428571429,0.380952380952381,0.0833333333333333,0.583333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0.75,3,2,6,9,6,3,2,0,2,0,1,0,0,0,0,0,0,15,0,1,3,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05882352941176,0,3.17647058823529,1.05882352941176,5.29411764705882,4.23529411764706,1.05882352941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8235294117647,22.2352941176471,14.8235294117647,22.2352941176471,6.35294117647059,12.7058823529412,2.11764705882353,7.41176470588235,0,0,0,0,0,0,2.11764705882353,7.41176470588235,0,0,0,0,3.17647058823529,4.23529411764706,4.23529411764706,9.52941176470588,7.41176470588235,8.47058823529412,3.17647058823529,4.23529411764706,4.23529411764706,9.52941176470588,7.41176470588235,8.47058823529412,1.05882352941176,1.05882352941176,2.11764705882353,7.41176470588235,3.17647058823529,4.23529411764706,0,0,0,0,0,0,0,0,0,0,0,3.17647058823529,1.05882352941176,4.23529411764706,3.17647058823529,2.11764705882353,6.35294117647059,9.52941176470588,6.35294117647059,3.17647058823529,2.11764705882353,0,2.11764705882353,1.05882352941176,0,0,0,0,0,0,15.8823529411765,0,1.05882352941176,3.17647058823529,4.23529411764706,0,1.05882352941176,0,1.05882352941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eddy","WNYF",0,1,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,43,0.651162790697674,20,29,0.689655172413793,3,7,0.428571428571429,0.241379310344828,0,0,0,2,7,0.285714285714286,0,0,0,8,14,0.571428571428571,0,0,0,2,7,0.285714285714286,0,0,0,21,36,0.583333333333333,2,2,1,5,5,1,13,22,0.590909090909091,2,2,1,5,5,1,1,5,0.2,1,1,1,1,1,1,0.837209302325581,0.0465116279069767,0.116279069767442,0.758620689655172,0.0689655172413793,0.172413793103448,0.714285714285714,0.142857142857143,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,11,9,2,3,1,2,0.333333333333333,1,0,0,0,0,0,0,16,0,0,4,12,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,36.8571428571429,17.1428571428571,24.8571428571429,2.57142857142857,6,0,0,1.71428571428571,6,0,0,6.85714285714286,12,0,0,1.71428571428571,6,0,0,18,30.8571428571429,1.71428571428571,1.71428571428571,4.28571428571429,4.28571428571429,11.1428571428571,18.8571428571429,1.71428571428571,1.71428571428571,4.28571428571429,4.28571428571429,0.857142857142857,4.28571428571429,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0,0,0,0,0,0,0,0,0,0,0,0.857142857142857,0,0.857142857142857,0,0,0,9.42857142857143,7.71428571428571,1.71428571428571,2.57142857142857,0.857142857142857,1.71428571428571,0.857142857142857,0,0,0,0,0,0,13.7142857142857,0,0,3.42857142857143,10.2857142857143,0,0.857142857142857,0.857142857142857,0.857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erceg","WNYF",0,1,105,1,2,0,0,0,0,2,1,1,1,0.5,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,17,25,0.68,16,24,0.666666666666667,8,10,0.8,0.416666666666667,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,7,15,0.466666666666667,3,3,1,7,7,1,7,15,0.466666666666667,2,2,1,7,7,1,4,6,0.666666666666667,1,1,1,3,3,1,0.6,0.12,0.28,0.625,0.0833333333333333,0.291666666666667,0.6,0.1,0.3,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,3,3,14,8,6,6,5,1,0.833333333333333,0,1,0,0,0,0,0,21,1,1,5,15,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71428571428571,0,0,0,0,1.71428571428571,0.857142857142857,0.857142857142857,0.857142857142857,0,0,0,0,0,0.857142857142857,0.857142857142857,0,0,0,0.857142857142857,0,0,0,14.5714285714286,21.4285714285714,13.7142857142857,20.5714285714286,6.85714285714286,8.57142857142857,0,0,0,0.857142857142857,0,0.857142857142857,0,0,0,0,0,0.857142857142857,0,0.857142857142857,6,12.8571428571429,2.57142857142857,2.57142857142857,6,6,6,12.8571428571429,1.71428571428571,1.71428571428571,6,6,3.42857142857143,5.14285714285714,0.857142857142857,0.857142857142857,2.57142857142857,2.57142857142857,0,0,0,0,0.857142857142857,0.857142857142857,0,0,0,0,0.857142857142857,0,0,0,0,2.57142857142857,2.57142857142857,12,6.85714285714286,5.14285714285714,5.14285714285714,4.28571428571429,0.857142857142857,0,0.857142857142857,0,0,0,0,0,18,0.857142857142857,0.857142857142857,4.28571428571429,12.8571428571429,0,4.28571428571429,0.857142857142857,4.28571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fishlock","SRFC",0,1,105,1,0,1,0,1,1,3,0.5,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,30,42,0.714285714285714,30,42,0.714285714285714,8,13,0.615384615384615,0.30952380952381,1,2,0.5,2,6,0.333333333333333,0,2,0,0,0,0,1,2,0.5,2,6,0.333333333333333,0,2,0,14,25,0.56,5,6,0.833333333333333,11,11,1,14,25,0.56,5,6,0.833333333333333,11,11,1,2,6,0.333333333333333,1,2,0.5,5,5,1,0.595238095238095,0.142857142857143,0.261904761904762,0.595238095238095,0.142857142857143,0.261904761904762,0.461538461538462,0.153846153846154,0.384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0.666666666666667,1,5,7,16,5,11,1,1,0,1,1,2,0,0,0,0,0,23,1,2,7,4,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857142857,0,0.857142857142857,0.857142857142857,2.57142857142857,0,2.57142857142857,0,0,0,0,0,0,0,0,0.857142857142857,0,0,0,0.857142857142857,0,0,25.7142857142857,36,25.7142857142857,36,6.85714285714286,11.1428571428571,0.857142857142857,1.71428571428571,1.71428571428571,5.14285714285714,0,1.71428571428571,0,0,0.857142857142857,1.71428571428571,1.71428571428571,5.14285714285714,0,1.71428571428571,12,21.4285714285714,4.28571428571429,5.14285714285714,9.42857142857143,9.42857142857143,12,21.4285714285714,4.28571428571429,5.14285714285714,9.42857142857143,9.42857142857143,1.71428571428571,5.14285714285714,0.857142857142857,1.71428571428571,4.28571428571429,4.28571428571429,0,0,0,0,0,0,0,0,0,0,0,1.71428571428571,0.857142857142857,2.57142857142857,0.857142857142857,4.28571428571429,6,13.7142857142857,4.28571428571429,9.42857142857143,0.857142857142857,0.857142857142857,0,0.857142857142857,1.71428571428571,0,0,0,0,0,19.7142857142857,0.857142857142857,1.71428571428571,6,3.42857142857143,0,3.42857142857143,1.71428571428571,3.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fletcher","SRFC",0,1,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,34,0.558823529411765,15,24,0.625,6,9,0.666666666666667,0.375,0,0,0,2,13,0.153846153846154,0,0,0,2,6,0.333333333333333,0,0,0,0,9,0,0,0,0,15,30,0.5,2,2,1,2,2,1,11,20,0.55,2,2,1,2,2,1,5,8,0.625,1,1,1,0,0,0,0.882352941176471,0.0588235294117647,0.0588235294117647,0.833333333333333,0.0833333333333333,0.0833333333333333,0.888888888888889,0.111111111111111,0,0,0,0,0,0,2,4,0.5,0,0,0,0,4,1,0,1,1,0,0,0,10,7,3,8,5,3,0.625,1,1,0,0,0,0,0,8,1,0,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2857142857143,29.1428571428571,12.8571428571429,20.5714285714286,5.14285714285714,7.71428571428571,0,0,1.71428571428571,11.1428571428571,0,0,1.71428571428571,5.14285714285714,0,0,0,7.71428571428571,0,0,12.8571428571429,25.7142857142857,1.71428571428571,1.71428571428571,1.71428571428571,1.71428571428571,9.42857142857143,17.1428571428571,1.71428571428571,1.71428571428571,1.71428571428571,1.71428571428571,4.28571428571429,6.85714285714286,0.857142857142857,0.857142857142857,0,0,0,0,0,0,1.71428571428571,3.42857142857143,0,0,0,0,3.42857142857143,0.857142857142857,0,0.857142857142857,0,0,0,8.57142857142857,6,2.57142857142857,6.85714285714286,4.28571428571429,2.57142857142857,0.857142857142857,0.857142857142857,0,0,0,0,0,6.85714285714286,0.857142857142857,0,0.857142857142857,7.71428571428571,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hahn","WNYF",0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hamilton","WNYF",0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,36,0,0,0,0,0,0,0,0,0,0,18,36,0,0,0,0,0,0,18,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,18,18,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
