"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Andrade","WNYF",0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,1,2,0.5,1,2,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,15,7.5,15,7.5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,7.5,7.5,0,7.5,0,0,7.5,7.5,0,7.5,0,0,7.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,0,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ayinde","WNYF",0,1,45,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,10,0.6,6,10,0.6,4,6,0.666666666666667,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0.4,2,2,1,2,3,0.666666666666667,2,5,0.4,2,2,1,2,3,0.666666666666667,1,3,0.333333333333333,2,2,1,1,1,1,0.5,0.2,0.3,0.5,0.2,0.3,0.5,0.333333333333333,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,2,1,0,0,0,0,0,1,0,0,0,0,0,18,4,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,12,20,12,20,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,4,4,4,6,4,10,4,4,4,6,2,6,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,6,4,2,0,0,0,0,2,0,0,0,0,0,36,8,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Church","WAS",0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,2,3,0.666666666666667,2,2,1,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,0,0,0,0,0,0,2,3,0.666666666666667,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,0,2,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3636363636364,24.5454545454545,16.3636363636364,24.5454545454545,16.3636363636364,16.3636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3636363636364,24.5454545454545,0,0,0,0,16.3636363636364,24.5454545454545,0,0,0,0,16.3636363636364,16.3636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18181818181818,8.18181818181818,16.3636363636364,8.18181818181818,8.18181818181818,16.3636363636364,0,16.3636363636364,0,0,0,0,0,0,0,24.5454545454545,0,0,8.18181818181818,16.3636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D'Angelo","WNYF",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,31,0.67741935483871,13,23,0.565217391304348,1,5,0.2,0.217391304347826,0,0,0,1,11,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,19,29,0.655172413793103,2,2,1,0,0,0,11,21,0.523809523809524,2,2,1,0,0,0,1,5,0.2,0,0,0,0,0,0,0.935483870967742,0.0645161290322581,0,0.91304347826087,0.0869565217391304,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,0.75,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,31,0.67741935483871,2,2,1,0,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1063829787234,29.6808510638298,12.4468085106383,22.0212765957447,0.957446808510638,4.78723404255319,0,0,0.957446808510638,10.531914893617,0,0,0,0,0,0,0,9.57446808510638,0,0,18.1914893617021,27.7659574468085,1.91489361702128,1.91489361702128,0,0,10.531914893617,20.1063829787234,1.91489361702128,1.91489361702128,0,0,0.957446808510638,4.78723404255319,0,0,0,0,0,0,0,0,0.957446808510638,0.957446808510638,0,0,0,0,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0,0,0,0,0,2.87234042553191,3.82978723404255,0,1.91489361702128,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1063829787234,29.6808510638298,1.91489361702128,1.91489361702128,0,0,5.74468085106383,5.74468085106383
"Dahlkemper","WNYF",0,1,94,1,0,1,0,0,1,2,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,51,0.705882352941177,34,43,0.790697674418605,10,14,0.714285714285714,0.325581395348837,2,6,0.333333333333333,1,5,0.2,0,0,0,0,0,0,0,0,0,1,5,0.2,0,0,0,16,26,0.615384615384615,10,15,0.666666666666667,10,10,1,16,25,0.64,8,8,1,10,10,1,5,9,0.555555555555556,1,1,1,4,4,1,0.509803921568627,0.294117647058824,0.196078431372549,0.581395348837209,0.186046511627907,0.232558139534884,0.642857142857143,0.0714285714285714,0.285714285714286,2,7,0.285714285714286,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,1,13,12,1,1,1,0,1,0,0,0,0,0,0,0,8,2,3,2,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0,0,0.957446808510638,1.91489361702128,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.468085106383,48.8297872340425,32.5531914893617,41.1702127659574,9.57446808510638,13.4042553191489,1.91489361702128,5.74468085106383,0.957446808510638,4.78723404255319,0,0,0,0,0,0,0.957446808510638,4.78723404255319,0,0,15.3191489361702,24.8936170212766,9.57446808510638,14.3617021276596,9.57446808510638,9.57446808510638,15.3191489361702,23.936170212766,7.65957446808511,7.65957446808511,9.57446808510638,9.57446808510638,4.78723404255319,8.61702127659574,0.957446808510638,0.957446808510638,3.82978723404255,3.82978723404255,1.91489361702128,6.70212765957447,0,0,0,0.957446808510638,0,0,0.957446808510638,0,1.91489361702128,0,0,0,0,0.957446808510638,0.957446808510638,12.4468085106383,11.4893617021277,0.957446808510638,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,0,7.65957446808511,1.91489361702128,2.87234042553191,1.91489361702128,2.87234042553191,0,0.957446808510638,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doniak","WNYF",0,1,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22,0.590909090909091,13,22,0.590909090909091,11,18,0.611111111111111,0.818181818181818,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9,0.111111111111111,4,5,0.8,8,8,1,1,9,0.111111111111111,4,5,0.8,8,8,1,1,7,0.142857142857143,2,3,0.666666666666667,8,8,1,0.409090909090909,0.227272727272727,0.363636363636364,0.409090909090909,0.227272727272727,0.363636363636364,0.388888888888889,0.166666666666667,0.444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,2,5,8,3,5,3,1,2,0.333333333333333,1,1,0,0,0,0,1,36,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0963855421687,23.855421686747,14.0963855421687,23.855421686747,11.9277108433735,19.5180722891566,0,1.08433734939759,0,0,0,0,0,0,0,1.08433734939759,0,0,0,0,1.08433734939759,9.75903614457831,4.33734939759036,5.42168674698795,8.67469879518072,8.67469879518072,1.08433734939759,9.75903614457831,4.33734939759036,5.42168674698795,8.67469879518072,8.67469879518072,1.08433734939759,7.59036144578313,2.16867469879518,3.25301204819277,8.67469879518072,8.67469879518072,0,0,0,0,0,0,0,0,0,0,0,1.08433734939759,0,1.08433734939759,3.25301204819277,2.16867469879518,5.42168674698795,8.67469879518072,3.25301204819277,5.42168674698795,3.25301204819277,1.08433734939759,2.16867469879518,1.08433734939759,1.08433734939759,0,0,0,0,1.08433734939759,39.0361445783133,2.16867469879518,2.16867469879518,0,0,0,0,0,1.08433734939759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","WAS",0,1,94,1,0,0,1,1,0,2,0.5,1,1,0.5,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,14,22,0.636363636363636,14,22,0.636363636363636,11,17,0.647058823529412,0.772727272727273,0,0,0,0,0,0,3,4,0.75,0,0,0,0,0,0,0,0,0,3,4,0.75,4,10,0.4,1,2,0.5,9,10,0.9,4,10,0.4,1,2,0.5,9,10,0.9,4,8,0.5,0,1,0,7,8,0.875,0.454545454545455,0.0909090909090909,0.454545454545455,0.454545454545455,0.0909090909090909,0.454545454545455,0.470588235294118,0.0588235294117647,0.470588235294118,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,0.625,2,5,10,6,4,2,2,2,0,1,1,1,0,0,0,0,1,51,3,2,1,1,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0.957446808510638,0,1.91489361702128,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,0.957446808510638,0.957446808510638,0.957446808510638,0,0.957446808510638,0.957446808510638,0.957446808510638,0,13.4042553191489,21.063829787234,13.4042553191489,21.063829787234,10.531914893617,16.2765957446809,0,0,0,0,2.87234042553191,3.82978723404255,0,0,0,0,0,0,2.87234042553191,3.82978723404255,3.82978723404255,9.57446808510638,0.957446808510638,1.91489361702128,8.61702127659574,9.57446808510638,3.82978723404255,9.57446808510638,0.957446808510638,1.91489361702128,8.61702127659574,9.57446808510638,3.82978723404255,7.65957446808511,0,0.957446808510638,6.70212765957447,7.65957446808511,0,0,0,0,0,0,0,0,0,0,0,4.78723404255319,2.87234042553191,7.65957446808511,1.91489361702128,4.78723404255319,9.57446808510638,5.74468085106383,3.82978723404255,1.91489361702128,1.91489361702128,1.91489361702128,0,0.957446808510638,0.957446808510638,0,0,0,0,0.957446808510638,48.8297872340425,2.87234042553191,1.91489361702128,0.957446808510638,0.957446808510638,0,1.91489361702128,2.87234042553191,2.87234042553191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eddy","WNYF",0,1,94,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,57,0.684210526315789,20,34,0.588235294117647,11,22,0.5,0.647058823529412,3,6,0.5,0,2,0,0,1,0,18,22,0.818181818181818,2,5,0.4,0,2,0,0,1,0,16,30,0.533333333333333,10,13,0.769230769230769,13,14,0.928571428571429,8,18,0.444444444444444,3,6,0.5,9,10,0.9,4,12,0.333333333333333,0,2,0,7,8,0.875,0.526315789473684,0.228070175438596,0.245614035087719,0.529411764705882,0.176470588235294,0.294117647058824,0.545454545454545,0.0909090909090909,0.363636363636364,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,12,9,3,2,2,0,1,1,1,0,0,0,0,3,20,2,6,5,2,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0,0.957446808510638,0,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.3404255319149,54.5744680851064,19.1489361702128,32.5531914893617,10.531914893617,21.063829787234,2.87234042553191,5.74468085106383,0,1.91489361702128,0,0.957446808510638,17.2340425531915,21.063829787234,1.91489361702128,4.78723404255319,0,1.91489361702128,0,0.957446808510638,15.3191489361702,28.7234042553191,9.57446808510638,12.4468085106383,12.4468085106383,13.4042553191489,7.65957446808511,17.2340425531915,2.87234042553191,5.74468085106383,8.61702127659574,9.57446808510638,3.82978723404255,11.4893617021277,0,1.91489361702128,6.70212765957447,7.65957446808511,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0.957446808510638,0,1.91489361702128,2.87234042553191,11.4893617021277,8.61702127659574,2.87234042553191,1.91489361702128,1.91489361702128,0,0.957446808510638,0.957446808510638,0,0,0,0,2.87234042553191,19.1489361702128,1.91489361702128,5.74468085106383,4.78723404255319,1.91489361702128,0.957446808510638,0.957446808510638,0.957446808510638,3.82978723404255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erceg","WNYF",0,1,94,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,19,27,0.703703703703704,18,26,0.692307692307692,11,15,0.733333333333333,0.576923076923077,0,0,0,1,5,0.2,1,3,0.333333333333333,1,1,1,0,0,0,1,5,0.2,1,3,0.333333333333333,8,16,0.5,2,2,1,9,9,1,8,16,0.5,1,1,1,9,9,1,5,9,0.555555555555556,0,0,0,6,6,1,0.592592592592593,0.0740740740740741,0.333333333333333,0.615384615384615,0.0384615384615385,0.346153846153846,0.6,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,4,2,3,2,1,0.666666666666667,0,0,0,0,0,0,0,10,1,3,5,7,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0,0.957446808510638,0.957446808510638,0,0,0,0.957446808510638,0,0,0,0.957446808510638,0,0,0,0,0,0,0,0,18.1914893617021,25.8510638297872,17.2340425531915,24.8936170212766,10.531914893617,14.3617021276596,0,0,0.957446808510638,4.78723404255319,0.957446808510638,2.87234042553191,0.957446808510638,0.957446808510638,0,0,0.957446808510638,4.78723404255319,0.957446808510638,2.87234042553191,7.65957446808511,15.3191489361702,1.91489361702128,1.91489361702128,8.61702127659574,8.61702127659574,7.65957446808511,15.3191489361702,0.957446808510638,0.957446808510638,8.61702127659574,8.61702127659574,4.78723404255319,8.61702127659574,0,0,5.74468085106383,5.74468085106383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0,0.957446808510638,5.74468085106383,3.82978723404255,1.91489361702128,2.87234042553191,1.91489361702128,0.957446808510638,0,0,0,0,0,0,0,9.57446808510638,0.957446808510638,2.87234042553191,4.78723404255319,6.70212765957447,0,0.957446808510638,1.91489361702128,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Farquharson","WAS",0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,4,4,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,0.5,0.25,0.25,0.5,0.25,0.25,0.5,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,5,5,5,5,10,10,5,5,5,5,10,10,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,5,0,5,0,0,0,0,0,0,0,40,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
