"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Abily","FRA",0,1,94,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,44,0.772727272727273,32,42,0.761904761904762,14,18,0.777777777777778,0.428571428571429,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,9,18,0.5,10,10,1,15,16,0.9375,9,18,0.5,10,10,1,13,14,0.928571428571429,2,5,0.4,4,4,1,8,9,0.888888888888889,0.409090909090909,0.227272727272727,0.363636363636364,0.428571428571429,0.238095238095238,0.333333333333333,0.277777777777778,0.222222222222222,0.5,0,0,0,0,0,2,2,1,0,0,0,0,2,3,0,3,1,1,1,2,8,4,4,5,2,3,0.4,3,1,0,0,0,0,2,25,1,0,2,2,0,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0,0.957446808510638,0,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5531914893617,42.1276595744681,30.6382978723404,40.2127659574468,13.4042553191489,17.2340425531915,0,1.91489361702128,0,1.91489361702128,0,0,0,0,0,1.91489361702128,0,1.91489361702128,0,0,8.61702127659574,17.2340425531915,9.57446808510638,9.57446808510638,14.3617021276596,15.3191489361702,8.61702127659574,17.2340425531915,9.57446808510638,9.57446808510638,12.4468085106383,13.4042553191489,1.91489361702128,4.78723404255319,3.82978723404255,3.82978723404255,7.65957446808511,8.61702127659574,0,0,0,0,1.91489361702128,1.91489361702128,0,0,0,0,1.91489361702128,2.87234042553191,0,2.87234042553191,0.957446808510638,0.957446808510638,1.91489361702128,7.65957446808511,3.82978723404255,3.82978723404255,4.78723404255319,1.91489361702128,2.87234042553191,2.87234042553191,0.957446808510638,0,0,0,0,1.91489361702128,23.936170212766,0.957446808510638,0,1.91489361702128,1.91489361702128,0,3.82978723404255,2.87234042553191,5.74468085106383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asseyi","FRA",0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0,0,1,2,2,0,1,0,1,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,0,0,5,10,10,0,5,0,5,5,5,0,0,0,0,5,10,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bathy","FRA",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,32,0.90625,29,32,0.90625,6,9,0.666666666666667,0.28125,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,18,19,0.947368421052632,6,8,0.75,5,5,1,18,19,0.947368421052632,6,8,0.75,5,5,1,4,5,0.8,2,4,0.5,0,0,0,0.59375,0.25,0.15625,0.59375,0.25,0.15625,0.555555555555556,0.444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,1,0,1,5,3,2,8,5,3,0.625,1,0,0,0,0,0,1,3,2,2,7,9,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7659574468085,30.6382978723404,27.7659574468085,30.6382978723404,5.74468085106383,8.61702127659574,0,0.957446808510638,0.957446808510638,0.957446808510638,0,0,0,0,0,0.957446808510638,0.957446808510638,0.957446808510638,0,0,17.2340425531915,18.1914893617021,5.74468085106383,7.65957446808511,4.78723404255319,4.78723404255319,17.2340425531915,18.1914893617021,5.74468085106383,7.65957446808511,4.78723404255319,4.78723404255319,3.82978723404255,4.78723404255319,1.91489361702128,3.82978723404255,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87234042553191,0,2.87234042553191,0.957446808510638,0,0.957446808510638,4.78723404255319,2.87234042553191,1.91489361702128,7.65957446808511,4.78723404255319,2.87234042553191,0.957446808510638,0,0,0,0,0,0.957446808510638,2.87234042553191,1.91489361702128,1.91489361702128,6.70212765957447,8.61702127659574,0.957446808510638,0.957446808510638,0,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bilbault","FRA",0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0.833333333333333,5,6,0.833333333333333,4,4,1,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,1,0,2,2,1,3,3,1,0,1,0,2,2,1,3,3,1,0,0,0,1,1,1,0.5,0.166666666666667,0.333333333333333,0.5,0.166666666666667,0.333333333333333,0.75,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,3,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4705882352941,31.7647058823529,26.4705882352941,31.7647058823529,21.1764705882353,21.1764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8823529411765,15.8823529411765,0,5.29411764705882,10.5882352941176,10.5882352941176,15.8823529411765,15.8823529411765,0,5.29411764705882,10.5882352941176,10.5882352941176,15.8823529411765,15.8823529411765,0,0,5.29411764705882,5.29411764705882,0,0,0,0,0,0,0,0,0,0,0,5.29411764705882,0,5.29411764705882,5.29411764705882,0,5.29411764705882,5.29411764705882,5.29411764705882,0,5.29411764705882,0,5.29411764705882,0,0,0,0,0,0,0,15.8823529411765,0,5.29411764705882,5.29411764705882,0,0,5.29411764705882,0,5.29411764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bouhaddi","FRA",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,36,0.555555555555556,16,22,0.727272727272727,2,3,0.666666666666667,0.136363636363636,0,0,0,6,18,0.333333333333333,0,0,0,0,0,0,0,0,0,5,10,0.5,0,0,0,20,36,0.555555555555556,0,0,0,0,0,0,16,22,0.727272727272727,0,0,0,0,0,0,2,3,0.666666666666667,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,0.333333333333333,0,0,0,0,3,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0.333333333333333,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,36,0.555555555555556,3,3,1,0,2,0,1,9,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1489361702128,34.468085106383,15.3191489361702,21.063829787234,1.91489361702128,2.87234042553191,0,0,5.74468085106383,17.2340425531915,0,0,0,0,0,0,4.78723404255319,9.57446808510638,0,0,19.1489361702128,34.468085106383,0,0,0,0,15.3191489361702,21.063829787234,0,0,0,0,1.91489361702128,2.87234042553191,0,0,0,0,0,0,0,0,0.957446808510638,2.87234042553191,0,0,0,0,2.87234042553191,0,0,0,0,0,0,5.74468085106383,5.74468085106383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91489361702128,0.957446808510638,2.87234042553191,0,0.957446808510638,0.957446808510638,0,0,0,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91489361702128,0,19.1489361702128,34.468085106383,2.87234042553191,2.87234042553191,0,1.91489361702128,0.957446808510638,8.61702127659574
"Brian","USA",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,76,0.789473684210526,53,64,0.828125,24,29,0.827586206896552,0.453125,0,1,0,1,4,0.25,1,1,1,0,0,0,0,0,0,1,4,0.25,1,1,1,30,38,0.789473684210526,13,21,0.619047619047619,17,17,1,30,36,0.833333333333333,7,12,0.583333333333333,16,16,1,14,15,0.933333333333333,2,6,0.333333333333333,8,8,1,0.5,0.276315789473684,0.223684210526316,0.5625,0.1875,0.25,0.517241379310345,0.206896551724138,0.275862068965517,6,9,0.666666666666667,0,0,1,3,0.333333333333333,0,0,0,0,3,3,0,3,1,4,1,5,14,10,4,6,6,0,1,0,1,0,0,0,0,0,37,4,1,1,1,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.4468085106383,72.7659574468085,50.7446808510638,61.2765957446808,22.9787234042553,27.7659574468085,0,0.957446808510638,0.957446808510638,3.82978723404255,0.957446808510638,0.957446808510638,0,0,0,0,0.957446808510638,3.82978723404255,0.957446808510638,0.957446808510638,28.7234042553191,36.3829787234042,12.4468085106383,20.1063829787234,16.2765957446809,16.2765957446809,28.7234042553191,34.468085106383,6.70212765957447,11.4893617021277,15.3191489361702,15.3191489361702,13.4042553191489,14.3617021276596,1.91489361702128,5.74468085106383,7.65957446808511,7.65957446808511,5.74468085106383,8.61702127659574,0,0,0.957446808510638,2.87234042553191,0,0,0,0,2.87234042553191,2.87234042553191,0,2.87234042553191,3.82978723404255,0.957446808510638,4.78723404255319,13.4042553191489,9.57446808510638,3.82978723404255,5.74468085106383,5.74468085106383,0,0,0.957446808510638,0,0,0,0,0,35.4255319148936,3.82978723404255,0.957446808510638,0.957446808510638,0.957446808510638,0,1.91489361702128,2.87234042553191,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bussaglia","FRA",0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0.6,3,4,0.75,2,2,1,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,2,2,1,0,1,0,1,1,1,2,2,1,0,0,0,0,0,0,2,2,1,0.4,0.2,0.4,0.25,0.25,0.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.75,56.25,33.75,45,22.5,22.5,0,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,11.25,11.25,22.5,22.5,0,11.25,11.25,11.25,22.5,22.5,0,0,0,0,22.5,22.5,0,0,0,0,0,11.25,0,0,0,0,11.25,11.25,0,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,45,11.25,0,0,0,0,0,0,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Delie","FRA",0,1,94,1,0,1,0,2,0,3,0.333333333333333,2,1,0.666666666666667,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,13,0.923076923076923,12,13,0.923076923076923,8,9,0.888888888888889,0.692307692307692,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,6,6,1,6,6,1,0,1,0,6,6,1,6,6,1,0,1,0,3,3,1,5,5,1,0.0769230769230769,0.461538461538462,0.461538461538462,0.0769230769230769,0.461538461538462,0.461538461538462,0.111111111111111,0.333333333333333,0.555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0,0,1,2,2,0,10,3,7,0.3,1,0,0,0,0,0,2,22,3,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0,1.91489361702128,0,2.87234042553191,1.91489361702128,0.957446808510638,0,0.957446808510638,0,0,0,0,0.957446808510638,0,0,0,0,0,0,0,0,11.4893617021277,12.4468085106383,11.4893617021277,12.4468085106383,7.65957446808511,8.61702127659574,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0.957446808510638,0.957446808510638,0,0,0,0,0,0.957446808510638,5.74468085106383,5.74468085106383,5.74468085106383,5.74468085106383,0,0.957446808510638,5.74468085106383,5.74468085106383,5.74468085106383,5.74468085106383,0,0.957446808510638,2.87234042553191,2.87234042553191,4.78723404255319,4.78723404255319,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0.957446808510638,1.91489361702128,0,0,0.957446808510638,1.91489361702128,1.91489361702128,0,9.57446808510638,2.87234042553191,6.70212765957447,0.957446808510638,0,0,0,0,0,1.91489361702128,21.063829787234,2.87234042553191,0.957446808510638,0.957446808510638,0,0,0,0.957446808510638,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","USA",0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,11.25,11.25,11.25,11.25,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,11.25,0,0,0,0,11.25,11.25,0,0,0,0,11.25,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,11.25,0,0,0,0,0,11.25,0,0,0,0,0,33.75,0,0,0,0,0,0,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Engen","USA",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
