"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Brian","USA","6",1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,5,5,1,2,2,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,1,1,1,4,4,1,0,0,0,1,1,1,2,2,1,0,0,0,0,0,0,0.8,0,0.2,0.8,0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,3,3,1,2,0.333333333333333,1,0,0,0,0,0,0,7,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5161290322581,14.5161290322581,14.5161290322581,14.5161290322581,5.80645161290323,5.80645161290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6129032258065,11.6129032258065,0,0,2.90322580645161,2.90322580645161,11.6129032258065,11.6129032258065,0,0,2.90322580645161,2.90322580645161,5.80645161290323,5.80645161290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.90322580645161,2.90322580645161,5.80645161290323,8.70967741935484,0,8.70967741935484,8.70967741935484,2.90322580645161,5.80645161290323,2.90322580645161,0,0,0,0,0,0,20.3225806451613,17.4193548387097,11.6129032258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dabritz","GER","13",1,96,1,0,0,0,2,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,36,0.861111111111111,31,36,0.861111111111111,15,17,0.882352941176471,0.472222222222222,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,16,0.8125,4,5,0.8,14,15,0.933333333333333,13,16,0.8125,4,5,0.8,14,15,0.933333333333333,7,8,0.875,2,2,1,6,7,0.857142857142857,0.444444444444444,0.138888888888889,0.416666666666667,0.444444444444444,0.138888888888889,0.416666666666667,0.470588235294118,0.117647058823529,0.411764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,3,0,3,6,1,5,3,0,3,0,1,0,0,0,0,0,1,12,6,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.875,0,1.875,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0625,33.75,29.0625,33.75,14.0625,15.9375,0,0,0,0.9375,0,0,0,0,0,0,0,0.9375,0,0,12.1875,15,3.75,4.6875,13.125,14.0625,12.1875,15,3.75,4.6875,13.125,14.0625,6.5625,7.5,1.875,1.875,5.625,6.5625,0,0,0,0,0,0,0,0,0,0,0,2.8125,0,2.8125,2.8125,0,2.8125,5.625,0.9375,4.6875,2.8125,0,2.8125,0.9375,0,0,0,0,0,0.9375,11.25,5.625,2.8125,1.875,0.9375,0,0,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dahlkemper","USA","7",1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,34,0.823529411764706,28,34,0.823529411764706,4,6,0.666666666666667,0.176470588235294,0,0,0,1,3,0.333333333333333,0,0,0,0,0,0,0,0,0,1,3,0.333333333333333,0,0,0,14,20,0.7,10,10,1,4,4,1,14,20,0.7,10,10,1,4,4,1,3,5,0.6,0,0,0,1,1,1,0.588235294117647,0.294117647058824,0.117647058823529,0.588235294117647,0.294117647058824,0.117647058823529,0.833333333333333,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,0,0,5,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.25,31.875,26.25,31.875,3.75,5.625,0,0,0.9375,2.8125,0,0,0,0,0,0,0.9375,2.8125,0,0,13.125,18.75,9.375,9.375,3.75,3.75,13.125,18.75,9.375,9.375,3.75,3.75,2.8125,4.6875,0,0,0.9375,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.875,1.875,0,0.9375,0.9375,0,0,0,0,0,0,0,0,4.6875,0,0.9375,0.9375,5.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dallmann","GER","16",1,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,29,0.724137931034483,21,29,0.724137931034483,14,18,0.777777777777778,0.620689655172414,1,2,0.5,0,1,0,0,0,0,0,0,0,1,2,0.5,0,1,0,0,0,0,4,10,0.4,7,9,0.777777777777778,10,10,1,4,10,0.4,7,9,0.777777777777778,10,10,1,4,6,0.666666666666667,3,5,0.6,7,7,1,0.344827586206897,0.310344827586207,0.344827586206897,0.344827586206897,0.310344827586207,0.344827586206897,0.333333333333333,0.277777777777778,0.388888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,3,2,1,0,1,0,0,0,0,0,0,0,1,12,3,0,3,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3913043478261,37.8260869565217,27.3913043478261,37.8260869565217,18.2608695652174,23.4782608695652,1.30434782608696,2.60869565217391,0,1.30434782608696,0,0,0,0,1.30434782608696,2.60869565217391,0,1.30434782608696,0,0,5.21739130434783,13.0434782608696,9.1304347826087,11.7391304347826,13.0434782608696,13.0434782608696,5.21739130434783,13.0434782608696,9.1304347826087,11.7391304347826,13.0434782608696,13.0434782608696,5.21739130434783,7.82608695652174,3.91304347826087,6.52173913043478,9.1304347826087,9.1304347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60869565217391,2.60869565217391,5.21739130434783,6.52173913043478,3.91304347826087,2.60869565217391,1.30434782608696,0,1.30434782608696,0,0,0,0,0,0,1.30434782608696,15.6521739130435,3.91304347826087,0,3.91304347826087,0,0,1.30434782608696,2.60869565217391,2.60869565217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Davidson","USA","17",1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,30,0.866666666666667,25,27,0.925925925925926,1,2,0.5,0.0740740740740741,0,0,0,3,6,0.5,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,0,0,0,11,15,0.733333333333333,11,11,1,4,4,1,10,12,0.833333333333333,11,11,1,4,4,1,0,1,0,0,0,0,1,1,1,0.5,0.366666666666667,0.133333333333333,0.444444444444444,0.407407407407407,0.148148148148148,0.5,0,0.5,0,0,0,0,0,1,3,0.333333333333333,0,0,0,0,3,0,0,0,0,0,0,0,4,4,0,4,1,3,0.25,0,0,0,0,0,0,0,8,7,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.375,28.125,23.4375,25.3125,0.9375,1.875,0,0,2.8125,5.625,0,0,0,0,0,0,1.875,2.8125,0,0,10.3125,14.0625,10.3125,10.3125,3.75,3.75,9.375,11.25,10.3125,10.3125,3.75,3.75,0,0.9375,0,0,0.9375,0.9375,0,0,0,0,0.9375,2.8125,0,0,0,0,2.8125,0,0,0,0,0,0,3.75,3.75,0,3.75,0.9375,2.8125,0,0,0,0,0,0,0,7.5,6.5625,0.9375,2.8125,6.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ertz","USA","8",1,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,0.91304347826087,21,23,0.91304347826087,9,9,1,0.391304347826087,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,12,14,0.857142857142857,5,5,1,4,4,1,12,14,0.857142857142857,5,5,1,4,4,1,6,6,1,1,1,1,2,2,1,0.608695652173913,0.217391304347826,0.173913043478261,0.608695652173913,0.217391304347826,0.173913043478261,0.666666666666667,0.111111111111111,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,3,2,4,2,2,0.5,0,0,0,0,0,0,1,13,3,3,1,1,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.25,28.75,26.25,28.75,11.25,11.25,0,1.25,1.25,1.25,0,0,0,0,0,1.25,1.25,1.25,0,0,15,17.5,6.25,6.25,5,5,15,17.5,6.25,6.25,5,5,7.5,7.5,1.25,1.25,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,1.25,6.25,3.75,2.5,5,2.5,2.5,0,0,0,0,0,0,1.25,16.25,3.75,3.75,1.25,1.25,0,3.75,3.75,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Faisst","GER","17",1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,55,0.690909090909091,29,40,0.725,13,18,0.722222222222222,0.45,0,3,0,0,5,0,0,0,0,9,13,0.692307692307692,0,1,0,0,5,0,0,0,0,17,31,0.548387096774194,10,13,0.769230769230769,11,11,1,10,20,0.5,8,9,0.888888888888889,11,11,1,7,12,0.583333333333333,3,3,1,3,3,1,0.563636363636364,0.236363636363636,0.2,0.5,0.225,0.275,0.666666666666667,0.166666666666667,0.166666666666667,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0.666666666666667,1,1,3,5,4,1,1,0,1,0,0,1,0,0,0,0,1,9,3,6,2,1,0,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.625,51.5625,27.1875,37.5,12.1875,16.875,0,2.8125,0,4.6875,0,0,8.4375,12.1875,0,0.9375,0,4.6875,0,0,15.9375,29.0625,9.375,12.1875,10.3125,10.3125,9.375,18.75,7.5,8.4375,10.3125,10.3125,6.5625,11.25,2.8125,2.8125,2.8125,2.8125,0,1.875,0,0,0,0,0,0,0,0,0,1.875,0.9375,2.8125,0.9375,0.9375,2.8125,4.6875,3.75,0.9375,0.9375,0,0.9375,0,0.9375,0,0,0,0,0.9375,8.4375,2.8125,5.625,1.875,0.9375,0,4.6875,1.875,5.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goessling","GER","8",1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19,0.842105263157895,16,19,0.842105263157895,7,9,0.777777777777778,0.473684210526316,0,0,0,2,3,0.666666666666667,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,0,0,0,11,14,0.785714285714286,5,5,1,0,0,0,11,14,0.785714285714286,5,5,1,0,0,0,5,7,0.714285714285714,2,2,1,0,0,0,0.736842105263158,0.263157894736842,0,0.736842105263158,0.263157894736842,0,0.777777777777778,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.4883720930233,39.7674418604651,33.4883720930233,39.7674418604651,14.6511627906977,18.8372093023256,0,0,4.18604651162791,6.27906976744186,0,0,0,0,0,0,4.18604651162791,6.27906976744186,0,0,23.0232558139535,29.3023255813954,10.4651162790698,10.4651162790698,0,0,23.0232558139535,29.3023255813954,10.4651162790698,10.4651162790698,0,0,10.4651162790698,14.6511627906977,4.18604651162791,4.18604651162791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09302325581395,0,2.09302325581395,0,0,0,0,0,0,0,0,0,0,2.09302325581395,0,4.18604651162791,2.09302325581395,0,0,4.18604651162791,2.09302325581395,4.18604651162791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hendrich","GER","3",1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,46,0.869565217391304,39,45,0.866666666666667,10,12,0.833333333333333,0.266666666666667,0,0,0,4,7,0.571428571428571,0,0,0,1,1,1,0,0,0,4,7,0.571428571428571,0,0,0,24,30,0.8,9,9,1,7,7,1,23,29,0.793103448275862,9,9,1,7,7,1,10,12,0.833333333333333,0,0,0,0,0,0,0.652173913043478,0.195652173913043,0.152173913043478,0.644444444444444,0.2,0.155555555555556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,5,4,1,3,2,1,0.666666666666667,0,0,0,0,0,0,0,13,7,2,3,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,43.125,36.5625,42.1875,9.375,11.25,0,0,3.75,6.5625,0,0,0.9375,0.9375,0,0,3.75,6.5625,0,0,22.5,28.125,8.4375,8.4375,6.5625,6.5625,21.5625,27.1875,8.4375,8.4375,6.5625,6.5625,9.375,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.875,0,1.875,0,0,0,4.6875,3.75,0.9375,2.8125,1.875,0.9375,0,0,0,0,0,0,0,12.1875,6.5625,1.875,2.8125,0.9375,0,1.875,0,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horan","USA","9",1,96,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,41,0.75609756097561,31,41,0.75609756097561,20,25,0.8,0.609756097560976,2,5,0.4,0,2,0,0,0,0,0,0,0,2,5,0.4,0,2,0,0,0,0,14,22,0.636363636363636,8,10,0.8,9,9,1,14,22,0.636363636363636,8,10,0.8,9,9,1,12,15,0.8,3,5,0.6,5,5,1,0.536585365853659,0.24390243902439,0.219512195121951,0.536585365853659,0.24390243902439,0.219512195121951,0.6,0.2,0.2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3,2,5,8,4,4,11,5,6,0.454545454545455,0,0,0,0,0,0,0,29,11,2,2,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0.9375,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0625,38.4375,29.0625,38.4375,18.75,23.4375,1.875,4.6875,0,1.875,0,0,0,0,1.875,4.6875,0,1.875,0,0,13.125,20.625,7.5,9.375,8.4375,8.4375,13.125,20.625,7.5,9.375,8.4375,8.4375,11.25,14.0625,2.8125,4.6875,4.6875,4.6875,0,0,0,0,0,0,0,0,0.9375,0,0.9375,0.9375,0,0.9375,2.8125,1.875,4.6875,7.5,3.75,3.75,10.3125,4.6875,5.625,0,0,0,0,0,0,0,27.1875,10.3125,1.875,1.875,1.875,0,0.9375,1.875,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
